pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
837139,gitlabhq,2709,1358942117,1358961222,1358961222,318,318,11,1,0,2,83,10199,14,0,14,583.6846749681341,6193,hiroponz,3,0.3333333333333333,3
837071,gitlabhq,2706,1358926398,1358961270,1358961270,581,581,11,1,1,2,83,10199,2,23,8,583.6846749681341,6192,jfut,0,0,1
832788,gitlabhq,2695,1358875825,1358919540,1358919540,728,728,11,1,0,1,83,10199,2,0,4,583.6846749681341,6192,earzur,0,0,1
821645,gitlabhq,2688,1358861150,1358863197,1358863197,34,34,11,1,1,3,83,10190,12,0,0,584.5927379784101,6192,tbe,2,0.0,0
831255,gitlabhq,2684,1358841845,1358854580,1358854580,212,212,11,1,0,1,84,10190,0,0,15,584.5927379784101,6192,rk4an,0,0,0
820676,gitlabhq,2683,1358838572,1358843148,1358843148,76,76,11,1,2,1,84,10189,0,0,0,584.6501128668172,6192,geekontheway,0,0,22
835294,gitlabhq,2673,1358758377,1358760203,1358760203,30,30,11,1,2,1,84,10189,0,0,1,584.6501128668172,6191,AlexDenisov,20,0.15,25
835030,gitlabhq,2672,1358711464,1358712092,1358712092,10,10,11,1,3,1,84,10189,0,0,0,584.6501128668172,6190,redorkulated,0,0,0
823627,gitlabhq,2660,1358547565,1358548017,1358548017,7,7,11,1,4,1,84,10166,0,0,0,585.972850678733,6190,rvrangel,0,0,8
820285,gitlabhq,2653,1358461740,1358474270,1358474270,208,208,11,1,1,1,84,10140,12,0,12,580.7692307692308,6189,jouve,29,0.3103448275862069,1
820284,gitlabhq,2652,1358461703,1358474231,1358474231,208,208,11,1,1,1,84,9551,2,0,3,577.7405507276725,6189,jouve,28,0.2857142857142857,1
819578,gitlabhq,2650,1358451251,1358451656,1358451656,6,6,11,3,1,5,84,10137,85,0,45,580.9411068363421,6189,riyad,50,0.6,12
819326,gitlabhq,2649,1358447792,1358451538,1358451538,62,62,11,0,4,0,85,10137,0,0,0,580.9411068363421,6189,tjeezy,0,0,8
817122,gitlabhq,2646,1358443546,1358447575,1358447575,67,67,10,1,3,3,85,10137,26,0,0,580.9411068363421,6189,evandavey,0,0,4
819101,gitlabhq,2632,1358403203,1358444838,1358444838,693,693,9,1,1,1,85,10133,0,0,32,581.1704332379355,6189,yin8086,0,0,1
815980,gitlabhq,2621,1358345619,1358347366,1358347366,29,29,8,1,1,1,86,10110,1,0,7,580.9099901088032,6189,jouve,27,0.25925925925925924,1
818040,gitlabhq,2619,1358342535,1358344450,1358344450,31,31,8,2,2,2,86,10108,12,0,0,581.0249307479224,6189,2called-chaos,0,0,0
820392,gitlabhq,2584,1358171846,1358183583,1358183583,195,195,8,1,6,1,87,9719,68,0,7,578.0430085399732,6188,jasl8r,2,0.5,0
