pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
92155,twitter/gizzard,99,1334598641,1334605522,1334605522,114,114,8,1,2,1,72,5933,0,0,0,560.2561941682117,1410,elimisteve,0,0,19,false,false
89346,twitter/gizzard,98,1334341328,1334342379,1334342379,17,17,7,32,0,98,72,5765,1081,364,528,567.9098005203816,2806,98tango,0,0,0,true,true
69068,twitter/gizzard,97,1332800248,1332802024,1332802024,29,29,7,5,1,18,71,5757,512,40,126,568.698975160674,1329,jcorwin,4,0.5,0,true,true
63629,twitter/gizzard,96,1332450562,1332453175,1332453175,43,43,7,2,1,4,73,5461,78,13,42,592.0161142647867,1327,jcorwin,3,0.3333333333333333,0,true,true
59318,twitter/gizzard,95,1332317189,1332358028,1332358028,680,680,7,3,1,5,72,5456,56,94,5,587.0601173020527,1326,rvpgithub,2,1.0,4,true,true
50961,twitter/gizzard,94,1331869284,1332796964,1332796964,15521,15521,7,16,2,81,71,5467,1456,467,211,593.0126211816353,1323,stuhood,1,1.0,21,true,true
49292,twitter/gizzard,92,1331687329,1331787449,1331787449,1668,1668,8,5,3,18,74,5454,250,135,75,575.1741840850751,1322,hyungoo,1,1.0,0,true,true
980192,twitter/gizzard,91,1331499881,1331511861,1331511861,199,199,7,9,1,27,76,5415,491,273,137,579.3167128347184,1321,rvpgithub,1,1.0,3,true,true
980194,twitter/gizzard,90,1331256634,1331257092,1331257092,7,7,5,2,1,2,77,5359,8,0,0,594.3272998693786,1321,rvpgithub,0,0,3,true,true
869011,twitter/gizzard,89,1331245397,1331267072,1331267072,361,361,5,3,1,25,75,5428,428,285,58,578.8504053058217,1321,alanliang,0,0,3,false,true
868944,twitter/gizzard,88,1331241117,1331259461,1331259461,305,305,5,20,0,67,72,5359,814,459,36,594.3272998693786,1321,jcorwin,2,0.0,0,true,true
43039,twitter/gizzard,86,1330123465,1330464289,1330464289,5680,5680,4,1,0,1,61,5359,0,7,0,593.9540959134166,2616,stuhood,0,0,42,true,true
41231,twitter/gizzard,85,1330020208,1330025398,1330025399,86,86,3,2,2,2,60,5333,3,0,2,592.7245452840802,2612,wangmeng99,0,0,0,false,true
40153,twitter/gizzard,84,1329955801,1330033575,1330033575,1296,1296,3,2,3,3,59,5333,67,29,0,592.7245452840802,2610,hyungoo,0,0,0,false,true
