pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2740586,guard/guard,ruby,541,1388765030,1388770709,1388770709,94,94,github,false,false,3,1,0,2,2,2,0,0,1,1,0,1,0,22,2496,0,0,5,1989.9839743589744,225.96153846153845,362.5801282051282,3361,moshbit,0,0,0,false,false
2685186,guard/guard,ruby,538,1387678875,1387704808,1387704808,432,432,commits_in_master,false,false,3,1,0,1,1,2,0,0,1,1,1,0,0,22,2496,7,0,2,1989.9839743589744,225.96153846153845,362.5801282051282,3361,marocchino,0,0,23,false,false
2677490,guard/guard,ruby,537,1387537522,1387705122,1387705122,2793,2793,commits_in_master,false,false,3,2,0,2,2,3,0,0,14,14,14,0,0,21,2496,8,156,29,1989.9839743589744,225.96153846153845,362.5801282051282,3361,jgorset,0,0,71,false,false
2641893,guard/guard,ruby,534,1387112431,1387119347,1387119347,115,115,commits_in_master,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,19,2467,0,0,2,2012.5658694770977,228.61775435751923,366.84231860559385,3358,envygeeks,2,1.0,14,false,false
2641821,guard/guard,ruby,533,1387111071,1387348292,1387348292,3953,3953,commits_in_master,false,false,3,4,0,5,5,3,0,0,2,2,2,0,0,18,2467,129,20,47,2012.5658694770977,228.61775435751923,366.84231860559385,3358,mrloop,0,0,3,false,false
2635276,guard/guard,ruby,532,1386962186,1386962229,1386962229,0,0,github,false,false,3,5,0,0,0,0,0,0,2,2,2,0,0,18,2476,133,41,5,2000.8077544426492,226.97899838449112,364.70113085621966,3358,rymai,4,0.5,30,true,true
2626700,guard/guard,ruby,531,1386879056,1386962230,1386962230,1386,1386,commits_in_master,false,false,3,1,0,4,4,3,0,0,1,1,1,0,0,14,2476,0,13,1,2000.8077544426492,226.97899838449112,364.70113085621966,3358,uk-ar,1,1.0,16,false,false
2429885,guard/guard,ruby,522,1384201982,1384235753,1384235753,562,562,commits_in_master,false,false,3,1,0,2,2,3,0,0,2,2,1,1,0,28,2462,28,0,18,2006.4987814784727,227.05117790414297,364.7441104792851,3355,netzpirat,9,0.7777777777777778,92,true,true
2393997,guard/guard,ruby,518,1383689295,1383691581,1383691581,38,38,commits_in_master,false,false,3,1,0,2,2,2,0,0,1,1,1,0,0,28,2461,3,0,4,2007.314099959366,227.14343762698093,364.89232019504266,3352,tabfugnic,0,0,6,false,false
2385075,guard/guard,ruby,517,1383593906,1383598015,1383598015,68,68,commits_in_master,false,false,3,1,0,1,1,2,0,0,2,2,2,0,0,29,2461,2,9,5,2004.0633888663147,226.73709874034944,363.2669646485169,3352,crimsonknave,0,0,1,false,false
