pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2757759,happypeter/onestep,ruby,490,1389082057,1389088100,1389088100,100,100,github,false,false,3,1,0,1,1,1,1,0,6,7,2,4,1,30,1876,5,0,35,56.50319829424307,3.1982942430703623,4.797441364605544,58,billie66,28,0.14285714285714285,19,true,true
2739350,happypeter/onestep,ruby,484,1388752463,1388757351,1388757351,81,81,github,false,false,3,3,0,1,1,1,0,0,5,5,3,2,0,30,1849,50,0,18,57.32828555976204,3.244997295835587,4.86749594375338,58,luckyyang,63,0.36507936507936506,10,true,true
2724174,happypeter/onestep,ruby,476,1388457879,1388468234,1388468234,172,172,commits_in_master,false,false,3,1,0,1,1,1,0,1,10,11,2,8,1,32,1864,2,0,22,56.86695278969957,3.218884120171674,4.828326180257511,57,luckyyang,62,0.3709677419354839,10,true,true
2615543,happypeter/onestep,ruby,462,1386762773,1386834963,1386834963,1203,1203,commits_in_master,false,false,3,5,0,4,4,2,1,1,8,10,3,5,1,43,1858,1449,0,14,57.050592034445636,3.2292787944025836,4.843918191603875,55,luckyyang,61,0.3770491803278688,10,true,true
2613336,happypeter/onestep,ruby,461,1386730417,1386762781,1386762781,539,539,commits_in_master,false,false,3,5,0,2,2,2,7,1,5,13,3,5,5,42,1858,1453,0,6,57.050592034445636,3.2292787944025836,4.843918191603875,55,luckyyang,60,0.38333333333333336,10,true,true
2596106,happypeter/onestep,ruby,458,1386511864,1386730160,1386730160,3638,3638,commits_in_master,false,false,3,2,0,4,4,2,0,1,5,6,1,5,0,44,1858,1445,0,0,57.050592034445636,3.2292787944025836,4.843918191603875,55,luckyyang,59,0.3898305084745763,10,true,true
2595057,happypeter/onestep,ruby,457,1386484895,1386500572,1386500572,261,261,github,false,false,3,1,0,1,1,1,0,0,4,4,0,4,0,45,1858,0,0,11,57.050592034445636,3.2292787944025836,4.843918191603875,55,billie66,27,0.1111111111111111,19,true,true
2546992,happypeter/onestep,ruby,448,1385795984,1385813555,1385813555,292,292,github,false,false,3,8,0,2,2,1,0,0,11,11,0,11,0,44,1858,0,0,89,57.050592034445636,3.2292787944025836,4.843918191603875,53,luckyyang,58,0.3793103448275862,10,true,true
2512713,happypeter/onestep,ruby,440,1385340118,1385435572,1385435572,1590,1590,commits_in_master,false,false,3,2,0,1,1,1,17,0,2,19,2,0,17,46,1853,5,0,11,57.204533189422555,3.237992444684296,4.856988667026443,52,luckyyang,57,0.38596491228070173,10,true,true
2484274,happypeter/onestep,ruby,431,1384930167,1384930191,1384930191,0,0,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,49,1842,0,0,3,57.54614549402823,3.257328990228013,4.885993485342019,51,billie66,26,0.11538461538461539,19,true,true
2483378,happypeter/onestep,ruby,430,1384913089,1384913337,1384913337,4,4,commits_in_master,false,false,3,1,0,0,0,0,0,0,2,2,0,2,0,49,1842,0,0,17,57.54614549402823,3.257328990228013,4.885993485342019,51,billie66,25,0.12,19,true,true
2476527,happypeter/onestep,ruby,429,1384845854,1384845884,1384845884,0,0,commits_in_master,false,false,3,2,0,0,0,0,1,0,3,4,2,2,0,51,1829,18,0,27,57.95516675779115,3.2804811372334606,4.920721705850191,51,billie66,24,0.125,19,true,true
2475121,happypeter/onestep,ruby,428,1384820935,1384820951,1384820951,0,0,commits_in_master,false,false,3,6,0,0,0,0,0,0,6,6,2,7,0,51,1803,35,0,30,58.79090404880755,3.327787021630616,4.9916805324459235,51,billie66,23,0.13043478260869565,19,true,true
2421414,happypeter/onestep,ruby,420,1384069521,1384070598,1384070598,17,17,commits_in_master,false,false,3,1,0,1,1,2,0,0,1,1,1,0,0,55,1817,3,0,0,58.33791964777105,3.3021463951568517,4.953219592735278,51,lexuszhi1990,0,0,6,false,false
2352453,happypeter/onestep,ruby,412,1383116561,1383117308,1383117308,12,12,github,false,false,3,3,0,0,0,0,2,0,4,6,5,1,0,60,1799,38,0,22,58.92162312395775,3.335186214563646,5.00277932184547,49,billie66,22,0.09090909090909091,19,true,true
2309935,happypeter/onestep,ruby,405,1382490650,1382527116,1382527116,607,607,commits_in_master,false,false,3,2,0,0,0,1,2,0,1,3,3,0,0,62,1779,27,0,18,59.58403597526701,3.372681281618887,5.059021922428331,48,luckyyang,56,0.39285714285714285,8,true,true
2297061,happypeter/onestep,ruby,402,1382337492,1382419622,1382419622,1368,1368,commits_in_master,false,false,3,4,1,0,1,1,0,1,6,7,0,7,0,62,1779,0,0,99,59.58403597526701,3.372681281618887,5.059021922428331,48,billie66,21,0.09523809523809523,19,true,true
2260686,happypeter/onestep,ruby,396,1381764661,1381789276,1381789276,410,410,commits_in_master,false,false,3,1,0,1,1,2,0,0,1,1,0,1,0,66,1779,0,0,1,59.58403597526701,3.372681281618887,5.059021922428331,47,SohoStudio,1,0.0,2,false,false
2246893,happypeter/onestep,ruby,388,1381494437,1382527731,1382527731,17221,17221,commits_in_master,false,false,3,2,0,2,2,2,1,0,3,4,2,2,0,67,1779,6,0,15,59.58403597526701,3.372681281618887,5.059021922428331,47,billie66,20,0.1,18,true,true
2245588,happypeter/onestep,ruby,387,1381478210,1381667851,1381667851,3160,3160,commits_in_master,false,false,3,1,0,0,0,2,0,0,1,1,0,1,0,67,1779,0,0,1,59.58403597526701,3.372681281618887,5.059021922428331,47,SohoStudio,0,0,2,false,false
2238187,happypeter/onestep,ruby,385,1381387363,1381400168,1381400168,213,213,commits_in_master,false,false,3,3,0,0,0,0,2,0,10,12,5,6,0,67,1775,32,0,94,59.718309859154935,3.3802816901408455,5.070422535211267,47,billie66,19,0.10526315789473684,18,true,true
2237011,happypeter/onestep,ruby,382,1381366512,1381367746,1381367746,20,20,commits_in_master,false,false,3,8,0,0,0,0,3,0,12,15,11,2,0,67,1703,171,0,162,62.24310041103934,3.5231943628890194,5.28479154433353,47,billie66,18,0.1111111111111111,18,true,true
2133724,happypeter/onestep,ruby,377,1379758574,1381366315,1381366315,26795,26795,commits_in_master,false,false,3,9,0,0,0,0,3,0,12,15,11,2,0,63,1703,173,0,177,62.24310041103934,3.5231943628890194,5.28479154433353,42,billie66,17,0.11764705882352941,18,true,true
2127955,happypeter/onestep,ruby,376,1379658708,1379681049,1379681049,372,372,github,false,false,3,1,0,1,1,1,1,29,5,35,0,5,30,63,1703,0,0,5,62.24310041103934,3.5231943628890194,5.28479154433353,42,luckyyang,55,0.38181818181818183,7,true,true
2662573,happypeter/onestep,ruby,371,1379395368,1379397101,1379397101,28,28,github,false,false,3,1,0,1,1,1,0,0,2,2,0,2,0,64,1703,0,0,3,62.24310041103934,3.5231943628890194,5.28479154433353,42,luckyyang,54,0.37037037037037035,7,true,true
2662574,happypeter/onestep,ruby,367,1379227840,1379241502,1379241502,227,227,github,false,false,3,1,0,2,2,2,0,0,5,5,2,4,0,63,1703,4,0,22,62.24310041103934,3.5231943628890194,5.28479154433353,42,luckyyang,53,0.3584905660377358,7,true,true
2662575,happypeter/onestep,ruby,365,1379222612,1379223623,1379223623,16,16,github,false,false,3,3,0,0,0,2,0,0,9,9,3,6,0,63,1703,23,0,72,62.24310041103934,3.5231943628890194,5.28479154433353,42,luckyyang,52,0.34615384615384615,7,true,true
2104583,happypeter/onestep,ruby,362,1379071537,1379072939,1379072939,23,23,commits_in_master,false,false,3,2,0,1,1,1,1,1,1,3,2,0,0,63,1700,32,0,2,62.35294117647059,3.5294117647058827,5.294117647058823,42,billie66,15,0.13333333333333333,18,true,true
