pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2720631,heroku/heroku,ruby,984,1388401228,,1388401292,1,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,75,6007,13,0,0,808.2237389712003,72.58198768103878,122.35724987514567,939,timcraft,0,0,18,false,false
2656385,heroku/heroku,ruby,976,1387300067,1387304978,1387304978,81,81,commits_in_master,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,77,6006,2,0,19,808.3583083583084,72.59407259407259,122.37762237762239,939,markpundsack,0,0,24,true,false
2638047,heroku/heroku,ruby,971,1387017018,1387457550,1387457550,7342,7342,merged_in_comments,false,false,4,2,0,8,8,3,0,0,1,1,1,0,0,78,5579,55,0,0,834.9166517297007,75.82003943359025,126.72521957340024,939,nicolasleger,0,0,4,false,false
2628524,heroku/heroku,ruby,970,1386892290,1387229510,1387229510,5620,5620,commits_in_master,false,false,4,51,0,4,4,2,5,0,16,21,16,0,1,77,5579,993,241,66,834.9166517297007,75.82003943359025,126.72521957340024,939,dominic,0,0,29,true,false
2616689,heroku/heroku,ruby,967,1386773751,1386782093,1386782093,139,139,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,76,5576,10,0,1,835.3658536585366,75.86083213773314,126.79340028694405,939,catsby,9,0.6666666666666666,14,false,false
2582575,heroku/heroku,ruby,964,1386276211,,1387497003,20346,,unknown,false,true,5,1,0,3,3,3,0,0,1,1,1,0,0,63,5576,12,0,0,835.3658536585366,75.86083213773314,126.79340028694405,939,catsby,8,0.75,14,false,false
2540113,heroku/heroku,ruby,960,1385696131,,1385779269,1385,,unknown,false,false,5,1,0,2,2,2,0,0,1,1,1,0,0,64,5563,2,0,0,832.4644975732518,75.67859068847744,126.55042243393852,939,stereoscott,0,0,5,false,false
2532629,heroku/heroku,ruby,959,1385579145,1386017932,1386017935,7313,7313,github,false,false,6,7,0,4,4,3,0,0,2,2,2,0,0,63,5563,77,73,33,832.4644975732518,75.67859068847744,126.55042243393852,939,technomancy,3,0.6666666666666666,791,true,true
2502790,heroku/heroku,ruby,955,1385139057,1385412126,1385412127,4551,4551,github,false,false,7,3,1,3,4,2,0,0,1,1,1,0,0,59,5560,8,0,3,832.9136690647482,75.71942446043165,126.61870503597122,939,catsby,7,0.7142857142857143,14,false,false
2496817,heroku/heroku,ruby,954,1385065162,1386016104,1386016105,15849,15849,github,false,false,7,3,0,6,6,3,0,0,4,4,4,0,0,59,5557,36,35,5,831.7437466258773,75.5803491092316,126.32715493971567,939,catsby,6,0.6666666666666666,14,false,false
2492777,heroku/heroku,ruby,952,1385029058,1385059537,1385059537,507,507,github,false,false,7,1,0,2,2,4,0,0,2,2,2,0,0,59,5557,2,5,2,831.023933777218,75.40039589706676,126.14720172755084,939,ys,0,0,44,false,false
2490541,heroku/heroku,ruby,950,1384993448,1385077120,1385077120,1394,1394,github,false,false,7,5,2,1,3,2,0,0,2,2,2,0,0,57,5557,47,12,0,831.023933777218,75.40039589706676,126.14720172755084,939,technomancy,2,0.5,791,true,true
2472206,heroku/heroku,ruby,948,1384790423,1384802985,1384802986,209,209,github,false,false,8,1,0,1,1,1,0,0,1,1,1,0,0,56,5557,3,0,7,831.023933777218,75.40039589706676,126.14720172755084,939,deafbybeheading,3,0.6666666666666666,9,false,false
2400212,heroku/heroku,ruby,940,1383764977,1383784107,1383784108,318,318,github,false,false,8,2,0,12,12,5,0,0,2,2,2,0,0,52,5556,11,0,12,831.1735061195104,75.41396688264938,126.1699064074874,939,catsby,4,0.75,11,false,false
2320672,heroku/heroku,ruby,933,1382623129,1382632806,1382632806,161,161,github,false,false,11,1,0,1,1,1,0,0,1,1,1,0,0,50,5555,3,0,5,831.3231323132313,75.42754275427544,126.19261926192618,939,catsby,3,0.6666666666666666,11,false,false
2308704,heroku/heroku,ruby,928,1382471342,1382565343,1382565344,1566,1566,github,false,false,11,1,0,1,1,2,0,0,1,1,1,0,0,50,5551,7,0,4,831.9221761844713,75.4818951540263,126.2835525130607,939,catsby,2,0.5,11,false,false
