pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2758230,hibernate/hibernate-validator,java,288,1389088961,,1389270457,3024,,unknown,false,false,3,1,0,1,1,3,0,0,2,2,1,1,0,53,21868,4,0,0,1238.6592280958478,55.743552222425464,115.14541796231937,106,hferentschik,117,0.6581196581196581,16,false,true
2752463,hibernate/hibernate-validator,java,287,1389004295,,1389087253,1382,,unknown,false,false,3,1,0,1,1,3,0,0,1,1,1,0,0,54,21906,2,0,0,1232.219483246599,55.418606774399706,114.71742901488177,106,gunnarmorling,111,0.7657657657657657,14,false,true
2752419,hibernate/hibernate-validator,java,286,1389003549,1389085827,1389085827,1371,1371,github,false,false,3,3,0,2,2,2,6,0,6,12,12,0,0,56,21906,108,294,4,1232.219483246599,55.418606774399706,114.71742901488177,106,gunnarmorling,110,0.7636363636363637,14,false,true
2650993,hibernate/hibernate-validator,java,285,1387234204,1387448627,1387448627,3573,3573,merged_in_comments,false,false,3,1,0,2,2,3,0,0,1,1,1,0,0,58,21912,2,0,0,1232.3384446878422,55.403431909456,114.68601679445054,105,BrentDouglas,1,1.0,0,false,false
2618086,hibernate/hibernate-validator,java,284,1386786894,1386836119,1386836119,820,820,merged_in_comments,false,false,3,7,0,6,6,3,1,0,27,28,20,9,1,70,21912,540,632,0,1232.3384446878422,55.403431909456,114.68601679445054,104,gunnarmorling,109,0.7706422018348624,14,false,true
2571024,hibernate/hibernate-validator,java,283,1386143189,1386329221,1386329221,3100,3100,github,false,false,3,1,0,21,21,4,1,0,17,18,18,0,0,80,21885,363,115,2,1228.7868403015764,55.38039753255654,114.41626684944026,102,BrentDouglas,0,0,0,false,false
2564137,hibernate/hibernate-validator,java,282,1386058016,1386071316,1386071316,221,221,github,false,false,2,1,0,1,1,1,0,0,5,5,5,0,0,83,21887,5,6,4,1228.674555672317,55.3753369580116,114.40581166902727,102,gunnarmorling,108,0.7685185185185185,14,false,true
2545925,hibernate/hibernate-validator,java,281,1385975487,1385975676,1385975676,3,3,github,false,false,2,1,1,0,1,2,0,2,3,5,2,2,1,88,21894,2,0,4,1225.6782680186354,55.220608385859144,114.23220973782772,102,gunnarmorling,107,0.7663551401869159,14,false,true
2544497,hibernate/hibernate-validator,java,280,1385742286,1385975371,1385975371,3884,3884,github,false,false,2,2,0,3,3,3,1,1,11,13,9,7,1,87,21894,29,30,6,1226.2263633872294,55.220608385859144,114.23220973782772,102,hferentschik,116,0.6551724137931034,16,false,true
2542639,hibernate/hibernate-validator,java,279,1385734666,1385999385,1385999385,4411,4411,commits_in_master,false,false,2,10,15,8,23,3,0,0,8,8,7,1,0,85,21894,138,44,2,1226.2263633872294,55.220608385859144,114.23220973782772,102,hferentschik,115,0.6608695652173913,16,false,true
2537858,hibernate/hibernate-validator,java,278,1385654133,1385665386,1385665386,187,187,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,85,21894,0,0,2,1226.2263633872294,55.220608385859144,114.23220973782772,102,gunnarmorling,106,0.7735849056603774,14,false,true
2410713,hibernate/hibernate-validator,java,277,1383893964,1383896201,1383896201,37,37,commits_in_master,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,60,21894,2,0,0,1226.2263633872294,55.220608385859144,114.23220973782772,95,gunnarmorling,105,0.780952380952381,14,false,true
2232233,hibernate/hibernate-validator,java,276,1381310103,1381311816,1381311816,28,28,github,false,false,5,3,0,1,1,2,0,0,3,3,1,2,0,59,21894,4,0,21,1226.2263633872294,55.220608385859144,114.23220973782772,91,gunnarmorling,104,0.7788461538461539,14,false,true
1998397,hibernate/hibernate-validator,java,275,1377692942,1379682074,1379682074,33152,33152,commits_in_master,false,false,5,3,8,7,15,4,3,0,20,23,18,1,2,60,21822,544,512,57,1223.85665841811,54.48629823114288,113.87590504994958,88,victor-rds,3,0.0,0,false,false
1994047,hibernate/hibernate-validator,java,274,1377624587,,1377686167,1026,,unknown,false,false,3,2,3,6,9,3,1,1,2,4,3,0,0,67,21816,9,154,0,1221.122112211221,54.31793179317932,113.12797946461313,88,panga,0,0,1,false,false
1992825,hibernate/hibernate-validator,java,273,1377611241,,1377686980,1262,,unknown,false,false,3,2,0,9,9,3,0,0,2,2,2,0,0,66,21816,4,16,0,1221.122112211221,54.31793179317932,113.12797946461313,88,esarbanis,0,0,0,false,false
1984935,hibernate/hibernate-validator,java,272,1377496723,1377665964,1377665964,2820,2820,github,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,66,21816,0,0,1,1221.122112211221,54.31793179317932,113.12797946461313,88,gunnarmorling,103,0.7766990291262136,14,false,true
1962492,hibernate/hibernate-validator,java,271,1377073420,1377496420,1377496420,7050,7050,github,false,false,3,8,0,1,1,1,7,0,26,33,24,1,2,66,21599,1251,384,38,1223.575165516922,53.845085420621324,112.78299921292651,88,gunnarmorling,102,0.7745098039215687,14,false,true
1903754,hibernate/hibernate-validator,java,270,1376011341,,1377073597,17704,,unknown,false,true,3,4,23,9,32,3,7,0,24,31,24,0,2,65,21580,1197,670,0,1221.1306765523632,53.52177942539389,112.14087117701575,88,victor-rds,2,0.0,0,false,false
1896022,hibernate/hibernate-validator,java,269,1375784322,1375860543,1375860543,1270,1270,github,false,false,3,2,6,2,8,3,0,0,3,3,3,0,0,66,21568,54,59,8,1220.6045994065282,53.27336795252226,111.83234421364985,88,gunnarmorling,101,0.7722772277227723,13,false,true
