pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
975053,httparty,190,1360244244,1360251083,1360251083,113,113,1,1,0,4,15,1253,12,11,17,1511.5722266560256,1729,ronyv89,1,1.0,1,false,false
950916,httparty,189,1359792891,1359820038,1359820039,452,452,1,1,0,2,15,1253,2,6,7,1507.5818036711892,3458,sullman,0,0,2,false,false
937251,httparty,188,1359496324,1359561521,1359561521,1086,1086,1,1,0,2,16,1253,2,6,0,1503.5913806863527,3456,mrGrazy,0,0,0,false,false
928913,httparty,187,1359238556,1359246671,1359246671,135,135,1,1,0,1,18,1253,2,0,1,1503.5913806863527,1728,billvieux,0,0,0,false,false
927698,httparty,186,1359205661,1359214418,1359214418,145,145,1,2,1,3,23,1246,6,4,1,1504.8154093097914,1728,kachick,0,0,11,false,false
840938,httparty,183,1358395703,1359214462,1359214463,13646,13645,1,1,0,4,23,1246,12,11,9,1504.8154093097914,1728,ronyv89,0,0,1,false,false
840941,httparty,181,1358009513,1358112978,1358112978,1724,1724,1,1,0,1,25,1246,2,0,0,1504.8154093097914,1728,titanous,0,0,113,false,false
840942,httparty,179,1357141486,1357158259,1357158259,279,279,1,1,0,4,25,1245,19,17,0,1506.0240963855422,1728,kenmazaika,1,0.0,12,false,false
670156,httparty,176,1354672076,1356985475,1356985476,38556,38556,1,1,0,1,16,1223,3,0,0,1517.579721995094,3388,srhea,0,0,14,false,false
702548,httparty,175,1354300454,,1357060475,46000,,1,1,0,4,16,1223,17,16,0,1517.579721995094,1684,kenmazaika,0,0,12,false,false
702572,httparty,174,1354010477,,1354010982,8,,1,1,0,2,9,1223,2,13,0,1517.579721995094,1682,pdf,0,0,2,false,false
702551,httparty,169,1349571909,,1357063811,124805,,1,1,4,1,0,1223,1,0,0,1517.579721995094,1676,gregors,0,0,8,false,false
420880,httparty,166,1347922183,1357063285,1357063286,152291,152291,1,2,2,3,0,1223,5,8,9,1517.579721995094,1659,tindron,0,0,1,false,false
420270,httparty,164,1347903274,1357063870,1357063873,152616,152616,1,2,3,2,0,1223,14,7,6,1517.579721995094,3318,allspiritseve,0,0,28,false,false
255021,httparty,159,1345463365,1347028587,1347028587,26087,26087,1,2,5,8,0,1169,19,17,0,1468.7767322497862,3274,htanata,0,0,16,false,false
179193,httparty,158,1344728691,,1347029452,38346,,1,1,3,2,0,1169,4,10,0,1468.7767322497862,1630,mcrowe,0,0,7,false,false
237599,httparty,157,1344626661,1347027232,1347027232,40009,40009,1,2,7,10,0,1169,229,456,0,1468.7767322497862,1630,soupmatt,0,0,6,false,false
236650,httparty,156,1344602559,1347029490,1347029490,40448,40448,1,1,0,2,0,1169,9,25,0,1468.7767322497862,3260,brookemckim,0,0,20,false,false
360719,httparty,153,1343223913,1347029524,1347029524,63426,63426,2,1,0,1,0,1169,0,0,0,1468.7767322497862,1607,thesocialgeek,0,0,0,false,false
193845,httparty,152,1341633940,1347028682,1347028682,89912,89912,3,1,8,1,28,1169,12,0,1,1468.7767322497862,1585,yyyc514,0,0,25,false,false
400075,httparty,151,1340710114,1347029549,1347029549,105323,105323,5,1,0,1,26,1169,0,0,3,1468.7767322497862,1575,pcasaretto,0,0,4,true,false
167872,httparty,148,1340230792,1347029621,1347029621,113313,113313,5,1,3,1,27,1169,4,0,4,1468.7767322497862,1569,dscataglini,0,0,9,false,false
