pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
836388,infinispan,1596,1358945678,1358951129,1358951129,90,90,21,1,0,9,66,119340,93,39,28,690.162560750796,202,danberindei,137,0.1386861313868613,3
837183,infinispan,1593,1358933768,,1358961791,467,,21,0,0,0,66,119319,0,0,0,689.1693695052758,202,anistor,48,0.1875,3
834989,infinispan,1592,1358928624,1358941871,1358941871,220,220,21,9,1,12,66,119319,211,212,29,689.1693695052758,202,andyuk1986,16,0.0,4
824655,infinispan,1590,1358601859,,1358944391,5708,,21,0,0,0,65,119319,0,0,0,689.1693695052758,202,mmarkus,134,0.14925373134328357,10
824500,infinispan,1589,1358594768,1358937455,1358937455,5711,5711,21,1,0,3,65,119319,42,0,0,689.1693695052758,202,anistor,47,0.19148936170212766,3
823284,infinispan,1588,1358540754,1358871237,1358871237,5508,5508,21,1,0,1,65,119319,2,0,0,689.1693695052758,202,an1310,12,0.0,1
818179,infinispan,1587,1358516102,1358535151,1358535151,317,317,21,2,0,17,65,119319,395,101,0,688.6078495461745,202,danberindei,136,0.13970588235294118,3
822102,infinispan,1586,1358515608,1358532329,1358532329,278,278,21,1,0,8,65,119264,88,4,0,688.9254091762812,202,anistor,46,0.1956521739130435,3
818081,infinispan,1585,1358499761,1358530157,1358530157,506,506,22,1,4,7,65,119255,33,224,10,687.8705295375456,202,anistor,45,0.17777777777777778,3
819736,infinispan,1584,1358453551,1358534512,1358534512,1349,1349,22,2,0,8,65,119264,198,0,0,688.9254091762812,202,mmarkus,133,0.15037593984962405,10
816494,infinispan,1582,1358368936,1358513435,1358513435,2408,2408,22,1,6,18,65,119101,306,293,0,685.2671262206027,202,saturnism,3,0.0,0
835592,infinispan,1581,1358343085,,1358938988,9931,,22,0,0,0,64,119319,0,0,0,689.1693695052758,202,anistor,44,0.18181818181818182,3
816469,infinispan,1580,1358341320,1358418839,1358418839,1291,1291,22,1,1,22,64,119068,5,234,0,686.2381160345349,202,tristantarrant,143,0.08391608391608392,9
819818,infinispan,1579,1358331132,1358454775,1358454775,2060,2060,22,1,0,14,64,119066,171,292,0,686.2328456486318,202,galderz,394,0.1598984771573604,18
817194,infinispan,1578,1358262492,1358410733,1358410733,2470,2470,22,1,0,1,64,119066,0,0,0,686.2328456486318,202,tristantarrant,142,0.08450704225352113,9
817332,infinispan,1576,1358256701,1358461063,1358461063,3406,3406,22,1,2,16,64,119066,146,91,0,686.2328456486318,202,galderz,393,0.16030534351145037,18
792449,infinispan,1571,1357832169,1358455830,1358455830,10394,10394,23,2,0,8,64,118993,54,212,0,686.6538367803148,202,galderz,392,0.16071428571428573,18
791567,infinispan,1570,1357819271,1357918416,1357918416,1652,1652,23,2,0,4,64,118959,44,16,0,684.0003698753352,202,galderz,391,0.16112531969309463,18
791293,infinispan,1569,1357809079,1357813958,1357813958,81,81,23,1,0,3,64,118959,0,60,0,684.3954639833893,202,anistor,43,0.18604651162790697,3
789729,infinispan,1568,1357768030,1357837842,1357837842,1163,1163,23,2,0,7,64,118959,72,0,13,684.3954639833893,202,an1310,11,0.0,1
787474,infinispan,1566,1357733738,1357917848,1357917848,3068,3068,23,2,0,10,64,118959,92,0,0,684.3954639833893,202,galderz,389,0.16195372750642673,18
783796,infinispan,1563,1357662364,1357667450,1357667450,84,84,23,1,0,1,64,118846,0,0,0,684.9283947293136,202,galderz,388,0.16237113402061856,18
783599,infinispan,1562,1357659778,1357664485,1357664485,78,78,23,1,0,1,64,118846,0,3,0,684.9283947293136,202,galderz,387,0.16279069767441862,18
782831,infinispan,1561,1357648301,1357662837,1357662837,242,242,23,1,0,1,64,118846,0,8,2,684.9620517308113,202,galderz,386,0.16321243523316062,18
782733,infinispan,1560,1357646265,1357646736,1357646736,7,7,23,1,0,1,64,118846,0,5,0,684.9620517308113,202,anistor,42,0.19047619047619047,3
782176,infinispan,1559,1357636241,1357660412,1357660412,402,402,23,1,0,1,64,118777,0,5,0,684.2907296867239,202,tristantarrant,140,0.08571428571428572,9
782423,infinispan,1558,1357591463,1357640122,1357640122,810,810,23,1,0,3,64,118777,32,0,0,684.2907296867239,202,an1310,10,0.0,1
781028,infinispan,1555,1357297520,1357666334,1357666334,6146,6146,23,17,11,48,64,118768,2545,234,0,684.4604607301629,202,anistor,41,0.1951219512195122,3
781019,infinispan,1554,1357295851,1357639166,1357639166,5721,5721,23,1,1,5,64,118768,39,97,0,682.9617405361713,202,tristantarrant,139,0.08633093525179857,9
777510,infinispan,1550,1357207703,1357641447,1357641447,7229,7229,23,2,0,7,63,118753,292,201,0,683.1153739273955,202,tristantarrant,138,0.08695652173913043,9
