pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2617056,integrity/integrity,ruby,260,1386776813,1386777457,1386777457,10,10,github,false,false,1,7,0,0,0,0,3,0,8,11,4,1,3,84,2105,53,52,1,1423.75296912114,10.926365795724466,225.65320665083135,627,p,41,0.6829268292682927,22,false,true
2561087,integrity/integrity,ruby,259,1386663998,1386777457,1386777457,1890,1890,commits_in_master,false,false,1,5,8,4,12,2,3,0,6,9,4,1,2,78,2105,53,52,0,1423.75296912114,10.926365795724466,225.65320665083135,627,jalada,0,0,21,false,false
2496640,integrity/integrity,ruby,258,1385063685,1385394027,1385394027,5505,5505,commits_in_master,false,false,1,2,0,0,0,0,0,0,2,2,1,1,0,47,2097,22,0,10,1429.1845493562232,10.968049594659036,226.51406771578445,627,p,40,0.7,22,false,true
2496600,integrity/integrity,ruby,257,1385063459,1385063468,1385063468,0,0,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,47,2097,0,0,3,1429.1845493562232,10.968049594659036,226.51406771578445,627,p,39,0.717948717948718,22,false,true
2404274,integrity/integrity,ruby,255,1383820420,1385062402,1385062402,20699,20699,commits_in_master,false,false,1,10,3,2,5,2,0,0,3,3,2,1,0,42,2085,39,46,0,1419.664268585132,11.031175059952039,226.37889688249402,627,seawolf,0,0,2,false,false
2132575,integrity/integrity,ruby,254,1379717675,1379717688,1379717688,0,0,github,false,false,1,2,0,0,0,0,0,0,1,1,0,0,1,26,2085,0,0,22,1419.664268585132,11.031175059952039,226.37889688249402,627,p,38,0.7105263157894737,22,false,true
1994163,integrity/integrity,ruby,252,1377626001,1377626290,1377626290,4,4,commits_in_master,false,false,1,3,0,0,0,2,0,0,1,1,0,0,1,25,2085,0,0,24,1419.664268585132,11.031175059952039,226.37889688249402,627,p,37,0.7297297297297297,20,false,true
1992753,integrity/integrity,ruby,251,1377610634,1377620871,1377620871,170,170,commits_in_master,false,false,1,2,0,0,0,0,0,0,1,1,1,0,0,19,2085,0,7,0,1419.1846522781775,11.031175059952039,226.37889688249402,627,p,36,0.75,20,false,true
1992702,integrity/integrity,ruby,250,1377610149,1377610160,1377610161,0,0,github,false,false,1,1,0,0,0,0,0,0,1,1,0,0,1,15,2085,0,0,0,1419.1846522781775,11.031175059952039,226.37889688249402,627,p,35,0.7428571428571429,20,false,true
1677462,integrity/integrity,ruby,249,1372725852,1372725879,1372725879,0,0,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,55,2085,2,0,4,1419.1846522781775,11.031175059952039,226.37889688249402,625,p,34,0.7352941176470589,20,false,true
