pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2728880,intridea/grape,ruby,546,1388582517,1388582996,1388582996,7,7,commits_in_master,false,false,11,1,0,0,0,0,0,0,1,1,1,0,0,36,2342,0,4,10,2361.6567036720753,213.91972672929123,366.3535439795047,4012,xevix,1,0.0,8,false,false
2722400,intridea/grape,ruby,544,1388427525,1388581743,1388581743,2570,2570,commit_sha_in_comments,false,true,9,4,0,5,5,3,0,0,6,6,4,2,0,35,2343,55,76,0,2338.0281690140846,212.54801536491678,363.6363636363636,4012,xevix,0,0,8,false,false
2699577,intridea/grape,ruby,540,1388008301,1388327065,1388327065,5312,5312,commit_sha_in_comments,false,false,10,2,0,2,2,2,0,0,2,2,0,2,0,35,2343,0,0,0,2338.0281690140846,212.54801536491678,363.6363636363636,4012,salimane,1,0.0,23,false,false
2671906,intridea/grape,ruby,539,1387464307,1387548832,1387548832,1408,1408,commits_in_master,false,false,10,2,0,2,2,2,0,0,1,1,0,1,0,36,2343,0,0,22,2338.0281690140846,212.54801536491678,363.6363636363636,4012,jrhe,0,0,1,false,false
2657429,intridea/grape,ruby,538,1387310498,1387314483,1387314483,66,66,commits_in_master,false,false,10,3,0,1,1,2,0,0,3,3,2,1,0,35,2341,12,16,29,2334.472447671935,212.30243485689877,363.0926954293037,4012,dm1try,2,0.5,0,false,false
2653817,intridea/grape,ruby,537,1387276798,,1387314483,628,,unknown,false,false,10,1,0,3,3,2,0,0,1,1,1,0,0,35,2341,0,16,0,2334.472447671935,212.30243485689877,363.0926954293037,4012,dsager,0,0,3,false,false
2652672,intridea/grape,ruby,536,1387262548,1387297687,1387297687,585,585,commits_in_master,false,false,10,1,0,1,1,2,0,0,1,1,0,1,0,34,2341,0,0,21,2334.472447671935,212.30243485689877,363.0926954293037,4012,styx,1,0.0,17,false,false
2607903,intridea/grape,ruby,532,1386675737,1386696494,1386696494,345,345,github,false,false,9,1,0,1,1,1,0,0,1,1,0,1,0,33,2330,0,0,23,2330.4721030042915,212.01716738197425,362.6609442060086,4011,tricknotes,0,0,92,false,false
2604442,intridea/grape,ruby,531,1386627164,1386849955,1386849955,3713,3713,commit_sha_in_comments,false,false,9,12,0,3,3,2,0,0,3,3,2,0,1,32,2330,64,130,0,2330.4721030042915,212.01716738197425,362.6609442060086,4011,joelvh,0,0,20,false,false
2583051,intridea/grape,ruby,527,1386281287,1386520667,1386520667,3989,3989,github,false,false,9,1,0,1,1,1,0,0,5,5,3,2,0,33,2324,10,30,66,2312.8227194492256,211.7039586919105,359.72461273666096,4011,myitcv,6,0.5,4,false,false
2573069,intridea/grape,ruby,526,1386167031,1386167223,1386167223,3,3,github,false,false,9,1,0,0,0,0,0,0,4,4,2,2,0,31,2323,4,10,53,2288.850624192854,210.50365906155832,353.852776582006,4011,dblock,30,0.8,131,false,true
2572935,intridea/grape,ruby,525,1386165958,1386166033,1386166033,1,1,github,false,false,9,2,0,0,0,0,0,0,8,8,6,2,0,31,2322,11,29,103,2285.960378983635,210.16365202411714,353.57450473729546,4010,dblock,29,0.7931034482758621,131,false,true
2542944,intridea/grape,ruby,523,1386142630,1386248666,1386248666,1767,1767,commit_sha_in_comments,false,false,9,1,4,6,10,2,0,0,3,3,2,1,0,29,2322,2,58,0,2285.960378983635,210.16365202411714,353.57450473729546,4009,myitcv,5,0.6,4,false,false
2542943,intridea/grape,ruby,522,1386071288,,1387262759,19857,,unknown,false,true,8,1,1,9,10,4,0,0,2,2,2,0,0,30,2322,2,24,0,2285.960378983635,210.16365202411714,353.57450473729546,4002,styx,0,0,17,false,false
2542945,intridea/grape,ruby,520,1385997171,1386166114,1386166114,2815,2815,commit_sha_in_comments,false,false,7,2,0,3,3,2,0,0,4,4,2,2,0,32,2322,7,9,0,2285.960378983635,210.16365202411714,353.57450473729546,3995,salimane,0,0,23,false,false
2524943,intridea/grape,ruby,516,1385489943,,1386093348,10056,,unknown,false,true,7,1,0,5,5,2,0,0,1,1,1,0,0,33,2322,0,23,0,2285.960378983635,210.16365202411714,353.57450473729546,3985,myitcv,4,0.75,4,false,false
2524361,intridea/grape,ruby,515,1385484472,1385493494,1385493495,150,150,github,false,false,7,1,0,1,1,1,0,0,1,1,0,1,0,33,2322,0,0,17,2285.960378983635,210.16365202411714,353.57450473729546,3985,wdholmes,0,0,14,false,false
2496130,intridea/grape,ruby,512,1385059302,1385307266,1385307267,4132,4132,github,false,false,7,2,0,1,1,1,0,0,11,11,9,2,0,36,2304,114,22,46,2274.7395833333335,210.9375,355.90277777777777,3983,dblock,28,0.7857142857142857,131,false,true
2495136,intridea/grape,ruby,511,1385050375,1385059717,1385059717,155,155,commit_sha_in_comments,false,false,7,3,0,5,5,2,0,0,3,3,2,1,0,35,2304,10,54,0,2274.7395833333335,210.9375,355.90277777777777,3983,bcm,1,0.0,4,false,false
2479167,intridea/grape,ruby,510,1384872515,1384950389,1384950389,1297,1297,github,false,false,7,3,1,8,9,2,0,0,5,5,2,3,0,38,2304,6,60,35,2267.3611111111113,210.5034722222222,354.1666666666667,3983,myitcv,3,0.6666666666666666,4,false,false
2443378,intridea/grape,ruby,509,1384359318,,1385225332,14433,,unknown,false,false,7,2,0,7,7,3,0,0,2,2,2,0,0,38,2304,66,60,0,2267.3611111111113,210.5034722222222,354.1666666666667,3983,dm1try,1,1.0,0,false,false
2431370,intridea/grape,ruby,508,1384218531,1384263149,1384263150,743,743,github,false,false,7,3,2,4,6,2,0,0,3,3,2,1,0,40,2302,12,63,19,2262.380538662033,209.81754995655953,353.6055603822763,3982,dm1try,0,0,0,false,false
2405962,intridea/grape,ruby,506,1383836932,1383844158,1383844159,120,120,github,false,false,7,1,0,1,1,1,0,0,2,2,1,1,0,40,2302,0,38,17,2247.6107732406604,208.94874022589053,351.86794092093834,3980,myitcv,2,0.5,4,false,false
2403586,intridea/grape,ruby,504,1383811650,1383822018,1383822018,172,172,github,false,false,7,1,0,1,1,1,0,0,1,1,0,1,0,38,2302,0,0,1,2247.6107732406604,208.94874022589053,351.86794092093834,3980,karlfreeman,1,1.0,15,false,false
2397950,intridea/grape,ruby,503,1383745804,1386417647,1386417647,44530,44530,commit_sha_in_comments,false,false,6,7,1,9,10,2,0,0,4,4,2,2,0,41,2300,2,57,0,2245.6521739130435,208.69565217391303,351.7391304347826,3980,myitcv,1,1.0,4,false,false
2394831,intridea/grape,ruby,500,1383700809,1383765375,1383765375,1076,1076,commit_sha_in_comments,false,false,6,3,0,2,2,1,0,0,3,3,2,1,0,40,2300,14,12,0,2245.6521739130435,208.69565217391303,351.7391304347826,3980,yaneq,0,0,6,false,false
2383651,intridea/grape,ruby,498,1383580522,1383669198,1383669199,1477,1477,github,true,false,7,5,0,7,7,2,0,0,3,3,2,1,0,44,2300,208,32,25,2243.913043478261,208.69565217391303,350.8695652173913,3980,karlfreeman,0,0,15,false,false
2369267,intridea/grape,ruby,497,1383316595,1383420920,1383420920,1738,1738,github,false,false,7,3,0,1,1,1,0,0,3,3,1,1,1,44,2300,0,25,22,2234.3478260869565,208.26086956521738,349.5652173913044,3980,myitcv,0,0,4,false,false
2344612,intridea/grape,ruby,496,1383011563,1383049148,1383049148,626,626,github,false,false,7,1,0,0,0,1,0,0,1,1,0,1,0,42,2300,0,0,15,2234.3478260869565,208.26086956521738,349.5652173913044,3979,subosito,0,0,20,false,false
2331625,intridea/grape,ruby,495,1382794185,1382990213,1382990213,3207,3207,commit_sha_in_comments,false,false,6,3,0,1,1,1,0,0,3,3,2,1,0,42,2294,20,114,0,2218.3958151700085,207.0619006102877,344.37663469921534,3978,asross,1,1.0,0,false,false
2318559,intridea/grape,ruby,492,1382602258,1382624777,1382624778,375,375,github,false,false,6,4,0,7,7,2,0,0,3,3,2,1,0,42,2293,12,24,22,2217.182730047972,206.71609245529874,343.6546009594418,3977,Antti,0,0,13,false,false
2278926,intridea/grape,ruby,489,1382008536,1382012986,1382012987,74,74,github,false,false,6,1,0,0,0,0,0,0,1,1,0,1,0,56,2265,0,0,17,2221.633554083885,209.27152317880797,347.46136865342163,3977,lokeshkumar,0,0,0,false,false
2232521,intridea/grape,ruby,486,1381314652,,1381459209,2409,,unknown,true,false,6,1,0,3,3,2,0,0,1,1,1,0,0,56,2265,2,0,0,2221.633554083885,209.27152317880797,347.46136865342163,3976,dismory,0,0,24,false,false
2159248,intridea/grape,ruby,477,1380189409,1380193229,1380193229,63,63,commit_sha_in_comments,false,false,3,1,0,1,1,1,0,0,2,2,2,0,0,60,2226,9,13,0,2231.8059299191373,210.24258760107816,349.05660377358487,3975,vad4msiu,0,0,7,false,false
2153361,intridea/grape,ruby,476,1380113129,1380113455,1380113455,5,5,github,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,62,2222,0,0,16,2224.122412241224,209.7209720972097,348.3348334833483,3975,markiz,0,0,4,false,false
2134307,intridea/grape,ruby,475,1379772968,1380117489,1380117489,5742,5742,commit_sha_in_comments,false,false,2,3,0,5,5,2,0,0,7,7,6,1,0,62,2222,4,30,0,2224.122412241224,209.7209720972097,348.3348334833483,3973,bcm,0,0,4,false,false
2110110,intridea/grape,ruby,474,1379347185,1379348371,1379348371,19,19,github,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,60,2222,0,0,16,2224.122412241224,209.7209720972097,348.3348334833483,3973,MichaelXavier,0,0,16,false,false
2159538,intridea/grape,ruby,473,1379266998,1380192686,1380192686,15428,15428,commit_sha_in_comments,false,false,3,5,0,4,4,2,3,0,8,11,5,3,0,63,2222,48,86,0,2224.122412241224,209.7209720972097,348.3348334833483,3972,vickychijwani,0,0,23,false,false
2090276,intridea/grape,ruby,469,1378883738,1378912390,1378912391,477,477,github,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,59,2222,0,0,17,2224.122412241224,209.7209720972097,348.3348334833483,3971,xcambar,0,0,27,false,false
2032873,intridea/grape,ruby,466,1378190044,1378315688,1378315689,2094,2094,github,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,65,2176,7,0,0,2190.2573529411766,199.90808823529412,341.4522058823529,3971,aw,0,0,106,false,false
2032675,intridea/grape,ruby,465,1378185037,1378315607,1378315609,2176,2176,github,false,false,3,1,0,1,1,1,2,0,2,4,4,0,0,65,2176,95,219,17,2190.2573529411766,199.90808823529412,341.4522058823529,3971,karayusuf,2,1.0,3,false,false
1956664,intridea/grape,ruby,462,1376991549,1377009926,1377009926,306,306,github,false,false,3,4,0,4,4,3,1,1,15,17,12,4,0,70,2147,104,55,91,2219.841639496972,202.60829063809967,346.0642757335817,3970,stevschmid,1,1.0,3,false,false
1955301,intridea/grape,ruby,461,1376968144,1377010195,1377010196,700,700,github,false,false,3,2,3,2,5,3,0,0,1,1,1,0,0,70,2147,72,0,9,2219.841639496972,202.60829063809967,346.0642757335817,3970,karayusuf,1,1.0,3,false,false
