pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2736292,jaliss/securesocial,scala,335,1388702549,1389192085,1389192085,8158,8158,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,4,2576,0,0,1,0.0,0.0,0.0,677,fayimora,1,0.0,36,false,false
2358417,jaliss/securesocial,scala,309,1383172739,,1383173647,15,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,40,2576,2,0,0,0.0,0.0,0.0,676,abrauner,0,0,0,false,false
2334751,jaliss/securesocial,scala,306,1382874827,1382986357,1382986357,1858,1858,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,0,1,0,77,2491,0,0,0,0.0,0.0,0.0,676,OlivierBlanvillain,0,0,0,false,false
2292235,jaliss/securesocial,scala,302,1382215853,,1383152388,15548,,unknown,false,false,1,3,0,1,1,2,0,0,1,1,1,0,0,77,2491,38,0,0,0.0,0.0,0.0,675,danielkza,1,0.0,1,false,false
2225352,jaliss/securesocial,scala,293,1381216304,,1381216652,5,,unknown,false,false,1,1,0,12,12,4,0,0,1,1,1,0,0,83,2519,15,0,0,0.0,0.0,0.0,674,joost-de-vries,1,0.0,0,false,false
2216963,jaliss/securesocial,scala,290,1381076982,,1381610193,8886,,unknown,false,false,1,1,0,2,2,3,0,0,1,1,1,0,0,83,2519,15,0,0,0.0,0.0,0.0,674,n0tel,1,0.0,0,false,false
2216777,jaliss/securesocial,scala,288,1381072031,,1381958131,14768,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,83,2519,10,0,0,0.0,0.0,0.0,674,n0tel,0,0,0,false,false
2137100,jaliss/securesocial,scala,285,1379852010,1383137215,1383137215,54693,54693,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,84,2519,0,0,0,0.0,0.0,0.0,674,dhruvbhatia,0,0,0,false,false
2118688,jaliss/securesocial,scala,283,1379537809,,1381941633,40063,,unknown,true,false,1,8,0,23,23,13,2,2,14,18,12,0,3,83,2519,176,0,0,0.0,0.0,0.0,674,danielkza,0,0,0,false,false
2112098,jaliss/securesocial,scala,282,1379445942,,1383156287,61779,,unknown,false,false,1,1,0,1,1,2,0,0,3,3,1,0,2,83,2519,10,0,0,0.0,0.0,0.0,674,mkubala,1,0.0,1,false,false
2108916,jaliss/securesocial,scala,281,1379146305,1381941682,1381941682,46589,46589,commit_sha_in_comments,false,false,1,1,0,5,5,3,0,0,10,10,7,0,3,83,2519,51,0,0,0.0,0.0,0.0,673,andyoll,0,0,1,false,false
2017356,jaliss/securesocial,scala,273,1378057980,1383003804,1383003804,82370,82370,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,84,2519,2,0,1,0.0,0.0,0.0,673,ndeverge,1,0.0,4,false,false
1997587,jaliss/securesocial,scala,271,1377684639,1383136767,1383136767,90808,90808,commits_in_master,false,false,1,7,0,1,1,2,1,0,3,4,1,0,3,83,2519,4,0,0,0.0,0.0,0.0,673,gerbrand,0,0,1,false,false
1934408,jaliss/securesocial,scala,261,1376542653,1383162020,1383162020,110262,110262,commits_in_master,false,false,1,3,0,0,0,0,0,0,1,1,0,1,0,80,2519,0,0,0,0.0,0.0,0.0,671,yankov,0,0,12,false,false
1918913,jaliss/securesocial,scala,259,1376166067,,1378583638,40292,,unknown,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,70,2519,24,0,0,0.0,0.0,0.0,671,mkubala,0,0,1,false,false
1856595,jaliss/securesocial,scala,256,1375059335,1383157017,1383157017,134901,134901,commits_in_master,false,false,2,1,0,0,0,0,0,0,2,2,0,0,2,33,2509,0,0,0,0.0,0.0,0.0,669,alanrodas,0,0,3,false,false
1805076,jaliss/securesocial,scala,249,1374473086,,1375979900,25113,,unknown,false,false,2,2,0,1,1,2,0,0,3,3,3,0,0,33,2509,6,0,0,0.0,0.0,0.0,669,imikushin,0,0,3,false,false
1803051,jaliss/securesocial,scala,248,1374430916,,1381957523,125443,,unknown,false,false,2,1,1,1,2,2,0,0,1,1,1,0,0,33,2509,15,0,0,0.0,0.0,0.0,669,tmbo,1,0.0,2,false,false
1766515,jaliss/securesocial,scala,247,1373671669,1382985916,1382985916,155177,155177,commits_in_master,false,false,2,1,0,1,1,2,1,0,1,2,1,1,0,28,2509,87,0,0,0.0,0.0,0.0,668,gmethvin,0,0,1,false,false
1679093,jaliss/securesocial,scala,241,1372759527,,1376062972,55057,,unknown,false,false,2,1,0,1,1,2,0,0,47,47,38,5,4,23,2509,355,0,0,0.0,0.0,0.0,668,mslinn,1,0.0,16,false,false
1701213,jaliss/securesocial,scala,237,1372339054,1383157658,1383157658,180250,180250,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,28,2509,7,0,0,0.0,0.0,0.0,666,targeter,0,0,6,false,false
1574678,jaliss/securesocial,scala,227,1370856511,1382996250,1382996250,202268,202268,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,44,2509,0,0,0,0.0,0.0,0.0,663,chrisbeach,0,0,0,false,false
1451407,jaliss/securesocial,scala,213,1368028332,,1368028401,1,,unknown,false,false,2,1,0,0,0,1,1,0,1,2,1,0,1,32,2495,98,0,0,0.0,0.0,0.0,661,wsargent,4,0.25,29,false,false
1451399,jaliss/securesocial,scala,212,1368028199,1368032258,1368032258,67,67,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,32,2495,2,0,0,0.0,0.0,0.0,661,wsargent,3,0.0,29,false,false
1449018,jaliss/securesocial,scala,211,1367997087,,1381209749,220211,,unknown,false,false,2,1,0,2,2,2,0,0,1,1,1,0,0,33,2493,4,0,0,0.0,0.0,0.0,661,joost-de-vries,0,0,0,false,false
1450818,jaliss/securesocial,scala,204,1366750169,1368021200,1368021200,21183,21183,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,32,2493,2,0,4,0.0,0.0,0.0,660,thesmith,0,0,41,false,false
1313959,jaliss/securesocial,scala,192,1364622259,,1368028657,56833,,unknown,false,false,2,2,0,0,0,0,1,0,2,3,2,0,1,30,2493,100,0,0,0.0,0.0,0.0,654,wsargent,1,0.0,25,false,false
1313809,jaliss/securesocial,scala,191,1364615620,,1368028453,56940,,unknown,false,false,2,2,0,3,3,2,1,0,2,3,2,0,1,30,2493,100,0,0,0.0,0.0,0.0,654,wsargent,0,0,25,false,false
1290466,jaliss/securesocial,scala,189,1363967172,1368039876,1368039876,67938,67938,github,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,29,2493,3,0,2,0.0,0.0,0.0,653,fedefrappi,0,0,14,false,false
1262116,jaliss/securesocial,scala,186,1363353973,1368042517,1368042517,78202,78202,github,false,false,2,1,0,1,1,3,0,0,3,3,3,0,0,28,2493,29,0,26,0.0,0.0,0.0,653,magro,10,0.7,31,false,false
1450894,jaliss/securesocial,scala,185,1363219406,1368022101,1368022101,80104,80104,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,26,2493,18,0,2,0.0,0.0,0.0,653,chazmcgarvey,7,0.8571428571428571,3,false,false
1246802,jaliss/securesocial,scala,183,1363082376,,1363083719,22,,unknown,false,false,2,4,0,2,2,3,1,0,5,6,5,0,1,25,2493,108,0,0,0.0,0.0,0.0,653,adaptorel,0,0,0,false,false
1242137,jaliss/securesocial,scala,182,1362997648,1368023666,1368023666,83826,83826,github,false,false,2,1,0,4,4,2,0,0,1,1,1,0,0,25,2493,2,0,3,0.0,0.0,0.0,653,magro,9,0.6666666666666666,31,false,false
1247486,jaliss/securesocial,scala,177,1362519088,1368022886,1368022886,91789,91789,github,false,false,2,2,0,6,6,3,0,0,4,4,3,1,0,24,2493,22,0,64,0.0,0.0,0.0,652,magro,8,0.625,31,false,false
