pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
815086,java-cas-client,35,1357962113,1358302014,1358302014,5665,5665,1,5,2,202,71,4484,2256,367,24,293.2649420160571,34,battags,13,0.46153846153846156,9
781267,java-cas-client,34,1357613686,,1357647520,563,,1,1,3,2,71,4423,14,0,0,297.0834275378702,34,battags,12,0.5,8
815084,java-cas-client,33,1357531049,1357531083,1357531083,0,0,1,1,1,1,93,4399,8,0,1,296.8856558308707,34,battags,11,0.45454545454545453,8
782780,java-cas-client,32,1357530118,,1357647430,1955,,1,3,3,10,92,4399,162,27,7,296.8856558308707,34,battags,10,0.5,8
778743,java-cas-client,31,1357516320,,1357613439,1618,,1,1,3,2,92,4399,13,0,0,296.8856558308707,34,battags,9,0.5555555555555556,8
778737,java-cas-client,30,1357515703,,1357560126,740,,1,1,2,1,91,4399,15,0,0,296.8856558308707,34,battags,8,0.625,8
779391,java-cas-client,29,1357512406,,1357560112,795,,1,1,3,2,90,4399,17,0,0,296.8856558308707,34,battags,7,0.7142857142857143,8
815085,java-cas-client,27,1357510578,1357531328,1357531328,345,345,1,1,1,2,88,4399,5,24,0,296.8856558308707,34,battags,5,0.8,8
648224,java-cas-client,24,1355195423,,1356814442,26983,,2,1,12,1,50,4392,23,0,0,297.3588342440802,34,mmoayyed,2,0.5,6
468258,java-cas-client,23,1352142981,1352673480,1352673480,8841,8841,2,2,0,4,66,4320,152,0,0,302.31481481481484,34,dodok1,1,0.0,0
704014,java-cas-client,22,1351600686,,1351633957,554,,2,1,1,3,87,4320,149,0,0,302.31481481481484,34,dodok1,0,0,0
704015,java-cas-client,20,1349312169,1349519879,1349519879,3461,3461,3,1,1,1,84,4320,0,0,0,302.31481481481484,34,ecki,2,0.5,5
704016,java-cas-client,18,1348186902,1348228278,1348228278,689,689,2,1,0,2,100,4314,7,0,0,302.73528048215115,34,battags,4,0.75,8
11934,java-cas-client,14,1344377724,,1357688688,221789,,2,1,7,2,68,4314,91,0,0,302.73528048215115,32,ZerothAngel,1,1.0,2
227499,java-cas-client,13,1343242997,1343865549,1343865549,10375,10375,2,2,0,5,66,4298,190,72,0,295.02093997208,32,serac,0,0,9
225896,java-cas-client,12,1343178187,1343226887,1343226888,811,811,1,1,3,3,83,4289,25,0,2,295.6400093261833,32,battags,3,0.6666666666666666,8
225869,java-cas-client,11,1343176811,1343176831,1343176831,0,0,1,1,0,1,83,4289,2,0,0,295.6400093261833,32,battags,2,0.5,8
223646,java-cas-client,10,1343089431,,1343175694,1437,,1,2,7,3,75,4268,121,0,0,289.83130271790066,30,battags,1,1.0,8
223630,java-cas-client,9,1343088637,1343175334,1343175334,1444,1444,1,2,2,4,75,4268,170,45,0,289.83130271790066,30,battags,0,0,8
6881,java-cas-client,8,1341949980,1342019673,1342019673,1161,1161,2,2,1,2,100,4264,10,0,0,290.1031894934334,28,mmoayyed,1,0.0,6
89368,java-cas-client,5,1334342603,1334528943,1334528943,3105,3105,3,1,0,1,87,4255,4,0,0,290.716803760282,22,Gleeble,0,0,0
76244,java-cas-client,4,1333354507,1333496127,1333496127,2360,2360,3,2,2,2,60,4209,91,0,1,293.89403658826325,20,yzhengyu,1,0.0,0
379490,java-cas-client,3,1332397944,,1333004930,10176,,3,2,0,2,50,4209,24,0,0,293.89403658826325,14,yzhengyu,0,0,0
99267,java-cas-client,2,1331701551,1335132442,1335132443,57241,57241,3,4,1,5,20,4209,175,2,0,293.89403658826325,13,lavrovdv,0,0,1
704023,java-cas-client,1,1331172699,1331176219,1331176219,58,58,2,0,0,0,0,4211,0,0,0,293.75445262407976,13,ZerothAngel,0,0,1
