pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines
454663,jekyll,535,1333502805,,1356553279,384114,,1,2,0,0,0,4,0,0,2172,36,0,567.219152854512,66.75874769797421,114.1804788213628
755349,jekyll,689,1355678014,,1356037950,5998,,1,7,0,0,0,7,0,0,2227,315,0,573.4171531207903,68.25325550067356,114.95285136955545
256435,jekyll,628,1345515521,,1346375979,14340,,1,1,0,0,0,0,0,0,2198,0,0,565.5141037306643,66.87898089171975,114.19472247497725
262667,jekyll,629,1345709424,,1345709570,2,,1,1,0,0,0,5,0,0,2198,58,0,565.5141037306643,66.87898089171975,114.19472247497725
455545,jekyll,610,1343536570,,1343650205,1893,,1,2,0,2,2,0,0,0,2198,0,0,565.5141037306643,66.87898089171975,114.19472247497725
141770,jekyll,565,1338419155,,1340204765,29760,,1,2,0,2,2,5,0,0,2187,174,0,568.3584819387288,67.21536351165982,114.76909007773205
155522,jekyll,574,1339450895,1339451625,1339451625,12,12,1,1,0,0,0,1,22,1,2198,4,2,565.5141037306643,66.87898089171975,114.19472247497725
142810,jekyll,569,1338486876,1339449580,1339449580,16045,16045,1,2,0,1,1,4,22,1,2187,18,4,568.3584819387288,67.21536351165982,114.76909007773205
397101,jekyll,387,1313758784,,1339447980,428153,,1,1,0,1,1,0,0,0,1817,0,0,589.9834892680242,70.44578976334617,120.5283434232251
142752,jekyll,568,1338483345,1339447978,1339447978,16077,16077,1,1,0,1,1,1,22,1,2187,8,1,568.3584819387288,67.21536351165982,114.76909007773205
141793,jekyll,566,1338421417,1339447791,1339447791,17106,17106,1,1,0,1,1,4,22,1,2187,31,4,568.3584819387288,67.21536351165982,114.76909007773205
394479,jekyll,564,1338239760,,1338339248,1658,,2,3,0,0,0,0,0,0,2187,0,0,568.3584819387288,67.21536351165982,114.76909007773205
129579,jekyll,556,1337483359,,1338247355,12733,,2,2,0,3,3,0,0,0,2187,0,0,568.3584819387288,67.21536351165982,114.76909007773205
116610,jekyll,551,1336487995,,1336492615,77,,2,5,0,2,2,8,0,0,2187,249,0,568.3584819387288,67.21536351165982,114.76909007773205
302566,jekyll,342,1307294199,1335219820,1335219820,465427,465427,2,4,0,2,2,6,9,0,1794,78,0,597.5473801560757,71.3489409141583,122.07357859531773
302525,jekyll,333,1305479347,,1335215789,495607,,2,11,0,7,7,0,0,0,1815,0,0,590.633608815427,70.52341597796142,120.6611570247934
100400,jekyll,482,1327347991,,1335213720,131155,,2,1,0,0,0,0,0,0,2170,0,0,557.6036866359448,64.51612903225806,111.9815668202765
83159,jekyll,506,1328796006,,1333925241,85547,,2,1,0,2,2,0,0,0,2172,0,0,567.219152854512,66.75874769797421,114.1804788213628
455546,jekyll,495,1328048587,,1328096442,797,,4,2,0,1,1,0,0,0,2172,0,0,567.219152854512,66.75874769797421,114.1804788213628
455547,jekyll,494,1328043766,,1328050107,105,,4,1,0,2,2,0,0,0,2172,0,0,567.219152854512,66.75874769797421,114.1804788213628
269041,jekyll,415,1318739593,,1327866889,152061,,4,1,0,1,1,0,0,0,1815,0,0,590.633608815427,70.52341597796142,120.6611570247934
20756,jekyll,484,1327414526,,1327866738,7536,,4,2,0,4,4,0,0,0,2170,0,0,557.6036866359448,64.51612903225806,111.9815668202765
20754,jekyll,438,1321928646,1327866625,1327866625,98966,98966,4,3,0,5,5,5,49,26,1815,54,4,590.633608815427,70.52341597796142,120.6611570247934
20172,jekyll,486,1327497551,,1327784660,4785,,4,1,0,2,2,0,0,0,2170,0,0,557.6036866359448,64.51612903225806,111.9815668202765
