pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2604995,jezdez/django_compressor,python,457,1386634098,,1386634149,0,,unknown,false,false,0,3,0,0,0,0,0,0,3,3,3,0,0,100,2131,25,0,0,381.51102768653215,24.870952604411077,35.19474425152511,1147,paubins,0,0,4,false,false
2216980,jezdez/django_compressor,python,444,1381077236,,1381222586,2422,,unknown,false,false,0,2,0,0,0,0,1,0,2,3,2,0,0,100,2131,405,0,0,381.51102768653215,24.870952604411077,35.19474425152511,1144,Mystic-Mirage,0,0,0,false,false
2085075,jezdez/django_compressor,python,439,1378814243,1378817830,1378817830,59,59,github,false,false,0,1,0,0,0,0,0,0,1,1,0,0,1,100,2131,0,0,0,381.51102768653215,24.870952604411077,35.19474425152511,1143,RonnyPfannschmidt,0,0,40,false,false
1980672,jezdez/django_compressor,python,436,1377362490,,1377363566,17,,unknown,true,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,2131,35,0,0,381.51102768653215,24.870952604411077,35.19474425152511,1143,sjiitr,0,0,7,false,false
1521154,jezdez/django_compressor,python,406,1369605052,1369636811,1369636811,529,529,github,false,false,2,2,0,0,0,0,0,0,4,4,2,0,1,70,2068,72,197,1,376.20889748549325,23.694390715667314,33.36557059961316,1136,ambv,0,0,23,false,false
1472577,jezdez/django_compressor,python,402,1368471493,1369636848,1369636848,19422,19422,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,68,2068,24,0,0,376.20889748549325,23.694390715667314,33.36557059961316,1135,bgilbert,1,1.0,4,false,false
1413670,jezdez/django_compressor,python,396,1366896797,1367321066,1367321066,7071,7071,merged_in_comments,false,false,2,2,0,0,0,2,0,0,5,5,3,0,2,69,2068,75,138,0,376.20889748549325,23.694390715667314,33.36557059961316,1132,KevinBrolly,0,0,1,false,false
1376885,jezdez/django_compressor,python,392,1366121817,1369638178,1369638178,58606,58606,github,false,false,2,27,0,2,2,6,2,1,34,37,31,1,3,67,2068,646,379,27,376.20889748549325,23.694390715667314,33.36557059961316,1132,kudlatyamroth,0,0,0,false,false
1371545,jezdez/django_compressor,python,390,1366017610,,1366110283,1544,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,55,2068,5,0,0,376.20889748549325,23.694390715667314,33.36557059961316,1132,fivethreeo,0,0,25,false,false
1353885,jezdez/django_compressor,python,387,1365583521,1369659435,1369659435,67931,67931,github,false,false,2,1,0,0,0,0,0,0,2,2,0,0,1,54,2068,0,0,0,376.20889748549325,23.694390715667314,33.36557059961316,1132,codeinthehole,0,0,97,false,false
1340061,jezdez/django_compressor,python,382,1364990300,1365234036,1365234036,4062,4062,github,false,false,2,1,0,0,0,0,0,0,1,1,0,0,1,51,2068,0,0,0,376.20889748549325,23.694390715667314,33.36557059961316,1130,alecxe,0,0,1,false,false
1273688,jezdez/django_compressor,python,376,1363647768,,1369659410,100254,,unknown,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,31,2067,5,0,0,376.3909046927915,23.705853894533142,33.38171262699564,1126,sodas2002,0,0,6,false,false
1272024,jezdez/django_compressor,python,375,1363623277,1363632971,1363632971,161,161,github,false,false,2,2,0,1,1,2,1,0,2,3,2,1,0,41,2068,2,20,0,368.95551257253385,23.21083172147002,32.88201160541586,1126,diox,10,0.8,60,false,true
1229883,jezdez/django_compressor,python,372,1362690900,,1363011496,5343,,unknown,false,false,0,9,0,0,0,0,2,0,9,11,9,0,0,100,2093,330,15,0,364.5484949832776,22.933588150979457,32.48924988055423,1124,bjinwright,0,0,6,false,false
1229359,jezdez/django_compressor,python,371,1362685235,1362742158,1362742158,948,948,github,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,2093,2,0,0,364.5484949832776,22.933588150979457,32.48924988055423,1124,gmcguire,0,0,3,false,false
1232399,jezdez/django_compressor,python,370,1362607767,1362743837,1362743837,2267,2267,github,false,false,0,1,0,0,0,0,0,0,1,1,1,0,0,100,2093,2,0,0,364.5484949832776,22.933588150979457,32.48924988055423,1124,bgilbert,0,0,2,false,false
953526,jezdez/django_compressor,python,359,1359904715,1360004343,1360004343,1660,1660,github,false,false,0,1,0,0,0,1,0,0,2,2,2,0,0,100,2091,4,10,0,364.8971783835485,22.95552367288379,32.520325203252035,1118,jscheid,0,0,2,false,false
1046398,jezdez/django_compressor,python,344,1355259818,1355265042,1355265042,87,87,github,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,2091,4,0,0,364.8971783835485,22.95552367288379,32.520325203252035,1090,rizumu,0,0,15,false,false
740593,jezdez/django_compressor,python,343,1355077985,,1363633080,142584,,unknown,false,false,0,1,0,4,4,3,0,0,1,1,1,0,0,100,2091,1,0,0,364.8971783835485,22.95552367288379,32.520325203252035,1087,karoon,0,0,2,false,false
675552,jezdez/django_compressor,python,342,1354734746,1354736385,1354736385,27,27,github,false,false,0,1,0,0,0,0,0,0,2,2,1,0,1,100,2091,1,0,3,364.8971783835485,22.95552367288379,32.520325203252035,1085,rosner,0,0,6,false,false
747887,jezdez/django_compressor,python,340,1354687746,1355405098,1355405098,11955,11955,github,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,2091,2,0,1,364.8971783835485,22.95552367288379,32.520325203252035,1084,dziegler,1,1.0,42,false,false
460152,jezdez/django_compressor,python,334,1351965422,1352241683,1352241683,4604,4604,github,false,false,0,2,0,3,3,3,2,0,2,4,1,0,2,100,2087,24,0,0,365.59655007187354,22.999520843315764,32.582654528030666,1074,saulshanabrook,0,0,0,false,false
1046405,jezdez/django_compressor,python,329,1351137858,,1351693637,9202,,unknown,false,false,1,1,0,2,2,2,0,0,1,1,1,0,0,74,2087,14,0,0,365.59655007187354,22.999520843315764,32.582654528030666,1072,digitalpbk,0,0,0,false,false
460096,jezdez/django_compressor,python,326,1349856276,,1352241014,39685,,unknown,false,false,2,9,0,4,4,2,0,0,3,3,1,0,2,72,2087,2,0,0,365.59655007187354,22.999520843315764,32.582654528030666,1069,ksamuel,1,0.0,3,false,false
844150,jezdez/django_compressor,python,325,1349855884,,1349855928,0,,unknown,false,false,2,6,0,1,1,1,0,0,3,3,1,0,2,72,2087,2,0,0,365.59655007187354,22.999520843315764,32.582654528030666,1069,ksamuel,0,0,3,false,false
883155,jezdez/django_compressor,python,323,1349713471,1349713811,1349713811,5,5,github,false,false,2,1,0,0,0,0,14,1,18,33,17,0,7,65,2093,48,253,8,365.02627806975636,22.933588150979457,32.48924988055423,1069,diox,9,0.7777777777777778,54,false,true
430987,jezdez/django_compressor,python,316,1348362748,1349731465,1349731465,22811,22811,github,false,false,2,2,0,1,1,1,0,0,2,2,2,0,0,61,2093,9,36,0,365.02627806975636,22.933588150979457,32.48924988055423,1055,carljm,0,0,191,false,false
401607,jezdez/django_compressor,python,314,1347546071,,1363633185,268058,,unknown,false,false,2,1,0,4,4,3,0,0,1,1,1,0,0,60,2093,3,0,0,365.02627806975636,22.933588150979457,32.48924988055423,1050,graingert,0,0,3,false,false
415912,jezdez/django_compressor,python,313,1347524776,1347544001,1347544001,320,320,github,false,false,2,8,0,1,1,1,0,0,4,4,3,0,1,56,2075,49,83,5,434.2168674698795,32.28915662650603,43.85542168674699,1049,anttihirvonen,1,1.0,0,false,false
370423,jezdez/django_compressor,python,312,1347449159,1364977275,1364977275,292135,292135,github,false,false,2,1,0,0,0,0,0,0,2,2,2,0,0,56,2075,4,5,0,434.2168674698795,32.28915662650603,43.85542168674699,1049,anttihirvonen,0,0,0,false,false
365316,jezdez/django_compressor,python,310,1347277992,1347558984,1347558984,4683,4683,commit_sha_in_comments,false,false,2,3,0,2,2,2,1,0,1,2,2,0,0,56,2075,332,0,0,434.2168674698795,32.28915662650603,43.85542168674699,1046,gugu,0,0,6,false,false
265499,jezdez/django_compressor,python,305,1345792524,1363632980,1363632980,297280,297280,merged_in_comments,false,false,2,1,0,2,2,2,1,0,1,2,1,1,0,57,2075,0,20,0,434.2168674698795,32.28915662650603,43.85542168674699,1030,marselester,0,0,0,false,false
8699,jezdez/django_compressor,python,299,1344289666,1344320797,1344320797,518,518,github,false,false,2,1,0,2,2,3,0,0,1,1,0,1,0,29,2075,0,0,2,434.2168674698795,32.28915662650603,43.85542168674699,1006,overshard,0,0,32,false,false
