pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2750904,jnicklas/capybara,ruby,1221,1388969392,1389030015,1389030015,1010,1010,merged_in_comments,false,false,2,2,0,10,10,6,0,0,2,2,1,0,1,41,1728,0,21,0,3680.555555555555,526.0416666666666,819.4444444444445,4556,thomasfedb,0,0,4,false,false
2725230,jnicklas/capybara,ruby,1219,1388484048,1389016819,1389016819,8879,8879,commits_in_master,false,false,2,2,0,2,2,3,0,0,1,1,1,0,0,40,1728,0,28,0,3680.555555555555,526.0416666666666,819.4444444444445,4556,jdelStrother,4,0.5,5,false,false
2676771,jnicklas/capybara,ruby,1215,1387528258,,1389017885,24827,,unknown,false,false,2,2,0,2,2,2,0,1,5,6,5,1,0,42,1728,28,11,11,3680.555555555555,526.0416666666666,819.4444444444445,4555,jnicklas,6,1.0,389,true,true
2648141,jnicklas/capybara,ruby,1213,1387208694,1387209320,1387209320,10,10,commits_in_master,false,false,2,1,0,0,0,0,0,0,3,3,2,1,0,41,1728,0,12,4,3675.347222222222,525.4629629629629,818.2870370370371,4553,twalpole,32,0.46875,5,false,true
2586884,jnicklas/capybara,ruby,1208,1386721824,,1387209349,8125,,unknown,false,true,3,1,2,6,8,3,0,0,5,5,4,0,0,40,1728,12,20,0,3675.347222222222,525.4629629629629,818.2870370370371,4553,lamvak,0,0,5,false,false
2601373,jnicklas/capybara,ruby,1205,1386598502,,1386676712,1303,,unknown,false,false,3,1,0,1,1,2,0,0,1,1,1,0,0,40,1728,2,0,0,3675.347222222222,525.4629629629629,818.2870370370371,4553,dpdawson,0,0,0,false,false
2541629,jnicklas/capybara,ruby,1201,1385723220,,1387524846,30027,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,41,1728,0,0,0,3675.347222222222,525.4629629629629,818.2870370370371,4553,dmitrydims,0,0,6,false,false
2524436,jnicklas/capybara,ruby,1199,1385485095,1385485103,1385485103,0,0,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,41,1728,0,0,3,3675.347222222222,525.4629629629629,818.2870370370371,4553,twalpole,31,0.4838709677419355,5,false,true
2504959,jnicklas/capybara,ruby,1197,1385161748,1385161914,1385161914,2,2,commits_in_master,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,38,1708,2,17,5,3703.161592505855,529.8594847775175,826.6978922716628,4553,twalpole,30,0.5,5,false,true
2481489,jnicklas/capybara,ruby,1194,1384891809,1387524987,1387524987,43886,43886,commits_in_master,false,false,3,7,2,4,6,2,0,0,4,4,3,1,0,35,1708,20,2,6,3703.161592505855,529.8594847775175,826.6978922716628,4553,twalpole,29,0.5172413793103449,5,false,true
