pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines

663535,junit,572,1355339398,,1355417321,1298,,2,1,2,0,2,4,0,0,7646,34,4,1734.2401255558461,137.58828145435524,175.38582265236724
663538,junit,571,1355338303,,1355338646,5,,2,0,0,0,0,0,0,0,7646,0,0,1734.2401255558461,137.58828145435524,175.38582265236724
480904,junit,549,1352997990,,1355336465,38974,,2,9,24,1,25,12,0,0,7473,136,9,1687.4080021410412,129.26535527900444,168.07172487622108
658962,junit,568,1354934122,,1355172026,3965,,2,2,0,2,2,6,0,0,7528,835,0,1696.9978746014879,129.78214665249735,170.03188097768333
658960,junit,569,1355010668,1355152948,1355152948,2371,2371,1,1,0,3,3,2,96,14,7528,62,9,1696.9978746014879,129.78214665249735,170.03188097768333
503736,junit,555,1353398356,,1354894935,24942,,1,17,0,3,3,16,0,0,7470,260,15,1692.6372155287818,129.58500669344042,168.40696117804552
611689,junit,564,1354623717,,1354806927,3053,,1,3,2,7,9,3,0,0,7522,1414,4,1695.6926349375165,129.48683860675354,170.03456527519276
644848,junit,563,1354557511,,1354734628,2951,,1,2,0,10,10,5,0,0,7470,133,0,1692.6372155287818,129.58500669344042,168.40696117804552
49777,junit,456,1340221865,,1354632827,240122,,1,9,10,10,20,347,0,0,6894,192,0,1638.671308384102,134.3196982883667,169.71279373368145
496640,junit,552,1353283265,,1354559928,21277,,1,9,22,8,30,15,0,0,7470,1128,4,1692.6372155287818,129.58500669344042,168.40696117804552
658972,junit,561,1354551488,,1354554318,47,,1,0,0,0,0,0,0,0,7470,0,0,1692.6372155287818,129.58500669344042,168.40696117804552
454650,junit,540,1352251745,,1354543547,38196,,1,1,0,1,1,1,0,0,7439,28,1,1688.1301250168033,129.31845678182552,167.89891114397096
488239,junit,550,1353022496,1353090065,1353090065,1126,1126,1,3,0,1,1,3,62,10,7472,18,5,1692.184154175589,129.55032119914347,168.36188436830835
481753,junit,547,1352923869,1353090024,1353090024,2769,2769,1,3,0,2,2,3,61,9,7454,8,5,1686.0745908237188,129.1923799302388,167.56104105178426
456343,junit,529,1350372972,,1353008396,43863,,1,2,0,10,10,4,0,0,7435,55,1,1686.2138533960995,129.11903160726297,167.58574310692669
481924,junit,548,1352926411,1352990618,1352990618,1070,1070,1,1,0,1,1,1,60,10,7454,2,8,1686.0745908237188,129.1923799302388,167.56104105178426
462227,junit,544,1352757680,1352990486,1352990486,3880,3880,1,4,21,13,34,10,60,10,7439,342,8,1688.1301250168033,129.31845678182552,167.89891114397096
457161,junit,542,1352517015,,1352922996,6766,,1,8,13,16,29,11,0,0,7439,107,8,1688.1301250168033,129.31845678182552,167.89891114397096
65817,junit,450,1339142015,,1352834837,228153,,1,6,4,9,13,2,0,0,6894,6,0,1638.671308384102,134.3196982883667,169.71279373368145
457159,junit,543,1352655742,,1352833810,2967,,1,1,0,0,0,2,0,0,7439,6,3,1688.1301250168033,129.31845678182552,167.89891114397096
454611,junit,539,1352245414,,1352321077,1261,,1,4,0,8,8,0,0,0,7439,0,0,1688.1301250168033,129.31845678182552,167.89891114397096
259860,junit,492,1345651449,,1352300054,110750,,1,1,0,7,7,0,0,0,6982,0,0,1651.1028358636495,135.77771412202807,171.44084789458608
448947,junit,521,1349067913,,1352241901,52839,,1,5,10,10,20,336,0,0,7157,115,34,1625.820874668157,133.85496716501328,171.30082436775186
454390,junit,538,1352168209,,1352231665,1057,,1,1,0,3,3,0,0,0,7431,0,0,1687.1215179652806,129.18853451756158,167.67595209258513
446850,junit,519,1348938908,,1351533821,43188,,1,4,0,7,7,343,0,0,7157,877,340,1625.820874668157,133.85496716501328,171.30082436775186
456346,junit,532,1350811262,,1350969445,2636,,1,1,0,11,11,0,0,0,7435,0,0,1686.2138533960995,129.11903160726297,167.58574310692669
456347,junit,526,1350327010,1350926042,1350926042,9983,9983,1,3,0,7,7,23,56,10,7435,2117,25,1686.2138533960995,129.11903160726297,167.58574310692669
456345,junit,533,1350811487,1350917906,1350917906,1773,1773,1,1,0,1,1,1,55,9,7435,2,2,1686.2138533960995,129.11903160726297,167.58574310692669
456349,junit,524,1350062859,1350309345,1350309345,4108,4108,3,1,0,2,2,2,49,7,7435,231,2,1686.2138533960995,129.11903160726297,167.58574310692669
456348,junit,525,1350280859,1350308284,1350308284,457,457,3,1,0,1,1,1,49,7,7435,40,1,1686.2138533960995,129.11903160726297,167.58574310692669
246961,junit,481,1345068304,,1349784442,78602,,3,2,0,4,4,1,0,0,6896,19,0,1650.9570765661251,135.87587006960558,171.11368909512763
454247,junit,522,1349375306,1349454267,1349454267,1316,1316,3,1,0,1,1,305,56,8,7164,44609,335,1630.3740926856506,134.00335008375208,173.50642099385817
362708,junit,502,1347130749,,1349355168,37073,,3,4,8,7,15,4,0,0,7167,486,2,1620.203711455281,133.3891446909446,168.55029998604715
356617,junit,498,1346884694,,1349185957,38354,,3,6,38,2,40,8,0,0,7017,212,5,1654.8382499643724,136.24055864329483,172.153341883996
340696,junit,496,1346499888,,1348942588,40711,,3,1,1,12,13,0,0,0,7014,0,0,1651.8391787852865,136.0136869118905,171.79925862560594
433608,junit,513,1348493410,,1348828683,5587,,3,2,0,2,2,0,0,0,7167,0,0,1620.203711455281,133.3891446909446,168.55029998604715
413866,junit,508,1348094723,,1348761637,11115,,3,4,1,2,3,4,0,0,7167,72,4,1620.203711455281,133.3891446909446,168.55029998604715
413857,junit,509,1348098546,,1348596891,8305,,3,4,2,1,3,4,0,0,7167,103,4,1620.203711455281,133.3891446909446,168.55029998604715
434431,junit,514,1348511908,,1348594116,1370,,3,1,0,1,1,1,0,0,7167,19,1,1620.203711455281,133.3891446909446,168.55029998604715
429531,junit,510,1348263085,,1348577663,5242,,3,2,0,1,1,2,0,0,7167,35,2,1620.203711455281,133.3891446909446,168.55029998604715
403481,junit,504,1347648123,,1348155113,8449,,3,3,2,2,4,9,0,0,7167,34,3,1620.203711455281,133.3891446909446,168.55029998604715
454246,junit,507,1348085960,,1348086614,10,,3,1,0,0,0,0,0,0,7167,0,0,1620.203711455281,133.3891446909446,168.55029998604715
358854,junit,500,1346963211,,1347022637,990,,4,1,0,0,0,2,0,0,7017,426,2,1654.8382499643724,136.24055864329483,172.153341883996
51289,junit,457,1340639966,,1346782427,102374,,4,4,1,4,5,65,0,0,6897,93,26,1639.5534290271132,134.40626359286648,169.78396404233726
214239,junit,491,1345628146,,1346777526,19156,,4,1,2,4,6,1,0,0,6982,2,1,1651.1028358636495,135.77771412202807,171.44084789458608
259072,junit,490,1345628112,,1346428149,13333,,4,1,0,1,1,1,0,0,6982,3,1,1651.1028358636495,135.77771412202807,171.44084789458608
191443,junit,489,1345569805,,1346165468,9927,,4,1,2,1,3,4,0,0,6982,243,4,1651.1028358636495,135.77771412202807,171.44084789458608
87988,junit,484,1345201797,,1345562544,6012,,5,6,25,4,29,8,0,0,6896,337,6,1650.9570765661251,135.87587006960558,171.11368909512763
166864,junit,485,1345233529,,1345492054,4308,,5,2,2,3,5,4,0,0,6896,119,4,1650.9570765661251,135.87587006960558,171.11368909512763
252680,junit,488,1345311757,,1345487953,2936,,5,1,0,3,3,1,0,0,6896,3,1,1650.9570765661251,135.87587006960558,171.11368909512763
249895,junit,483,1345182062,1345201339,1345201339,321,321,5,0,0,1,1,0,46,10,6896,0,0,1650.9570765661251,135.87587006960558,171.11368909512763
34716,junit,182,1294991686,,1345182052,836566,,5,19,53,27,80,20,0,0,6831,1386,0,1637.8275508710292,134.38735177865613,169.52129995608257
16813,junit,451,1339758101,,1344964040,86765,,5,8,6,8,14,72,0,0,6902,105,2,1641.9878296146044,134.45378151260505,169.8058533758331
18930,junit,479,1344749290,,1344877395,2135,,5,4,6,2,8,9,0,0,6884,127,10,1644.6833236490413,135.09587449157468,169.52353282975014
55872,junit,424,1335092001,,1344875523,163058,,5,4,1,12,13,3,0,0,6777,107,0,1634.3514829570606,133.9825881658551,166.88800354139
16725,junit,401,1332269983,,1344528501,204368,,5,1,0,15,15,23,0,0,6664,295,0,1573.0792316926772,133.70348139255702,169.26770708283314
12043,junit,464,1342719650,,1344381264,27693,,6,2,0,5,5,2,0,0,6902,128,0,1641.9878296146044,134.45378151260505,169.8058533758331
11772,junit,461,1342293576,,1344373287,34661,,6,0,4,10,14,0,0,0,6902,0,0,1641.9878296146044,134.45378151260505,169.8058533758331
229710,junit,470,1343936524,1343952792,1343952792,271,271,6,1,0,1,1,1,40,9,6884,12,2,1644.9738524113889,135.09587449157468,169.52353282975014
136178,junit,436,1337942200,1343934250,1343934251,99867,99867,6,1,0,8,8,4,37,7,6881,8,0,1640.6045632902196,134.42813544542946,169.88809766022382
229482,junit,404,1332363177,1343931087,1343931087,192858,192858,6,29,18,51,69,196,33,6,6897,1336,9,1639.5534290271132,134.40626359286648,169.78396404233726
229396,junit,142,1284997298,,1343928829,982192,,6,1,0,32,32,2,0,0,6425,163,0,1431.4396887159533,122.02334630350195,155.79766536964982
49841,junit,452,1339761950,1343926651,1343926651,69411,69411,6,3,4,2,6,4,33,6,6897,180,0,1639.5534290271132,134.40626359286648,169.78396404233726
456257,junit,467,1343234424,,1343823461,9817,,6,1,0,11,11,0,0,0,6902,0,0,1641.9878296146044,134.45378151260505,169.8058533758331
