pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2699404,kevinweil/elephant-bird,java,364,1388002234,1388683099,1388683099,11347,11347,commits_in_master,false,false,4,3,3,15,18,5,0,0,1,1,1,0,0,54,14475,46,0,0,345.0086355785837,12.780656303972366,24.52504317789292,704,dvryaboy,15,0.8666666666666667,26,false,true
2604237,kevinweil/elephant-bird,java,362,1386625126,1386625610,1386625610,8,8,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,55,14475,2,0,1,345.0086355785837,12.780656303972366,24.52504317789292,701,Chandler,1,1.0,11,false,false
2553721,kevinweil/elephant-bird,java,360,1386232845,1386623906,1386623906,6517,6517,github,false,false,4,3,7,3,10,2,3,2,7,12,9,0,2,53,14403,214,0,0,346.73331944733735,12.84454627508158,24.647642852183573,701,Chandler,0,0,11,false,false
2545670,kevinweil/elephant-bird,java,359,1385759618,1386263990,1386263990,8406,8406,github,false,false,2,3,1,1,2,2,1,0,7,8,7,0,0,55,13916,92,0,0,358.86749065823517,13.294050014371946,25.510204081632654,700,dvryaboy,14,0.8571428571428571,26,false,true
2511410,kevinweil/elephant-bird,java,357,1385318930,1386044826,1386044826,12098,12098,commits_in_master,false,false,2,2,0,7,7,4,14,0,6,20,12,4,0,52,13916,642,0,6,358.86749065823517,13.294050014371946,25.510204081632654,700,jwills,0,0,55,false,false
2490281,kevinweil/elephant-bird,java,356,1384989989,1388175980,1388175980,53099,53099,commits_in_master,false,false,2,2,4,3,7,3,0,0,4,4,3,0,1,51,13916,170,3,1,358.86749065823517,13.294050014371946,25.510204081632654,700,rangadi,104,0.7884615384615384,10,false,true
2415954,kevinweil/elephant-bird,java,353,1383948636,1386026818,1386026818,34636,34636,commits_in_master,false,false,2,2,1,3,4,3,0,0,1,1,1,0,0,46,13916,15,0,0,358.86749065823517,13.294050014371946,25.510204081632654,700,tmwoodruff,0,0,0,false,false
2408008,kevinweil/elephant-bird,java,351,1383855790,1383855882,1383855882,1,1,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,50,13916,0,0,2,358.86749065823517,13.294050014371946,25.510204081632654,700,rangadi,103,0.7961165048543689,10,false,true
2262299,kevinweil/elephant-bird,java,348,1381781773,1383849370,1383849370,34399,34399,commits_in_master,false,false,2,2,2,3,5,3,0,0,3,3,3,0,0,50,13903,61,0,2,359.2030497015033,13.306480615694454,25.534057397683956,700,aniket486,1,0.0,1,false,true
2235425,kevinweil/elephant-bird,java,347,1381349452,1381357918,1381357918,141,141,commits_in_master,false,false,3,1,1,6,7,3,0,0,2,2,2,0,0,48,13891,22,0,0,359.51335397019653,13.31797566769851,25.556115470448493,700,aniket486,0,0,1,false,true
