pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1287145,kijiproject/kiji-schema,java,198,1363899283,,1363906895,126,,unknown,false,false,14,1,0,1,1,1,0,0,3,3,3,0,0,30,14072,16,46,0,713.8288800454804,30.059693007390564,94.2296759522456,19,jhlch,12,0.0,1,false,false
1259838,kijiproject/kiji-schema,java,197,1363308893,,1363313010,68,,unknown,false,false,14,1,0,2,2,2,0,0,1,1,1,0,0,28,13802,0,674,0,730.1115780321693,30.28546587451094,94.98623387914795,19,kryzthov,52,0.038461538461538464,1,false,true
1259101,kijiproject/kiji-schema,java,196,1363296704,1363314251,1363314251,292,292,commit_sha_in_comments,false,false,14,1,0,2,2,2,0,0,1,1,1,0,0,28,13802,15,0,0,730.1115780321693,30.28546587451094,94.98623387914795,19,kryzthov,51,0.0392156862745098,1,false,true
1258879,kijiproject/kiji-schema,java,194,1363293944,1363648252,1363648252,5905,5905,commit_sha_in_comments,false,false,14,4,0,4,4,1,3,0,7,10,7,0,1,28,13810,605,201,0,717.958001448226,30.195510499637944,94.5691527878349,19,ajprax,22,0.0,2,false,true
1255156,kijiproject/kiji-schema,java,193,1363289145,,1363629236,5668,,unknown,false,false,14,1,3,1,4,2,0,0,3,3,3,0,0,28,13802,68,42,0,730.1115780321693,30.28546587451094,94.98623387914795,19,ajprax,21,0.0,2,false,true
1258116,kijiproject/kiji-schema,java,192,1363284772,,1363369240,1407,,unknown,false,false,14,4,0,5,5,2,0,0,21,21,22,0,0,28,13802,53,27,0,718.4466019417475,30.21301260686857,94.62396754093609,19,kryzthov,50,0.04,1,false,true
1258027,kijiproject/kiji-schema,java,191,1363283621,,1363313804,503,,unknown,false,false,14,1,0,2,2,2,0,0,1,1,1,0,0,28,13802,20,0,0,730.1115780321693,30.28546587451094,94.98623387914795,19,kryzthov,49,0.04081632653061224,1,false,true
1685151,kijiproject/kiji-schema,java,190,1363220229,1363227400,1363227400,119,119,commit_sha_in_comments,false,false,14,2,0,1,1,2,0,0,2,2,2,0,0,28,13798,5,17,0,729.4535439918828,30.221771271198726,94.57892448180897,19,kryzthov,48,0.041666666666666664,1,false,true
1255558,kijiproject/kiji-schema,java,189,1363215140,1363217466,1363217466,38,38,commit_sha_in_comments,false,false,14,1,0,2,2,2,0,0,6,6,6,0,0,29,13833,58,0,0,727.6078941661244,30.145304706137498,94.33962264150944,19,kimballa,30,0.0,34,false,false
1250226,kijiproject/kiji-schema,java,187,1363126567,1363130306,1363130306,62,62,commit_sha_in_comments,false,false,14,1,0,1,1,2,0,0,1,1,1,0,0,29,13762,1,0,0,715.3756721406772,29.792181368987066,92.93707309984015,19,kryzthov,47,0.0425531914893617,1,false,true
