pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2714893,kivy/kivy,python,1733,1388249172,1388267523,1388267523,305,305,commits_in_master,false,false,12,112,0,2,2,1,0,0,119,119,119,0,0,43,28258,2510,0,351,109.77422322882016,9.271710666006086,23.88704083799278,1498,tshirtman,33,0.6666666666666666,45,true,true
2710540,kivy/kivy,python,1731,1388152279,1388166846,1388166846,242,242,commits_in_master,false,false,12,18,3,0,3,2,0,0,10,10,10,0,0,41,28280,662,0,60,109.68882602545969,9.264497878359263,23.86845827439887,1498,tshirtman,32,0.6875,45,true,true
2689758,kivy/kivy,python,1726,1387797301,1388097012,1388097012,4995,4995,commits_in_master,false,false,12,3,0,0,0,0,0,0,2,2,2,0,0,40,28273,15,0,5,109.715983447105,9.266791638665865,23.87436777137198,1497,akshayaurora,143,0.6853146853146853,9,true,true
2658270,kivy/kivy,python,1719,1387318574,1387651070,1387651070,5541,5541,commits_in_master,false,false,12,1,0,0,0,0,0,0,1,1,1,0,0,40,28063,7,0,0,110.53700602216442,9.33613654990557,24.053023554146026,1497,tshirtman,31,0.7096774193548387,45,true,true
2643353,kivy/kivy,python,1714,1387139718,1387175934,1387175934,603,603,commits_in_master,false,false,13,2,0,3,3,2,0,0,13,13,2,0,14,39,28047,56,0,44,110.60006417798695,9.341462545013727,24.066745106428495,1497,akshayaurora,142,0.6901408450704225,9,true,true
2643016,kivy/kivy,python,1713,1387133741,1387650671,1387650671,8615,8615,commits_in_master,false,false,13,22,0,0,0,0,5,0,16,21,13,0,3,39,28047,1473,0,54,110.60006417798695,9.341462545013727,24.066745106428495,1497,tito,12,0.9166666666666666,100,true,true
2641520,kivy/kivy,python,1712,1387103375,1387651111,1387651111,9128,9128,commits_in_master,false,false,13,1,0,0,0,0,0,0,7,7,7,0,0,39,28047,34,0,28,110.60006417798695,9.341462545013727,24.066745106428495,1497,akshayaurora,141,0.6950354609929078,9,true,true
2640299,kivy/kivy,python,1711,1387064505,1387230280,1387230280,2762,2762,commits_in_master,false,false,13,1,0,0,0,0,0,0,1,1,1,0,0,39,28043,13,0,5,110.61583996006134,9.342794993402988,24.07017794101915,1497,akshayaurora,140,0.7,9,true,true
2640258,kivy/kivy,python,1710,1387063584,,1387063782,3,,unknown,false,false,13,2,0,0,0,0,0,0,1,1,1,0,0,39,28043,15,0,0,110.61583996006134,9.342794993402988,24.07017794101915,1497,akshayaurora,139,0.7050359712230215,9,true,true
2639779,kivy/kivy,python,1708,1387053410,1387433979,1387433979,6342,6342,commits_in_master,false,false,13,1,0,0,0,1,0,0,1,1,1,0,0,39,28045,12,0,3,110.6079515065074,9.342128721697273,24.068461401319308,1497,Zen-CODE,83,0.7951807228915663,0,false,true
2639299,kivy/kivy,python,1705,1387042813,1387042885,1387042885,1,1,commits_in_master,false,false,13,1,0,0,0,1,0,0,1,1,0,1,0,38,27696,0,0,6,112.00173310225303,9.459849797804736,24.37175043327556,1497,matham,37,0.5675675675675675,0,false,false
2636921,kivy/kivy,python,1704,1386982591,1387023059,1387023059,674,674,commits_in_master,false,false,13,1,0,0,0,1,0,0,1,1,0,1,0,39,27672,0,0,7,111.80977161029199,9.395779126915293,24.248337669846777,1497,kumoshk,0,0,0,false,false
2634482,kivy/kivy,python,1702,1386959378,1387023106,1387023106,1062,1062,commits_in_master,false,false,13,2,1,0,1,1,0,0,2,2,2,0,0,39,27672,63,0,35,111.80977161029199,9.395779126915293,24.248337669846777,1497,akshayaurora,138,0.7101449275362319,9,true,true
2569659,kivy/kivy,python,1697,1386696135,1386752554,1386752554,940,940,commits_in_master,false,false,12,5,3,2,5,2,0,0,1,1,1,0,0,40,27643,139,0,80,111.92707014434033,9.405636146583221,24.27377636291285,1496,lonelycode,1,0.0,1,false,false
