pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
678155,knife-ec2,89,1351008870,1351170017,1351170017,2685,2685,5,2,0,2,78,646,6,0,0,369.96904024767804,210,marcantonio,0,0,4
678157,knife-ec2,85,1349510832,1349959111,1349959111,7471,7471,7,1,0,2,79,777,2,19,0,308.88030888030886,209,ranjibd,0,0,5
423198,knife-ec2,83,1348007628,1348731294,1348731294,12061,12061,6,5,0,0,80,635,0,0,0,376.37795275590554,206,mohitsethi,1,0.0,2
361169,knife-ec2,80,1347041706,1347113665,1347113665,1199,1199,6,1,0,2,83,563,10,10,5,349.91119005328596,204,tomdz,0,0,25
354349,knife-ec2,78,1346814702,1348056894,1348056894,20703,20703,7,1,0,0,81,563,0,0,0,349.91119005328596,204,rockpunk,0,0,0
346005,knife-ec2,77,1346395644,1348237475,1348237475,30697,30697,7,4,5,0,81,563,0,0,0,349.91119005328596,406,chirag-jog,1,0.0,8
256904,knife-ec2,74,1345540125,1347112801,1347112801,26211,26211,7,1,0,1,78,563,45,0,0,349.91119005328596,201,jimcroft,3,0.3333333333333333,0
335614,knife-ec2,73,1345539534,1345539881,1345539881,5,5,7,0,0,0,78,563,0,0,0,349.91119005328596,201,jimcroft,2,0.0,0
241253,knife-ec2,71,1344878207,1347119804,1347119804,37359,37359,6,6,0,9,69,563,117,67,57,349.91119005328596,200,wpeterson,0,0,9
240926,knife-ec2,70,1344871312,1349961298,1349961298,84833,84833,6,7,0,14,69,563,314,50,0,349.91119005328596,400,zsiddique,0,0,2
237303,knife-ec2,69,1344618535,1346992053,1346992053,39558,39558,5,1,0,0,68,563,0,0,0,349.91119005328596,199,smaftoul,0,0,5
11450,knife-ec2,68,1344366433,1345231792,1345231792,14422,14422,5,2,0,2,67,563,6,0,0,349.91119005328596,199,jelder,0,0,8
10445,knife-ec2,67,1344345727,1345538900,1345538900,19886,19886,5,1,2,1,66,563,43,0,0,349.91119005328596,199,jimcroft,1,0.0,0
10430,knife-ec2,66,1344345403,1344345535,1344345535,2,2,5,1,0,1,66,563,43,0,0,349.91119005328596,199,jimcroft,0,0,0
227200,knife-ec2,64,1343853846,1343857487,1343857487,60,60,5,1,0,1,64,563,2,0,0,349.91119005328596,197,mncaudill,0,0,16
256391,knife-ec2,63,1343761177,1347121040,1347121040,55997,55997,5,10,0,11,56,563,90,20,0,349.91119005328596,197,jontg,0,0,3
214124,knife-ec2,61,1342610500,1354737429,1354737429,202055,202055,5,2,0,2,52,532,26,0,0,334.5864661654135,197,felix-ordrin,0,0,2
210401,knife-ec2,59,1342467463,1343012255,1343012255,9079,9079,5,1,0,2,51,532,2,24,7,334.5864661654135,197,fnichol,0,0,90
203625,knife-ec2,57,1342119890,1342195328,1342195328,1257,1257,4,1,0,1,50,532,4,0,0,334.5864661654135,197,jamescott,2,0.0,0
203385,knife-ec2,56,1342113503,1343082239,1343082239,16145,16145,4,1,0,1,45,532,0,0,0,334.5864661654135,197,jamescott,1,0.0,0
203335,knife-ec2,55,1342112337,1343014096,1343014096,15029,15029,4,1,0,1,45,532,0,0,0,334.5864661654135,197,jamescott,0,0,0
201519,knife-ec2,54,1342039570,1346992696,1346992696,82552,82552,4,1,0,0,43,532,0,0,0,334.5864661654135,197,vizio360,0,0,4
191112,knife-ec2,53,1341513658,1346992310,1346992310,91310,91310,4,2,0,1,41,509,1,0,0,286.8369351669941,197,pnegri,0,0,16
180815,knife-ec2,51,1340922372,1340923896,1340923896,25,25,4,1,0,0,42,509,0,0,0,286.8369351669941,195,timops,0,0,1
