pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2762323,learningequality/ka-lite,python,1329,1389133646,1389220096,1389220096,1440,1440,github,false,false,7,1,0,4,4,2,0,0,1,1,1,0,0,93,124714,2,0,54,128.71048960020525,8.451336658274132,24.504065301409625,98,aronasorman,26,0.15384615384615385,3,false,true
2738321,learningequality/ka-lite,python,1325,1389066839,1389144927,1389144927,1301,1301,github,false,false,7,4,7,2,9,2,0,0,3,3,3,0,0,93,123743,145,0,21,129.72046903663238,8.517653523835692,24.696346460001777,98,bcipolli,334,0.15269461077844312,5,false,true
2747606,learningequality/ka-lite,python,1322,1388889532,1389044000,1389044000,2574,2574,github,false,false,7,3,0,1,1,1,0,0,7,7,6,1,0,93,124667,64,0,31,128.7590140133315,8.454522848869388,24.513303440365135,98,bcipolli,333,0.15015015015015015,5,false,true
2715391,learningequality/ka-lite,python,1318,1388260895,,1389046393,13091,,unknown,false,false,8,282,0,1,1,1,11,44,133,188,101,34,42,93,119379,6765,551,7908,130.76839310096418,8.68661992477739,25.012774441065847,97,bcipolli,332,0.15060240963855423,5,true,true
2715371,learningequality/ka-lite,python,1317,1388260445,,1388682345,7031,,unknown,false,false,8,3,0,1,1,1,0,0,3,3,3,0,0,93,124629,36,0,98,128.79827327508045,8.457100674802815,24.520777668118978,97,bcipolli,331,0.1510574018126888,5,false,true
2670683,learningequality/ka-lite,python,1307,1387452164,,1387825070,6215,,unknown,false,false,8,1,0,2,2,2,0,0,4,4,3,1,0,91,124615,17,0,145,128.81274324920756,8.458050796453076,24.52353248003852,97,bcipolli,330,0.15151515151515152,5,false,true
2658678,learningequality/ka-lite,python,1305,1387323338,,1388782729,24323,,unknown,false,false,8,16,0,3,3,1,0,0,4,4,4,0,0,91,124585,314,0,906,128.8437612874744,8.460087490468355,24.52943773327447,97,aronasorman,24,0.16666666666666666,3,false,true
2649151,learningequality/ka-lite,python,1299,1387217822,,1387447460,3827,,unknown,false,false,8,5,0,2,2,1,1,0,6,7,6,1,0,91,124585,226,0,131,128.8437612874744,8.460087490468355,24.52943773327447,97,bcipolli,328,0.1524390243902439,5,false,true
2643109,learningequality/ka-lite,python,1297,1387135229,,1387447421,5203,,unknown,false,false,8,2,0,9,9,4,0,0,4,4,0,3,0,91,124554,0,0,58,128.87582895772115,8.462193104998635,24.535542816770235,97,ruimalheiro,28,0.2857142857142857,4,false,true
2642199,learningequality/ka-lite,python,1296,1387118301,,1387190163,1197,,unknown,false,false,8,6,0,1,1,1,0,0,27,27,5,22,0,91,124549,46,0,311,128.8810026575886,8.462532818408818,24.536527792274526,97,bcipolli,327,0.1529051987767584,5,false,true
2641306,learningequality/ka-lite,python,1295,1387096508,,1387114336,297,,unknown,false,false,9,11,0,1,1,1,2,0,14,16,12,2,1,91,124549,447,0,599,128.8810026575886,8.462532818408818,24.536527792274526,97,bcipolli,326,0.15337423312883436,5,false,true
2640186,learningequality/ka-lite,python,1294,1387061904,1387095032,1387095032,552,552,merged_in_comments,false,false,9,1,0,1,1,2,0,0,1,1,0,0,0,91,124541,0,0,8,128.889281441453,8.463076416601762,24.538103917585374,97,ruimalheiro,27,0.2962962962962963,4,false,true
2639325,learningequality/ka-lite,python,1292,1387043567,,1387056718,219,,unknown,false,false,8,2,5,4,9,2,0,0,4,4,4,0,0,91,124474,22,0,79,128.95865803300288,8.467631794591643,24.551311920561723,97,ruimalheiro,26,0.3076923076923077,4,false,true
2636282,learningequality/ka-lite,python,1287,1386972135,,1387050734,1309,,unknown,false,false,8,22,0,1,1,1,1,2,16,19,16,2,1,90,124498,504,0,958,128.93379813330336,8.465999453806488,24.54657906151103,97,bcipolli,325,0.15384615384615385,5,false,true
2636161,learningequality/ka-lite,python,1286,1386970875,1387050611,1387050611,1328,1328,merged_in_comments,false,false,8,13,0,1,1,1,1,1,10,12,11,0,1,90,124469,337,0,731,128.96383838546143,8.467971944821603,24.552298162594703,97,bcipolli,324,0.15432098765432098,5,false,true
2636103,learningequality/ka-lite,python,1285,1386970224,1386971613,1386971613,23,23,merged_in_comments,false,false,8,5,1,1,2,1,1,0,7,8,8,0,0,90,124469,119,0,264,128.96383838546143,8.467971944821603,24.552298162594703,97,bcipolli,323,0.15479876160990713,5,false,true
2635283,learningequality/ka-lite,python,1282,1386962266,1387114453,1387114453,2536,2536,merged_in_comments,false,false,8,2,0,6,6,3,0,0,1,1,1,0,0,90,123754,11,0,34,129.7089387009713,8.516896423549946,24.694151300159994,97,aronasorman,22,0.18181818181818182,3,false,true
