pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,requester,prev_pullreqs,requester_succ_rate
805755,libgit2,1229,1357928619,1357929254,1357929254,10,10,9,1,0,3,78,79116,148,0,8,0.0,arrbee,83,0.7228915662650602
805312,libgit2,1227,1357917989,1357927171,1357927171,153,153,9,5,0,10,79,79067,184,0,52,0.0,nulltoken,173,0.791907514450867
802582,libgit2,1228,1357919799,1357920741,1357920741,15,15,9,5,0,12,78,78897,314,0,14,0.0,carlosmn,129,0.7286821705426356
795406,libgit2,1224,1357895436,,1357919552,401,,9,2,0,5,78,78886,23,0,5,0.0,sba1,2,0.0
794031,libgit2,1221,1357856259,,1357856330,1,,9,1,1,3,78,78831,89,0,23,0.0,arrbee,82,0.7317073170731707
784662,libgit2,1206,1357675885,,1357842250,2772,,9,8,4,32,77,78660,438,0,0,0.0,ben,24,0.625
792807,libgit2,1220,1357837009,,1357837494,8,,9,1,0,2,77,78755,62,0,7,0.0,ethomson,18,0.5555555555555556
792360,libgit2,1182,1357238371,,1357830911,9875,,9,3,4,7,73,76610,151,0,12,0.0,vmg,17,0.7647058823529411
792351,libgit2,1218,1357807314,,1357830783,391,,9,5,8,5,76,78714,2,0,5,0.0,sba1,0,0
791331,libgit2,1219,1357814753,,1357822861,135,,9,1,0,1,77,78714,2,0,4,0.0,sba1,1,0.0
776959,libgit2,1167,1355974424,,1357778862,30073,,9,1,2,2,61,76442,71,0,0,0.0,rick,3,1.0
788024,libgit2,1214,1357743511,,1357746200,44,,9,5,3,27,77,78613,300,0,0,0.0,schu,92,0.6956521739130435
785520,libgit2,1212,1357690504,,1357690608,1,,9,1,0,3,78,78584,48,0,9,0.0,arrbee,81,0.7407407407407407
785146,libgit2,1209,1357683824,,1357684496,11,,9,2,2,426,78,78584,356,0,0,0.0,ethomson,17,0.5882352941176471
785084,libgit2,1208,1357682531,,1357682646,1,,9,1,1,2,78,78660,298,0,30,0.0,ethomson,16,0.625
784992,libgit2,1207,1357681144,,1357681286,2,,9,1,2,1,78,78660,0,0,25,0.0,ethomson,15,0.6666666666666666
344175,libgit2,909,1346323751,,1357642042,188578,,10,2,3,3,77,60600,939,0,0,0.0,authmillenon,1,1.0
760508,libgit2,1153,1355838504,,1357609558,29517,,9,3,6,7,61,76443,173,0,0,0.0,jamill,4,0.5
776957,libgit2,1170,1356116903,,1357608852,24865,,9,1,2,2,63,76443,86,0,0,0.0,nacho,5,0.8
781082,libgit2,1204,1357599073,1357608831,1357608831,162,162,9,2,2,7,77,78538,390,0,13,0.0,arrbee,79,0.7468354430379747
770558,libgit2,1177,1356757488,,1356779339,364,,9,1,0,1,71,76477,34,0,1,0.0,arrbee,78,0.7564102564102564
769196,libgit2,1165,1355897956,,1356719206,13687,,9,1,4,2,63,76097,24,0,0,0.0,scunz,19,0.8421052631578947
767381,libgit2,1176,1356672908,,1356716076,719,,9,2,7,5,72,76467,232,0,27,0.0,arrbee,77,0.7662337662337663
768473,libgit2,1171,1356481566,,1356704335,3712,,9,1,1,1,65,76443,0,0,1,0.0,csware,11,0.9090909090909091
763003,libgit2,1173,1356542959,,1356563292,338,,9,3,6,5,66,76443,63,0,0,0.0,nulltoken,170,0.8058823529411765
776110,libgit2,1163,1355884357,1356111143,1356111143,3779,3779,9,1,9,3,62,76442,6,0,15,0.0,barrbrain,4,0.5
776962,libgit2,1166,1355968679,1356018572,1356018572,831,831,9,1,5,1,61,76442,0,0,5,0.0,scunz,20,0.8
757997,libgit2,1150,1355767068,1355949830,1355949830,3046,3046,9,2,0,2,61,76115,11,0,3,0.0,schu,91,0.6923076923076923
776966,libgit2,1159,1355872620,1355938014,1355938014,1089,1089,9,1,5,1,62,76097,6,0,4,0.0,rick,2,1.0
776964,libgit2,1162,1355882096,1355937961,1355937961,931,931,9,9,1,9,62,76097,0,0,12,0.0,scunz,17,0.8235294117647058
776963,libgit2,1164,1355897565,1355937905,1355937905,672,672,9,3,0,4,63,76097,45,0,22,0.0,scunz,18,0.8333333333333334
776970,libgit2,1154,1355844550,,1355876674,535,,9,3,4,3,61,76097,0,0,0,0.0,sigifredo,0,0
776967,libgit2,1158,1355870874,1355870898,1355870898,0,0,9,1,1,1,62,76097,4,0,3,0.0,rick,1,1.0
776968,libgit2,1157,1355865303,1355865484,1355865484,3,3,9,2,0,2,63,76097,4,0,5,0.0,rick,0,0
