pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1995460,localwiki/localwiki,python,621,1377644915,1377646077,1377646077,19,19,github,false,false,2,3,0,1,1,1,0,0,1,1,0,1,0,29,868347,0,0,4,2.9596463165071105,0.1623774827344368,0.4053679001597288,282,mk30,1,1.0,4,false,true
1994971,localwiki/localwiki,python,620,1377635854,1377635985,1377635985,2,2,github,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,30,868337,0,0,1,2.9596804005818016,0.16237935271674478,0.4053725684843557,282,mk30,0,0,4,false,true
1902013,localwiki/localwiki,python,599,1375864390,1375867574,1375867574,53,53,github,false,false,3,2,0,1,1,1,0,0,5,5,1,3,0,47,866963,2,0,44,2.9297674756592844,0.16032979492781121,0.4037081167247045,282,philipn,32,0.84375,58,false,false
1862632,localwiki/localwiki,python,580,1375148341,1375216137,1375216137,1129,1129,github,false,false,3,13,0,1,1,1,10,0,15,25,21,2,1,57,866331,780,9,109,2.927287607161697,0.1604467576480583,0.4040026271713698,281,philipn,31,0.8387096774193549,58,false,false
1861934,localwiki/localwiki,python,578,1375132850,1375149097,1375149098,270,270,github,false,false,3,3,0,5,5,4,0,0,4,4,4,0,0,56,866331,15,0,11,2.927287607161697,0.1604467576480583,0.4040026271713698,281,j-po,2,1.0,1,false,false
1856384,localwiki/localwiki,python,577,1375053450,1375216111,1375216111,2711,2711,github,false,false,3,6,0,1,1,1,8,0,8,16,15,0,1,54,866331,647,9,29,2.927287607161697,0.1604467576480583,0.4040026271713698,281,philipn,30,0.8333333333333334,58,false,false
1845422,localwiki/localwiki,python,576,1374877609,1374911296,1374911296,561,561,github,false,false,3,3,0,1,1,1,0,0,4,4,0,4,0,52,866331,0,0,4,2.927287607161697,0.1604467576480583,0.4040026271713698,281,j-po,1,1.0,1,false,false
1776018,localwiki/localwiki,python,573,1373925955,1373939856,1373939856,231,231,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,52,866331,2,0,1,2.927287607161697,0.1604467576480583,0.4040026271713698,281,j-po,0,0,1,false,false
1634739,localwiki/localwiki,python,559,1371962579,1372357169,1372357169,6576,6576,github,false,false,2,54,0,1,1,1,10,6,37,53,20,14,9,60,866287,889,30,59,2.9528320291081362,0.16045490697655626,0.40402314706327114,280,philipn,29,0.8275862068965517,55,false,false
1599750,localwiki/localwiki,python,553,1371267308,1371268530,1371268530,20,20,github,false,false,3,1,0,1,1,1,0,0,3,3,2,0,1,54,866287,8,0,11,2.9528320291081362,0.16045490697655626,0.40402314706327114,277,philipn,28,0.8214285714285714,54,false,false
