pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
935151,enspiral/loomio,463,1359454808,1359491311,1359491311,608,608,6,3,0,34,62,6062,37,0,179,732.7614648630814,188,jonlemmon,93,0.978494623655914,10,true,true
945984,enspiral/loomio,462,1359449026,1359678226,1359678226,3820,3820,6,1,5,7,62,6857,17,0,35,799.9124981770453,94,HSalmon,1,0.0,0,false,false
931014,enspiral/loomio,458,1359339810,1359408266,1359408266,1140,1140,6,18,6,300,63,6841,1678,2669,2387,801.7833650051163,188,rdbartlett,20,0.6,0,true,true
820508,enspiral/loomio,450,1358793727,1358910734,1358910735,1950,1950,5,37,14,489,64,6525,3462,7088,2308,737.9310344827586,186,AaronThornton00,165,0.8363636363636363,2,true,true
821260,enspiral/loomio,449,1358493982,,1359004521,8508,,5,2,2,2,65,6525,7,0,0,737.9310344827586,92,jamesmccann,17,0.9411764705882353,3,false,false
917360,enspiral/loomio,448,1358216298,1358371002,1358371002,2578,2578,5,10,0,176,65,6431,1166,781,1843,726.0146167003576,184,s01us,1,1.0,0,false,false
911929,enspiral/loomio,447,1357990529,1358370850,1358370850,6338,6338,6,15,0,41,64,6431,332,577,543,708.5989737210388,92,jonlemmon,92,0.9782608695652174,5,true,true
794794,enspiral/loomio,446,1357875801,,1357875814,0,,6,2,1,13,65,6445,58,0,78,701.9394879751745,184,rdbartlett,19,0.631578947368421,0,true,true
791117,enspiral/loomio,445,1357805796,1359662366,1359662367,30942,30942,6,25,0,433,66,6445,4690,3337,2653,701.7843289371606,184,mhjb,4,0.5,0,true,true
785926,enspiral/loomio,443,1357700292,1358133594,1358133595,7221,7221,6,8,0,145,66,6428,1252,800,1661,703.6403235843186,92,AaronThornton00,164,0.8353658536585366,1,true,true
785384,enspiral/loomio,442,1357687829,1358815034,1358815034,18786,18786,6,4,0,111,66,6428,1006,453,1022,703.6403235843186,92,AaronThornton00,163,0.8343558282208589,1,true,true
791026,enspiral/loomio,441,1357516563,1357803728,1357803728,4786,4786,6,1,0,3,66,6034,21,0,33,736.4932051706994,92,s01us,0,0,0,false,false
839749,enspiral/loomio,440,1357457759,,1358994425,25611,,6,6,1,22,66,6034,226,48,244,736.4932051706994,92,AaronThornton00,162,0.8395061728395061,1,true,true
791037,enspiral/loomio,439,1357454999,1357900722,1357900722,7428,7428,6,20,3,150,66,6034,1255,586,1688,736.4932051706994,92,AaronThornton00,161,0.8385093167701864,1,true,true
964947,enspiral/loomio,438,1357254764,,1357456595,3363,,6,6,0,23,66,6034,238,48,251,736.4932051706994,92,AaronThornton00,160,0.84375,1,true,true
777208,enspiral/loomio,437,1357199458,1357506075,1357506075,5110,5110,6,2,0,15,66,6034,185,48,177,736.4932051706994,184,AaronThornton00,159,0.8427672955974843,2,true,true
775328,enspiral/loomio,436,1356044687,1356044699,1356044699,0,0,7,1,0,17,66,6059,4,0,181,733.1242779336525,182,jonlemmon,91,0.978021978021978,10,true,true
760700,enspiral/loomio,435,1356035153,1356051722,1356051722,276,276,7,8,0,111,66,6059,786,197,1149,733.1242779336525,182,AaronThornton00,158,0.8417721518987342,2,true,true
742880,enspiral/loomio,434,1355900536,1357680705,1357680705,29669,29669,7,70,36,616,66,6059,4090,1700,6527,733.1242779336525,182,AaronThornton00,157,0.8407643312101911,2,true,true
759615,enspiral/loomio,433,1355816813,,1355900131,1388,,6,6,0,43,66,6145,768,0,174,751.179820992677,180,AaronThornton00,156,0.8461538461538461,2,true,true
759413,enspiral/loomio,432,1355803900,1356044766,1356044767,4014,4014,6,1,2,17,66,6025,4,0,188,743.9004149377594,90,rdbartlett,17,0.6470588235294118,0,true,true
756131,enspiral/loomio,431,1355715760,1355716047,1355716047,4,4,6,2,3,4,66,6038,30,0,56,742.2987744286188,90,robguthrie,5,0.4,2,true,false
755889,enspiral/loomio,430,1355703245,1355705734,1355705734,41,41,6,3,1,49,66,6023,297,41,640,744.4794952681389,180,AaronThornton00,155,0.8451612903225807,2,true,true
755847,enspiral/loomio,429,1355700714,1355700808,1355700808,1,1,6,2,0,69,66,6009,417,111,747,745.881178232651,180,jonlemmon,90,0.9777777777777777,10,true,true
755775,enspiral/loomio,428,1355697446,1356480460,1356480460,13050,13050,6,2,1,57,67,5971,495,130,683,751.1304639088929,90,jonlemmon,89,0.9775280898876404,5,true,true
750291,enspiral/loomio,427,1355456649,1355695384,1355695384,3978,3978,6,4,2,10,67,5971,143,0,229,751.1304639088929,172,mhjb,3,0.3333333333333333,0,true,true
750279,enspiral/loomio,426,1355456576,,1355456583,0,,6,23,0,231,67,5908,1513,217,2620,764.7257955314828,172,mhjb,2,0.5,0,true,true
750265,enspiral/loomio,425,1355456009,,1355456452,7,,6,23,1,231,67,5908,1513,217,2620,764.7257955314828,172,mhjb,1,1.0,0,true,true
750197,enspiral/loomio,424,1355452689,1355455465,1355455465,46,46,6,8,0,164,67,5980,1228,800,1722,753.3444816053511,172,rdbartlett,16,0.625,0,true,true
750024,enspiral/loomio,423,1355446015,1355695360,1355695360,4155,4155,6,2,0,2,66,5980,70,0,0,753.3444816053511,86,mhjb,0,0,0,true,true
750012,enspiral/loomio,422,1355445694,1355445925,1355445925,3,3,6,2,0,5,67,5980,30,0,79,753.3444816053511,172,AaronThornton00,154,0.8441558441558441,2,true,true
