pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2555560,meskyanichi/backup,ruby,510,1385967538,,1386296068,5475,,unknown,false,false,7,1,0,2,2,2,0,0,2,2,2,0,0,5,4525,5,13,0,3728.1767955801106,184.08839779005527,743.867403314917,3027,joeyates,1,0.0,14,false,false
2547039,meskyanichi/backup,ruby,509,1385797340,,1385957258,2665,,unknown,false,false,7,2,0,0,0,1,0,0,4,4,2,1,1,3,4522,3,0,0,3718.929677134012,183.98938522777533,742.1494913754975,3027,joeyates,0,0,14,false,false
2538980,meskyanichi/backup,ruby,508,1385669396,1385956308,1385956308,4781,4781,commits_in_master,false,false,6,1,0,0,0,2,0,0,4,4,4,0,0,1,4924,35,112,6,3759.1389114541025,193.9480097481722,742.0796100731113,3026,lvangool,0,0,2,false,false
2330122,meskyanichi/backup,ruby,503,1382736554,1383056790,1383056790,5277,5277,fixes_in_commit,false,false,6,3,0,0,0,1,0,0,2,2,1,1,0,0,4889,11,0,0,3752.3010840662714,194.31376559623644,741.8695029658417,3026,apauly,0,0,1,false,false
2264209,meskyanichi/backup,ruby,499,1381818486,,1388726687,115076,,unknown,false,false,5,4,0,6,6,3,0,0,1,1,1,0,0,0,4837,110,0,0,3698.986975397974,195.16229067603888,735.9933843291296,3026,lazywei,0,0,2,false,false
2239986,meskyanichi/backup,ruby,496,1381407862,1382298888,1382298888,14850,14850,fixes_in_commit,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,0,4837,11,0,0,3698.986975397974,195.16229067603888,735.9933843291296,3026,dysosmus,0,0,6,false,false
2207377,meskyanichi/backup,ruby,495,1380870441,,1380897848,456,,unknown,false,false,4,3,0,0,0,2,0,0,3,3,2,0,1,0,4837,6,0,0,3698.986975397974,195.16229067603888,735.9933843291296,3025,NielsKSchjoedt,1,0.0,1,false,false
2162806,meskyanichi/backup,ruby,493,1380224579,1382305778,1382305778,34686,34686,fixes_in_commit,false,false,5,5,0,1,1,2,0,0,8,8,5,1,2,0,4837,88,163,0,3698.986975397974,195.16229067603888,735.9933843291296,3025,jforest,0,0,0,false,false
2123173,meskyanichi/backup,ruby,489,1379596147,1382287934,1382287934,44863,44863,fixes_in_commit,false,false,5,5,0,10,10,2,0,0,4,4,4,0,0,0,4837,146,70,0,3698.986975397974,195.16229067603888,735.9933843291296,3022,maxhollmann,0,0,0,false,false
2093848,meskyanichi/backup,ruby,484,1378919861,1379074959,1379074959,2584,2584,fixes_in_commit,false,false,6,2,0,5,5,2,0,0,1,1,1,0,0,0,4837,0,41,0,3698.986975397974,195.16229067603888,735.9933843291296,3021,nacengineer,0,0,3,false,false
2059838,meskyanichi/backup,ruby,481,1378396111,1378918575,1378918575,8707,8707,fixes_in_commit,false,false,5,1,3,1,4,2,0,0,2,2,2,0,0,0,4834,5,7,0,3697.972693421597,195.0765411667356,735.4158047165909,3020,bernd,1,0.0,41,false,false
2051567,meskyanichi/backup,ruby,480,1378286856,1378323325,1378323325,607,607,merged_in_comments,false,false,5,1,0,0,0,1,0,0,2,2,2,0,0,0,4829,2,12,0,3701.801615241251,195.27852557465314,736.1772623731622,3020,bernd,0,0,41,false,false
1896477,meskyanichi/backup,ruby,472,1375788397,,1375905757,1956,,unknown,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,1,5405,3,0,0,3218.3163737280297,174.46808510638297,650.508788159112,3019,qw3,0,0,0,false,false
1676884,meskyanichi/backup,ruby,457,1372711214,1374605094,1374605094,31564,31564,fixes_in_commit,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,3,4903,10,0,0,3117.4790944319802,174.79094431980423,661.4317764633898,3017,databus23,0,0,1,false,false
1596965,meskyanichi/backup,ruby,453,1371214358,1374518129,1374518129,55062,55062,fixes_in_commit,false,false,6,10,0,0,0,0,3,0,7,10,7,0,1,3,4903,171,348,0,3117.4790944319802,174.79094431980423,661.4317764633898,3016,zdzolton,1,0.0,1,false,false
