pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,watchers,requester,prev_pullreqs,requester_succ_rate,followers
842079,metasploit-framework,1378,1359036909,1359037123,1359037123,3,3,18,1,2,1,79,727412,0,0,1,193.42408428785888,1012,booboule,2,0.5,0
840075,metasploit-framework,1375,1359002539,1359025040,1359025040,375,375,18,1,1,1,79,727305,2,0,1,193.45254054351338,1012,wchen-r7,156,0.717948717948718,29
840063,metasploit-framework,1374,1359002304,1359025240,1359025240,382,382,18,1,1,4,79,727305,8,0,14,193.45254054351338,1012,wchen-r7,155,0.7225806451612903,29
839904,metasploit-framework,1372,1358998814,1359056434,1359056434,960,960,18,1,1,1,79,727305,13,0,0,193.45254054351338,1012,sempervictus,39,0.1282051282051282,9
838265,metasploit-framework,1368,1358976082,1359044057,1359044057,1132,1132,18,3,3,3,80,727001,244,0,0,193.53343392925183,1012,wchen-r7,154,0.7272727272727273,29
837867,metasploit-framework,1367,1358973422,1358976610,1358976610,53,53,18,1,3,1,79,727001,112,0,0,193.53343392925183,1012,hmoore-r7,21,0.6666666666666666,60
840302,metasploit-framework,1365,1358969923,1359043662,1359043662,1228,1228,18,8,1,42,80,727001,332,0,3,193.53343392925183,1012,todb-r7,42,0.5,34
840309,metasploit-framework,1364,1358969259,1359056289,1359056289,1450,1450,18,1,1,1,80,727001,16,0,2,193.53343392925183,1012,lmercer-r7,11,0.09090909090909091,0
837129,metasploit-framework,1363,1358961102,1359032648,1359032648,1192,1192,18,10,8,10,80,727001,349,0,0,193.53343392925183,1012,wchen-r7,153,0.7320261437908496,29
836605,metasploit-framework,1362,1358954172,1358954567,1358954567,6,6,18,1,1,1,80,726894,2,0,2,193.56192237107473,1012,booboule,1,1.0,0
836281,metasploit-framework,1361,1358937839,1358949634,1358949634,196,196,18,1,0,1,80,726903,0,0,1,193.55952582394076,1012,booboule,0,0,0
836465,metasploit-framework,1360,1358936870,1358952234,1358952234,256,256,18,1,2,1,80,726903,2,0,2,193.55952582394076,1012,kacpern,1,0.0,0
835114,metasploit-framework,1359,1358931190,1358959529,1358959529,472,472,18,2,3,2,80,726903,137,0,0,193.55952582394076,1012,jvazquez-r7,160,0.69375,11
837492,metasploit-framework,1358,1358912331,1359016056,1359016056,1728,1728,18,1,2,1,79,726683,69,0,0,193.61812509718817,1012,bcoles,12,0.3333333333333333,13
834204,metasploit-framework,1357,1358909404,1358913186,1358913186,63,63,18,1,0,29,79,726683,203,0,23,193.61812509718817,1012,rsmudge,42,0.7380952380952381,34
833193,metasploit-framework,1356,1358884376,1358916879,1358916879,541,541,18,1,0,1,79,726683,62,0,2,193.61812509718817,1012,charles-n2netsec,5,0.2,0
832233,metasploit-framework,1355,1358865838,1358875330,1358875330,158,158,18,1,0,1,79,726673,10,0,7,193.62078954357736,1012,digininja,3,0.3333333333333333,12
831805,metasploit-framework,1354,1358856584,1358913088,1358913088,941,941,18,1,1,1,79,726453,148,0,0,193.6794259229434,1012,bcoles,11,0.36363636363636365,13
831650,metasploit-framework,1353,1358852584,1359032600,1359032600,3000,3000,18,9,13,9,79,726453,196,0,0,193.6794259229434,1012,kacpern,0,0,0
831152,metasploit-framework,1352,1358838307,1358917133,1358917133,1313,1313,18,1,0,1,79,726447,12,0,7,193.6810255944343,1012,rsmudge,41,0.7560975609756098,34
830513,metasploit-framework,1351,1358812776,1358977536,1358977536,2746,2746,18,2,14,2,79,726447,279,0,0,193.6810255944343,1012,julianvilas,0,0,0
832172,metasploit-framework,1349,1358766906,1358864697,1358864697,1629,1629,17,1,3,1,79,726447,72,0,0,193.6810255944343,1012,digininja,2,0.5,12
827819,metasploit-framework,1348,1358747925,1358918487,1358918487,2842,2842,17,1,1,1,79,726348,17,0,0,193.70742398960277,1012,kernelsmith,31,0.2903225806451613,19
827782,metasploit-framework,1347,1358746343,,1358844415,1634,,17,0,0,0,79,726348,0,0,0,193.70742398960277,1012,wchen-r7,152,0.7368421052631579,29
827630,metasploit-framework,1346,1358738989,1358917541,1358917541,2975,2975,17,1,0,1,79,726348,2,0,0,193.70742398960277,1012,averagesecurityguy,7,0.42857142857142855,32
827587,metasploit-framework,1344,1358735930,,1358844601,1811,,17,0,0,0,79,726348,0,0,0,193.70742398960277,1012,f8lerror,0,0,1
819505,metasploit-framework,1342,1358720016,1358764060,1358764060,734,734,17,6,7,7,79,726348,126,0,4,193.70742398960277,1012,digininja,1,0.0,12
819324,metasploit-framework,1341,1358687356,1358696360,1358696360,150,150,17,3,3,3,79,726093,122,0,0,193.77545300670852,1012,bcoles,10,0.3,13
819008,metasploit-framework,1340,1358632766,1358720496,1358720496,1462,1462,17,5,8,6,79,726093,115,0,0,193.77545300670852,1012,digininja,0,0,12
824241,metasploit-framework,1339,1358578771,1358958864,1358958864,6334,6334,18,1,0,3,78,726093,114,0,0,193.77545300670852,1012,kernelsmith,30,0.3,19
818990,metasploit-framework,1338,1358536441,1358704501,1358704501,2801,2801,18,1,6,1,78,726140,45,0,1,193.76291073346738,1012,zeroSteiner,3,0.3333333333333333,2
819997,metasploit-framework,1335,1358457512,1358461110,1358461110,59,59,18,1,0,1,78,725920,2,0,12,193.82163323782234,1012,FireFart,9,0.5555555555555556,11
820766,metasploit-framework,1334,1358456024,1358849286,1358849286,6554,6554,18,1,2,1,78,725920,9,0,6,193.82163323782234,1012,charles-n2netsec,4,0.25,0
819559,metasploit-framework,1333,1358450996,1358861648,1358861648,6844,6844,18,3,1,9,78,725920,249,0,0,193.82163323782234,1012,jvazquez-r7,159,0.6981132075471698,11
819558,metasploit-framework,1332,1358450971,1358861620,1358861620,6844,6844,18,2,1,8,78,725920,229,0,0,193.82163323782234,1012,jvazquez-r7,158,0.7025316455696202,11
819555,metasploit-framework,1331,1358450940,1359022690,1359022690,9529,9529,18,4,1,5,78,725920,209,0,0,193.82163323782234,1012,charles-n2netsec,3,0.3333333333333333,0
819248,metasploit-framework,1330,1358446773,1358454396,1358454396,127,127,19,4,14,4,78,725920,102,0,0,193.82163323782234,1012,charles-n2netsec,2,0.5,0
819197,metasploit-framework,1329,1358446167,1358446304,1358446304,2,2,19,1,0,1,78,725920,2,0,3,193.82163323782234,1012,charles-n2netsec,1,0.0,0
818999,metasploit-framework,1328,1358443295,1358461551,1358461551,304,304,19,3,3,3,78,725920,86,0,0,193.82163323782234,1012,wchen-r7,151,0.7350993377483444,29
818387,metasploit-framework,1326,1358408590,1358434647,1358434647,434,434,19,3,0,19,78,725714,889,48,66,193.87665113253982,1012,wchen-r7,150,0.7333333333333333,29
840259,metasploit-framework,1325,1358399957,1358400756,1358400756,13,13,19,2,2,2,78,725713,3,0,10,193.87691828587884,1012,kernelsmith,28,0.2857142857142857,19
