pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2741558,mitchellh/vagrant,ruby,2754,1388774017,1388774093,1388774093,1,1,github,false,false,7,10,0,0,0,0,1,0,11,12,10,2,0,31,17148,128,25,171,397.59738745043154,32.89013296011196,58.02425938885001,5590,mitchellh,1,1.0,390,true,true
2740412,mitchellh/vagrant,ruby,2752,1388763168,1388763185,1388763185,0,0,github,false,false,7,1,0,1,1,2,0,0,1,1,0,0,1,30,17148,0,0,8,397.59738745043154,32.89013296011196,58.02425938885001,5590,sferik,0,0,572,false,false
2736632,mitchellh/vagrant,ruby,2746,1388706984,1388721844,1388721844,247,247,github,false,false,7,1,0,0,0,1,0,0,1,1,0,1,0,30,17144,0,0,41,396.6985534297713,32.83947736817545,57.86280914605693,5590,jameydeorio,0,0,15,false,false
2733950,mitchellh/vagrant,ruby,2742,1388679073,1388679098,1388679098,0,0,github,false,false,7,1,0,1,1,1,0,0,1,1,1,0,0,30,17121,2,0,0,397.23147012440865,32.883593248057934,57.940540856258394,5590,ryansb,0,0,41,false,false
2733355,mitchellh/vagrant,ruby,2741,1388673358,,1388676973,60,,unknown,false,false,7,1,0,1,1,2,0,0,1,1,1,0,0,30,17121,2,0,0,397.23147012440865,32.883593248057934,57.940540856258394,5590,darthmuffins,0,0,0,false,false
2727910,mitchellh/vagrant,ruby,2734,1388537045,1388634527,1388634527,1624,1624,commits_in_master,false,false,7,3,0,1,1,1,6,6,0,12,4,2,0,29,17040,282,0,0,399.11971830985914,33.039906103286384,58.21596244131456,5590,seginoviax,0,0,0,false,false
2713207,mitchellh/vagrant,ruby,2725,1388199152,1388199328,1388199328,2,2,commits_in_master,false,false,7,2,0,1,1,1,0,0,3,3,2,1,0,31,17004,8,0,38,398.9061397318278,32.99223712067749,58.16278522700541,5589,MarcMeszaros,0,0,1,false,false
2692029,mitchellh/vagrant,ruby,2713,1387830398,1388260142,1388260142,7162,7162,commits_in_master,false,false,7,1,0,2,2,2,0,0,1,1,1,0,0,32,17004,10,0,7,398.9061397318278,32.99223712067749,58.16278522700541,5589,tmatilai,13,0.3076923076923077,19,false,true
2690598,mitchellh/vagrant,ruby,2711,1387809721,1387811846,1387811846,35,35,commits_in_master,false,false,7,1,0,1,1,2,0,0,1,1,0,1,0,32,17004,0,0,2,398.9061397318278,32.99223712067749,58.16278522700541,5589,marcellodesales,0,0,2,false,false
2690441,mitchellh/vagrant,ruby,2710,1387807450,1387983969,1387983969,2941,2941,commit_sha_in_comments,false,false,7,3,2,0,2,3,0,0,1,1,1,0,0,32,17004,16,0,0,398.9061397318278,32.99223712067749,58.16278522700541,5589,picsolvebryan,0,0,0,false,false
