pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commits_open,num_pr_comments,num_issue_comments,num_commit_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,commits_to_hottest_file,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,closer,merger,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member,social_connection_tsay,hotness_vasilescu,team_size_vasilescu,description_complexity,workload,prior_interaction_issue_events,prior_interaction_issue_comments,prior_interaction_pr_events,prior_interaction_pr_comments,prior_interaction_commits,prior_interaction_commit_comments,first_response,ci_latency,ci_errors,ci_test_failures
8217683,mne-tools/mne-python,python,2250,1435631281,,1435643053,196,,unknown,false,false,14,3,2,0,0,0,0,1,0,0,3,3,2,0,1,0,38572,2,1,44,36,234.91133464689412,9.77392927512185,48.50668878979571,136,Eric89GXL,agramfort,,299,0.9230769230769231,13,false,true,false,0.03902439024390244,19,13,48,102,1031,138,476,349,27,-1,-1,false,false
8217082,mne-tools/mne-python,python,2249,1435626946,,1435643353,273,,unknown,false,false,14,2,1,0,0,0,0,1,0,0,2,2,2,0,0,0,38572,5,31,117,105,234.91133464689412,9.77392927512185,48.50668878979571,136,Eric89GXL,agramfort,,298,0.9261744966442953,13,false,true,false,0.5121951219512195,19,14,47,102,1031,137,476,347,27,-1,-1,false,false
8187822,mne-tools/mne-python,python,2247,1435450628,1435475362,1435475362,412,412,commits_in_master,false,false,14,2,2,0,0,0,0,1,0,0,3,3,1,0,0,0,38572,20,0,23,11,234.91133464689412,9.77392927512185,48.50668878979571,136,Eric89GXL,agramfort,agramfort,297,0.9259259259259259,13,false,true,false,0.043689320388349516,21,20,47,102,1027,136,476,345,27,-1,12050.0,false,false
8177908,mne-tools/mne-python,python,2244,1435355413,1435414279,1435414279,981,981,commits_in_master,false,false,14,2,1,0,5,0,5,3,0,0,2,2,2,0,0,0,38799,4,2,52,51,229.85128482692855,9.665197556638057,46.75378231397716,135,mainakjas,mainakjas,mainakjas,65,0.9538461538461539,8,false,true,false,0.25,20,9,48,24,363,12,311,126,14,604,11108.0,false,true
8144031,mne-tools/mne-python,python,2238,1435182388,1435295596,1435295596,1886,1886,commits_in_master,false,false,12,1,1,2,2,0,4,2,0,0,3,3,3,0,0,0,38790,93,21,17,12,229.90461459138953,9.667440061871616,46.76463005929364,135,Eric89GXL,agramfort,agramfort,296,0.9256756756756757,13,false,true,false,0.024390243902439025,18,72,46,103,1021,133,464,342,27,105,15029.0,false,false
8124832,mne-tools/mne-python,python,2233,1435087650,1435121453,1435121453,563,563,commits_in_master,false,false,12,1,1,0,3,0,3,3,0,0,1,1,1,0,0,0,38601,2,0,50,50,230.97847206030934,9.714774228646927,46.9936012020414,134,teonlamont,agramfort,agramfort,55,0.8909090909090909,7,false,true,false,0.24752475247524752,18,13,47,53,318,49,122,258,7,3,9274.0,false,false
8124701,mne-tools/mne-python,python,2232,1435056619,1435153722,1435153722,1618,1618,commits_in_master,false,false,12,3,1,3,2,0,5,3,0,0,1,1,1,0,0,0,38601,52,0,16,16,230.97847206030934,9.714774228646927,46.9936012020414,134,cjayb,Eric89GXL,Eric89GXL,3,0.3333333333333333,3,false,false,false,0.07881773399014778,18,93,46,1,8,3,0,5,0,94,82108.0,false,true
8064423,mne-tools/mne-python,python,2228,1434901399,1434907611,1434907611,103,103,commits_in_master,false,false,12,2,2,2,11,0,13,3,0,0,3,3,2,0,0,0,38601,2,5,74,74,230.90075386648016,9.714774228646927,46.967695137431676,133,dengemann,dengemann,dengemann,300,0.92,28,false,true,false,0.0,18,7,44,52,635,43,324,162,54,9,8922.0,false,false
8089933,mne-tools/mne-python,python,2226,1434870511,,1434920422,831,,unknown,false,false,12,1,1,0,3,0,3,3,0,0,1,1,1,0,0,0,38601,13,0,11,11,230.90075386648016,9.714774228646927,46.967695137431676,133,teonlamont,teonlamont,,54,0.9074074074074074,7,false,true,false,0.054187192118226604,17,6,43,53,310,48,122,255,7,47,8582.0,false,true
8074090,mne-tools/mne-python,python,2222,1434722238,1434736821,1434736821,243,243,github,false,false,12,1,1,0,0,0,0,1,0,0,3,3,3,0,0,0,38580,36,4,84,51,230.9227579056506,9.694142042509071,46.99326075686885,133,Eric89GXL,agramfort,agramfort,295,0.9254237288135593,13,false,true,false,0.15270935960591134,17,37,44,102,995,137,447,344,27,-1,10899.0,false,false
8057074,mne-tools/mne-python,python,2221,1434713867,1434719592,1434719592,95,95,github,false,false,12,2,1,2,3,0,5,2,0,0,3,3,2,0,0,0,38579,5,2,88,75,230.87690194147075,9.694393322792193,46.968558023795325,133,fraimondo,agramfort,agramfort,4,1.0,0,false,false,false,0.07389162561576355,17,23,44,3,14,1,1,6,9,1,9582.0,false,false
8051842,mne-tools/mne-python,python,2215,1434622382,1434638197,1434638197,263,263,github,false,false,12,1,1,0,7,0,7,3,0,0,1,1,1,0,0,0,38579,2,0,1,1,230.87690194147075,9.694393322792193,46.968558023795325,133,cjayb,Eric89GXL,Eric89GXL,0,0,3,false,false,false,0.004901960784313725,17,45,44,0,0,0,0,1,0,231,9347.0,false,false
8026245,mne-tools/mne-python,python,2211,1434488891,1435429408,1435429408,15675,15675,commits_in_master,false,false,13,24,1,43,81,3,127,5,0,0,20,20,20,0,0,0,38573,1982,398,306,92,230.65356596583104,9.695901278096077,46.97586394628367,132,Eric89GXL,Eric89GXL,Eric89GXL,294,0.9251700680272109,13,false,true,false,0.06132075471698113,17,104,51,104,982,137,445,346,27,2399,947471.0,false,true
8019897,mne-tools/mne-python,python,2209,1434463744,1434576040,1434576040,1871,1871,commits_in_master,false,false,14,8,1,4,33,0,37,7,0,0,6,6,6,0,0,0,38573,186,10,236,102,230.67949083555857,9.695901278096077,46.97586394628367,132,jaeilepp,Eric89GXL,Eric89GXL,4,0.75,1,false,false,false,0.35944700460829493,18,36,44,2,107,4,23,214,1,1,84940.0,false,true
8019685,mne-tools/mne-python,python,2208,1434463001,1434476616,1434476616,226,226,commits_in_master,false,false,14,1,1,0,1,0,1,2,0,0,3,3,3,0,0,0,38573,24,10,56,28,230.67949083555857,9.695901278096077,46.97586394628367,132,Eric89GXL,agramfort,agramfort,293,0.9249146757679181,13,false,true,false,0.10138248847926268,18,21,43,104,976,135,443,348,27,80,11465.0,false,false
8015544,mne-tools/mne-python,python,2206,1434448030,1435137819,1435137819,11496,11496,commits_in_master,false,true,14,30,4,15,132,0,147,7,0,0,7,7,6,0,0,0,38573,927,14,267,102,230.67949083555857,9.695901278096077,46.97586394628367,132,jaeilepp,dengemann,dengemann,3,0.6666666666666666,1,false,false,false,0.1963470319634703,18,12,49,1,102,3,23,211,1,19,697313.0,false,true
