pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2600018,mozilla/fhr-jelly,python,159,1386583216,1386586105,1386586105,48,48,github,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,52,4603,2,0,5,419.29176623940907,52.139908755159674,87.98609602433196,2,pascalchevrel,29,0.7586206896551724,10,false,false
2435175,mozilla/fhr-jelly,python,158,1384268901,1384271181,1384271181,38,38,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,57,4604,1,0,7,419.2006950477845,52.12858384013901,87.96698523023458,2,flodolo,6,0.16666666666666666,7,false,false
2365481,mozilla/fhr-jelly,python,157,1383254182,1383266437,1383266437,204,204,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,0,0,1,54,4604,0,0,1,419.2006950477845,52.12858384013901,87.96698523023458,2,ossreleasefeed,82,0.5853658536585366,25,false,true
2355970,mozilla/fhr-jelly,python,156,1383148443,1383155299,1383155299,114,114,github,false,false,2,1,0,1,1,1,0,0,5,5,4,2,1,55,4604,36,0,1,419.2006950477845,52.12858384013901,87.96698523023458,2,ossreleasefeed,81,0.5802469135802469,25,false,true
2346449,mozilla/fhr-jelly,python,155,1383044256,1383047052,1383047052,46,46,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,55,4605,1,0,6,419.1096634093377,52.11726384364821,87.94788273615634,2,flodolo,5,0.2,7,false,false
2283970,mozilla/fhr-jelly,python,154,1382074786,1382088977,1382088977,236,236,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,55,4607,2,0,5,418.92771868895164,52.094638593444756,87.90970262643803,2,flodolo,4,0.25,7,false,false
2248499,mozilla/fhr-jelly,python,153,1381509702,1381510136,1381510136,7,7,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,55,4603,6,0,4,419.29176623940907,52.139908755159674,87.98609602433196,2,pascalchevrel,28,0.7857142857142857,9,false,false
2247685,mozilla/fhr-jelly,python,152,1381501512,1381502784,1381502784,21,21,commits_in_master,false,false,2,1,0,1,1,1,0,0,2,2,2,0,0,55,4600,26,0,8,419.5652173913044,52.17391304347826,88.04347826086958,2,pascalchevrel,27,0.8148148148148148,9,false,false
2152143,mozilla/fhr-jelly,python,151,1380101218,1380109629,1380109629,140,140,github,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,55,4600,0,0,5,419.5652173913044,52.17391304347826,88.04347826086958,2,ossreleasefeed,80,0.575,25,false,true
2143100,mozilla/fhr-jelly,python,150,1379953621,1379953640,1379953640,0,0,github,false,false,2,1,0,0,0,0,0,0,2,2,1,1,0,53,4600,21,0,1,419.5652173913044,52.17391304347826,88.04347826086958,2,lauraxt,9,0.7777777777777778,19,false,true
