pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2739930,mozilla/kitsune,python,1784,1388758336,1389227189,1389227189,7814,7814,commit_sha_in_comments,false,false,13,1,0,1,1,2,0,0,2,2,2,0,0,41,128300,3,6,0,670.0779423226812,38.363211223694464,86.55494933749027,222,rlr,669,0.2705530642750374,80,false,true
2735181,mozilla/kitsune,python,1783,1388690751,1388694394,1388694394,60,60,github,false,false,13,1,0,2,2,2,0,0,2,2,0,0,2,41,128300,0,0,0,670.0779423226812,38.363211223694464,86.55494933749027,222,willkg,203,0.3793103448275862,60,false,true
2733460,mozilla/kitsune,python,1782,1388674385,1388674982,1388674982,9,9,github,false,false,13,1,0,1,1,2,0,0,2,2,0,2,0,41,128300,0,0,3,670.0779423226812,38.363211223694464,86.55494933749027,222,rlr,668,0.2694610778443114,80,false,true
2688032,mozilla/kitsune,python,1781,1387756401,1388670094,1388670094,15228,15228,commit_sha_in_comments,false,false,16,1,0,2,2,1,0,0,3,3,0,3,0,39,128265,0,0,0,670.260788211905,38.373679491677386,86.57856780883327,222,kudrom,3,0.0,1,false,false
2682736,mozilla/kitsune,python,1779,1387617232,1388671852,1388671852,17577,17577,commit_sha_in_comments,false,false,16,3,0,2,2,1,0,0,2,2,0,2,0,39,128265,0,0,0,670.260788211905,38.373679491677386,86.57856780883327,222,bea,2,0.0,4,false,false
2673055,mozilla/kitsune,python,1778,1387474603,1387537558,1387537558,1049,1049,commit_sha_in_comments,false,false,15,3,0,2,2,1,0,0,2,2,0,1,1,38,128265,0,0,0,670.260788211905,38.373679491677386,86.57856780883327,222,kudrom,1,0.0,1,false,false
2667459,mozilla/kitsune,python,1777,1387398587,1387458244,1387458244,994,994,commits_in_master,false,false,14,1,0,4,4,3,0,0,1,1,0,0,1,37,128105,0,0,0,670.5202763358183,38.39038288903634,86.6710901213848,222,willkg,202,0.3811881188118812,60,false,true
2663620,mozilla/kitsune,python,1776,1387390298,1387392042,1387392042,29,29,commit_sha_in_comments,false,false,14,1,1,3,4,2,0,0,1,1,1,0,0,37,128101,34,0,0,670.5412135736645,38.39158164261013,86.67379645748277,222,mythmon,155,0.1870967741935484,34,false,true
2665253,mozilla/kitsune,python,1775,1387379022,1387388288,1387388288,154,154,commit_sha_in_comments,false,false,14,2,0,6,6,2,0,0,3,3,3,0,0,36,128098,150,0,0,670.5569173601461,38.392480756920484,86.67582632047338,222,willkg,201,0.38308457711442784,60,false,true
2664873,mozilla/kitsune,python,1774,1387375700,1387378321,1387378321,43,43,commit_sha_in_comments,false,false,14,2,0,3,3,2,1,1,3,5,4,1,0,36,128095,1851,0,0,670.5101682345135,38.39337991334556,86.67785627854327,222,rehandalal,222,0.1891891891891892,12,false,true
