pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2752211,mysociety/alaveteli,ruby,1306,1389000127,1389266346,1389266346,4436,4436,merged_in_comments,false,false,4,3,0,6,6,3,0,0,2,2,1,1,0,36,13309,2,0,4,842.0617627169585,82.42542640318581,167.25524081448646,112,Claymanus,0,0,0,false,false
2663583,mysociety/alaveteli,ruby,1295,1387368910,1387465616,1387465616,1611,1611,commit_sha_in_comments,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,26,13309,16,0,0,842.0617627169585,82.42542640318581,167.25524081448646,112,crowbot,53,0.6415094339622641,31,true,true
2635126,mysociety/alaveteli,ruby,1288,1386960936,1387273223,1387273223,5204,5204,commit_sha_in_comments,false,false,4,4,0,3,3,2,1,0,3,4,0,3,0,26,13309,0,0,0,842.0617627169585,82.42542640318581,167.25524081448646,112,andrewblack,0,0,1,false,true
2616732,mysociety/alaveteli,ruby,1287,1386774153,1387199820,1387199820,7094,7094,commit_sha_in_comments,false,false,4,2,0,5,5,3,0,0,1,1,0,1,0,26,13309,0,0,0,842.0617627169585,82.42542640318581,167.25524081448646,112,crowbot,51,0.6666666666666666,31,true,true
2607879,mysociety/alaveteli,ruby,1284,1386675439,1387285197,1387285197,10162,10162,commit_sha_in_comments,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,26,13321,5,0,9,841.3032054650553,82.35117483672397,167.10457172884918,112,mhl,32,0.5,29,true,true
2600522,mysociety/alaveteli,ruby,1283,1386589436,1386607807,1386607807,306,306,github,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,26,13309,15,0,0,842.0617627169585,82.42542640318581,167.25524081448646,112,crowbot,49,0.673469387755102,31,true,true
2600224,mysociety/alaveteli,ruby,1282,1386585849,1386607438,1386607438,359,359,github,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,26,13305,0,0,1,840.6614054866591,82.22472754603533,167.08004509582864,112,crowbot,48,0.6666666666666666,31,true,true
2595872,mysociety/alaveteli,ruby,1280,1386506993,,1386577041,1167,,unknown,false,false,4,1,0,0,0,2,0,0,1,1,0,1,0,26,13247,0,0,0,844.5685815656375,82.43375858684986,167.7360911904582,112,slygent,0,0,2,false,false
2592615,mysociety/alaveteli,ruby,1279,1386431676,1386577822,1386577822,2435,2435,github,false,false,3,1,0,1,1,2,0,0,1,1,0,1,0,26,13295,0,0,1,839.1124482888304,82.06092515983453,166.90485144791276,112,henare,44,0.6363636363636364,33,false,true
2587457,mysociety/alaveteli,ruby,1277,1386342924,1386583192,1386583192,4004,4004,github,false,false,3,1,0,1,1,1,0,0,2,2,1,0,1,26,13295,138,0,6,839.1124482888304,82.06092515983453,166.90485144791276,112,mhl,31,0.4838709677419355,29,true,true
2585166,mysociety/alaveteli,ruby,1275,1386314976,1386579162,1386579162,4403,4403,github,false,false,3,1,0,2,2,2,0,0,2,2,2,0,0,26,13295,3,21,1,839.1124482888304,82.06092515983453,166.90485144791276,112,mhl,30,0.4666666666666667,29,true,true
2581462,mysociety/alaveteli,ruby,1273,1386266352,1386587682,1386587682,5355,5355,github,false,false,3,2,0,2,2,2,0,0,2,2,2,0,0,26,13295,7,18,44,839.1124482888304,82.06092515983453,166.90485144791276,112,crowbot,47,0.6595744680851063,31,true,true
2581123,mysociety/alaveteli,ruby,1272,1386263084,1386587681,1386587681,5409,5409,github,false,false,3,1,0,2,2,2,1,0,1,2,0,2,0,26,13295,0,0,4,839.1124482888304,82.06092515983453,166.90485144791276,112,crowbot,46,0.6521739130434783,31,true,true
2581094,mysociety/alaveteli,ruby,1271,1386262927,1386588113,1386588113,5419,5419,github,false,false,3,2,0,2,2,2,0,0,4,4,2,2,0,26,13306,4,11,8,841.6503832857358,82.368856155118,167.21779648278974,112,crowbot,45,0.6444444444444445,31,true,true
2580986,mysociety/alaveteli,ruby,1270,1386262015,1386588620,1386588620,5443,5443,github,false,false,3,1,0,2,2,2,1,0,0,1,0,0,0,26,13309,0,0,0,842.0617627169585,82.42542640318581,167.25524081448646,112,crowbot,44,0.6363636363636364,31,true,true
2580530,mysociety/alaveteli,ruby,1268,1386258338,1386579223,1386579223,5348,5348,github,false,false,3,2,0,2,2,2,0,0,3,3,1,2,0,26,13295,1,0,25,839.1124482888304,82.06092515983453,166.90485144791276,112,mhl,29,0.4482758620689655,29,true,true
2578912,mysociety/alaveteli,ruby,1267,1386241512,1386579269,1386579269,5629,5629,github,false,false,3,1,0,2,2,2,0,0,4,4,4,0,0,26,13295,37,14,25,839.1124482888304,82.06092515983453,166.90485144791276,112,mhl,28,0.42857142857142855,29,true,true
2573337,mysociety/alaveteli,ruby,1265,1386169740,1386587681,1386587681,6965,6965,github,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,26,13275,0,0,0,840.3766478342749,82.18455743879473,167.15630885122408,112,crowbot,43,0.627906976744186,31,true,true
2704263,mysociety/alaveteli,ruby,1262,1386090920,1386587806,1386587806,8281,8281,github,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,26,13274,0,0,0,840.4399578122645,82.19074883230375,167.16890161217418,112,crowbot,42,0.6190476190476191,31,true,true
2567144,mysociety/alaveteli,ruby,1261,1386090362,1386150347,1386150347,999,999,github,false,false,3,2,0,2,2,1,0,0,1,1,1,0,0,26,13274,6,0,4,840.4399578122645,82.19074883230375,167.16890161217418,112,mhl,27,0.4074074074074074,29,true,true
2566035,mysociety/alaveteli,ruby,1258,1386080252,1386238434,1386238435,2636,2636,github,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,26,13274,0,0,1,840.4399578122645,82.19074883230375,167.16890161217418,112,crowbot,40,0.625,31,true,true
2565607,mysociety/alaveteli,ruby,1257,1386076047,1386083366,1386083366,121,121,github,false,false,3,3,0,0,0,0,0,0,2,2,1,0,1,26,13274,26,0,8,840.4399578122645,82.19074883230375,167.16890161217418,112,mhl,26,0.38461538461538464,29,true,true
2564754,mysociety/alaveteli,ruby,1256,1386065257,1386579321,1386579321,8567,8567,github,false,false,3,1,0,1,1,1,1,0,2,3,2,0,1,26,13274,2,6,2,840.4399578122645,82.19074883230375,167.16890161217418,112,mhl,25,0.36,29,true,true
2541789,mysociety/alaveteli,ruby,1242,1385725574,1386064657,1386064657,5651,5651,merged_in_comments,false,false,3,9,0,1,1,2,3,5,14,22,26,1,12,27,13222,93,7,26,842.6864317047346,82.36272878535773,167.6750869762517,112,mhl,24,0.375,29,true,true
2517159,mysociety/alaveteli,ruby,1236,1385398563,,1386237681,13985,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,29,13283,25,0,1,843.7100052698938,82.43619664232477,167.65790860498382,112,mhl,23,0.391304347826087,29,true,true
