pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2634583,nathanmarz/storm,java,771,1386955087,,1386967460,206,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,84,46306,2,0,0,0.0,0.0,0.0,8087,lorcan,1,1.0,6,false,false
2625647,nathanmarz/storm,java,769,1386870529,,1387207279,5612,,unknown,false,false,2,2,0,1,1,1,1,0,2,3,3,0,0,86,46306,131,0,0,0.0,0.0,0.0,8086,ptgoetz,9,0.3333333333333333,40,false,true
2617495,nathanmarz/storm,java,768,1386780843,,1386894066,1887,,unknown,false,false,2,2,0,1,1,2,0,0,1,1,1,0,0,86,46306,6,0,1,0.0,0.0,0.0,8085,ptgoetz,8,0.375,40,false,true
2609678,nathanmarz/storm,java,767,1386690809,,1386894098,3388,,unknown,false,false,2,5,0,1,1,1,1,1,561,563,550,5,6,87,46306,5742,0,40,0.0,0.0,0.0,8085,ptgoetz,7,0.42857142857142855,40,false,true
2609569,nathanmarz/storm,java,766,1386689881,,1387215330,8757,,unknown,false,false,2,1,0,12,12,5,0,5,5,10,21,1,1,87,46306,415,0,6,0.0,0.0,0.0,8085,ptgoetz,6,0.5,40,false,true
2543033,nathanmarz/storm,java,762,1385997416,,1386261180,4396,,unknown,false,false,1,2,0,0,0,0,0,0,3,3,3,0,0,96,44562,4,0,0,0.0,0.0,0.0,8048,bridiver,0,0,0,false,false
2543032,nathanmarz/storm,java,761,1385803586,,1385803647,1,,unknown,false,false,1,3,0,0,0,0,0,0,3,3,3,0,0,96,46308,77,0,0,0.0,0.0,0.0,8030,ypf412,0,0,12,true,false
2531929,nathanmarz/storm,java,759,1385572069,1386196595,1386196595,10408,10408,github,false,false,1,3,0,0,0,0,0,0,3,3,1,0,2,96,46308,8,0,3,0.0,0.0,0.0,8024,ptgoetz,5,0.4,40,false,true
2525276,nathanmarz/storm,java,755,1385493109,1386006041,1386006041,8548,8548,github,false,false,1,1,0,4,4,3,0,0,2,2,2,0,0,96,46308,25,0,0,0.0,0.0,0.0,8023,ptgoetz,4,0.25,40,false,true
2410646,nathanmarz/storm,java,735,1383892585,,1383892735,2,,unknown,false,false,1,35,0,0,0,0,1,0,14,15,14,1,0,96,46299,331,0,0,0.0,0.0,0.0,8017,lmhitmsft,0,0,0,true,false
2388299,nathanmarz/storm,java,730,1383638830,1384110982,1384110984,7869,7869,github,false,false,1,2,1,4,5,4,0,0,2,2,2,0,0,96,46299,13,0,2,0.0,0.0,0.0,8016,xiaokang,7,0.2857142857142857,21,false,false
2353424,nathanmarz/storm,java,726,1383147997,1386194886,1386194886,50781,50781,github,false,false,1,3,9,32,41,6,0,0,2,2,1,1,0,96,46299,66,0,4,0.0,0.0,0.0,8015,brndnmtthws,2,0.5,14,false,false
2341520,nathanmarz/storm,java,725,1382978519,,1383319221,5678,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,97,46299,13,0,0,0.0,0.0,0.0,8013,d2r,20,0.8,3,false,false
2330623,nathanmarz/storm,java,722,1382747853,1384559932,1384559933,30141,30141,github,false,false,1,1,2,2,4,5,0,0,3,3,3,0,0,97,44562,75,0,0,0.0,0.0,0.0,8011,davidlao2k,1,0.0,0,false,true
2301208,nathanmarz/storm,java,715,1382380927,,1386609230,70411,,unknown,false,false,1,2,2,5,7,4,0,0,1,1,1,0,0,97,46296,44,0,0,0.0,0.0,0.0,8008,enachb,0,0,7,false,false
2287702,nathanmarz/storm,java,713,1382117188,1382488402,1382488404,6186,6186,github,false,false,2,2,4,4,8,4,0,0,1,1,1,0,0,96,46296,7,0,1,0.0,0.0,0.0,8007,brndnmtthws,1,0.0,14,false,false
2269579,nathanmarz/storm,java,710,1381880772,1384229443,1383319226,23914,39084,github,false,false,1,2,0,12,12,5,0,0,1,1,1,0,0,98,46296,8,0,4,0.0,0.0,0.0,8004,d2r,19,0.7894736842105263,3,false,false
2242846,nathanmarz/storm,java,706,1381433102,1382664489,1382664492,20523,20523,github,false,false,1,1,0,6,6,5,0,0,1,1,1,0,0,98,46296,20,0,6,0.0,0.0,0.0,8002,d2r,18,0.7777777777777778,3,false,false
2241801,nathanmarz/storm,java,705,1381424352,1383936812,1383936813,41814,41814,github,false,false,1,6,13,9,22,5,0,0,3,3,2,1,0,98,46296,80,0,9,0.0,0.0,0.0,8002,strongh,2,0.5,25,false,false
2233101,nathanmarz/storm,java,702,1381320786,1382664898,1382664900,22401,22401,github,false,false,1,1,0,3,3,2,1,0,1,2,2,0,0,98,46296,42,0,1,0.0,0.0,0.0,8001,xumingming,26,0.6538461538461539,149,false,true
2191113,nathanmarz/storm,java,694,1380677334,,1383319225,43971,,unknown,false,false,1,2,0,1,1,1,0,0,5,5,4,1,0,98,46282,53,0,0,0.0,0.0,0.0,7997,d2r,17,0.8235294117647058,3,false,false
2188798,nathanmarz/storm,java,693,1380649599,1381102209,1381102210,7543,7543,github,false,false,1,1,0,3,3,3,0,0,4,4,3,1,0,98,46282,27,0,8,0.0,0.0,0.0,7997,revans2,8,0.75,2,false,false
2187437,nathanmarz/storm,java,692,1380636026,1381098810,1381098811,7713,7713,github,false,false,1,1,0,2,2,3,0,0,1,1,1,0,0,98,46282,16,0,0,0.0,0.0,0.0,7997,d2r,16,0.8125,3,false,false
2178301,nathanmarz/storm,java,691,1380520787,1380573694,1380573695,881,881,github,false,false,1,1,0,4,4,4,0,0,1,1,1,0,0,98,46282,2,0,0,0.0,0.0,0.0,7996,miofthena,0,0,1,false,false
2122931,nathanmarz/storm,java,683,1380055234,1380285176,1380285176,3832,3832,github,false,false,1,3,8,4,12,6,0,0,1,1,0,0,1,98,46282,0,0,6,0.0,0.0,0.0,7993,roadkill001,0,0,0,false,false
2111997,nathanmarz/storm,java,682,1379549373,,1380441034,14861,,unknown,false,false,1,2,2,4,6,2,0,0,2,2,2,0,0,99,46282,10,0,0,0.0,0.0,0.0,7983,herberteuler,3,0.3333333333333333,4,false,false
2035080,nathanmarz/storm,java,672,1378226240,1378274545,1378274545,805,805,github,false,false,1,4,0,3,3,2,0,0,1,1,1,0,0,99,46248,11,0,12,0.0,0.0,0.0,7973,ankitoshniwal,3,0.6666666666666666,0,false,false
2034690,nathanmarz/storm,java,671,1378222440,1379543624,1379543628,22019,22019,github,false,false,1,3,0,2,2,2,0,0,2,2,2,0,0,99,46248,50,0,2,0.0,0.0,0.0,7973,revans2,6,0.8333333333333334,2,false,false
2016314,nathanmarz/storm,java,670,1377795786,1377796488,1377796488,11,11,github,false,false,1,1,0,4,4,2,0,0,4,4,4,0,0,99,46248,4,0,3,0.0,0.0,0.0,7971,jasonjckn,20,0.5,27,false,true
2001127,nathanmarz/storm,java,669,1377722980,1379547176,1379547177,30403,30403,github,false,false,1,1,0,1,1,1,0,0,2,2,2,0,0,99,46248,4,0,7,0.0,0.0,0.0,7971,d2r,15,0.8,3,false,false
1998464,nathanmarz/storm,java,667,1377693577,1379543695,1379543696,30835,30835,github,false,false,1,2,0,2,2,2,0,0,2,2,2,0,0,99,46248,12,0,10,0.0,0.0,0.0,7971,revans2,5,0.8,2,false,false
1988715,nathanmarz/storm,java,664,1377544186,1377567427,1377567427,387,387,github,false,false,1,2,0,0,0,0,1,1,1,3,1,0,1,99,46230,5,0,0,0.0,0.0,0.0,7970,jaked,2,1.0,52,false,false
1988676,nathanmarz/storm,java,663,1377543836,1377567485,1377567485,394,394,github,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,99,46230,26,0,0,0.0,0.0,0.0,7970,jaked,1,1.0,52,false,false
1974432,nathanmarz/storm,java,662,1377238496,,1377239387,14,,unknown,false,false,1,2,0,0,0,1,0,0,1,1,1,0,0,99,46230,8,0,0,0.0,0.0,0.0,7967,wugang33,0,0,0,false,false
1966698,nathanmarz/storm,java,661,1377118884,,1380467649,55812,,unknown,false,true,1,2,0,1,1,1,0,0,1,1,0,0,1,99,46230,0,0,0,0.0,0.0,0.0,7966,brndnmtthws,0,0,9,false,false
1966502,nathanmarz/storm,java,660,1377116137,1377121136,1377121136,83,83,github,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,99,46230,21,0,14,0.0,0.0,0.0,7966,d2r,14,0.7857142857142857,3,false,false
1959580,nathanmarz/storm,java,658,1377023950,1381163031,1381163031,68984,68984,merged_in_comments,false,true,1,1,2,1,3,3,0,0,1,1,0,0,1,99,46230,0,0,0,0.0,0.0,0.0,7965,ssurgnier,0,0,3,false,false
2016315,nathanmarz/storm,java,651,1376291534,,1379547116,54259,,unknown,false,false,1,2,0,1,1,1,0,0,2,2,1,0,1,99,46230,4,0,0,0.0,0.0,0.0,7962,fxjwind,0,0,0,false,false
1916063,nathanmarz/storm,java,650,1376076195,1376078605,1376078605,40,40,github,false,false,1,9,0,0,0,0,0,0,3,3,3,0,0,99,46226,19,0,0,0.0,0.0,0.0,7962,ankitoshniwal,2,0.5,0,false,false
1900475,nathanmarz/storm,java,648,1375838093,,1387006085,186073,,unknown,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,99,46226,4,0,0,0.0,0.0,0.0,7960,jingege,0,0,6,false,false
1898039,nathanmarz/storm,java,647,1375805992,1375818954,1375818954,216,216,github,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,99,46226,4,0,4,0.0,0.0,0.0,7958,jaked,0,0,52,false,false
