pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2761459,neo4j/neo4j,java,1794,1389123948,1389186310,1389186310,1039,1039,github,false,false,20,2,0,2,2,1,5,0,26,31,31,0,0,79,177275,1697,193,146,811.9306162741503,21.565364546608375,51.016781836130306,530,tinwelint,141,0.6312056737588653,16,false,true
2758195,neo4j/neo4j,java,1793,1389088275,1389097786,1389097786,158,158,github,false,false,20,1,0,1,1,1,1,0,2,3,2,0,1,79,177258,39,0,10,811.8674474494804,21.561791287276176,51.004750138216615,530,systay,166,0.5060240963855421,20,false,true
2754832,neo4j/neo4j,java,1792,1389034536,1389087351,1389087351,880,880,github,false,false,20,1,0,5,5,2,0,0,2,2,2,0,0,79,176904,4,18,7,810.8635191968525,21.42970198525754,50.72807850585628,530,jotomo,15,0.4666666666666667,2,false,false
2754777,neo4j/neo4j,java,1791,1389033958,1389083423,1389083423,824,824,github,false,false,20,1,0,0,0,0,0,0,2,2,2,0,0,79,176904,2,47,7,810.8635191968525,21.42970198525754,50.72807850585628,530,jotomo,14,0.42857142857142855,2,false,false
2753451,neo4j/neo4j,java,1790,1389018302,1389084273,1389084273,1099,1099,github,false,false,20,2,0,1,1,1,4,0,17,21,19,0,0,79,176904,606,686,61,810.8635191968525,21.42970198525754,50.72807850585628,530,apcj,31,0.5483870967741935,16,false,true
2751160,neo4j/neo4j,java,1787,1388975090,1389089172,1389089172,1901,1901,github,false,false,19,1,0,0,0,0,0,0,1,1,1,0,0,79,176904,94,0,2,810.8635191968525,21.42970198525754,50.72807850585628,530,cleishm,69,0.463768115942029,1,false,true
2743421,neo4j/neo4j,java,1784,1388792555,1389095979,1389095979,5057,5057,github,false,false,19,2,0,4,4,2,0,0,5,5,5,0,0,79,177258,67,56,21,811.8674474494804,21.561791287276176,51.004750138216615,530,chrisvest,35,0.17142857142857143,37,false,true
2743193,neo4j/neo4j,java,1783,1388789397,1389082962,1389082962,4892,4892,github,false,false,19,1,0,0,0,0,0,0,3,3,0,0,3,79,176904,0,0,13,810.8635191968525,21.42970198525754,50.72807850585628,530,nawroth,34,0.7647058823529411,35,false,true
2732329,neo4j/neo4j,java,1780,1388661927,1388782814,1388782814,2014,2014,github,false,false,19,1,0,1,1,1,0,0,20,20,20,0,0,80,176780,303,97,57,811.1607647923973,21.42776332164272,50.69578006561829,530,tinwelint,140,0.6285714285714286,16,false,true
2732114,neo4j/neo4j,java,1779,1388657986,1388763924,1388763924,1765,1765,github,false,false,19,1,0,0,0,0,0,0,4,4,4,0,0,80,176780,8,0,17,811.1607647923973,21.42776332164272,50.69578006561829,530,apcj,30,0.5333333333333333,16,false,true
2730180,neo4j/neo4j,java,1775,1388611979,1388648304,1388648304,605,605,commits_in_master,false,false,19,2,0,1,1,1,26,0,4386,4412,4265,86,61,80,176751,1120,36,4211,811.1354391205707,21.42562135433463,50.704097855174794,530,cleishm,67,0.47761194029850745,1,false,true
2730155,neo4j/neo4j,java,1774,1388611384,,1388648290,615,,unknown,false,false,19,2,0,1,1,1,8,0,3149,3157,3015,86,56,80,149861,1136,28,551,722.6563281974629,18.75070899033104,48.83859042712914,530,cleishm,66,0.48484848484848486,1,false,true
2730142,neo4j/neo4j,java,1773,1388611187,1388611209,1388611209,0,0,commits_in_master,false,false,19,250,0,0,0,0,165,59,4686,4910,4377,169,236,80,149861,23788,8918,3011,722.6563281974629,18.75070899033104,48.83859042712914,530,cleishm,65,0.49230769230769234,1,false,true
2726690,neo4j/neo4j,java,1772,1388508434,1388648823,1388648823,2339,2339,commits_in_master,false,false,19,2,0,0,0,0,0,0,2,2,2,0,0,80,176751,10,0,5,811.1354391205707,21.42562135433463,50.704097855174794,530,jotomo,13,0.46153846153846156,2,false,false
2714761,neo4j/neo4j,java,1769,1388246663,1389179171,1389179171,15541,15541,commits_in_master,false,false,19,1,0,5,5,4,0,0,1,1,1,0,0,81,176751,34,0,0,811.1467544738078,21.42562135433463,50.704097855174794,530,nikulukani,0,0,0,false,false
2702327,neo4j/neo4j,java,1767,1388077525,1388263765,1388263765,3104,3104,commits_in_master,false,false,19,1,0,1,1,1,0,0,3,3,2,0,1,81,176751,0,14,2,811.1467544738078,21.42562135433463,50.704097855174794,530,jotomo,12,0.5,2,false,false
2700300,neo4j/neo4j,java,1765,1388032735,1388778880,1388778880,12435,12435,commits_in_master,false,false,19,2,0,1,1,1,0,0,5,5,5,0,0,81,176751,206,0,11,811.1467544738078,21.42562135433463,50.704097855174794,530,cleishm,64,0.5,1,false,true
