pull_req_id, project_name, github_id, created_at,merged_at, lifetime_minutes, team_size_at_merge, num_commits, num_commit_comments, num_issue_comments, num_comments, files_changed, total_commits_last_month, main_team_commits_last_month, sloc, churn, commits_on_files_touched, test_lines_per_1000_lines, test_cases_per_1000_lines, assertions_per_1000_lines
469319, nexus, 656, 1352713973, 1352714044, 1, 7, 1, 0, 0, 0, 1, 729, 154, 118832, 8, 2, 605.846909923253, 15.139019792648446, 49.330146761815
465983, nexus, 654, 1352569570, 1352589457, 331, 7, 3, 0, 0, 0, 14, 733, 156, 119007, 6115, 43, 606.2584553849773, 15.167175040123691, 49.38364970127808
459711, nexus, 655, 1352574869, 1352587390, 208, 7, 2, 1, 0, 1, 3, 731, 154, 119007, 495, 206, 606.3088725873268, 15.167175040123691, 49.38364970127808
463291, nexus, 629, 1351682030, 1352475700, 13227, 7, 10, 0, 0, 0, 23, 715, 147, 113373, 1709, 9, 627.071701375107, 15.63864412161626, 51.308512608822205
460912, nexus, 649, 1352341959, 1352420574, 1310, 7, 12, 0, 0, 0, 853, 697, 142, 115647, 766, 1392, 616.4794590434684, 15.46084204518924, 50.489852741532424
460140, nexus, 647, 1352312920, 1352408002, 1584, 7, 2, 0, 0, 0, 3, 683, 141, 115266, 136, 4, 618.6212760050665, 15.48591952527198, 50.58733711588847
459605, nexus, 652, 1352401370, 1352405100, 62, 7, 1, 0, 0, 0, 49, 677, 138, 115647, 7047, 75, 616.4967530502305, 15.46084204518924, 50.489852741532424
492491, nexus, 646, 1352303781, 1352358929, 919, 7, 1, 0, 0, 0, 3, 654, 130, 115208, 143, 3, 618.2903965002431, 15.458995903062288, 50.5954447607805
492490, nexus, 650, 1352342419, 1352358067, 260, 7, 1, 0, 0, 0, 1, 653, 129, 115265, 21, 23, 618.6266429531948, 15.486053875851299, 50.587775994447576
492493, nexus, 644, 1352290392, 1352292384, 33, 7, 4, 0, 0, 0, 7, 601, 105, 114095, 876, 11, 623.3139050791008, 15.539681844077304, 50.983829265086115
492519, nexus, 618, 1351189444, 1352231169, 17302, 7, 4, 0, 0, 0, 7, 578, 90, 113371, 155, 13, 626.6770161681559, 15.630099408137882, 51.22121177373403
492495, nexus, 642, 1352195753, 1352228470, 545, 7, 1, 0, 0, 0, 2, 576, 89, 113355, 93, 4, 627.3036037228177, 15.632305588637468, 51.22844162145472
492496, nexus, 641, 1352152293, 1352219273, 1116, 7, 3, 0, 0, 0, 2739, 574, 87, 114026, 233462, 2985, 625.1118166032309, 15.575395085331417, 50.92698156560784
492577, nexus, 572, 1350040161, 1352194212, 35840, 7, 2, 0, 0, 0, 3, 570, 84, 123950, 58, 3, 587.7773295683744, 14.643001210165389, 48.49536103267447
492499, nexus, 638, 1352147967, 1352188538, 676, 7, 28, 0, 0, 0, 724, 566, 81, 114026, 391021, 1758, 625.1118166032309, 15.575395085331417, 50.92698156560784
492497, nexus, 640, 1352149245, 1352187922, 644, 7, 1, 0, 0, 0, 1, 564, 80, 114026, 2816, 286, 625.1118166032309, 15.575395085331417, 50.92698156560784
492503, nexus, 634, 1351895266, 1352148914, 4227, 7, 1, 0, 0, 0, 3, 553, 80, 114253, 173, 204, 623.9223477720498, 15.544449598697629, 50.82579888493081
492505, nexus, 632, 1351804120, 1352141893, 5629, 7, 7, 0, 0, 0, 72, 549, 78, 114238, 961, 256, 624.0042717834697, 15.546490659850488, 50.83247255729267
492504, nexus, 633, 1351892419, 1352141405, 4149, 7, 4, 0, 0, 0, 4, 549, 77, 114253, 261, 3, 623.9223477720498, 15.544449598697629, 50.82579888493081
492506, nexus, 631, 1351735308, 1351809566, 1237, 7, 1, 0, 0, 0, 38, 527, 81, 114236, 8235, 228, 624.0151966105257, 15.546762841836198, 50.83336251269302
492509, nexus, 626, 1351553194, 1351580805, 460, 7, 1, 0, 0, 0, 4, 478, 63, 112656, 77, 200, 631.7106945036217, 15.569521374804715, 51.23561994034939
492510, nexus, 625, 1351511732, 1351580002, 1137, 7, 1, 0, 0, 0, 9, 476, 61, 112656, 461, 12, 631.5331629029968, 15.56064479477347, 51.22674336031813
492513, nexus, 623, 1351238596, 1351527370, 4752, 7, 1, 0, 0, 0, 3, 472, 60, 113420, 48, 7, 629.9506259918885, 15.50872861929113, 50.93457943925234
492517, nexus, 619, 1351197904, 1351440943, 3990, 7, 14, 0, 0, 0, 25, 463, 56, 113420, 293, 110, 630.0564274378416, 15.50872861929113, 50.93457943925234
492515, nexus, 621, 1351211074, 1351440943, 3771, 7, 9, 0, 0, 0, 23, 463, 56, 113420, 2930, 246, 629.9506259918885, 15.50872861929113, 50.93457943925234
492516, nexus, 620, 1351199307, 1351440943, 3967, 7, 29, 0, 0, 0, 68, 463, 56, 113420, 3392, 305, 629.9506259918885, 15.50872861929113, 50.93457943925234
492511, nexus, 624, 1351298513, 1351440937, 2313, 7, 60, 0, 0, 0, 166, 462, 55, 113420, 4440, 245, 630.0564274378416, 15.50872861929113, 50.93457943925234
492514, nexus, 622, 1351235957, 1351286701, 845, 7, 1, 0, 0, 0, 2, 451, 60, 113420, 33, 2, 629.9506259918885, 15.50872861929113, 50.93457943925234
492521, nexus, 617, 1351180983, 1351280103, 1652, 7, 2, 0, 0, 0, 18, 444, 58, 113420, 511, 223, 629.9506259918885, 15.50872861929113, 50.93457943925234
492580, nexus, 569, 1349894137, 1350053100, 2649, 7, 1, 0, 0, 0, 1, 144, 51, 123798, 2, 2, 588.4666957462964, 14.660979983521543, 48.55490395644517
492587, nexus, 561, 1349421325, 1350041763, 10340, 7, 1, 0, 0, 0, 1, 145, 52, 123494, 14, 1, 586.6276904141092, 14.648484946637083, 48.53677101721541
492578, nexus, 571, 1350031635, 1350033197, 26, 7, 1, 0, 0, 0, 1, 143, 51, 123950, 4, 1, 587.7773295683744, 14.643001210165389, 48.49536103267447
492581, nexus, 568, 1349892542, 1349894332, 29, 7, 3, 0, 0, 0, 10, 135, 44, 123798, 361, 18, 588.4666957462964, 14.660979983521543, 48.55490395644517
492582, nexus, 567, 1349528128, 1349874846, 5778, 7, 3, 0, 0, 0, 24, 129, 43, 123548, 4694, 39, 587.0997507041798, 14.642082429501084, 48.52365072684301
492586, nexus, 562, 1349432890, 1349590284, 2623, 7, 1, 0, 0, 0, 1, 134, 49, 123494, 106, 6, 586.6276904141092, 14.648484946637083, 48.53677101721541
492590, nexus, 558, 1349286004, 1349460383, 2906, 7, 2, 0, 0, 0, 3, 138, 48, 123425, 107, 3, 586.5424346769294, 14.648572007291877, 48.531496860441564
492588, nexus, 560, 1349354301, 1349410970, 944, 7, 1, 0, 0, 0, 3, 135, 49, 123486, 164, 13, 586.6656948965875, 14.649433943928868, 48.53991545600311
492591, nexus, 557, 1349269314, 1349351488, 1369, 7, 2, 0, 0, 0, 2, 138, 51, 123422, 61, 4, 586.5566916757142, 14.648928067929543, 48.53267650824002
492589, nexus, 559, 1349336388, 1349351110, 245, 7, 1, 0, 0, 0, 2, 137, 50, 123425, 94, 3, 586.5424346769294, 14.648572007291877, 48.531496860441564
492592, nexus, 556, 1349255030, 1349272632, 293, 8, 1, 0, 0, 0, 3, 138, 53, 123406, 23, 4, 585.2146573100173, 14.60220734810301, 48.51465893068408
492484, nexus, 546, 1347989236, 1348137415, 2469, 7, 1, 0, 0, 0, 7, 153, 46, 123091, 119, 16, 582.1221697768317, 14.525838607209302, 48.451958307268605
492485, nexus, 545, 1347953683, 1347967817, 235, 7, 1, 0, 0, 0, 1, 143, 44, 123091, 2, 4, 582.1221697768317, 14.525838607209302, 48.451958307268605
