pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2742714,nipy/nipype,python,761,1388784080,1389188435,1389188435,6739,6739,github,false,true,3,1,0,8,8,6,0,0,1,1,1,0,0,89,34811,2,0,6,706.3284593950189,41.969492401827004,116.57234782109103,99,moloney,8,1.0,0,false,false
2729198,nipy/nipype,python,759,1388589914,1388662665,1388662665,1212,1212,commits_in_master,false,false,3,3,0,1,1,1,0,0,2,2,1,1,0,90,34804,25,0,4,706.4705206298127,41.97793357085392,116.59579358694403,98,rku,0,0,5,false,false
2716848,nipy/nipype,python,758,1388309765,1388348874,1388348874,651,651,commits_in_master,false,false,3,2,0,1,1,1,0,0,2,2,2,0,0,91,34804,2,2,38,706.4705206298127,41.97793357085392,116.59579358694403,98,mfalkiewicz,0,0,0,false,false
2698990,nipy/nipype,python,756,1387990629,,1387990793,2,,unknown,false,false,2,1,0,0,0,0,0,0,3,3,2,0,1,92,34804,16,0,0,706.4705206298127,41.97793357085392,116.59579358694403,98,satra,183,0.8087431693989071,41,false,true
2680312,nipy/nipype,python,754,1387566849,1387567187,1387567187,5,5,commits_in_master,false,false,2,2,0,0,0,1,0,0,4,4,4,0,0,92,34769,45,9,14,706.5201760188675,42.020190399493806,116.71316402542494,97,satra,181,0.8176795580110497,41,false,true
2676995,nipy/nipype,python,753,1387530698,1387565744,1387565744,584,584,commits_in_master,false,false,2,6,0,4,4,2,0,0,4,4,4,0,0,96,34790,44,6,94,705.8924978442082,41.99482609945387,116.52773785570567,97,chrisfilo,126,0.873015873015873,19,false,true
2648252,nipy/nipype,python,750,1387209731,1387467791,1387467791,4301,4301,commits_in_master,false,false,2,4,0,9,9,3,0,0,2,2,2,0,0,98,34614,12,4,14,701.6814005893569,41.71722424452533,115.84907840758075,97,mluessi,0,0,11,false,false
2622507,nipy/nipype,python,749,1386851253,1387538845,1387538845,11459,11459,commits_in_master,false,false,2,10,7,3,10,3,2,0,8,10,1,5,2,99,34614,73,0,41,701.6814005893569,41.71722424452533,115.84907840758075,97,satra,180,0.8222222222222222,41,false,true
2594525,nipy/nipype,python,747,1386469420,1386904370,1386904370,7249,7249,commits_in_master,false,false,2,2,0,3,3,2,0,0,1,1,1,0,0,99,34614,10,0,7,701.6814005893569,41.71722424452533,115.84907840758075,97,satra,179,0.8268156424581006,41,false,true
2556607,nipy/nipype,python,746,1386364273,1387482761,1387482761,18641,18641,commits_in_master,false,false,1,4,3,3,6,3,0,0,1,1,1,0,0,99,34613,96,0,50,701.7016727819027,41.71842949180944,115.8524253893046,97,sgiavasis,4,0.0,0,false,false
2586342,nipy/nipype,python,745,1386332295,1386404945,1386404945,1210,1210,github,false,false,1,3,0,0,0,0,0,0,3,3,2,0,1,99,34613,9,9,30,701.7016727819027,41.71842949180944,115.8524253893046,97,chrisfilo,125,0.872,19,false,true
2585302,nipy/nipype,python,744,1386315502,1386317019,1386317019,25,25,github,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,99,34613,0,0,0,701.7016727819027,41.71842949180944,115.8524253893046,97,apdavison,0,0,6,false,false
