pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2776720,nla/banjo,java,318,1389319262,1389319374,1389319374,1,1,github,false,false,7,1,0,1,1,1,0,0,1,1,0,1,0,70,5742,0,0,6,111.80773249738766,9.578544061302681,15.499825844653431,4,huwr,93,0.3763440860215054,6,true,true
2775869,nla/banjo,java,316,1389305137,1389311047,1389311047,98,98,github,false,false,7,2,0,0,0,0,0,0,1,1,0,0,1,70,5742,0,0,43,111.80773249738766,9.578544061302681,15.499825844653431,4,huwr,92,0.3695652173913043,6,true,true
2770284,nla/banjo,java,314,1389243330,1389301413,1389301413,968,968,commits_in_master,false,false,7,1,0,0,0,0,0,0,5,5,1,0,4,70,5724,52,0,109,112.15932914046121,9.608665269042627,15.548567435359889,4,huwr,91,0.37362637362637363,6,true,true
2769863,nla/banjo,java,313,1389234275,1389234345,1389234345,1,1,github,false,false,7,1,0,0,0,0,0,0,2,2,1,0,1,71,5724,8,0,83,112.15932914046121,9.608665269042627,15.548567435359889,4,huwr,90,0.36666666666666664,6,true,true
2769451,nla/banjo,java,312,1389227146,1389233015,1389233015,97,97,github,false,false,7,8,0,2,2,2,0,0,8,8,2,1,7,70,5718,62,0,522,112.27701993704092,9.618747813920951,15.564882826162995,4,huwr,89,0.3595505617977528,6,true,true
2763447,nla/banjo,java,311,1389150514,1389150656,1389150656,2,2,github,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,70,5718,6,0,87,112.27701993704092,9.618747813920951,15.564882826162995,4,huwr,88,0.3522727272727273,6,true,true
2763445,nla/banjo,java,310,1389150484,1389150641,1389150641,2,2,github,false,false,7,1,0,0,0,0,0,0,2,2,0,0,2,70,5718,0,0,52,112.27701993704092,9.618747813920951,15.564882826162995,4,huwr,87,0.3448275862068966,6,true,true
2762864,nla/banjo,java,309,1389140508,1389140635,1389140635,2,2,github,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,71,5722,12,0,39,112.19853198182454,9.612023767913318,15.554002097168823,4,JonathanShaw,38,0.3684210526315789,0,true,true
2762824,nla/banjo,java,308,1389139845,1389140216,1389140216,6,6,github,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,71,5727,4,0,84,112.10057621791513,9.603631918980268,15.540422559804435,4,JonathanShaw,37,0.35135135135135137,0,true,true
2740339,nla/banjo,java,307,1389138236,1389139893,1389139893,27,27,github,false,false,7,1,1,0,1,2,0,0,3,3,1,0,2,71,5727,7,0,157,112.10057621791513,9.603631918980268,15.540422559804435,4,huwr,86,0.3372093023255814,6,true,true
2757031,nla/banjo,java,306,1389066236,,1389066316,1,,unknown,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,70,5727,7,0,0,112.10057621791513,9.603631918980268,15.540422559804435,4,JonathanShaw,36,0.3611111111111111,0,true,true
2756972,nla/banjo,java,304,1389064705,1389064979,1389064979,4,4,github,false,false,7,1,0,0,0,1,0,0,1,1,0,1,0,71,5727,0,0,50,112.10057621791513,9.603631918980268,15.540422559804435,4,huwr,85,0.32941176470588235,6,true,true
2756822,nla/banjo,java,303,1389061057,1389061079,1389061079,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,71,5726,1,0,40,112.12015368494586,9.60530911631156,15.543136570031436,4,huwr,84,0.32142857142857145,6,true,true
2756461,nla/banjo,java,302,1389054199,1389057619,1389057619,57,57,github,false,false,7,4,0,0,0,0,0,1,3,4,4,0,0,71,6080,1127,0,240,105.59210526315789,9.046052631578947,14.638157894736842,4,JonathanShaw,35,0.34285714285714286,0,true,true
2738230,nla/banjo,java,301,1389053996,1389054108,1389054108,1,1,github,false,false,7,1,0,0,0,1,0,0,5,5,2,0,3,71,6076,31,0,233,105.66161948650428,9.052007899934168,14.647794601711654,4,huwr,83,0.3132530120481928,6,true,true
2736409,nla/banjo,java,300,1388976775,1388976944,1388976944,2,2,github,false,false,7,2,1,1,2,2,0,0,4,4,3,0,1,71,6072,11,0,177,105.73122529644269,9.057971014492754,14.657444005270092,4,huwr,82,0.3048780487804878,6,true,true
2750820,nla/banjo,java,299,1388967150,1388967335,1388967335,3,3,github,false,false,7,1,0,0,0,1,0,0,1,1,0,0,1,71,6072,0,0,8,105.73122529644269,9.057971014492754,14.657444005270092,4,terenceingram,51,0.35294117647058826,1,true,true
2687929,nla/banjo,java,298,1387752930,1387754112,1387754112,19,19,commits_in_master,false,false,7,11,0,0,0,0,3,0,6,9,7,1,1,71,5293,1305,0,542,121.29227281314944,10.391082561874173,16.814660872850936,2,JonathanShaw,34,0.35294117647058826,0,true,true
2676305,nla/banjo,java,297,1387520305,1387752806,1387752806,3875,3875,commits_in_master,false,false,7,7,0,0,0,0,1,0,9,10,3,2,4,71,5274,51,0,397,121.7292377701934,10.428517254455821,16.875237011755782,2,huwr,81,0.30864197530864196,6,true,true
2676293,nla/banjo,java,296,1387520127,1387754260,1387754260,3902,3902,commits_in_master,false,false,7,4,0,1,1,1,0,0,4,4,0,1,2,71,5274,0,0,58,121.7292377701934,10.428517254455821,16.875237011755782,2,huwr,80,0.3125,6,true,true
2669213,nla/banjo,java,295,1387427991,1387488316,1387488316,1005,1005,commits_in_master,false,false,7,1,0,0,0,0,0,0,5,5,2,2,1,70,5259,25,0,164,122.07644038790644,10.45826202700133,16.923369461874884,2,JonathanShaw,33,0.36363636363636365,0,true,true
2668785,nla/banjo,java,294,1387418344,1387418383,1387418383,0,0,github,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,70,5259,0,0,32,122.07644038790644,10.45826202700133,16.923369461874884,2,huwr,79,0.3037974683544304,6,true,true
2668729,nla/banjo,java,293,1387417366,1387417971,1387417971,10,10,github,false,false,7,8,0,1,1,1,0,0,9,9,1,0,8,70,5258,13,0,335,122.09965766451123,10.460251046025103,16.92658805629517,2,huwr,78,0.2948717948717949,6,true,true
2660177,nla/banjo,java,292,1387342959,1387406567,1387406567,1060,1060,commits_in_master,false,false,7,6,0,1,1,1,1,0,5,6,2,0,3,71,5257,282,0,178,122.1228837740156,10.46224082176146,16.929807875214,2,huwr,77,0.2987012987012987,6,true,true
2658878,nla/banjo,java,291,1387326122,1387326273,1387326273,2,2,commits_in_master,false,false,7,2,0,0,0,0,0,0,3,3,2,0,1,70,5247,18,0,89,122.35563178959404,10.482180293501049,16.962073565847152,2,huwr,76,0.3026315789473684,6,true,true
2652420,nla/banjo,java,290,1387257252,1387321361,1387321361,1068,1068,commits_in_master,false,false,7,2,0,0,0,0,3,0,3,6,6,0,0,70,5247,1288,0,180,122.35563178959404,10.482180293501049,16.962073565847152,2,JonathanShaw,32,0.375,0,true,true
2620790,nla/banjo,java,289,1386822278,1386823797,1386823797,25,25,github,false,false,8,3,0,1,1,1,1,0,1,2,2,0,0,71,5216,146,0,114,123.08282208588957,10.544478527607362,17.06288343558282,2,huwr,75,0.29333333333333333,6,true,true
2707437,nla/banjo,java,288,1386818795,1386819556,1386819556,12,12,github,false,false,8,3,0,1,1,1,0,0,4,4,1,1,2,71,5206,17,0,111,123.31924702266615,10.564733000384171,17.095658855167112,2,huwr,74,0.28378378378378377,6,true,true
2620311,nla/banjo,java,287,1386813513,1386815603,1386815603,34,34,github,false,false,8,5,0,0,0,0,0,0,5,5,1,0,4,71,5206,154,0,79,123.31924702266615,10.564733000384171,17.095658855167112,2,huwr,73,0.273972602739726,6,true,true
2613633,nla/banjo,java,286,1386735384,1386738448,1386738448,51,51,github,false,false,8,9,0,1,1,2,0,0,5,5,4,1,0,71,5154,478,0,996,124.56344586728754,10.671323244082267,17.26814124951494,2,JonathanShaw,31,0.3548387096774194,0,true,true
2562500,nla/banjo,java,285,1386721787,1386722957,1386722957,19,19,github,false,false,8,7,1,0,1,1,0,0,5,5,2,0,3,72,5150,20,0,356,124.66019417475728,10.679611650485437,17.28155339805825,2,huwr,72,0.2638888888888889,6,true,true
2612723,nla/banjo,java,284,1386721100,1386721601,1386721601,8,8,github,false,false,8,1,0,2,2,2,0,0,2,2,0,0,2,72,5150,0,0,11,124.66019417475728,10.679611650485437,17.28155339805825,2,terenceingram,50,0.34,1,true,true
2611918,nla/banjo,java,283,1386711843,1386711920,1386711920,1,1,commits_in_master,false,false,8,1,0,1,1,1,0,0,1,1,0,1,0,72,5150,0,0,55,124.66019417475728,10.679611650485437,17.28155339805825,2,huwr,71,0.2676056338028169,6,true,true
2605924,nla/banjo,java,282,1386648241,1386648273,1386648273,0,0,github,false,false,8,1,0,0,0,0,0,0,1,1,0,0,1,72,5150,0,0,37,124.66019417475728,10.679611650485437,17.28155339805825,2,huwr,70,0.2571428571428571,6,true,true
2605744,nla/banjo,java,281,1386644976,1386647959,1386647959,49,49,github,false,false,8,4,0,2,2,1,0,0,4,4,0,1,3,72,5150,0,0,93,124.66019417475728,10.679611650485437,17.28155339805825,2,huwr,69,0.2463768115942029,6,true,true
2605672,nla/banjo,java,280,1386643492,1386643498,1386643498,0,0,github,false,false,8,1,0,0,0,0,0,0,1,1,0,1,0,72,5150,0,0,53,124.66019417475728,10.679611650485437,17.28155339805825,2,terenceingram,49,0.32653061224489793,1,true,true
2605628,nla/banjo,java,279,1386642811,1386643192,1386643192,6,6,github,false,false,8,1,0,0,0,0,0,0,2,2,1,1,0,72,5135,5,0,58,125.02434274586174,10.710808179162608,17.33203505355404,2,huwr,68,0.23529411764705882,6,true,true
2605574,nla/banjo,java,278,1386642100,1386643179,1386643179,17,17,github,false,false,8,3,0,1,1,1,0,0,3,3,2,1,0,72,5135,29,0,250,125.02434274586174,10.710808179162608,17.33203505355404,2,huwr,67,0.22388059701492538,6,true,true
2604388,nla/banjo,java,276,1386626708,1386626980,1386626980,4,4,github,false,false,8,3,0,1,1,1,0,0,1,1,0,0,1,72,5135,0,0,17,125.02434274586174,10.710808179162608,17.33203505355404,2,terenceingram,48,0.3125,1,true,true
2604329,nla/banjo,java,275,1386626045,1386626302,1386626302,4,4,github,false,false,8,2,0,0,0,0,0,0,3,3,1,1,1,72,5130,13,0,188,125.14619883040936,10.721247563352826,17.348927875243668,2,huwr,66,0.21212121212121213,6,true,true
2599202,nla/banjo,java,274,1386571570,1386624271,1386624271,878,878,github,false,false,8,3,0,1,1,1,0,0,4,4,1,0,3,72,5129,3,0,151,125.17059855722363,10.723337882628192,17.352310391889258,2,terenceingram,47,0.2978723404255319,1,true,true
2598938,nla/banjo,java,273,1386566304,1386624271,1386624271,966,966,github,false,false,8,2,0,1,1,1,0,0,2,2,0,0,2,72,5129,0,0,16,125.17059855722363,10.723337882628192,17.352310391889258,2,terenceingram,46,0.2826086956521739,1,true,true
2584468,nla/banjo,java,270,1386300858,1386300904,1386300904,0,0,github,false,false,8,1,0,1,1,1,0,0,2,2,1,0,1,71,5129,2,0,135,125.17059855722363,10.723337882628192,17.352310391889258,2,JonathanShaw,30,0.3333333333333333,0,true,true
2707435,nla/banjo,java,269,1386297691,1386297694,1386297694,0,0,github,false,false,8,5,0,0,0,0,0,0,3,3,0,1,2,71,5129,0,0,124,125.17059855722363,10.723337882628192,17.352310391889258,2,JonathanShaw,29,0.3103448275862069,0,true,true
