pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size_at_merge,num_commits,num_commit_comments,num_issue_comments,num_comments,files_changed,total_commits_last_month,main_team_commits_last_month,sloc,churn,commits_on_files_touched,test_lines_per_1000_lines,test_cases_per_1000_lines,assertions_per_1000_lines
630064,node,4370,1354731437,,1356805243,34563,,35,5,1,0,1,8,0,0,187214,30,0,0.0,0.0,0.0
763245,node,4468,1356550463,,1356803648,4219,,35,6,1,0,1,27,0,0,193126,643,0,0.0,0.0,0.0
760161,node,4433,1355832449,,1356789693,15954,,35,1,7,0,7,1,0,0,192934,7,0,0.0,0.0,0.0
767486,node,4477,1356677395,,1356705992,476,,35,1,0,0,0,1,0,0,193274,34,0,0.0,0.0,0.0
289641,node,3018,1332872987,,1356704155,397126,,35,3,0,1,1,16,0,0,179497,4118,0,0.0,0.0,0.0
766983,node,4461,1356305852,,1356693721,6464,,35,1,0,0,0,2,0,0,193122,136,0,0.0,0.0,0.0
257059,node,3898,1345546304,,1356666730,185280,,35,1,0,4,4,4,0,0,180646,17,0,0.0,0.0,0.0
766931,node,4475,1356655495,,1356658908,56,,35,2,0,0,0,3,0,0,193242,68,0,0.0,0.0,0.0
765191,node,4471,1356616990,,1356657743,679,,35,1,0,0,0,2,0,0,193243,57,0,0.0,0.0,0.0
766938,node,4464,1356396429,,1356655770,4322,,35,1,0,0,0,1,0,0,193122,2,0,0.0,0.0,0.0
765446,node,4474,1356622944,,1356655609,544,,35,1,0,0,0,1,0,0,193243,2,0,0.0,0.0,0.0
765354,node,4472,1356620429,,1356655564,585,,35,1,0,0,0,1,0,0,193243,2,0,0.0,0.0,0.0
765393,node,4473,1356621492,,1356646152,411,,34,1,0,0,0,1,0,0,193243,2,0,0.0,0.0,0.0
760696,node,4448,1356051716,,1356578912,8786,,34,1,0,0,0,3,0,0,185566,19,0,0.0,0.0,0.0
552606,node,3012,1332773656,,1356567827,396509,,34,2,0,23,23,2,0,0,187138,8,0,0.0,0.0,0.0
630061,node,4380,1354777168,,1356560848,29728,,34,1,0,0,0,23,0,0,182555,475,0,0.0,0.0,0.0
663157,node,4402,1355217403,,1356560724,22388,,34,1,0,0,0,1,0,0,182555,2,0,0.0,0.0,0.0
663156,node,4403,1355217507,,1356560639,22385,,34,1,0,0,0,1,0,0,182555,2,0,0.0,0.0,0.0
