pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2737730,non/spire,scala,182,1388726609,1388754100,1388754100,458,458,github,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,29,18320,202,0,8,215.3930131004367,12.882096069868995,20.524017467248907,395,non,9,0.4444444444444444,84,true,true
2737079,non/spire,scala,181,1388713997,1388723360,1388723360,156,156,github,false,false,3,2,0,0,0,0,0,0,3,3,3,0,0,28,18300,451,0,10,215.62841530054644,12.896174863387978,20.546448087431695,395,tixxit,69,0.855072463768116,20,false,true
2657560,non/spire,scala,179,1387311703,1387312880,1387312880,19,19,commits_in_master,false,false,2,2,0,0,0,0,1,1,15,17,31,0,0,41,18523,784,229,11,206.8779355395994,12.740916698159046,20.46104842628084,394,non,8,0.5,84,true,true
2657166,non/spire,scala,177,1387307747,1387309407,1387309407,27,27,commits_in_master,false,false,2,1,0,0,0,0,1,0,1,2,2,0,0,41,18525,20,21,1,205.9919028340081,12.631578947368421,20.242914979757085,394,agentcoops,0,0,9,false,false
2656411,non/spire,scala,176,1387300475,1387309407,1387309407,148,148,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,39,18525,4,0,0,205.9919028340081,12.631578947368421,20.242914979757085,394,tixxit,68,0.8676470588235294,20,false,true
2561095,non/spire,scala,174,1386016019,1386052284,1386052284,604,604,github,false,false,3,2,0,0,0,0,1,3,24,28,28,0,0,56,17945,255,552,20,201.44887155196434,13.039843967679019,31.540819169685154,394,larsrh,5,1.0,43,false,true
2550927,non/spire,scala,173,1385882624,1386131057,1386131057,4140,4140,github,false,false,3,11,0,0,0,1,2,0,4,6,4,0,0,53,17917,972,215,6,202.82413350449295,13.060222135402132,20.9856560808171,394,non,7,0.42857142857142855,84,true,true
2516206,non/spire,scala,172,1385390747,1385394929,1385394929,69,69,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,59,17938,10,0,0,189.4302597836994,13.044932545434273,30.995651689151522,394,tixxit,67,0.8805970149253731,20,false,true
2395471,non/spire,scala,169,1383713050,1385508153,1385508153,29918,29918,commits_in_master,false,false,3,2,0,1,1,1,0,0,2,2,2,0,0,83,17845,133,162,8,189.4648360885402,13.11291678341272,31.101148781171197,394,non,6,0.5,83,true,true
2380125,non/spire,scala,167,1383531695,1383700520,1383700520,2813,2813,commits_in_master,false,false,3,3,0,0,0,0,0,0,3,3,3,0,0,83,17598,1038,8,3,192.12410501193315,13.296965564268667,31.537674735765428,394,non,5,0.6,83,true,true
2332353,non/spire,scala,163,1382806586,1385508154,1385508154,44966,44966,commits_in_master,false,false,3,1,0,2,2,1,0,0,2,2,2,0,0,83,17592,54,85,4,190.59799909049568,13.07412460209186,31.32105502501137,394,flaviut,1,0.0,0,false,false
2289820,non/spire,scala,161,1382155150,1382162734,1382162734,126,126,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,81,17584,2,0,37,187.78434940855323,13.08007279344859,30.76660600545951,394,xuwei-k,0,0,109,false,false
2263005,non/spire,scala,160,1381794092,1381886732,1381886732,1544,1544,commits_in_master,false,false,2,6,0,0,0,0,5,0,13,18,26,0,0,81,17268,509,84,16,187.68820940467918,13.087792448459577,31.271716469770674,394,tixxit,66,0.8939393939393939,17,false,true
2235821,non/spire,scala,159,1381348147,1381505844,1381505844,2628,2628,merged_in_comments,false,false,2,46,0,4,4,2,6,2,8,16,7,0,2,80,17264,2516,1348,5,187.44207599629286,13.09082483781279,31.22103799814643,394,jamesthompson,8,0.625,0,false,false
2145265,non/spire,scala,157,1380384857,1380386511,1380386511,27,27,commits_in_master,false,false,2,2,1,0,1,1,0,0,7,7,7,0,0,80,17246,109,0,7,187.6377130928911,13.104487997216747,31.253624028760292,394,tixxit,65,0.9076923076923077,16,false,true
2102461,non/spire,scala,155,1379034917,1379035395,1379035395,7,7,commits_in_master,false,false,3,4,0,1,1,1,0,0,16,16,16,0,0,71,17211,101,0,24,188.01928998896057,13.131137063505898,31.31718087269769,394,non,4,0.75,81,true,true
2056278,non/spire,scala,154,1378352032,1378383595,1378383595,526,526,github,false,false,3,3,0,0,0,0,0,1,2,3,3,0,0,69,17165,267,0,6,188.52315758811537,13.166326827847364,31.401106903582875,394,tixxit,64,0.90625,13,false,true
2054068,non/spire,scala,153,1378313874,1378314485,1378314485,10,10,github,false,false,2,14,0,0,0,0,0,0,12,12,12,0,0,70,16779,1308,68,333,191.31056677990347,13.409619166815663,31.825496155909168,394,tixxit,63,0.9047619047619048,13,false,true
2023010,non/spire,scala,152,1377783746,1378314891,1378314891,8852,8852,commits_in_master,false,false,2,10,0,0,0,0,1,1,14,16,15,0,0,69,16533,705,114,36,194.1571402649247,13.609145345672292,32.29903828706224,394,jamesthompson,7,0.7142857142857143,0,false,false
1999941,non/spire,scala,151,1377708757,1377737025,1377737025,471,471,github,false,false,2,3,0,0,0,1,0,0,3,3,3,0,0,69,16531,24,0,36,194.18063033089348,13.610791845623375,32.302945980279475,394,jamesthompson,6,0.6666666666666666,0,false,false
1989702,non/spire,scala,150,1377559115,1377564530,1377564530,90,90,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,69,16531,11,0,1,194.18063033089348,13.610791845623375,32.302945980279475,394,tixxit,62,0.9032258064516129,13,false,true
1986445,non/spire,scala,144,1377518936,1377524179,1377524179,87,87,github,false,false,2,1,0,0,0,0,0,0,5,5,5,0,0,68,16534,28,3,5,194.20587879520986,13.608322245070763,32.297084794967944,394,tixxit,61,0.9016393442622951,13,false,true
1981303,non/spire,scala,143,1377379416,1377430977,1377430977,859,859,github,false,false,2,1,0,4,4,3,0,0,1,1,1,0,0,67,15870,4,0,3,188.78386893509767,13.862633900441084,28.92249527410208,394,titorenko,0,0,0,false,false
1979320,non/spire,scala,142,1377320356,1377369560,1377369560,820,820,github,false,false,2,3,0,3,3,2,0,0,32,32,32,0,0,65,15590,852,0,77,182.68120590121873,14.111610006414367,27.774214239897372,394,tixxit,60,0.9,13,false,true
1958398,non/spire,scala,141,1377010789,1377011868,1377011868,17,17,github,false,false,2,1,0,0,0,0,1,0,2,3,3,0,0,65,15532,143,32,10,180.53051764099922,14.035539531290238,27.427246973989185,394,non,3,0.6666666666666666,79,true,true
1984241,non/spire,scala,140,1376713806,,1377472106,12638,,unknown,false,false,2,10,0,0,0,0,2,0,3,5,3,0,0,62,15532,628,245,14,180.53051764099922,14.035539531290238,27.427246973989185,394,non,2,1.0,79,true,true
1942170,non/spire,scala,139,1376666069,1376682680,1376682680,276,276,github,false,false,2,6,0,0,0,0,6,0,4,10,7,0,2,58,16017,927,53,81,183.30523818442904,12.861334831741274,29.8432915027783,394,jamesthompson,5,0.6,0,false,false
1933519,non/spire,scala,138,1376520393,1376521515,1376521515,18,18,github,false,false,2,4,0,0,0,0,0,0,3,3,3,0,0,56,16006,212,189,112,176.62126702486566,12.870173684868174,28.176933649881295,394,jamesthompson,4,0.5,0,false,false
1925243,non/spire,scala,137,1376322031,1376485002,1376485002,2716,2716,commits_in_master,false,false,2,10,0,0,0,1,3,0,4,7,4,0,2,51,15659,1374,3,100,180.47129446324797,13.155373906379717,28.801328309598315,394,jamesthompson,3,0.6666666666666666,0,false,false
1911515,non/spire,scala,136,1375994432,1375994906,1375994906,7,7,github,false,false,2,2,0,0,0,0,0,0,2,2,2,0,0,46,15629,88,6,20,178.96218568046578,13.180625759805489,28.53669460618082,394,jamesthompson,2,0.5,0,false,false
1910946,non/spire,scala,135,1375986974,1375987568,1375987568,9,9,github,false,false,2,2,0,0,0,0,0,0,2,2,2,0,0,44,15634,132,19,11,178.9689139055904,13.176410387616734,28.591531277983883,394,jamesthompson,1,0.0,0,false,false
