pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1908254,ofri/Open-Knesset,python,148,1375950879,1377532587,1377532587,26361,26361,fixes_in_commit,false,false,4,1,0,0,0,0,0,0,1,1,0,1,0,15,34139,0,0,0,107.47239227862562,2.2847769413281,16.344942734116408,96,Suberri,1,1.0,0,false,false
1577202,ofri/Open-Knesset,python,147,1370890999,1377526373,1377526373,110589,110589,fixes_in_commit,false,false,4,4,0,7,7,2,0,0,2,2,1,0,1,24,32874,2,0,0,111.54711930400924,2.3726957473991606,16.97390034677861,94,ayal,0,0,1,false,false
1701835,ofri/Open-Knesset,python,146,1362458008,1365005966,1365005968,42526,42525,github,false,false,7,70,0,0,0,0,23,4,60,87,49,20,4,58,29677,3990,2,1921,110.75917377093373,2.1565522121508236,17.016544799002595,93,Suberri,0,0,0,false,false
773157,ofri/Open-Knesset,python,143,1356869450,,1356950226,1346,,unknown,false,false,8,4,0,0,0,0,1,0,3,4,3,0,0,37,26623,39,31,0,102.80584457048417,1.9907598692859556,16.451940051834878,93,danzat,0,0,0,false,false
886533,ofri/Open-Knesset,python,139,1353959013,1354101581,1354101582,2376,2376,github,false,false,4,6,0,0,0,0,15,0,26,41,6,20,15,54,26419,188,0,50,101.78280782769976,1.9682804042545137,16.389719520042394,91,MeirKriheli,22,1.0,11,false,false
644355,ofri/Open-Knesset,python,138,1353527187,1354554483,1354554484,17121,17121,github,false,false,4,3,0,0,0,0,3,0,8,11,5,5,1,54,26435,36,27,35,101.72120295063363,1.967089086438434,16.379799508227727,91,alon,2,1.0,0,false,false
500372,ofri/Open-Knesset,python,137,1353354017,1353397491,1353397491,724,724,github,false,false,4,6,0,0,0,0,0,0,18,18,0,17,0,56,26435,0,0,44,101.72120295063363,1.967089086438434,16.379799508227727,91,MeirKriheli,21,1.0,11,false,false
499400,ofri/Open-Knesset,python,136,1353348709,1353397491,1353397491,813,813,github,false,false,4,2,0,0,0,0,0,0,4,4,1,2,1,55,26435,12,0,7,101.72120295063363,1.967089086438434,16.379799508227727,91,habeanf,21,0.8571428571428571,2,false,false
466361,ofri/Open-Knesset,python,135,1352149662,1352582409,1352582409,7212,7212,github,false,false,4,1,0,0,0,0,1,0,2,3,3,0,0,59,26430,36,0,6,101.74044646235339,1.9674612183125237,16.382898221717745,91,habeanf,20,0.85,2,false,false
1078467,ofri/Open-Knesset,python,134,1351595315,1351626067,1351626067,512,512,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,64,26412,4,0,2,101.80978343177344,1.9688020596698472,16.394063304558536,91,habeanf,19,0.8421052631578947,2,false,false
