pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2517271,ooici/coverage-model,python,136,1385399728,,1385404046,71,,unknown,false,false,3,1,0,1,1,1,0,0,3,3,3,0,0,77,5687,27,7,18,932.3017408123792,48.88341832248989,132.75892386143838,2,lukecampbell,41,0.43902439024390244,3,true,true
2517269,ooici/coverage-model,python,135,1385399700,1385404021,1385404021,72,72,commits_in_master,false,false,3,1,0,1,1,1,0,0,3,3,3,0,0,77,5687,27,7,19,932.3017408123792,48.88341832248989,132.75892386143838,2,lukecampbell,40,0.45,3,true,true
2516523,ooici/coverage-model,python,134,1385393359,,1385404000,177,,unknown,false,false,3,2,0,2,2,1,0,0,2,2,2,0,0,76,5687,3,46,5,932.3017408123792,48.88341832248989,132.75892386143838,2,lukecampbell,39,0.46153846153846156,3,true,true
2516519,ooici/coverage-model,python,133,1385393335,1385403986,1385403986,177,177,commits_in_master,false,false,3,2,0,2,2,1,0,0,2,2,2,0,0,76,5687,3,46,5,932.3017408123792,48.88341832248989,132.75892386143838,2,lukecampbell,38,0.47368421052631576,3,true,true
2493654,ooici/coverage-model,python,132,1385038693,,1385152510,1896,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,76,5685,3,0,16,932.6297273526825,48.90061565523307,132.8056288478452,2,lukecampbell,37,0.4864864864864865,3,true,true
2488529,ooici/coverage-model,python,131,1384973400,1385152497,1385152497,2984,2984,commits_in_master,false,false,3,1,0,2,2,1,0,0,1,1,1,0,0,76,5685,3,0,15,932.6297273526825,48.90061565523307,132.8056288478452,2,lukecampbell,36,0.5,3,true,true
2481288,ooici/coverage-model,python,130,1384890147,,1384890197,0,,unknown,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,78,5677,13,0,1,933.9439844988551,48.96952615818214,132.99277787563855,2,emilyhahn,2,0.0,1,false,false
2481234,ooici/coverage-model,python,129,1384889668,1384890208,1384890208,9,9,commits_in_master,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,78,5677,13,0,1,933.9439844988551,48.96952615818214,132.99277787563855,2,emilyhahn,1,0.0,1,false,false
2480738,ooici/coverage-model,python,128,1384885299,,1384885339,0,,unknown,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,79,5681,21,73,25,925.0132019010737,48.759021299067065,131.49093469459604,2,oceanzus,13,0.23076923076923078,0,true,true
2480697,ooici/coverage-model,python,127,1384884890,,1384884949,0,,unknown,false,false,3,24,0,0,0,0,0,0,9,9,8,0,1,79,5677,821,389,52,933.9439844988551,48.96952615818214,132.99277787563855,2,oceanzus,12,0.25,0,true,true
