pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2754556,opal/opal,ruby,479,1389258565,1389269154,1389269154,176,176,github,false,false,4,2,0,2,2,2,0,0,3,3,2,1,0,5,18425,1,9,114,549.6336499321574,49.66078697421981,104.0976933514247,1229,elia,11,0.7272727272727273,60,true,false
2714117,opal/opal,ruby,471,1388230263,1389178149,1389178149,15798,15798,commits_in_master,false,false,5,1,0,1,1,1,0,0,2,2,2,0,0,5,18152,4,0,4,552.6663728514765,50.352578228294405,105.55310709563683,1229,jibi,2,0.0,8,false,false
2692817,opal/opal,ruby,464,1387845601,1387934993,1387934993,1489,1489,commits_in_master,false,false,5,2,0,1,1,1,7,0,0,7,7,0,0,5,17814,472,260,0,557.7074211294487,50.12911193443359,106.32087122487931,1229,meh,1,0.0,122,true,false
2692610,opal/opal,ruby,463,1387840435,1387886248,1387886248,763,763,commits_in_master,false,false,5,3,0,0,0,0,0,0,2,2,1,1,0,5,17814,35,0,10,557.7074211294487,50.12911193443359,106.32087122487931,1229,jibi,1,0.0,8,false,false
2688872,opal/opal,ruby,461,1387779099,1387792612,1387792612,225,225,commits_in_master,false,false,5,1,0,1,1,2,0,0,1,1,0,0,1,5,17814,0,0,3,557.7074211294487,50.12911193443359,106.32087122487931,1229,skofo,2,0.5,16,false,false
2688843,opal/opal,ruby,460,1387778407,1387778927,1387778927,8,8,commits_in_master,false,false,5,1,0,0,0,0,0,0,1,1,0,0,1,5,17814,0,0,3,557.7074211294487,50.12911193443359,106.32087122487931,1229,skofo,1,1.0,16,false,false
2683534,opal/opal,ruby,459,1387638260,1387641952,1387641952,61,61,commits_in_master,false,false,5,6,0,0,0,1,0,0,2,2,1,1,0,4,17810,18,0,5,557.8326782706345,50.14037057832679,106.34475014037058,1229,jibi,0,0,8,false,false
2626662,opal/opal,ruby,454,1386878773,1386884098,1386884098,88,88,commits_in_master,false,false,5,1,0,0,0,1,0,0,1,1,1,0,0,5,17637,4,0,1,545.3308385779894,51.31258150479107,108.63525542892782,1223,falti,0,0,0,false,false
2570750,opal/opal,ruby,451,1386138400,1386170770,1386170770,539,539,github,false,false,5,2,0,2,2,2,0,0,2,2,2,0,0,5,17540,34,0,7,532.2690992018244,50.68415051311288,107.52565564424172,1223,marcandre,1,1.0,97,false,false
2570740,opal/opal,ruby,450,1386138346,1386170977,1386170977,543,543,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,5,17540,23,0,3,532.2690992018244,50.68415051311288,107.52565564424172,1223,marcandre,0,0,97,false,false
