pull_req_id, project_name, github_id, created_at,merged_at, lifetime_minutes, team_size_at_merge, num_commits, num_commit_comments, num_issue_comments, num_comments, files_changed, total_commits_last_month, main_team_commits_last_month, sloc, churn, commits_on_files_touched, test_lines_per_1000_lines, test_cases_per_1000_lines, assertions_per_1000_lines
489913, openmicroscopy, 483, 1353060928, 1353072582, 194, 3, 2, 0, 1, 1, 7, 421, 21, 328091, 14, 9, 235.86444004864504, 8.214184479306045, 23.40204394512498
462120, openmicroscopy, 464, 1352128422, 1352453122, 5411, 3, 7, 0, 8, 8, 9, 377, 14, 328105, 173, 33, 235.85437588576826, 8.213833986071531, 23.401045397052773
461970, openmicroscopy, 465, 1352207359, 1352450704, 4055, 3, 3, 0, 5, 5, 3, 379, 13, 327660, 6, 14, 240.15137642678386, 8.490508453885125, 23.716657510834402
459435, openmicroscopy, 467, 1352293197, 1352399169, 1766, 3, 9, 0, 1, 1, 9, 379, 12, 327660, 75, 14, 240.15137642678386, 8.490508453885125, 23.716657510834402
481906, openmicroscopy, 463, 1352124491, 1352315212, 3178, 3, 4, 0, 2, 2, 4, 374, 11, 327660, 241, 4, 240.15137642678386, 8.490508453885125, 23.716657510834402
472244, openmicroscopy, 466, 1352226391, 1352314541, 1469, 3, 1, 0, 4, 4, 3, 373, 11, 328090, 15, 5, 235.86515895028805, 8.214209515681674, 23.402115273248192
491585, openmicroscopy, 455, 1351767542, 1352023740, 4269, 3, 5, 0, 3, 3, 15, 375, 10, 327657, 210, 15, 240.15357523263657, 8.490586192268132, 23.716874658560627
491587, openmicroscopy, 453, 1351689554, 1351838285, 2478, 3, 2, 0, 1, 1, 2, 379, 10, 327657, 14, 2, 240.15357523263657, 8.490586192268132, 23.716874658560627
491586, openmicroscopy, 454, 1351697371, 1351782857, 1424, 3, 1, 0, 1, 1, 1, 378, 8, 327657, 2, 1, 240.15357523263657, 8.490586192268132, 23.716874658560627
491600, openmicroscopy, 442, 1351430204, 1351666085, 3931, 3, 5, 0, 4, 4, 5, 370, 7, 327596, 58, 5, 240.19829301945077, 8.492167181528467, 23.72129085825224
491598, openmicroscopy, 443, 1351501675, 1351618541, 1947, 3, 2, 0, 1, 1, 2, 358, 7, 327596, 10, 2, 240.19829301945077, 8.492167181528467, 23.72129085825224
491595, openmicroscopy, 445, 1351515747, 1351618466, 1711, 3, 2, 0, 1, 1, 4, 356, 5, 327596, 197, 4, 240.19829301945077, 8.492167181528467, 23.72129085825224
491605, openmicroscopy, 438, 1351162688, 1351537174, 6181, 3, 1, 0, 1, 1, 1, 352, 3, 327628, 13, 1, 240.1748324319045, 8.49133773670138, 23.718973958269746
491607, openmicroscopy, 437, 1351162523, 1351310562, 2467, 3, 1, 0, 1, 1, 2, 375, 2, 327628, 87, 2, 240.1748324319045, 8.49133773670138, 23.718973958269746
491622, openmicroscopy, 425, 1350975663, 1351185392, 3495, 3, 5, 0, 2, 2, 9, 389, 3, 327354, 76, 7, 239.07146391979325, 8.409855996871888, 23.57997763888634
491616, openmicroscopy, 430, 1351068011, 1351183684, 1927, 3, 1, 0, 4, 4, 1, 387, 1, 327628, 3, 1, 240.1748324319045, 8.49133773670138, 23.718973958269746
491623, openmicroscopy, 424, 1350975348, 1351063404, 1467, 3, 1, 0, 1, 1, 1, 351, 11, 327354, 2, 1, 239.07146391979325, 8.409855996871888, 23.57997763888634
