pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2727452,opsschool/curriculum,python,203,1388524831,1388525369,1388525369,8,8,commits_in_master,false,false,2,2,1,1,2,2,0,0,1,1,0,1,0,57,35,0,0,0,0.0,0.0,0.0,381,nibalizer,9,0.2222222222222222,57,false,false
2724789,opsschool/curriculum,python,202,1388474098,1388502247,1388502247,469,469,commits_in_master,false,false,2,1,0,0,0,2,0,0,1,1,0,1,0,59,30,0,0,3,0.0,0.0,0.0,381,nibalizer,8,0.25,57,false,false
2722636,opsschool/curriculum,python,201,1388430796,1388502225,1388502225,1190,1190,commits_in_master,false,false,2,4,14,5,19,2,0,0,1,1,0,1,0,58,30,0,0,3,0.0,0.0,0.0,381,nibalizer,7,0.2857142857142857,57,false,false
2722610,opsschool/curriculum,python,200,1388430297,1388524177,1388524177,1564,1564,commits_in_master,true,false,2,5,0,2,2,2,0,0,2,2,0,2,0,56,30,0,0,8,0.0,0.0,0.0,381,konarkmodi,2,0.0,9,false,false
2717940,opsschool/curriculum,python,199,1388335862,1388502810,1388502810,2782,2782,commits_in_master,true,false,2,3,0,4,4,3,0,0,2,2,0,2,0,54,30,0,0,4,0.0,0.0,0.0,381,konarkmodi,1,0.0,9,false,false
2711734,opsschool/curriculum,python,198,1388169558,1388185289,1388185289,262,262,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,54,30,0,0,5,0.0,0.0,0.0,381,phy1729,2,0.0,0,false,false
2702290,opsschool/curriculum,python,197,1388076860,1388077507,1388077507,10,10,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,55,30,0,0,2,0.0,0.0,0.0,381,phy1729,1,0.0,0,false,false
2702273,opsschool/curriculum,python,196,1388076672,1388077454,1388077454,13,13,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,54,30,0,0,2,0.0,0.0,0.0,381,phy1729,0,0,0,false,false
2658603,opsschool/curriculum,python,195,1387322307,1387886222,1387886222,9398,9398,commits_in_master,false,false,2,1,0,1,1,2,0,0,3,3,0,3,0,55,30,0,0,8,0.0,0.0,0.0,381,hlandau,0,0,0,false,false
2557072,opsschool/curriculum,python,193,1385986200,1385993380,1385993380,119,119,github,false,false,2,1,0,0,0,2,0,0,1,1,0,1,0,60,30,0,0,0,0.0,0.0,0.0,380,lathan,0,0,1,false,false
2506618,opsschool/curriculum,python,192,1385210225,1388324587,1388324587,51906,51906,commits_in_master,false,false,2,2,3,2,5,2,0,0,1,1,0,1,0,55,30,0,0,0,0.0,0.0,0.0,380,konarkmodi,0,0,9,false,false
2495225,opsschool/curriculum,python,191,1385051065,1385091027,1385091027,666,666,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,66,30,0,0,0,0.0,0.0,0.0,380,peacekeeper0,6,0.0,0,false,false
2495191,opsschool/curriculum,python,190,1385050734,1385090920,1385090920,669,669,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,65,30,0,0,0,0.0,0.0,0.0,380,peacekeeper0,5,0.0,0,false,false
2495173,opsschool/curriculum,python,189,1385050585,1385090898,1385090898,671,671,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,64,30,0,0,0,0.0,0.0,0.0,380,peacekeeper0,4,0.0,0,false,false
2495107,opsschool/curriculum,python,188,1385050163,1385090871,1385090871,678,678,commits_in_master,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,63,30,0,0,0,0.0,0.0,0.0,380,peacekeeper0,3,0.0,0,false,false
