pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2716305,overviewer/Minecraft-Overviewer,python,1046,1388289191,1388292669,1388292669,57,57,commits_in_master,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,29,4512,6,0,14,142.95212765957447,6.427304964539007,15.51418439716312,946,ion1,3,0.3333333333333333,16,false,false
2714193,overviewer/Minecraft-Overviewer,python,1045,1388232037,1388271610,1388271610,659,659,commits_in_master,false,false,5,3,0,0,0,0,0,0,1,1,1,0,0,29,4503,38,0,33,143.23784143904064,6.440151010437486,15.545192094159448,946,ion1,2,0.5,16,false,false
2697446,overviewer/Minecraft-Overviewer,python,1043,1387941497,1388207630,1388207630,4435,4435,commits_in_master,false,false,4,18,0,0,0,0,0,0,6,6,5,1,0,26,4546,348,351,21,149.3620765508139,6.379234491860976,15.618125824901012,945,ion1,1,1.0,16,false,false
2606059,overviewer/Minecraft-Overviewer,python,1037,1386651269,1388115742,1388115742,24407,24407,commits_in_master,false,false,4,2,0,1,1,1,0,0,2,2,1,1,0,27,4533,1,0,3,149.7904257666005,6.397529230090448,15.662916390911098,945,computertechie,0,0,0,false,false
2491440,overviewer/Minecraft-Overviewer,python,1030,1385009466,1385930467,1385930467,15350,15350,commits_in_master,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,31,4467,2,0,0,152.00358182225207,6.492052831878218,15.894336243563915,944,imermcmaps,1,0.0,1,false,false
2491284,overviewer/Minecraft-Overviewer,python,1029,1385006159,1385930466,1385930466,15405,15405,commits_in_master,false,false,4,5,0,2,2,3,0,0,2,2,2,0,0,30,4467,41,0,4,152.00358182225207,6.492052831878218,15.894336243563915,944,imermcmaps,0,0,1,false,false
2466081,overviewer/Minecraft-Overviewer,python,1028,1384700460,1385930466,1385930466,20500,20500,commits_in_master,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,29,4467,10,0,5,152.00358182225207,6.492052831878218,15.894336243563915,944,aib,0,0,20,false,false
2462147,overviewer/Minecraft-Overviewer,python,1027,1384607587,1385930466,1385930466,22047,22047,commits_in_master,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,29,4467,2,0,19,152.00358182225207,6.492052831878218,15.894336243563915,944,CounterPillow,33,0.5757575757575758,1,false,false
2410337,overviewer/Minecraft-Overviewer,python,1023,1383886765,1385488110,1385488110,26689,26689,commits_in_master,false,false,4,1,0,0,0,0,0,0,2,2,2,0,0,25,4467,10,0,1,152.00358182225207,6.492052831878218,15.894336243563915,944,CounterPillow,32,0.59375,1,false,false
2374638,overviewer/Minecraft-Overviewer,python,1019,1383414285,,1383430093,263,,unknown,false,false,4,1,0,0,0,0,0,0,5,5,4,0,3,29,4365,15,0,9,155.55555555555557,6.643757159221076,16.265750286368846,943,CounterPillow,31,0.6129032258064516,1,false,false
2373746,overviewer/Minecraft-Overviewer,python,1018,1383398040,1383502481,1383502481,1740,1740,commits_in_master,false,false,4,1,0,0,0,0,0,0,3,3,3,0,0,29,4467,26,0,21,152.00358182225207,6.492052831878218,15.894336243563915,943,CounterPillow,30,0.6333333333333333,1,false,false
2349621,overviewer/Minecraft-Overviewer,python,1012,1383072622,1385930466,1385930466,47630,47630,commits_in_master,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,30,4467,15,0,1,152.00358182225207,6.492052831878218,15.894336243563915,943,Yoplitein,0,0,0,false,false
2260191,overviewer/Minecraft-Overviewer,python,1006,1381759288,1381759699,1381759699,6,6,commits_in_master,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,46,4467,12,0,0,152.00358182225207,6.492052831878218,15.894336243563915,943,maruohon,1,1.0,1,false,false
2250554,overviewer/Minecraft-Overviewer,python,1005,1381538181,1383010545,1383010545,24479,24479,commits_in_master,false,false,3,1,0,2,2,3,0,0,2,2,1,0,1,43,4333,48,0,0,156.7043618739903,6.692822524809601,16.385875836602818,943,gmr,1,0.0,65,false,false
