pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2764349,pat/thinking-sphinx,ruby,693,1389168821,,1389169384,9,,unknown,false,false,6,1,0,1,1,1,0,0,1,1,0,1,0,40,3932,0,0,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,salimane,0,0,23,false,false
2749592,pat/thinking-sphinx,ruby,692,1388941456,,1388958038,276,,unknown,false,false,6,1,0,2,2,2,0,0,1,1,1,0,0,43,3932,4,0,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,durnoyabsurd,0,0,0,false,false
2683345,pat/thinking-sphinx,ruby,676,1387633748,,1387670833,618,,unknown,false,false,6,1,0,0,0,1,0,0,2,2,2,0,0,65,3932,1,8,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,Neschur,0,0,0,false,false
2641459,pat/thinking-sphinx,ruby,671,1387101692,,1387192867,1519,,unknown,false,false,6,1,0,0,0,1,0,0,7,7,7,0,0,69,3932,10,26,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,jonsgreen,0,0,4,false,false
2573406,pat/thinking-sphinx,ruby,664,1386170361,1386193757,1386193757,389,389,github,false,false,4,1,0,0,0,1,0,0,1,1,0,1,0,75,4026,0,0,4,1726.5275707898659,205.16641828117238,245.15648286140092,1398,randycoulman,1,0.0,4,false,false
2570177,pat/thinking-sphinx,ruby,663,1386126371,,1386136870,174,,unknown,false,false,4,2,0,1,1,1,0,0,1,1,0,1,0,74,3932,0,0,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,randycoulman,0,0,4,false,false
2405177,pat/thinking-sphinx,ruby,653,1383830590,1384058753,1384058753,3802,3802,commits_in_master,false,false,3,12,0,0,0,1,0,0,7,7,7,0,0,74,4018,22,37,0,1726.7297162767545,205.32603285216524,244.89795918367346,1398,weetu,3,0.0,0,false,false
2396783,pat/thinking-sphinx,ruby,651,1383732944,,1384057431,5408,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,76,3932,2,0,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,ktdreyer,0,0,3,false,false
2373115,pat/thinking-sphinx,ruby,645,1383381480,1383438639,1383438639,952,952,merged_in_comments,false,false,2,26,0,2,2,2,6,1,32,39,36,0,0,79,3932,343,389,47,1742.6246185147506,207.2736520854527,246.69379450661242,1398,weetu,2,0.0,0,false,false
2367400,pat/thinking-sphinx,ruby,644,1383292970,1383364931,1383364931,1199,1199,commit_sha_in_comments,false,false,1,2,0,1,1,1,0,0,2,2,2,0,0,77,3932,7,26,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,karbyshevds,0,0,0,false,false
2362535,pat/thinking-sphinx,ruby,643,1383227204,,1383364975,2296,,unknown,false,false,1,5,0,0,0,2,0,0,3,3,3,0,0,75,3932,10,12,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,weetu,1,0.0,0,false,false
2325727,pat/thinking-sphinx,ruby,642,1382688747,,1382749963,1020,,unknown,false,false,1,1,0,5,5,2,0,0,1,1,1,0,0,74,3932,2,0,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,jonnyzheng,0,0,2,false,false
2307928,pat/thinking-sphinx,ruby,640,1382463312,,1382476139,213,,unknown,false,false,1,1,0,1,1,2,0,0,1,1,1,0,0,68,3932,0,20,0,1742.6246185147506,207.2736520854527,246.69379450661242,1398,bricker,1,0.0,8,false,false
2283648,pat/thinking-sphinx,ruby,636,1382067154,1382203814,1382203814,2277,2277,commit_sha_in_comments,false,false,1,1,0,1,1,2,0,0,6,6,6,0,0,53,3891,33,57,0,1754.0478026214341,208.42970958622462,248.26522744795682,1398,bricker,0,0,8,false,false
2246719,pat/thinking-sphinx,ruby,631,1381492626,1381528104,1381528104,591,591,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,50,3883,0,1,0,1753.7986093226887,208.6015967035797,248.51918619624,1398,PedroCunha,0,0,3,false,false
2158685,pat/thinking-sphinx,ruby,619,1380182836,1380443010,1380443010,4336,4336,commits_in_master,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,40,3871,2,0,1,1744.2521312322397,206.4066132782227,246.44794626711445,1397,weetu,0,0,0,false,false
2094946,pat/thinking-sphinx,ruby,604,1378931909,1378941398,1378941398,158,158,commits_in_master,false,false,1,2,0,2,2,2,1,1,3,5,2,0,3,42,3860,4,2,4,1723.3160621761658,203.3678756476684,242.48704663212436,1396,mipearson,1,0.0,19,false,false
2058863,pat/thinking-sphinx,ruby,599,1378386022,1378417990,1378417990,532,532,github,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,40,3860,2,0,2,1723.3160621761658,203.3678756476684,242.48704663212436,1395,grin,0,0,1,false,false
2010592,pat/thinking-sphinx,ruby,594,1377910909,1377927877,1377927877,282,282,commits_in_master,false,false,2,1,0,0,0,1,0,0,2,2,2,0,0,37,3826,6,0,5,1733.4030318870882,204.12963930998433,243.59644537375848,1395,endoscient,0,0,0,false,false
1955236,pat/thinking-sphinx,ruby,586,1376966931,1376968764,1376968764,30,30,commits_in_master,false,false,2,1,0,0,0,2,0,0,1,1,0,1,0,38,3826,0,0,2,1733.6644014636697,204.12963930998433,243.59644537375848,1395,parndt,1,0.0,177,false,false
1931115,pat/thinking-sphinx,ruby,582,1376490819,1376520325,1376520325,491,491,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,35,3826,0,0,1,1733.6644014636697,204.12963930998433,243.59644537375848,1395,crigor,0,0,21,false,false
1893483,pat/thinking-sphinx,ruby,579,1375726705,1375736410,1375736411,161,161,github,false,false,2,1,0,1,1,2,0,0,1,1,1,0,0,32,6149,2,0,6,858.1883233046024,111.56285574890227,150.26833631484794,1395,quirkey,0,0,356,false,false
1788362,pat/thinking-sphinx,ruby,565,1374109962,1374110744,1374110744,13,13,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,34,3715,0,0,0,1759.084791386272,205.92193808882908,246.02960969044415,1394,steveyken,0,0,9,false,false
1718868,pat/thinking-sphinx,ruby,557,1373291581,1373350241,1373350241,977,977,commits_in_master,false,false,2,1,0,1,1,2,0,0,2,2,2,0,0,36,3693,8,12,6,1756.5664771188735,205.52396425670184,245.59978337395071,1394,epidemian,1,0.0,8,false,false
1715649,pat/thinking-sphinx,ruby,556,1373268273,1373353133,1373353133,1414,1414,commits_in_master,false,false,2,2,1,2,3,3,0,0,2,2,2,0,0,35,3693,12,0,1,1756.5664771188735,205.52396425670184,245.59978337395071,1394,groe,1,0.0,1,false,false
1699650,pat/thinking-sphinx,ruby,551,1373015738,1373102994,1373102994,1454,1454,commits_in_master,false,false,2,3,0,0,0,1,0,0,2,2,2,0,0,31,3692,3,0,4,1754.875406283857,205.30877573131096,245.39544962080174,1394,groe,0,0,1,false,false
1632944,pat/thinking-sphinx,ruby,545,1371894819,1371978911,1371978911,1401,1401,commits_in_master,false,false,2,23,0,0,0,0,5,0,21,26,22,0,0,11,3418,1827,31,20,1875.3657109420715,219.13399648917496,263.0193095377414,1394,parndt,0,0,177,false,false
