pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2734668,pentaho/mondrian,java,211,1388686182,,1388690177,66,,unknown,false,false,8,1,0,1,1,2,0,0,2,2,1,1,0,53,164545,9,0,0,312.4008629858094,5.822115530705886,13.266887477589718,135,kurtwalker,16,0.0625,0,false,true
2686161,pentaho/mondrian,java,210,1387714061,,1387808175,1568,,unknown,false,false,8,5,0,0,0,1,0,0,5,5,5,0,0,53,181460,26,0,0,250.38575994709578,4.805466769535986,10.421029427973107,135,Jonathan-H,0,0,0,false,false
2666766,pentaho/mondrian,java,209,1387390630,,1387396964,105,,unknown,false,false,9,1,0,1,1,2,0,0,1,1,1,0,0,52,164545,7,0,0,312.4008629858094,5.822115530705886,13.266887477589718,135,pentaho-tband,4,0.0,1,false,true
2649818,pentaho/mondrian,java,208,1387223204,,1387232022,146,,unknown,false,false,9,1,0,2,2,1,0,0,1,1,1,0,0,53,164545,6,0,0,312.4008629858094,5.822115530705886,13.266887477589718,135,pentaho-tband,3,0.0,1,false,true
2610000,pentaho/mondrian,java,205,1386693730,1386876288,1386876288,3042,3042,merged_in_comments,false,false,9,1,0,1,1,1,0,0,1,1,0,1,0,52,164518,0,0,0,312.11174461153183,5.816992669495131,13.262986420938743,135,DEinspanjer,1,0.0,1,false,true
2608227,pentaho/mondrian,java,204,1386679052,1386679062,1386679062,0,0,github,false,false,9,1,0,0,0,0,0,0,2,2,2,0,0,53,164507,15,0,6,312.1326144176236,5.817381631176788,13.263873269830462,135,mkambol,87,0.3563218390804598,0,false,true
2602391,pentaho/mondrian,java,201,1386607279,1386607737,1386607737,7,7,github,false,false,9,1,0,0,0,0,0,0,2,2,2,0,0,53,181449,16,0,7,250.40093910685647,4.80575809180541,10.421661183032148,135,mkambol,86,0.3488372093023256,0,false,true
2589196,pentaho/mondrian,java,200,1386359096,,1386854959,8264,,unknown,false,false,9,1,0,0,0,0,0,0,3,3,3,0,0,52,164512,14,68,12,312.1231277961486,5.81720482396421,13.26347014199572,134,mkambol,85,0.35294117647058826,0,false,true
2555713,pentaho/mondrian,java,199,1386340912,1386343614,1386343614,45,45,github,false,false,9,1,1,0,1,2,0,0,2,2,2,0,0,52,181448,37,72,3,250.1598254045236,4.800273356553944,10.40518495657158,134,mkambol,84,0.34523809523809523,0,false,true
2581268,pentaho/mondrian,java,198,1386264469,,1387219564,15918,,unknown,false,false,9,1,0,1,1,1,3,0,3,6,2,3,1,52,164512,42,0,3,312.1231277961486,5.81720482396421,13.26347014199572,134,pentaho-nbaker,3,0.3333333333333333,2,false,true
