pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2723234,pivotal/jasmine-gem,ruby,186,1388438860,1388940534,1388940534,8361,8361,commits_in_master,false,false,9,1,0,1,1,1,0,0,1,1,1,0,0,6,888,2,0,0,1323.1981981981983,104.72972972972973,195.94594594594594,538,rizwanreza,0,0,38,false,false
2634266,pivotal/jasmine-gem,ruby,183,1386952026,1387003100,1387003100,851,851,commits_in_master,false,false,10,1,0,0,0,2,0,0,1,1,0,1,0,3,888,0,0,9,1311.936936936937,103.6036036036036,191.44144144144144,538,tjarratt,0,0,17,false,false
2580603,pivotal/jasmine-gem,ruby,182,1386258872,1386258988,1386258988,1,1,github,false,false,10,1,0,0,0,1,0,0,1,1,0,1,0,2,888,0,0,7,1311.936936936937,103.6036036036036,191.44144144144144,538,dentarg,0,0,25,false,false
2240170,pivotal/jasmine-gem,ruby,177,1381409511,1384009377,1384009377,43271,43271,commits_in_master,false,false,9,2,0,6,6,3,0,0,1,1,1,0,0,3,883,6,0,4,1319.3657984144959,104.19026047565119,192.5254813137033,538,lukeasrodgers,0,0,6,false,false
2133570,pivotal/jasmine-gem,ruby,172,1379753002,1380652661,1380652661,14994,14994,commit_sha_in_comments,false,false,8,1,0,1,1,2,0,0,4,4,2,2,0,3,1046,4,0,0,1159.6558317399617,91.77820267686425,173.9961759082218,537,phoet,2,0.0,36,false,false
2133560,pivotal/jasmine-gem,ruby,171,1379752851,,1380149151,6605,,unknown,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,3,1046,0,2,0,1159.6558317399617,91.77820267686425,173.9961759082218,537,phoet,1,0.0,36,false,false
1964128,pivotal/jasmine-gem,ruby,168,1377092830,1377189321,1377189321,1608,1608,github,false,false,6,1,0,0,0,1,0,0,1,1,0,1,0,6,977,0,0,1,1259.9795291709315,104.40122824974411,192.42579324462642,536,iwz,0,0,1,false,false
1962106,pivotal/jasmine-gem,ruby,167,1377067560,,1379444723,39619,,unknown,false,true,6,2,0,1,1,2,0,0,5,5,3,2,0,3,977,4,2,0,1259.9795291709315,104.40122824974411,192.42579324462642,536,phoet,0,0,36,false,false
1826545,pivotal/jasmine-gem,ruby,164,1374675847,,1374778805,1715,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,16,959,1,0,0,1192.9092805005214,102.18978102189782,184.56725755995828,534,zephyr-dev,2,1.0,0,false,false
1815970,pivotal/jasmine-gem,ruby,161,1374597200,1374618012,1374618012,346,346,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,17,959,2,0,1,1192.9092805005214,102.18978102189782,184.56725755995828,534,zephyr-dev,1,1.0,0,false,false
1800173,pivotal/jasmine-gem,ruby,158,1373596251,,1374448097,14197,,unknown,false,false,1,1,0,2,2,2,0,0,1,1,1,0,0,50,934,4,0,0,1052.4625267665951,91.00642398286938,135.97430406852249,533,mastfish,0,0,2,false,false
1509537,pivotal/jasmine-gem,ruby,156,1369239530,,1374779574,92334,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,24,887,3,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,dimacus,2,0.0,7,false,false
1486137,pivotal/jasmine-gem,ruby,155,1368694042,1374202621,1374202621,91809,91809,github,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,24,887,2,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,janv,0,0,30,false,false
1472851,pivotal/jasmine-gem,ruby,154,1368474797,1369511758,1369511758,17282,17282,github,false,false,3,2,0,1,1,1,0,0,1,1,1,0,0,17,887,4,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,daytonn,2,0.0,20,false,false
1472846,pivotal/jasmine-gem,ruby,153,1368474757,,1374778998,105070,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,17,887,2,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,daytonn,1,0.0,20,false,false
1472786,pivotal/jasmine-gem,ruby,152,1368473865,,1368474263,6,,unknown,false,false,3,2,0,0,0,0,0,0,2,2,2,0,0,13,887,4,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,daytonn,0,0,20,false,false
1418192,pivotal/jasmine-gem,ruby,149,1367392841,,1374779273,123107,,unknown,false,false,3,1,0,3,3,2,0,0,2,2,2,0,0,13,887,5,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,phuongnd08,0,0,5,false,false
1391872,pivotal/jasmine-gem,ruby,147,1366411646,1366416757,1366416757,85,85,github,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,22,887,0,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,kmayer,0,0,9,false,false
1390853,pivotal/jasmine-gem,ruby,146,1366390556,,1370086785,61603,,unknown,false,false,3,1,0,3,3,7,0,0,5,5,5,0,0,18,887,12,8,0,1467.869222096956,96.95603156708005,202.93122886133034,532,fionatay,0,0,14,false,false
1351564,pivotal/jasmine-gem,ruby,145,1365529752,,1374202836,144551,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,17,887,0,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,enrapt-mochizuki,1,1.0,0,false,false
1351565,pivotal/jasmine-gem,ruby,144,1365529727,1374779630,1374779630,154165,154165,github,false,false,3,1,0,0,0,1,0,0,2,2,1,1,0,17,887,0,1,4,1467.869222096956,96.95603156708005,202.93122886133034,532,enrapt-mochizuki,0,0,0,false,false
1262743,pivotal/jasmine-gem,ruby,142,1363361647,,1374780098,190367,,unknown,false,false,3,1,0,2,2,2,0,0,1,1,1,0,0,15,887,5,0,0,1467.869222096956,96.95603156708005,202.93122886133034,532,tgaff,0,0,0,false,false
1262178,pivotal/jasmine-gem,ruby,141,1363354924,1363362620,1363362620,128,128,github,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,15,887,0,0,1,1467.869222096956,96.95603156708005,202.93122886133034,532,zephyr-dev,0,0,0,false,false
1234585,pivotal/jasmine-gem,ruby,140,1362774765,,1380653473,298038,,unknown,false,false,2,3,0,0,0,3,2,0,7,9,9,0,0,12,887,285,8,0,1467.869222096956,96.95603156708005,202.93122886133034,532,dimacus,1,0.0,7,false,false
1205548,pivotal/jasmine-gem,ruby,139,1362051205,,1374203071,202591,,unknown,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,12,887,2,0,0,1467.869222096956,96.95603156708005,202.93122886133034,531,pmcconnell,0,0,0,false,false
1195251,pivotal/jasmine-gem,ruby,137,1361864434,1374782379,1374782379,215359,215359,commit_sha_in_comments,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,19,887,2,0,0,1467.869222096956,96.95603156708005,202.93122886133034,531,dwwoelfel,0,0,5,false,false
975690,pivotal/jasmine-gem,ruby,134,1360155064,1360160100,1360160100,83,83,commit_sha_in_comments,false,false,3,1,0,1,1,3,0,0,1,1,1,0,0,26,887,6,0,0,1467.869222096956,96.95603156708005,202.93122886133034,530,moll,1,1.0,9,false,false
939620,pivotal/jasmine-gem,ruby,132,1359552643,1359553192,1359553193,9,9,github,false,false,3,1,0,0,0,2,0,0,1,1,0,0,1,27,887,0,0,0,1467.869222096956,96.95603156708005,202.93122886133034,529,levent,0,0,22,false,false
832836,pivotal/jasmine-gem,ruby,130,1358877054,1358886436,1358886436,156,156,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,26,887,0,4,1,1467.869222096956,96.95603156708005,202.93122886133034,527,mcolyer,1,1.0,31,false,false
832809,pivotal/jasmine-gem,ruby,129,1358876402,1358903891,1358903891,458,458,github,false,false,3,1,0,3,3,2,0,0,1,1,0,1,0,22,887,0,0,0,1467.869222096956,96.95603156708005,202.93122886133034,527,mcolyer,0,0,31,false,false
921049,pivotal/jasmine-gem,ruby,127,1358339559,,1374780105,274069,,unknown,false,false,3,1,0,0,0,1,1,0,1,2,2,0,0,22,888,14,120,0,1467.3423423423424,96.84684684684684,202.7027027027027,526,beatrichartz,0,0,2,false,false
654832,pivotal/jasmine-gem,ruby,119,1354610952,1354890984,1354890984,4667,4667,github,false,false,2,1,0,0,0,1,0,0,2,2,2,0,0,34,886,2,0,6,1450.3386004514673,94.80812641083521,200.90293453724607,518,kozy4324,0,0,2,false,false
736141,pivotal/jasmine-gem,ruby,118,1354127492,1357337277,1357337277,53496,53496,merged_in_comments,false,false,2,15,0,3,3,2,0,0,3,3,3,0,0,35,886,66,324,0,1450.3386004514673,94.80812641083521,200.90293453724607,515,dimacus,0,0,7,false,false
490420,pivotal/jasmine-gem,ruby,115,1353069238,,1354053003,16396,,unknown,false,false,1,1,0,2,2,2,1,0,1,2,2,0,0,52,822,14,0,0,1526.7639902676399,122.87104622871047,244.52554744525548,514,dlupu,0,0,4,false,false
469980,pivotal/jasmine-gem,ruby,114,1352287618,1352730228,1352730228,7376,7376,github,false,false,1,2,0,5,5,2,0,0,2,2,2,0,0,56,822,2,12,2,1538.9294403892943,125.30413625304138,246.9586374695864,512,moll,0,0,8,false,false
735847,pivotal/jasmine-gem,ruby,113,1351280032,,1358797938,125238,,unknown,false,false,1,3,0,0,0,0,3,0,16,19,13,4,0,66,822,146,62,0,1538.9294403892943,125.30413625304138,246.9586374695864,512,GreyKn,0,0,0,false,false
735850,pivotal/jasmine-gem,ruby,112,1350605092,1350648733,1350648733,727,727,github,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,75,821,1,0,2,1540.803897685749,125.45676004872108,247.25943970767355,512,JamesFerguson,0,0,4,false,false
735849,pivotal/jasmine-gem,ruby,110,1349549208,,1374779988,420513,,unknown,false,false,1,2,0,2,2,2,0,0,1,1,1,0,0,83,821,32,0,0,1540.803897685749,125.45676004872108,247.25943970767355,509,zquestz,1,0.0,22,false,false
451293,pivotal/jasmine-gem,ruby,109,1349137909,1349181301,1349181301,723,723,github,false,false,1,1,0,1,1,1,0,0,2,2,2,0,0,87,806,23,94,2,1471.4640198511167,125.31017369727046,243.17617866004963,506,jkeen,0,0,0,false,false
446974,pivotal/jasmine-gem,ruby,107,1348943810,,1349471173,8789,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,87,806,0,6,0,1471.4640198511167,125.31017369727046,243.17617866004963,505,darend,2,1.0,0,false,false
434796,pivotal/jasmine-gem,ruby,106,1348521432,1348576251,1348576251,913,913,github,false,false,1,1,0,0,0,1,0,0,4,4,4,0,0,90,804,7,22,28,1463.9303482587065,125.62189054726369,240.0497512437811,503,darend,1,1.0,0,false,false
429596,pivotal/jasmine-gem,ruby,105,1348266750,,1349472001,20087,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,90,804,11,0,0,1463.9303482587065,125.62189054726369,240.0497512437811,503,zquestz,0,0,22,false,false
426976,pivotal/jasmine-gem,ruby,104,1348167157,1348193062,1348193062,431,431,github,false,false,1,1,0,6,6,2,0,0,5,5,5,0,0,93,800,11,15,29,1458.75,126.25,238.75,503,darend,0,0,0,false,false
355924,pivotal/jasmine-gem,ruby,101,1346864437,,1349471618,43453,,unknown,false,false,1,2,0,5,5,2,0,0,2,2,2,0,0,96,779,22,91,0,1473.6842105263156,128.36970474967907,241.33504492939667,496,pivotalbonobos,0,0,0,false,false
266416,pivotal/jasmine-gem,ruby,99,1345831914,1347027268,1347027268,19922,19922,github,false,false,1,1,0,0,0,0,2,0,8,10,10,0,0,96,779,43,52,27,1473.6842105263156,128.36970474967907,241.33504492939667,493,pivotal-commander,0,0,0,false,false
265754,pivotal/jasmine-gem,ruby,98,1345779402,1345803732,1345803732,405,405,github,false,false,0,1,0,2,2,2,0,0,1,1,0,1,0,100,779,0,0,0,1473.6842105263156,128.36970474967907,241.33504492939667,492,iainbeeston,0,0,7,false,false
10737,pivotal/jasmine-gem,ruby,96,1344351762,,1344363940,202,,unknown,false,false,0,1,0,0,0,2,1,0,4,5,3,2,0,100,779,13,0,0,1473.6842105263156,128.36970474967907,241.33504492939667,485,bumi,1,0.0,122,false,false
10662,pivotal/jasmine-gem,ruby,95,1344350612,,1349471451,85347,,unknown,false,false,0,3,0,0,0,1,19,1,11,31,27,0,0,100,779,2865,38,0,1473.6842105263156,128.36970474967907,241.33504492939667,485,bumi,0,0,122,false,false
10526,pivotal/jasmine-gem,ruby,92,1340037397,,1344347627,71837,,unknown,false,false,0,1,0,2,2,2,0,0,1,1,1,0,0,100,707,4,0,0,1271.5700141442717,97.5954738330976,216.4073550212164,454,pivotal-milyoni,0,0,0,false,false
115788,pivotal/jasmine-gem,ruby,90,1336422685,,1349472279,217493,,unknown,false,false,0,1,0,0,0,1,0,0,4,4,4,0,0,100,707,14,21,0,1271.5700141442717,97.5954738330976,216.4073550212164,436,vicentemundim,0,0,12,false,false
115638,pivotal/jasmine-gem,ruby,89,1336415110,1349472393,1349472393,217621,217621,merged_in_comments,false,false,0,1,0,0,0,1,0,0,1,1,1,0,0,100,707,10,0,0,1271.5700141442717,97.5954738330976,216.4073550212164,436,mavenlink,2,0.0,5,false,false
111926,pivotal/jasmine-gem,ruby,88,1336074145,,1349472502,223305,,unknown,false,false,0,4,0,0,0,1,0,0,2,2,2,0,0,100,707,22,14,0,1271.5700141442717,97.5954738330976,216.4073550212164,435,gburghardt,0,0,2,false,false
110747,pivotal/jasmine-gem,ruby,87,1335993982,,1374203353,636822,,unknown,false,false,0,1,0,2,2,3,0,0,1,1,1,0,0,100,685,2,0,0,1239.4160583941607,94.8905109489051,217.51824817518246,434,mavenlink,1,0.0,5,false,false
110745,pivotal/jasmine-gem,ruby,86,1335993920,1354054257,1354054257,300945,300945,merged_in_comments,false,false,0,1,0,5,5,4,0,0,1,1,1,0,0,100,685,11,0,0,1239.4160583941607,94.8905109489051,217.51824817518246,434,mavenlink,0,0,5,false,false
87875,pivotal/jasmine-gem,ruby,84,1334248441,,1335808353,25998,,unknown,false,false,0,1,0,1,1,2,0,0,3,3,3,0,0,100,685,10,20,0,1239.4160583941607,94.8905109489051,217.51824817518246,427,pivotal-medici,0,0,0,false,false
71236,pivotal/jasmine-gem,ruby,82,1332926648,1340283052,1340283052,122606,122606,github,false,false,0,1,0,5,5,2,0,0,1,1,1,0,0,100,662,2,0,2,1238.6706948640483,98.18731117824774,214.5015105740181,414,jasonm,0,0,41,false,false
53540,pivotal/jasmine-gem,ruby,80,1332038167,1333481399,1333481399,24113,24113,github,false,false,0,1,0,1,1,1,0,0,3,3,3,0,0,100,662,17,0,2,1238.6706948640483,98.18731117824774,214.5015105740181,411,thewoolleyman,0,0,27,false,true
