pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2223910,play/play,ruby,352,1381188921,1381188927,1381188928,0,0,github,false,false,3,7,0,0,0,0,0,0,5,5,3,0,2,98,1855,54,4,118,565.498652291105,1.078167115902965,172.50673854447442,1605,maddox,24,0.4166666666666667,310,true,false
2211777,play/play,ruby,350,1380924250,1381189271,1381189271,4417,4417,github,false,false,2,50,0,12,12,2,8,0,22,30,19,1,3,98,1505,1622,4,436,697.0099667774086,1.3289036544850499,212.62458471760797,1605,technicalpickles,1,0.0,271,true,false
2175702,play/play,ruby,349,1380467298,,1380924140,7614,,unknown,false,false,2,10,0,2,2,2,1,0,3,4,2,1,0,98,1505,823,0,28,697.0099667774086,1.3289036544850499,212.62458471760797,1605,technicalpickles,0,0,271,false,false
2155595,play/play,ruby,341,1380018110,1380133581,1380133582,1924,1924,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,97,1482,2,0,33,707.8272604588394,1.3495276653171389,215.92442645074226,1604,archSeer,1,0.0,5,false,false
2126120,play/play,ruby,339,1379622210,1379698858,1379698858,1277,1277,github,false,false,3,5,0,5,5,1,5,0,15,20,8,12,0,97,1449,52,0,122,718.4265010351967,1.3802622498274673,218.0814354727398,1604,thedaniel,5,0.2,60,true,false
2122998,play/play,ruby,338,1379594936,1379594944,1379594944,0,0,github,false,false,3,5,0,0,0,0,1,0,6,7,7,0,0,97,1448,39,7,105,720.3038674033148,1.3812154696132597,217.5414364640884,1604,maddox,23,0.391304347826087,310,true,false
2122926,play/play,ruby,337,1379594366,,1379594883,8,,unknown,false,false,3,250,0,0,0,1,45,19,80,144,64,13,35,97,936,2173,1228,1372,579.0598290598291,2.136752136752137,123.93162393162393,1604,maddox,22,0.4090909090909091,310,true,false
2120041,play/play,ruby,336,1379561483,1379561488,1379561489,0,0,github,false,false,3,3,0,0,0,0,0,0,7,7,5,0,2,97,1447,21,0,82,716.6551485832757,1.38217000691085,217.00069108500344,1604,maddox,21,0.38095238095238093,310,true,false
2119980,play/play,ruby,335,1379560213,1379560221,1379560221,0,0,github,false,false,3,4,0,0,0,0,0,0,7,7,7,0,0,97,1406,76,90,79,689.9004267425321,1.4224751066856332,199.85775248933143,1604,maddox,20,0.35,310,true,false
2117942,play/play,ruby,334,1379530149,1379540629,1379540629,174,174,github,false,false,2,10,0,0,0,0,4,4,9,17,12,0,0,98,1371,232,268,157,713.347921225383,1.4587892049598834,209.33625091174326,1604,maddox,19,0.3157894736842105,310,true,false
2116795,play/play,ruby,333,1379519739,1379520673,1379520673,15,15,github,false,false,2,30,0,0,0,0,1,5,23,29,21,4,2,98,1354,259,201,335,724.519940915805,2.2156573116691285,211.9645494830133,1604,maddox,18,0.2777777777777778,310,true,false
2116439,play/play,ruby,332,1379516769,1379517023,1379517023,4,4,github,false,false,2,1,0,1,1,1,0,0,2,2,1,3,0,98,1354,7,0,13,724.519940915805,2.2156573116691285,211.9645494830133,1604,thedaniel,4,0.0,60,true,false
2116427,play/play,ruby,331,1379516634,,1379516674,0,,unknown,false,false,2,250,0,0,0,1,48,13,81,142,66,16,33,98,936,1946,627,931,579.0598290598291,2.136752136752137,123.93162393162393,1604,thedaniel,3,0.0,60,true,false
1952440,play/play,ruby,322,1376924684,,1376925117,7,,unknown,false,false,2,1,0,0,0,0,0,0,2,2,2,0,0,98,1234,9,0,29,749.5948136142626,1.6207455429497568,225.2836304700162,1603,maddox,17,0.29411764705882354,310,true,false
1952433,play/play,ruby,321,1376924640,,1376924653,0,,unknown,false,false,2,250,0,0,0,1,46,8,83,137,73,13,35,98,936,3577,741,1092,579.0598290598291,2.136752136752137,123.93162393162393,1603,maddox,16,0.3125,310,true,false
1952171,play/play,ruby,320,1376921967,1376923871,1376923871,31,31,merged_in_comments,false,false,2,2,0,1,1,1,0,0,2,2,1,0,1,98,1234,2,0,2,749.5948136142626,1.6207455429497568,225.2836304700162,1603,maddox,15,0.3333333333333333,310,true,false
