pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2759763,postrank-labs/goliath,ruby,277,1389106605,1389198306,1389198306,1528,1528,github,false,false,2,3,0,2,2,2,0,0,3,3,3,0,0,55,3229,5,16,0,763.3942397026943,88.57231340972437,135.02632393930008,1943,marcoow,2,1.0,26,false,false
2650987,postrank-labs/goliath,ruby,274,1387234158,1387288576,1387288576,906,906,commits_in_master,false,false,2,1,0,2,2,2,0,0,1,1,1,0,0,62,3229,2,0,0,763.3942397026943,88.57231340972437,135.02632393930008,1942,Juanmcuello,0,0,4,false,false
2599571,postrank-labs/goliath,ruby,271,1386577313,1386854168,1386854168,4614,4614,commits_in_master,false,false,2,3,0,5,5,3,0,0,1,1,1,0,0,60,3230,6,0,0,763.1578947368422,88.54489164086688,134.98452012383902,1942,rubencaro,2,1.0,2,false,false
2473224,postrank-labs/goliath,ruby,268,1384800590,1384802608,1384802608,33,33,commits_in_master,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,75,3230,27,7,0,761.3003095975232,88.23529411764706,134.6749226006192,1941,nolman,9,0.8888888888888888,17,true,true
2318751,postrank-labs/goliath,ruby,263,1382604679,,1382726159,2024,,unknown,false,false,2,1,0,5,5,4,0,0,1,1,1,0,0,50,3227,3,0,0,762.008057018903,88.31732259064145,134.80012395413695,1939,jsaak,1,0.0,2,false,false
2318028,postrank-labs/goliath,ruby,262,1382596643,1382676472,1382676472,1330,1330,commits_in_master,false,false,2,1,0,1,1,2,0,0,1,1,1,0,0,50,3227,7,0,0,762.008057018903,88.31732259064145,134.80012395413695,1939,jsaak,0,0,2,false,false
2305586,postrank-labs/goliath,ruby,261,1382475776,,1382477862,34,,unknown,false,false,2,7,0,2,2,5,0,0,1,1,1,0,0,60,3227,199,0,0,762.008057018903,88.31732259064145,134.80012395413695,1939,kybishop,4,0.5,0,false,false
1891224,postrank-labs/goliath,ruby,255,1375698662,,1375698792,2,,unknown,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,75,3227,4,0,0,762.008057018903,88.31732259064145,134.80012395413695,1934,janpieper,1,1.0,10,false,false
1891037,postrank-labs/goliath,ruby,254,1375695866,1375705681,1375705681,163,163,github,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,75,3227,6,0,0,762.008057018903,88.31732259064145,134.80012395413695,1934,janpieper,0,0,10,false,false
1814993,postrank-labs/goliath,ruby,252,1374589579,1375713837,1375713837,18737,18737,github,false,false,3,5,2,2,4,3,0,0,22,22,21,1,0,71,3227,4,138,3,759.8388596219398,88.00743724821817,134.49023861171366,1934,duksis,0,0,11,false,false
1610141,postrank-labs/goliath,ruby,248,1371521120,1371658799,1371658799,2294,2294,github,false,false,2,3,2,5,7,2,0,0,5,5,5,0,0,66,3225,29,12,1,756.8992248062016,87.75193798449612,134.26356589147287,1932,subosito,0,0,11,false,false
1477723,postrank-labs/goliath,ruby,245,1368554603,,1368644694,1501,,unknown,false,false,2,1,1,2,3,2,0,0,1,1,1,0,0,64,3225,76,0,0,756.8992248062016,87.75193798449612,134.26356589147287,1931,kybishop,3,0.6666666666666666,0,false,false
1477316,postrank-labs/goliath,ruby,244,1368549054,,1370638288,34820,,unknown,false,false,2,1,1,2,3,1,0,0,1,1,1,0,0,62,3225,24,0,0,756.8992248062016,87.75193798449612,134.26356589147287,1931,kybishop,2,1.0,0,false,false
1474271,postrank-labs/goliath,ruby,243,1368504250,1368531021,1368531021,446,446,github,false,false,2,4,1,0,1,3,0,0,1,1,1,0,0,61,3218,24,0,0,758.5456805469234,87.94282162834058,134.55562461155998,1931,rubencaro,1,1.0,2,false,false
1422497,postrank-labs/goliath,ruby,240,1367460682,1367494095,1367494095,556,556,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,62,3207,16,0,4,758.6529466791394,87.93264733395698,134.70533208606176,1930,kybishop,1,1.0,0,false,false
1400439,postrank-labs/goliath,ruby,237,1366945916,1367080878,1367080878,2249,2249,github,false,false,2,1,0,0,0,1,0,0,2,2,1,1,0,64,3207,2,0,0,758.6529466791394,87.93264733395698,134.70533208606176,1929,nolman,8,0.875,13,true,true
1378232,postrank-labs/goliath,ruby,236,1366143412,1366149551,1366149551,102,102,github,false,false,2,2,0,0,0,2,0,0,4,4,4,0,0,60,3208,21,1,5,758.7281795511221,87.90523690773068,134.66334164588528,1929,nolman,7,0.8571428571428571,13,false,true
