pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2684405,praw-dev/praw,python,272,1387656765,1387823186,1387823186,2773,2773,commit_sha_in_comments,false,false,6,1,0,1,1,2,0,0,3,3,2,1,0,80,1740,3,9,0,214.94252873563218,26.436781609195403,33.9080459770115,509,TomDunn,1,0.0,3,false,false
2554475,praw-dev/praw,python,267,1386288758,1387065757,1387065757,12949,12949,commit_sha_in_comments,false,false,6,8,8,22,30,3,0,0,5,5,3,1,1,84,1738,16,29,0,211.73762945914845,25.891829689298042,33.371691599539695,509,foxx,2,0.0,10,false,false
2557263,praw-dev/praw,python,266,1386288244,1387824595,1387824595,25605,25605,commit_sha_in_comments,false,false,6,7,9,8,17,2,0,0,2,2,2,0,0,84,1738,88,15,0,211.73762945914845,25.891829689298042,33.371691599539695,509,foxx,1,0.0,10,false,false
2554463,praw-dev/praw,python,264,1386287012,,1386288358,22,,unknown,false,false,6,1,5,0,5,2,0,0,1,1,1,0,0,85,1738,6,0,0,211.73762945914845,25.891829689298042,33.371691599539695,509,foxx,0,0,10,false,false
2561250,praw-dev/praw,python,262,1386017069,1386107756,1386107756,1511,1511,commit_sha_in_comments,false,false,5,2,0,0,0,1,0,0,1,1,0,1,0,90,1736,0,0,0,211.9815668202765,25.921658986175114,33.41013824884793,509,paul-nechifor,0,0,1,false,false
2549151,praw-dev/praw,python,261,1385840666,1386107728,1386107728,4451,4451,commit_sha_in_comments,false,false,4,1,0,0,0,1,0,0,2,2,0,2,0,92,1736,0,0,0,211.9815668202765,25.921658986175114,33.41013824884793,509,chipolux,0,0,0,false,false
2532800,praw-dev/praw,python,257,1385580870,1385709080,1385709080,2136,2136,commit_sha_in_comments,false,false,3,3,0,5,5,2,0,0,1,1,0,1,0,94,1736,0,0,0,211.9815668202765,25.921658986175114,33.41013824884793,508,RenfredH04,0,0,3,false,false
2395887,praw-dev/praw,python,256,1383720383,1383726180,1383726180,96,96,commit_sha_in_comments,false,false,4,1,0,1,1,2,0,0,1,1,0,1,0,73,1736,0,0,0,211.9815668202765,25.921658986175114,33.41013824884793,508,thekarangoel,0,0,94,false,false
2391613,praw-dev/praw,python,253,1383667757,,1383717821,834,,unknown,false,false,4,5,0,7,7,3,0,0,1,1,1,0,0,73,1736,131,0,1,211.9815668202765,25.921658986175114,33.41013824884793,508,shrayas,0,0,8,false,false
2666743,praw-dev/praw,python,245,1379256860,1379316773,1379316773,998,998,commit_sha_in_comments,false,false,6,1,3,13,16,3,0,0,2,2,1,1,0,36,1435,4,0,0,241.81184668989548,29.26829268292683,38.32752613240418,505,TomDunn,0,0,2,false,false
1931444,praw-dev/praw,python,238,1376494260,1376563099,1376563099,1147,1147,commit_sha_in_comments,false,false,6,6,4,15,19,3,0,0,3,3,2,1,0,41,1386,61,0,0,950.937950937951,135.64213564213566,147.9076479076479,503,pipsqueaker,0,0,0,false,false
1696528,praw-dev/praw,python,233,1372949337,1374137406,1374137406,19801,19801,commit_sha_in_comments,false,false,5,3,0,4,4,3,0,0,3,3,1,2,0,18,1377,2,0,0,946.9862018881627,135.07625272331157,145.96949891067538,501,IvanTrendafilov,0,0,4,false,false
1687751,praw-dev/praw,python,232,1372848177,1374135590,1374135590,21456,21456,commits_in_master,false,false,4,4,0,0,0,1,0,0,4,4,3,1,0,18,1377,42,34,95,946.9862018881627,135.07625272331157,145.96949891067538,501,Damgaard,47,0.40425531914893614,5,false,true
1643518,praw-dev/praw,python,230,1372111610,1377230500,1377230500,85314,85314,commit_sha_in_comments,false,false,4,20,14,13,27,3,0,0,4,4,3,1,0,17,1377,204,225,0,946.9862018881627,135.07625272331157,145.96949891067538,498,Wiwiweb,0,0,0,false,false
1620726,praw-dev/praw,python,228,1371669268,1371669586,1371669586,5,5,commits_in_master,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,20,1377,0,0,0,946.9862018881627,135.07625272331157,145.96949891067538,497,vindimy,0,0,1,false,false
1566596,praw-dev/praw,python,227,1370628622,1371090775,1371090775,7702,7702,commit_sha_in_comments,false,false,3,3,4,6,10,3,0,0,1,1,1,0,0,16,1372,49,0,0,948.2507288629738,134.8396501457726,145.7725947521866,497,drkabob,1,0.0,4,false,false
1553779,praw-dev/praw,python,226,1370434955,1371090245,1371090245,10921,10921,commits_in_master,false,false,2,2,1,0,1,2,0,0,5,5,4,1,0,17,1372,38,22,146,948.2507288629738,134.8396501457726,145.7725947521866,497,Damgaard,46,0.41304347826086957,5,false,true
1723645,praw-dev/praw,python,225,1370111605,1370203154,1370203154,1525,1525,github,false,false,3,1,0,0,0,1,0,0,1,1,0,1,0,17,1372,0,0,4,948.2507288629738,134.8396501457726,145.7725947521866,497,clarle,0,0,47,false,false
1748700,praw-dev/praw,python,217,1366925780,1366997011,1366997011,1187,1187,github,false,false,4,1,0,2,2,2,1,0,3,4,4,0,0,55,1311,361,0,81,994.6605644546148,141.87643020594965,153.31807780320366,496,Damgaard,45,0.4,5,false,true
1392326,praw-dev/praw,python,214,1366432960,1366433106,1366433106,2,2,github,false,false,4,1,0,0,0,1,0,0,2,2,1,1,0,61,1268,4,0,58,1030.757097791798,147.4763406940063,159.30599369085175,990,Damgaard,44,0.38636363636363635,10,false,true
1383503,praw-dev/praw,python,209,1366247600,,1372320161,101209,,unknown,false,false,5,16,0,10,10,2,27,4,33,64,31,3,1,62,1281,25,7747,0,1020.296643247463,145.97970335675254,157.68930523028885,494,Damgaard,43,0.3953488372093023,5,false,true
1306470,praw-dev/praw,python,206,1365189544,1365275205,1365275205,1427,1427,commit_sha_in_comments,false,false,6,6,18,4,22,3,0,0,4,4,2,2,0,46,1233,21,0,0,1059.2051905920518,151.6626115166261,163.82806163828062,494,enjoyaol,0,0,0,false,false
1319284,praw-dev/praw,python,205,1364771868,1364836338,1364836338,1074,1074,github,false,false,5,1,0,4,4,2,0,0,1,1,0,1,0,45,1233,0,0,14,1059.2051905920518,151.6626115166261,163.82806163828062,493,Damgaard,42,0.38095238095238093,4,false,true
1281118,praw-dev/praw,python,204,1363792582,1363797222,1363797222,77,77,github,false,false,5,2,0,0,0,1,0,0,7,7,0,7,0,44,1233,0,0,43,1059.2051905920518,151.6626115166261,163.82806163828062,491,Damgaard,41,0.36585365853658536,4,false,true
1234570,praw-dev/praw,python,199,1362774592,,1362774982,6,,unknown,false,false,5,1,0,1,1,1,0,0,1,1,0,1,0,45,1203,0,0,0,1052.369077306733,152.11970074812967,168.74480465502907,488,jawerty,0,0,11,false,false
1234104,praw-dev/praw,python,198,1362768437,1362774924,1362774924,108,108,commits_in_master,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,45,1203,0,0,4,1052.369077306733,152.11970074812967,168.74480465502907,488,Damgaard,40,0.375,3,false,true
1229806,praw-dev/praw,python,197,1362690271,1362698188,1362698188,131,131,commits_in_master,false,false,5,2,0,0,0,0,0,0,4,4,0,4,0,45,1203,0,0,17,1052.369077306733,152.11970074812967,168.74480465502907,488,Damgaard,39,0.38461538461538464,3,false,true
2666742,praw-dev/praw,python,194,1362480188,1362502466,1362502466,371,371,github,false,false,5,2,0,0,0,0,0,0,1,1,0,1,0,44,1203,0,0,4,1052.369077306733,152.11970074812967,168.74480465502907,487,Damgaard,38,0.3684210526315789,3,false,true
1213762,praw-dev/praw,python,193,1362223412,1362298455,1362298455,1250,1250,commit_sha_in_comments,false,false,5,4,0,4,4,2,1,0,2,3,0,2,0,44,1203,0,0,0,1052.369077306733,152.11970074812967,168.74480465502907,485,jensechu,1,0.0,19,false,false
1213542,praw-dev/praw,python,192,1362214837,1362218377,1362218377,59,59,commits_in_master,false,false,4,1,0,0,0,3,0,0,1,1,0,1,0,44,1203,0,0,9,1052.369077306733,152.11970074812967,168.74480465502907,485,jensechu,0,0,19,false,false
1207522,praw-dev/praw,python,190,1362081918,1362091791,1362091791,164,164,commit_sha_in_comments,false,false,4,1,0,2,2,1,0,0,1,1,1,0,0,46,1202,18,0,0,1033.2778702163062,150.58236272878537,166.38935108153078,485,Damgaard,37,0.3783783783783784,3,false,true
1207268,praw-dev/praw,python,189,1362078101,1362177910,1362177910,1663,1663,commit_sha_in_comments,false,false,4,3,2,4,6,2,0,0,1,1,1,0,0,46,1202,0,60,0,1033.2778702163062,150.58236272878537,166.38935108153078,485,Damgaard,36,0.3888888888888889,3,false,true
1201552,praw-dev/praw,python,188,1361977314,1362017146,1362017146,663,663,commits_in_master,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,46,1202,0,10,55,1040.765391014975,151.414309484193,167.22129783693842,485,Damgaard,35,0.4,2,false,true
1187934,praw-dev/praw,python,187,1361660248,1361852214,1361852214,3199,3199,commit_sha_in_comments,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,47,1186,2,0,0,1048.060708263069,152.61382799325463,166.10455311973018,483,Damgaard,34,0.4117647058823529,2,false,true
1182679,praw-dev/praw,python,184,1361530095,1361583605,1361583605,891,891,merged_in_comments,false,false,4,1,0,1,1,1,0,0,1,1,1,0,0,47,1148,1,0,0,1082.7526132404182,157.66550522648083,171.602787456446,483,Damgaard,33,0.42424242424242425,2,false,true
1165417,praw-dev/praw,python,182,1361182920,1361183509,1361183509,9,9,commits_in_master,false,false,4,27,0,0,0,1,11,0,14,25,6,12,2,47,1139,79,38,411,1063.2133450395083,153.64354697102723,167.69095697980686,482,Damgaard,32,0.4375,2,false,true
1151449,praw-dev/praw,python,178,1360793029,1362184568,1362184568,23192,23192,commits_in_master,false,false,4,79,0,7,7,2,11,0,13,24,4,12,3,20,1139,218,0,272,1063.2133450395083,153.64354697102723,167.69095697980686,481,Damgaard,31,0.45161290322580644,2,false,true
1088424,praw-dev/praw,python,176,1360482541,1360976824,1360976824,8238,8238,commit_sha_in_comments,false,false,4,1,0,1,1,1,0,0,4,4,4,0,0,9,1139,8,33,0,1057.0676031606672,152.76558384547852,166.81299385425814,481,Damgaard,30,0.4666666666666667,2,false,true
