pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2725922,projectblacklight/blacklight,ruby,668,1388497182,,1388668752,2859,,unknown,false,false,4,1,0,0,0,1,0,4,13,17,12,5,0,25,3624,91,150,10,1738.6865342163355,191.77704194260485,350.7174392935982,224,jcoyne,24,0.4166666666666667,9,true,true
2721711,projectblacklight/blacklight,ruby,667,1388417538,1388418456,1388418456,15,15,commits_in_master,false,false,4,1,0,0,0,0,0,0,2,2,0,2,0,23,3600,0,0,4,1740.5555555555557,192.77777777777777,352.7777777777778,224,jrochkind,9,0.2222222222222222,42,false,true
2710817,projectblacklight/blacklight,ruby,666,1388156165,1388166449,1388166449,171,171,commits_in_master,false,false,4,1,0,0,0,0,0,0,6,6,5,1,0,24,3558,5,52,7,1744.8004496908377,193.64811691961776,353.5694210230467,224,jcoyne,23,0.43478260869565216,9,true,true
2703227,projectblacklight/blacklight,ruby,665,1388093831,1388423021,1388423021,5486,5486,commits_in_master,false,false,4,3,3,1,4,2,2,0,7,9,6,1,2,23,3558,266,239,10,1744.8004496908377,193.64811691961776,353.5694210230467,224,jcoyne,22,0.45454545454545453,9,true,true
2691333,projectblacklight/blacklight,ruby,662,1387820728,1388200152,1388200152,6323,6323,commits_in_master,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,26,3558,14,0,3,1735.806632939854,193.92917369308603,354.41259134345137,224,jrochkind,8,0.25,42,false,true
2662644,projectblacklight/blacklight,ruby,659,1387376993,1387379504,1387379504,41,41,github,false,false,4,1,0,2,2,2,0,0,1,1,1,0,0,27,3555,2,0,2,1731.6455696202531,194.0928270042194,349.929676511955,224,jrochkind,7,0.14285714285714285,42,false,true
2656586,projectblacklight/blacklight,ruby,658,1387302304,1387306413,1387306413,68,68,commits_in_master,false,false,4,1,0,0,0,0,0,1,1,2,2,0,0,25,3555,22,0,1,1731.6455696202531,194.0928270042194,349.929676511955,224,jrochkind,6,0.16666666666666666,42,false,true
2656532,projectblacklight/blacklight,ruby,657,1387301775,1388200529,1388200529,14979,14979,commits_in_master,false,false,4,8,0,7,7,3,1,1,6,8,3,3,0,25,3555,498,0,5,1731.6455696202531,194.0928270042194,349.929676511955,224,jrochkind,5,0.2,42,false,true
2625511,projectblacklight/blacklight,ruby,656,1386869608,1386972896,1386972896,1721,1721,commits_in_master,false,false,4,1,0,3,3,3,0,0,2,2,2,0,0,25,3555,2,5,29,1730.520393811533,193.81153305203938,349.3670886075949,224,fcfowler,2,0.0,3,false,false
2624399,projectblacklight/blacklight,ruby,655,1386862501,1388273775,1388273775,23521,23521,commits_in_master,false,false,4,3,0,3,3,2,2,0,5,7,7,0,0,25,3555,267,28,8,1730.520393811533,193.81153305203938,349.3670886075949,224,jcoyne,21,0.47619047619047616,9,true,true
