pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2713981,pry/pry,ruby,1077,1388225576,,1388250739,419,,unknown,false,false,6,1,0,1,1,2,0,0,1,1,2,0,0,42,7642,0,2,0,1191.57288667888,132.81863386548022,192.7505888510861,2655,yui-knk,18,0.05555555555555555,0,false,false
2701620,pry/pry,ruby,1075,1388064896,1388155049,1388155049,1502,1502,commits_in_master,false,false,6,1,0,1,1,1,0,0,1,1,1,0,0,43,7642,2,0,0,1191.0494634912327,132.68777806856843,192.4888772572625,2655,yui-knk,17,0.058823529411764705,0,false,false
2689500,pry/pry,ruby,1072,1387792523,1388155164,1388155164,6044,6044,commits_in_master,false,false,6,2,0,1,1,2,0,0,2,2,2,0,0,41,7642,2,5,23,1191.0494634912327,132.68777806856843,192.4888772572625,2654,yui-knk,15,0.06666666666666667,0,false,false
2686705,pry/pry,ruby,1071,1387725855,1388155244,1388155244,7156,7156,commits_in_master,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,40,7642,2,0,9,1191.0494634912327,132.68777806856843,192.4888772572625,2654,yui-knk,14,0.07142857142857142,0,false,false
2685489,pry/pry,ruby,1070,1387690788,,1387895257,3407,,unknown,false,false,6,2,0,0,0,1,0,0,3,3,3,0,0,39,7642,8,17,0,1191.0494634912327,132.68777806856843,192.4888772572625,2654,yui-knk,13,0.07692307692307693,0,false,false
2683276,pry/pry,ruby,1068,1387632112,1387664383,1387664383,537,537,commits_in_master,false,false,6,1,0,0,0,0,0,0,1,1,4,0,0,38,7642,0,6,0,1191.0494634912327,132.68777806856843,192.4888772572625,2654,yui-knk,12,0.08333333333333333,0,false,false
2682867,pry/pry,ruby,1067,1387621387,1387622667,1387622667,21,21,commits_in_master,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,38,7642,1,0,1,1191.0494634912327,132.68777806856843,192.4888772572625,2654,yui-knk,11,0.09090909090909091,0,false,false
2682297,pry/pry,ruby,1066,1387601726,,1387664521,1046,,unknown,false,true,6,1,0,5,5,4,0,0,1,1,1,0,0,38,7642,28,0,0,1191.0494634912327,132.68777806856843,192.4888772572625,2654,kurochan,0,0,1,false,false
2678399,pry/pry,ruby,1063,1387548177,1387619667,1387619667,1191,1191,commits_in_master,false,false,6,1,0,0,0,2,0,0,1,1,1,0,0,38,7646,2,0,16,1190.426366727701,132.61836254250588,192.3881768244834,2654,yui-knk,10,0.1,0,false,false
2670732,pry/pry,ruby,1062,1387452730,1387565733,1387565733,1883,1883,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,1,0,0,38,7646,6,0,7,1190.426366727701,132.61836254250588,192.3881768244834,2653,yui-knk,9,0.1111111111111111,0,false,false
2656287,pry/pry,ruby,1057,1387299140,,1387664530,6089,,unknown,false,false,6,1,0,5,5,2,0,0,1,1,1,0,0,37,7646,100,0,0,1190.426366727701,132.61836254250588,192.3881768244834,2653,robgleeson,9,0.8888888888888888,56,true,true
2638054,pry/pry,ruby,1050,1387017136,1387033604,1387033604,274,274,commits_in_master,false,false,6,4,10,12,22,2,1,0,2,3,2,0,0,36,7646,6,187,4,1180.8788909233585,131.57206382422183,190.29557938791524,2653,yui-knk,6,0.16666666666666666,0,false,false
2636900,pry/pry,ruby,1049,1386981955,1387014529,1387014529,542,542,commits_in_master,false,false,6,1,0,2,2,2,0,0,1,1,0,0,1,36,7646,0,0,1,1180.8788909233585,131.57206382422183,190.29557938791524,2653,yui-knk,5,0.2,0,false,false
2633572,pry/pry,ruby,1047,1386946870,1386972926,1386972926,434,434,commits_in_master,false,false,6,1,0,3,3,2,0,0,1,1,1,0,0,36,7643,6,0,3,1181.3424048148634,131.62370796807537,190.37027345283266,2653,yui-knk,4,0.25,0,false,false
2626873,pry/pry,ruby,1044,1386880088,1386883823,1386883823,62,62,commits_in_master,false,false,6,1,0,0,0,2,0,0,1,1,1,0,0,36,7639,4,0,5,1181.9609896583322,131.6926299253829,190.46995680062835,2653,jurglic,1,0.0,2,false,false
2623310,pry/pry,ruby,1042,1386855238,1386855328,1386855328,1,1,commits_in_master,false,false,6,1,0,1,1,2,0,0,1,1,1,0,0,35,7639,2,0,15,1181.9609896583322,131.6926299253829,190.46995680062835,2653,yui-knk,3,0.3333333333333333,0,false,false
2621522,pry/pry,ruby,1040,1386835977,1386854711,1386854711,312,312,commits_in_master,false,false,6,1,0,0,0,2,0,0,2,2,2,0,0,36,7633,10,27,0,1179.7458404297129,131.53412812786587,190.35765753963054,2653,jurglic,0,0,2,false,false
2575775,pry/pry,ruby,1039,1386754195,1386776762,1386776762,376,376,commits_in_master,false,false,6,6,17,1,18,3,0,0,3,3,3,0,0,35,7630,20,18,18,1178.8990825688072,131.3237221494102,190.17038007863695,2653,deependersingla,0,0,0,false,false
2605675,pry/pry,ruby,1038,1386643520,1386855137,1386855137,3526,3526,commits_in_master,false,false,6,2,0,5,5,2,0,0,2,2,2,0,0,35,7630,103,0,12,1178.8990825688072,131.3237221494102,190.17038007863695,2653,yui-knk,2,0.5,0,false,false
2603671,pry/pry,ruby,1036,1386619651,1386620901,1386620901,20,20,github,false,false,6,1,0,0,0,1,0,0,2,2,2,0,0,34,7629,3,7,2,1178.2671385502688,131.20985712413162,190.06422860138943,2653,jasonLaster,3,1.0,23,false,false
2594782,pry/pry,ruby,1034,1386476042,1386658046,1386658046,3033,3033,merged_in_comments,false,false,6,1,0,6,6,2,0,0,1,1,1,0,0,33,7626,4,0,0,1178.33726724364,131.13034356150013,190.00786782061368,2653,yui-knk,1,1.0,0,false,false
2594420,pry/pry,ruby,1033,1386466368,1386467048,1386467048,11,11,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,33,7620,0,6,0,1173.2283464566929,130.70866141732284,189.37007874015748,2653,jasonLaster,2,1.0,23,false,false
2557299,pry/pry,ruby,1032,1386458354,1386467206,1386467206,147,147,github,false,false,6,1,2,2,4,2,1,0,1,2,2,0,0,33,7620,21,56,0,1173.2283464566929,130.70866141732284,189.37007874015748,2653,DanielleSucher,5,0.6,62,false,false
2591879,pry/pry,ruby,1031,1386415012,1386520868,1386520868,1764,1764,github,false,false,5,1,0,6,6,3,0,0,2,2,2,0,0,33,7620,5,4,0,1173.2283464566929,130.70866141732284,189.37007874015748,2653,meesterdude,0,0,0,false,false
2653623,pry/pry,ruby,1029,1386382624,1386383099,1386383099,7,7,github,false,false,5,1,0,0,0,0,0,0,1,1,0,0,1,33,7620,0,0,0,1173.2283464566929,130.70866141732284,189.37007874015748,2653,yui-knk,0,0,0,false,false
2518377,pry/pry,ruby,1019,1385410030,1385410261,1385410261,3,3,commits_in_master,false,false,5,1,0,0,0,1,0,3,0,3,0,1,1,42,7358,0,0,0,1209.7037238379994,134.27561837455832,195.02582223430278,2653,rondale-sc,5,0.6,12,false,false
2512209,pry/pry,ruby,1017,1385330505,1385332245,1385332245,29,29,commits_in_master,false,false,5,3,5,2,7,2,0,0,14,14,14,0,0,41,7359,69,0,12,1209.5393395841827,134.25737192553336,194.99932055985866,2653,Havenwood,2,0.5,29,false,false
2460726,pry/pry,ruby,1009,1384565939,1385073547,1385073547,8460,8460,commits_in_master,false,false,6,1,0,1,1,2,0,0,2,2,2,0,0,35,7359,3,12,3,1207.9086832450062,134.12148389726866,195.40698464465282,2653,Trevoke,0,0,39,false,false
2432343,pry/pry,ruby,1005,1384236004,1385410170,1385410170,19569,19569,commits_in_master,false,false,6,20,0,6,6,2,5,0,7,12,10,0,1,33,7359,489,92,3,1207.9086832450062,134.12148389726866,195.40698464465282,2653,Havenwood,1,1.0,28,false,false
2395658,pry/pry,ruby,1001,1383716366,1384009213,1384009213,4880,4880,commits_in_master,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,36,7261,2,0,0,1216.4991048065006,135.10535738878943,196.66712574025615,2653,epitron,3,0.3333333333333333,51,false,true
2375232,pry/pry,ruby,997,1383424734,1384036017,1384036017,10188,10188,commits_in_master,false,false,6,14,0,2,2,2,2,0,6,8,7,0,0,25,7261,530,70,21,1216.4991048065006,135.10535738878943,196.66712574025615,2652,rf-,6,0.8333333333333334,33,true,true
2116559,pry/pry,ruby,979,1379784147,1379835004,1379835004,847,847,github,false,false,6,2,1,8,9,2,0,0,2,2,2,0,0,43,7242,58,20,0,1214.7196906931788,134.49323391328363,195.94034797017397,2650,robgleeson,8,0.875,53,true,true
2094414,pry/pry,ruby,977,1378925751,1378927106,1378927106,22,22,github,false,false,6,1,0,0,0,0,0,0,1,1,1,0,0,44,7242,2,0,3,1214.7196906931788,134.49323391328363,195.94034797017397,2649,sbryant,0,0,44,false,false
2066877,pry/pry,ruby,972,1378498114,1378498149,1378498150,0,0,github,false,false,6,1,0,0,0,1,0,0,2,2,2,0,0,41,7242,6,8,0,1214.0292736813035,134.3551505109086,195.6641811654239,2649,DanielleSucher,3,0.6666666666666666,57,false,false
2065734,pry/pry,ruby,971,1378484732,,1378494483,162,,unknown,false,false,6,1,4,0,4,2,0,0,2,2,2,0,0,40,7242,2,5,0,1214.0292736813035,134.3551505109086,195.6641811654239,2649,DanielleSucher,2,1.0,57,false,false
2062616,pry/pry,ruby,970,1378440084,1378467113,1378467113,450,450,github,false,false,6,3,3,0,3,3,0,0,2,2,2,0,0,38,7240,22,0,4,1214.364640883978,134.39226519337015,195.71823204419888,2649,DanielleSucher,1,1.0,57,false,false
2061762,pry/pry,ruby,969,1378420242,1378427098,1378427098,114,114,github,false,false,6,1,0,0,0,1,0,0,2,2,2,0,0,37,7240,2,10,0,1213.2596685082872,134.25414364640883,195.58011049723757,2649,DanielleSucher,0,0,56,false,false
2050935,pry/pry,ruby,967,1378278019,1378283049,1378283049,83,83,github,false,false,6,1,0,7,7,3,0,0,1,1,1,0,0,36,7240,2,0,1,1213.2596685082872,134.25414364640883,195.58011049723757,2648,gpsnail,0,0,0,false,false
1948825,pry/pry,ruby,964,1376869003,1376897355,1376897355,472,472,github,false,false,6,1,0,5,5,3,0,0,1,1,0,1,0,41,7232,0,0,7,1214.6017699115043,134.40265486725664,195.79646017699116,2648,noahd1,0,0,17,false,false
1810320,pry/pry,ruby,952,1374527423,1374619653,1374619653,1537,1537,github,false,false,5,1,0,0,0,0,0,0,2,2,2,0,0,40,7220,23,19,2,1212.4653739612188,134.21052631578948,195.70637119113573,2637,rondale-sc,3,0.6666666666666666,7,false,false
1784464,pry/pry,ruby,949,1374055956,1374057680,1374057680,28,28,github,false,false,6,1,0,0,0,1,0,0,1,1,0,1,0,40,7220,0,0,2,1212.4653739612188,134.21052631578948,195.70637119113573,2635,janko-m,0,0,9,false,false
1791927,pry/pry,ruby,945,1372232659,1372232901,1372232901,4,4,github,false,false,5,1,0,0,0,1,0,0,1,1,0,1,0,36,7148,0,0,2,1224.6782316731951,135.5623950755456,197.6776720761052,2631,rubydubee,0,0,3,false,false
1648295,pry/pry,ruby,944,1372180944,1372889649,1372889649,11811,11811,github,false,false,5,9,0,2,2,2,1,0,4,5,4,0,0,36,7148,457,0,7,1224.6782316731951,135.5623950755456,197.6776720761052,2630,nviennot,0,0,47,false,false
1570027,pry/pry,ruby,939,1370720747,1370721648,1370721648,15,15,github,false,false,5,1,0,0,0,3,0,0,1,1,1,0,0,24,7147,2,0,2,1224.8495872394012,135.58136280957044,197.70533090807334,2629,zph,0,0,10,false,false
1519267,pry/pry,ruby,930,1369555067,1369555458,1369555458,6,6,github,false,false,5,1,0,0,0,1,0,0,1,1,1,0,0,23,7147,2,0,1,1224.8495872394012,135.58136280957044,197.70533090807334,2627,eagletmt,0,0,35,false,false
1791925,pry/pry,ruby,928,1369394681,1369394732,1369394732,0,0,github,false,false,5,1,0,0,0,0,0,0,1,1,0,1,0,22,7147,0,0,2,1224.8495872394012,135.58136280957044,197.70533090807334,2627,hashrocketeer,0,0,3,false,false
1468359,pry/pry,ruby,923,1368394688,1368969488,1368969488,9580,9580,github,false,false,5,2,0,1,1,2,0,0,1,1,1,0,0,18,7148,23,0,12,1223.2792389479575,135.5623950755456,197.6776720761052,2624,ustuehler,0,0,12,false,false
1744096,pry/pry,ruby,912,1366885834,1366886327,1366886327,8,8,github,false,false,6,2,0,1,1,1,0,0,2,2,2,0,0,11,7179,13,0,13,1214.375261178437,134.69842596461905,196.40618470539073,2621,richo,0,0,53,false,false
1581686,pry/pry,ruby,910,1366872615,,1385134951,304312,,unknown,false,false,6,1,0,11,11,7,0,0,1,1,1,0,0,10,7179,2,0,0,1214.375261178437,134.69842596461905,196.40618470539073,2621,epitron,2,0.5,45,false,true
1394246,pry/pry,ruby,908,1366495293,1366495687,1366495687,6,6,github,false,false,7,1,0,1,1,2,0,0,1,1,1,0,0,11,7173,2,0,0,1214.8334030391748,134.67168548724385,196.43106092290532,2620,amonat,0,0,0,false,false
1389690,pry/pry,ruby,906,1366371663,,1366409679,633,,unknown,false,false,7,1,0,0,0,0,0,0,1,1,1,0,0,10,7180,2,0,0,1213.649025069638,134.54038997214485,196.23955431754874,2619,rking,12,0.5833333333333334,20,true,true
1384450,pry/pry,ruby,905,1366271022,,1366954033,11383,,unknown,false,false,8,1,0,0,0,1,0,0,2,2,2,0,0,10,7180,9,6,0,1213.649025069638,134.54038997214485,196.23955431754874,2619,akhilstanislavose,0,0,5,false,false
1376744,pry/pry,ruby,903,1366119398,1366119506,1366119506,1,1,github,false,false,8,1,0,0,0,2,0,0,2,2,2,0,0,11,7180,2,18,13,1211.699164345404,134.54038997214485,196.10027855153203,2619,Paulche,0,0,2,false,false
1328791,pry/pry,ruby,893,1364961626,1364962633,1364962633,16,16,github,false,false,10,1,0,1,1,3,0,0,1,1,1,0,0,8,7165,2,0,18,1212.5610607117933,134.54291695743194,196.0921144452198,2618,evaryont,0,0,28,false,false
1306203,pry/pry,ruby,892,1364479998,1364646683,1364646683,2778,2778,github,false,false,10,9,0,0,0,0,1,0,5,6,6,0,0,7,7151,170,27,146,1210.739756677388,134.10711788561042,195.49713326807438,2617,ConradIrwin,6,1.0,120,true,true
1295999,pry/pry,ruby,887,1364300785,1364312442,1364312442,194,194,github,false,false,10,3,0,0,0,2,0,0,2,2,2,0,0,5,7136,24,16,35,1206.6984304932735,133.6883408071749,195.207399103139,2617,quark-zju,0,0,33,false,false
1243867,pry/pry,ruby,881,1363023170,1363023519,1363023519,5,5,github,false,false,10,1,0,0,0,1,0,0,1,1,1,0,0,4,7086,4,0,10,1187.8351679367768,132.09144792548688,192.35111487440022,2613,stuporglue,0,0,0,false,false
1233647,pry/pry,ruby,876,1362762134,1362763843,1362763843,28,28,github,false,false,11,1,0,0,0,1,0,0,1,1,1,0,0,4,7086,2,0,0,1187.2706745695739,131.95032458368613,192.2099915325995,2612,ognevsky,0,0,27,false,false
1791946,pry/pry,ruby,873,1362516663,1362519451,1362519451,46,46,github,false,false,11,1,0,2,2,2,0,0,1,1,1,0,0,3,7086,2,0,1,1187.2706745695739,131.95032458368613,192.2099915325995,2612,pritchie,0,0,3,false,false
1089681,pry/pry,ruby,846,1360304263,1360697688,1360697688,6557,6557,github,false,false,11,4,0,14,14,4,1,0,3,4,3,0,1,4,7048,18,0,116,1191.4018161180477,132.37797956867198,193.1044267877412,2603,rking,11,0.5454545454545454,15,true,true
960210,pry/pry,ruby,842,1360077785,1360085881,1360085881,134,134,github,false,false,11,2,0,0,0,1,0,0,1,1,1,0,0,5,7010,8,0,26,1171.6119828815977,130.09985734664764,190.5848787446505,2599,knewter,0,0,34,false,false
840613,pry/pry,ruby,824,1359013107,1359013167,1359013167,1,1,github,false,false,11,1,0,1,1,1,0,0,1,1,1,0,0,9,6744,1,0,8,1181.9395017793595,129.8932384341637,192.02253855278767,2594,amanelis,0,0,51,false,false
832636,pry/pry,ruby,823,1358872890,1360001231,1360001231,18805,18805,github,false,false,11,1,0,1,1,2,0,0,1,1,1,0,0,9,6743,1,0,7,1182.1147857036926,129.91250185377427,192.05101586830787,2592,ineu,0,0,5,false,false
823932,pry/pry,ruby,818,1358557127,,1359236055,11315,,unknown,false,false,10,1,0,0,0,1,0,0,1,1,1,0,0,10,6725,29,0,0,1185.278810408922,130.26022304832713,192.56505576208178,2592,epitron,1,1.0,44,false,true
820832,pry/pry,ruby,816,1358400073,,1358474491,1240,,unknown,false,false,9,4,0,1,1,1,0,0,6,6,6,0,0,11,6654,40,11,0,1207.995190862639,132.25127742711152,197.62548842801323,2591,rking,10,0.6,14,true,true
