pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2746810,ps3mediaserver/ps3mediaserver,java,126,1388869628,1389512815,1389512815,10719,10719,github,false,false,2,1,0,0,0,0,0,0,1,1,1,0,0,14,31716,12,0,1,70.40610417454913,4.3511161558834655,27.87236725942742,98,mindwarper,0,0,0,false,false
2474392,ps3mediaserver/ps3mediaserver,java,124,1384811540,1384887400,1384887400,1264,1264,fixes_in_commit,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,7,31698,18,0,0,70.4460849264938,4.353586977096347,27.88819483879109,98,Liboicl,1,0.0,0,false,false
2445074,ps3mediaserver/ps3mediaserver,java,123,1384374809,1384808797,1384808797,7233,7233,commit_sha_in_comments,false,false,3,1,0,0,0,2,0,0,1,1,1,0,0,8,31661,2,0,0,70.52841034711476,4.358674710211301,27.92078582483181,98,Liboicl,0,0,0,false,false
2402021,ps3mediaserver/ps3mediaserver,java,121,1383784614,1383993090,1383993090,3474,3474,github,false,false,4,2,0,1,1,1,0,0,6,6,4,0,2,7,31651,21,0,2,70.55069350099522,4.360051815108528,27.929607279390858,98,etrunko,0,0,2,false,false
1854293,ps3mediaserver/ps3mediaserver,java,120,1375002088,1375122842,1375122842,2012,2012,commit_sha_in_comments,false,false,2,2,0,0,0,1,0,0,1,1,1,0,0,98,31475,37,0,0,70.94519459888801,4.384432088959492,28.0857823669579,98,tdcosta100,1,0.0,0,false,false
1854290,ps3mediaserver/ps3mediaserver,java,119,1375002015,1375122864,1375122864,2014,2014,fixes_in_commit,false,false,2,3,0,0,0,1,0,0,1,1,1,0,0,98,31475,38,0,0,70.94519459888801,4.384432088959492,28.0857823669579,98,tdcosta100,0,0,0,false,false
1822808,ps3mediaserver/ps3mediaserver,java,118,1374642150,,1374642200,0,,unknown,false,false,1,1,0,0,0,0,0,0,0,0,0,0,0,99,31475,0,0,0,70.94519459888801,4.384432088959492,28.0857823669579,98,Vincent9662,0,0,0,false,false
1765683,ps3mediaserver/ps3mediaserver,java,116,1373653624,1373829023,1373829023,2923,2923,commit_sha_in_comments,false,false,1,1,0,3,3,2,0,0,1,1,1,0,0,99,31427,8,0,0,67.93521494256531,4.359308874534636,27.078626658605657,98,Zillode,0,0,2,false,false
1636348,ps3mediaserver/ps3mediaserver,java,113,1372007046,1372011280,1372011280,70,70,commit_sha_in_comments,false,false,1,8,1,0,1,1,2,0,4,6,1,1,4,99,31393,665,0,0,68.00879176886566,4.3640301978148,27.107954002484632,98,gui17aume,0,0,0,false,false
1550340,ps3mediaserver/ps3mediaserver,java,111,1370374124,1370584592,1370584592,3507,3507,github,false,false,1,1,0,0,0,1,0,0,5,5,2,0,3,97,30308,100,0,50,65.72522106374555,3.9263560776032733,26.36267652105055,98,Raptor399,5,0.4,1,false,false
1511804,ps3mediaserver/ps3mediaserver,java,110,1369320872,,1369325880,83,,unknown,false,false,1,1,0,0,0,2,0,0,1,1,0,1,0,97,30254,0,0,0,65.84253321874793,3.933364183248496,26.409730944668475,97,coobird,0,0,0,false,false
1451841,ps3mediaserver/ps3mediaserver,java,109,1368034074,1370449047,1370449047,40249,40249,github,false,false,1,106,1,19,20,3,35,4,146,185,82,2,101,95,30166,8549,341,621,61.32732215076577,3.646489425180667,24.000530398461844,97,Happy-Neko,10,0.7,2,false,false
1403226,ps3mediaserver/ps3mediaserver,java,108,1367149920,,1367149959,0,,unknown,false,false,0,250,0,0,0,1,4308,669,473,5450,1400,150,2249,100,30166,34839,2210,0,61.32732215076577,3.646489425180667,24.000530398461844,97,Raptor399,4,0.5,1,false,false
1320529,ps3mediaserver/ps3mediaserver,java,107,1366282873,1366548701,1366548701,4430,4430,github,false,false,0,4,1,0,1,1,0,0,2,2,2,0,0,100,30209,20,0,6,61.240027806282896,3.6412989506438476,23.966367638783144,97,thepadawan42,0,0,0,false,false
1089587,ps3mediaserver/ps3mediaserver,java,104,1360535877,1360607675,1360607675,1196,1196,fixes_in_commit,false,false,0,1,0,0,0,1,0,0,1,1,0,0,1,100,29585,0,0,0,62.53168835558561,3.718100388710495,24.471860740239986,97,oscaroe,0,0,0,false,false
1089630,ps3mediaserver/ps3mediaserver,java,102,1357511742,1371760501,1371760501,237539,237539,commit_sha_in_comments,false,false,0,1,0,4,4,3,0,0,1,1,1,0,0,100,29554,13,0,0,62.597279556066866,3.722000406036408,24.497529945185082,97,valib,29,0.4482758620689655,0,false,false
907639,ps3mediaserver/ps3mediaserver,java,101,1357019788,1357037798,1357037798,300,300,github,false,false,0,1,0,1,1,1,0,0,1,1,0,0,1,100,29554,0,0,1,62.597279556066866,3.722000406036408,24.497529945185082,94,sunghyuk,0,0,0,false,false
770207,ps3mediaserver/ps3mediaserver,java,100,1356744523,1356767393,1356767393,381,381,merged_in_comments,false,false,0,2,0,1,1,1,0,0,1,1,1,0,0,100,29551,4,0,0,62.43443538289736,3.7223782613109537,24.50001691990119,94,ler0y,0,0,0,false,false
777758,ps3mediaserver/ps3mediaserver,java,98,1355177359,1368806398,1368806398,227210,227210,fixes_in_commit,false,false,0,1,0,1,1,2,0,0,1,1,1,0,0,100,29551,2,0,0,62.43443538289736,3.7223782613109537,24.50001691990119,89,ExSport,6,0.6666666666666666,0,false,false
766558,ps3mediaserver/ps3mediaserver,java,97,1355147021,1371332936,1371332936,269825,269825,commit_sha_in_comments,false,false,0,1,0,3,3,2,0,0,1,1,0,0,1,100,29551,0,0,0,62.43443538289736,3.7223782613109537,24.50001691990119,89,ExSport,5,0.8,0,false,false
762095,ps3mediaserver/ps3mediaserver,java,96,1355138902,1356516128,1356516128,22953,22953,github,false,false,0,1,0,1,1,2,0,0,1,1,1,0,0,100,29551,2,0,14,62.43443538289736,3.7223782613109537,24.50001691990119,89,ExSport,4,0.75,0,false,false
766518,ps3mediaserver/ps3mediaserver,java,95,1355137607,1356645751,1356645751,25135,25135,commit_sha_in_comments,false,false,0,1,0,0,0,1,0,0,1,1,0,0,1,100,29551,0,0,0,62.43443538289736,3.7223782613109537,24.50001691990119,89,ExSport,3,1.0,0,false,false
1089638,ps3mediaserver/ps3mediaserver,java,93,1353713831,,1370587968,281295,,unknown,false,false,0,2,0,0,0,1,0,0,1,1,1,0,0,100,29524,17,0,0,62.49153231269475,3.7257824143070044,24.522422435984286,81,valib,28,0.4642857142857143,0,false,false
1089655,ps3mediaserver/ps3mediaserver,java,92,1353682979,,1353683420,7,,unknown,false,false,0,1,0,0,0,1,0,0,1,1,0,0,1,100,29538,0,0,0,62.46191346739793,3.724016521091475,24.510799647911167,81,brunoarueira,0,0,18,false,false
1089659,ps3mediaserver/ps3mediaserver,java,91,1352115577,1352128820,1352128820,220,220,github,false,false,4,1,0,0,0,1,0,0,6,6,4,0,2,68,29416,24,0,42,62.720968180582,3.739461517541474,24.612455806363883,80,valib,27,0.4444444444444444,0,false,false
1089660,ps3mediaserver/ps3mediaserver,java,90,1351984546,1352018575,1352018575,567,567,github,false,false,4,2,0,1,1,1,0,0,6,6,4,0,2,67,29416,12,0,59,62.720968180582,3.739461517541474,24.612455806363883,80,valib,26,0.4230769230769231,0,false,false
833136,ps3mediaserver/ps3mediaserver,java,89,1351686983,1360422377,1360422377,145589,145589,fixes_in_commit,false,false,5,1,0,2,2,3,0,0,7,7,7,0,0,59,29298,383,0,0,62.15441327053041,3.7203904703392725,24.40439620451908,80,valib,25,0.44,0,false,false
425084,ps3mediaserver/ps3mediaserver,java,87,1348082113,,1349892839,30178,,unknown,false,false,5,1,0,6,6,2,0,0,1,1,1,0,0,32,29091,2,0,0,60.53418583066928,3.6093637207383726,23.546801416245575,72,valib,24,0.4583333333333333,0,false,false
399674,ps3mediaserver/ps3mediaserver,java,86,1347531146,1347832973,1347832973,5030,5030,merged_in_comments,false,false,5,3,0,2,2,2,0,0,8,8,8,0,0,27,29025,50,0,0,60.63738156761413,3.6175710594315245,23.60034453057709,71,valib,23,0.4782608695652174,0,false,false
392261,ps3mediaserver/ps3mediaserver,java,85,1347484769,1364594000,1364594000,285093,285093,commit_sha_in_comments,false,false,5,20,0,4,4,3,0,0,20,20,18,0,2,26,29025,2068,0,0,60.63738156761413,3.6175710594315245,23.60034453057709,70,valib,22,0.5,0,false,false
342421,ps3mediaserver/ps3mediaserver,java,84,1346257961,,1346268166,170,,unknown,false,false,5,2,0,0,0,1,0,0,9,9,7,0,2,9,28925,392,0,0,47.95159896283492,3.2843560933448575,12.515125324114088,68,valib,21,0.5238095238095238,0,false,false
282491,ps3mediaserver/ps3mediaserver,java,83,1346003735,1364587302,1364587302,309666,309666,commit_sha_in_comments,false,false,6,99,21,3,24,3,1,0,10,11,7,0,3,8,28925,2743,0,0,47.95159896283492,3.2843560933448575,12.515125324114088,66,LordQuackstar,1,1.0,1,false,false
249083,ps3mediaserver/ps3mediaserver,java,81,1345143318,1348052081,1348052081,48479,48479,commits_in_master,false,false,6,13,1,17,18,3,0,0,3,3,1,1,1,6,28915,211,0,226,46.99982707937057,3.2854919591907312,12.519453570810997,65,valib,20,0.55,0,false,false
248078,ps3mediaserver/ps3mediaserver,java,80,1345117580,1345139121,1345139121,359,359,commit_sha_in_comments,false,false,6,1,0,0,0,1,0,0,1,1,1,0,0,6,28912,2,0,0,47.00470392916436,3.2858328721638075,12.520752628666298,65,smmmo,2,0.5,0,false,false
70150,ps3mediaserver/ps3mediaserver,java,79,1345056616,,1345143299,1444,,unknown,false,false,6,3,4,4,8,2,0,0,2,2,1,1,0,6,28912,192,0,0,47.00470392916436,3.2858328721638075,12.520752628666298,65,valib,19,0.5789473684210527,0,false,false
239065,ps3mediaserver/ps3mediaserver,java,78,1344594742,,1344787273,3208,,unknown,false,false,5,1,0,0,0,1,2,0,0,2,0,0,2,8,28804,0,0,0,47.180947090681855,3.2981530343007917,12.567698930704069,64,merelin,0,0,0,false,false
236479,ps3mediaserver/ps3mediaserver,java,77,1344543025,1344543261,1344543261,3,3,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,8,28796,14,0,3,47.19405472982359,3.299069315182664,12.5711904431171,64,skeptical,2,1.0,0,false,false
235746,ps3mediaserver/ps3mediaserver,java,76,1344250014,1344253354,1344253354,55,55,github,false,false,5,1,0,0,0,0,0,0,1,1,1,0,0,8,28814,3,0,2,47.16457277712223,3.2970083986950787,12.56333726660651,62,skeptical,1,1.0,0,false,false
234797,ps3mediaserver/ps3mediaserver,java,75,1344191998,1344192492,1344192492,8,8,github,false,false,5,4,0,1,1,1,0,0,5,5,5,0,0,8,28804,26,0,15,47.180947090681855,3.2981530343007917,12.567698930704069,62,skeptical,0,0,0,false,false
228062,ps3mediaserver/ps3mediaserver,java,71,1343333442,1343892325,1343892325,9314,9314,github,false,false,4,1,0,3,3,3,0,0,2,2,2,0,0,13,28678,23,0,3,36.50882209359091,2.5803752005021274,8.333914498919032,57,LordQuackstar,0,0,1,false,false
871965,ps3mediaserver/ps3mediaserver,java,70,1343217168,1343229123,1343229123,199,199,github,false,false,4,1,0,1,1,1,0,0,8,8,8,0,0,13,28690,26,0,60,36.45869640989892,2.5792959219240155,8.330428720808644,56,valib,18,0.5555555555555556,0,false,false
