pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2768707,pyload/pyload,python,464,1389217984,,1389260597,710,,unknown,false,false,8,1,0,0,0,1,1,0,0,1,1,0,0,22,40539,46,0,0,4.908853203088384,2.0227435309208417,3.1081181084881226,186,Vuolter,94,0.0425531914893617,0,false,false
2747507,pyload/pyload,python,460,1388886694,,1388939639,882,,unknown,false,false,9,1,0,3,3,3,1,0,0,1,1,0,0,21,29150,74,0,0,37.94168096054888,3.4991423670668955,8.542024013722127,186,skydevment,1,1.0,0,false,false
2735209,pyload/pyload,python,459,1388860744,,1389260908,6669,,unknown,false,false,9,3,6,0,6,2,0,0,1,1,1,0,0,21,40506,158,0,0,4.912852416925888,2.0243914481805163,3.1106502740334765,186,Vuolter,93,0.043010752688172046,0,false,false
2744575,pyload/pyload,python,455,1388819620,1388828363,1388828363,145,145,github,false,false,9,1,0,0,0,0,0,0,1,1,0,0,1,21,40508,0,0,0,4.912609854843487,2.0242914979757085,3.1104966920114547,186,git-commit,1,1.0,2,false,false
2744572,pyload/pyload,python,454,1388819501,1388828311,1388828311,146,146,github,false,false,9,1,0,0,0,0,0,0,1,1,1,0,0,21,40508,2,0,0,4.912609854843487,2.0242914979757085,3.1104966920114547,186,git-commit,0,0,2,false,false
2744141,pyload/pyload,python,453,1388806835,1388848962,1388848962,702,702,github,false,false,9,1,0,0,0,0,0,0,1,1,1,0,0,21,40508,2,0,0,4.912609854843487,2.0242914979757085,3.1104966920114547,186,skydevment,0,0,0,false,false
2675491,pyload/pyload,python,442,1387502395,1387534928,1387534928,542,542,merged_in_comments,false,false,9,2,0,0,0,1,0,0,72,72,72,0,0,21,40449,246,0,0,4.919775519790353,2.027244184034216,3.115033746198917,186,Vuolter,92,0.043478260869565216,0,false,false
2651476,pyload/pyload,python,438,1387240803,1388329860,1388329860,18150,18150,merged_in_comments,false,false,9,4,10,2,12,2,0,0,1,1,1,0,0,22,40449,173,0,0,4.919775519790353,2.027244184034216,3.115033746198917,186,Vuolter,91,0.04395604395604396,0,false,false
2639235,pyload/pyload,python,437,1387041780,1387050364,1387050364,143,143,merged_in_comments,false,false,9,1,0,1,1,1,1,0,0,1,1,0,0,23,40437,17,0,0,4.9212355021391305,2.0278457848010487,3.1159581571333184,186,derek3x,0,0,0,false,false
2611250,pyload/pyload,python,434,1386705535,1386709459,1386709459,65,65,github,false,false,9,1,0,0,0,0,0,0,1,1,1,0,0,25,41022,55,0,1,4.851055531178392,1.9989274048071766,3.07152259763054,186,kmarty,7,0.5714285714285714,0,false,false
2561944,pyload/pyload,python,433,1386702399,,1386704075,27,,unknown,false,false,9,1,4,0,4,2,0,0,1,1,1,0,0,24,41022,55,0,0,4.851055531178392,1.9989274048071766,3.07152259763054,186,kmarty,6,0.6666666666666666,0,false,false
2603409,pyload/pyload,python,432,1386617101,,1386663440,772,,unknown,false,false,9,3,0,2,2,3,0,0,2,2,2,0,0,24,29601,4,0,0,37.363602580993884,3.4458295327860546,8.411877977095369,186,Tony763,1,0.0,0,false,false
2571468,pyload/pyload,python,427,1386149110,1386151384,1386151384,37,37,github,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,27,41027,53,0,0,4.850464328369124,1.9986837935993371,3.0711482682136153,186,kmarty,5,0.6,0,false,false
2568351,pyload/pyload,python,426,1386102375,,1386106400,67,,unknown,false,false,8,1,0,0,0,1,0,0,1,1,1,0,0,27,29607,2,0,0,37.35603066842301,3.4451312189684873,8.410173269834837,186,Tony763,0,0,0,false,false
2526665,pyload/pyload,python,422,1385506466,,1385570491,1067,,unknown,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,30,41046,4,0,5,4.848219071285874,1.9977586122886517,3.069726648150855,186,Vuolter,90,0.044444444444444446,0,false,false
2507176,pyload/pyload,python,418,1385221295,,1385375269,2566,,unknown,false,false,8,2,0,0,0,0,0,0,9,9,9,0,0,32,40997,474,0,12,4.854013708320121,2.00014635217211,3.073395614313242,186,Vuolter,88,0.045454545454545456,0,false,false
2490257,pyload/pyload,python,415,1384989650,,1385049114,991,,unknown,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,33,41002,2,0,2,4.853421784303205,1.9999024437832302,3.07302082825228,186,Vuolter,87,0.04597701149425287,0,false,false
2490224,pyload/pyload,python,414,1384989176,,1385032652,724,,unknown,false,false,8,1,0,0,0,0,0,0,1,1,1,0,0,33,29513,2,0,12,37.47501101209636,3.4561040897231727,8.436959983735981,186,Vuolter,86,0.046511627906976744,0,false,false
2490023,pyload/pyload,python,413,1384987203,,1385035107,798,,unknown,false,false,8,2,0,1,1,2,0,0,2,2,2,0,0,33,29513,6,0,0,37.47501101209636,3.4561040897231727,8.436959983735981,186,Vuolter,85,0.047058823529411764,0,false,false
2489975,pyload/pyload,python,412,1384986761,,1385375110,6472,,unknown,false,false,8,3,2,1,3,2,0,0,2,2,2,0,0,33,41002,32,0,6,4.853421784303205,1.9999024437832302,3.07302082825228,186,Vuolter,84,0.047619047619047616,0,false,false
2489313,pyload/pyload,python,411,1384980631,,1385049589,1149,,unknown,false,false,8,4,0,1,1,3,1,0,8,9,7,1,1,32,41002,193,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,186,fragonib,3,0.0,0,false,false
2484825,pyload/pyload,python,410,1384937572,,1384956054,308,,unknown,false,false,8,1,0,0,0,1,0,0,1,1,0,1,0,33,41002,0,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,186,MAFLO321,0,0,0,false,false
2482001,pyload/pyload,python,408,1384896223,,1384956462,1003,,unknown,false,false,8,4,0,1,1,2,1,1,2,4,3,0,0,32,29513,327,0,0,37.47501101209636,3.4561040897231727,8.436959983735981,186,fragonib,2,0.0,0,false,false
2481547,pyload/pyload,python,407,1384892286,1385051286,1385051286,2650,2650,merged_in_comments,false,false,8,1,0,1,1,2,0,0,1,1,1,0,0,32,41002,1,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,186,miracle2k,0,0,67,false,false
2474102,pyload/pyload,python,406,1384808562,,1384893471,1415,,unknown,false,false,8,3,0,3,3,2,1,0,2,3,3,0,0,32,41002,167,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,186,fragonib,1,0.0,0,false,false
2466567,pyload/pyload,python,404,1384710590,,1384719102,141,,unknown,false,false,8,1,0,0,0,1,0,0,2,2,2,0,0,32,29962,121,0,0,36.91342366998198,3.4043121286963487,8.310526667111676,185,Vuolter,83,0.04819277108433735,0,false,false
2466498,pyload/pyload,python,403,1384709423,1384719055,1384719055,160,160,merged_in_comments,false,false,8,1,0,1,1,2,0,0,9,9,9,0,0,32,41002,237,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,82,0.04878048780487805,0,false,false
2466285,pyload/pyload,python,402,1384704895,,1384705903,16,,unknown,false,false,8,3,0,1,1,2,0,0,3,3,3,0,0,32,29961,128,0,0,36.914655719101496,3.4044257534795235,8.310804045258836,185,Vuolter,81,0.04938271604938271,0,false,false
2465843,pyload/pyload,python,400,1384695833,,1384705950,168,,unknown,false,false,8,3,0,5,5,2,0,0,2,2,2,0,0,32,30497,51,0,13,36.265862215955664,3.3445912712725843,8.164737515165426,185,Vuolter,79,0.05063291139240506,0,false,false
2465350,pyload/pyload,python,399,1384685081,,1385507501,13707,,unknown,false,false,8,2,0,5,5,3,0,0,1,1,1,0,0,33,41002,43,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,78,0.05128205128205128,0,false,false
2465119,pyload/pyload,python,397,1384679192,,1385374680,11591,,unknown,false,false,8,2,0,3,3,2,0,0,1,1,1,0,0,33,41002,20,0,2,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,77,0.05194805194805195,0,false,false
2465088,pyload/pyload,python,396,1384678172,,1384878941,3346,,unknown,false,false,8,1,0,3,3,2,0,0,1,1,1,0,0,33,41002,8,0,1,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,76,0.05263157894736842,0,false,false
2465051,pyload/pyload,python,395,1384677336,,1385813734,18939,,unknown,false,false,8,2,1,0,1,1,0,0,1,1,1,0,0,32,41002,37,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,75,0.05333333333333334,0,false,false
2464965,pyload/pyload,python,394,1384674543,,1384678528,66,,unknown,false,false,8,2,0,0,0,0,0,0,1,1,1,0,0,32,41002,10,0,4,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,74,0.05405405405405406,0,false,false
2463850,pyload/pyload,python,392,1384641551,,1384956580,5250,,unknown,false,false,8,2,0,2,2,2,0,0,1,1,1,0,0,32,41002,12,0,14,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,73,0.0547945205479452,0,false,false
2463669,pyload/pyload,python,391,1384637765,,1385570346,15543,,unknown,false,false,8,3,3,1,4,3,0,0,1,1,1,0,0,32,41002,18,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,72,0.05555555555555555,0,false,false
2463627,pyload/pyload,python,390,1384637062,,1385380786,12395,,unknown,false,false,8,4,0,1,1,1,0,0,1,1,1,0,0,31,41002,14,0,0,4.853421784303205,1.9999024437832302,3.07302082825228,185,Vuolter,71,0.056338028169014086,0,false,false
