pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2727409,railsbridge/docs,ruby,292,1388524006,1388632818,1388632818,1813,1813,commits_in_master,false,false,3,2,0,1,1,1,0,0,3,3,3,0,0,47,1035,12,4,11,582.6086956521739,47.34299516908213,65.70048309178745,128,dshafik,1,0.0,63,false,false
2724094,railsbridge/docs,ruby,291,1388455176,1388456034,1388456034,14,14,commits_in_master,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,47,1034,2,0,11,583.1721470019341,47.38878143133463,67.69825918762089,128,dshafik,0,0,63,false,false
2590492,railsbridge/docs,ruby,289,1386374857,1386401099,1386401099,437,437,github,false,false,4,1,0,0,0,2,0,0,1,1,0,0,1,50,1024,0,0,0,586.9140625,47.8515625,68.359375,128,naomisorbet,1,1.0,0,false,false
2589967,railsbridge/docs,ruby,288,1386367353,1386401513,1386401513,569,569,github,false,false,4,1,0,0,0,0,0,0,1,1,0,0,1,49,1024,0,0,0,586.9140625,47.8515625,68.359375,128,naomisorbet,0,0,0,false,false
2588522,railsbridge/docs,ruby,287,1386352642,1387161304,1387161304,13477,13477,merged_in_comments,false,false,4,9,0,2,2,2,19,6,3,28,0,0,22,49,1024,0,0,0,586.9140625,47.8515625,68.359375,128,rbatta,0,0,2,false,false
2520799,railsbridge/docs,ruby,281,1385444944,1385660839,1385660839,3598,3598,commits_in_master,false,false,4,1,0,2,2,3,0,0,1,1,0,1,0,55,948,0,0,1,580.168776371308,49.57805907172995,71.72995780590718,128,mehulkar,1,0.0,22,false,false
2512340,railsbridge/docs,ruby,280,1385332354,1387161460,1387161460,30485,30485,commits_in_master,false,false,4,3,0,10,10,7,0,0,2,2,0,0,2,55,948,0,0,2,580.168776371308,49.57805907172995,71.72995780590718,128,tjgrathwell,4,1.0,14,true,true
2508279,railsbridge/docs,ruby,279,1385240931,1385265542,1385265542,410,410,commits_in_master,false,false,4,2,0,3,3,4,2,0,0,2,0,1,1,54,948,0,0,0,580.168776371308,49.57805907172995,71.72995780590718,128,lilliealbert,8,0.875,22,true,true
2505332,railsbridge/docs,ruby,277,1385168756,1385661618,1385661618,8214,8214,commit_sha_in_comments,false,false,4,1,0,4,4,3,0,0,1,1,0,0,1,55,948,0,0,0,580.168776371308,49.57805907172995,71.72995780590718,128,eqdw,1,1.0,25,false,false
2503332,railsbridge/docs,ruby,276,1385144495,,1385144503,0,,unknown,false,false,4,153,0,0,0,0,119,5,65,189,13,34,132,55,948,306,50,0,580.168776371308,49.57805907172995,71.72995780590718,128,sixviv,1,0.0,5,false,false
2487173,railsbridge/docs,ruby,275,1384961096,1384979373,1384979373,304,304,commits_in_master,false,false,4,2,0,0,0,0,0,0,2,2,2,0,0,57,938,5,20,9,583.1556503198294,49.04051172707889,71.42857142857143,128,tjarratt,1,0.0,17,false,false
2484392,railsbridge/docs,ruby,272,1384931814,1384979373,1384979373,792,792,commits_in_master,false,false,4,2,0,1,1,3,2,0,1,3,0,3,0,55,938,0,0,3,583.1556503198294,49.04051172707889,71.42857142857143,128,mehulkar,0,0,22,false,false
2476005,railsbridge/docs,ruby,270,1384836034,1384921883,1384921883,1430,1430,commits_in_master,false,false,4,2,0,5,5,3,0,0,7,7,6,0,31,57,930,15,22,14,587.0967741935483,49.46236559139785,72.04301075268816,128,lilliealbert,7,1.0,21,true,true
2438958,railsbridge/docs,ruby,268,1384304340,1384305400,1384305400,17,17,commits_in_master,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,53,929,0,0,0,592.0344456404736,49.51560818083961,72.1205597416577,128,quelledanielle,0,0,6,false,false
2402365,railsbridge/docs,ruby,267,1383790429,,1383790466,0,,unknown,false,false,7,84,0,0,0,0,113,1,45,159,13,20,119,50,918,290,50,0,599.1285403050109,50.108932461873636,72.98474945533769,128,oyuki,0,0,0,false,false
2387547,railsbridge/docs,ruby,266,1383626408,1383792680,1383792680,2771,2771,commits_in_master,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,50,918,0,0,3,599.1285403050109,50.108932461873636,72.98474945533769,128,dosire,3,0.0,12,false,false
2386873,railsbridge/docs,ruby,265,1383614110,1383792680,1383792680,2976,2976,commits_in_master,false,false,7,2,0,0,0,3,0,0,2,2,0,0,2,48,918,0,0,4,599.1285403050109,50.108932461873636,72.98474945533769,128,dosire,2,0.0,12,false,false
2375489,railsbridge/docs,ruby,264,1383428877,1383443751,1383443751,247,247,commits_in_master,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,46,909,0,0,1,601.7601760176018,49.504950495049506,72.60726072607261,128,dosire,1,0.0,12,false,false
2374456,railsbridge/docs,ruby,263,1383410643,1383443751,1383443751,551,551,commits_in_master,false,false,7,1,0,0,0,0,0,0,1,1,0,0,1,45,909,0,0,1,601.7601760176018,49.504950495049506,72.60726072607261,128,dosire,0,0,12,false,false
