pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2384901,rapidsms/rapidsms,python,422,1383592016,,1383764408,2873,,unknown,false,false,2,5,1,1,2,1,0,0,7,7,5,0,2,42,2517,17,45,1,645.6098529996027,55.621771950735,83.03535955502582,315,vkurup,1,0.0,4,false,false
2256784,rapidsms/rapidsms,python,420,1381700489,,1387431105,95450,,unknown,false,false,2,1,0,0,0,0,0,0,1,1,0,1,0,37,2517,0,0,0,645.6098529996027,55.621771950735,83.03535955502582,315,jthurner,0,0,0,false,false
2142677,rapidsms/rapidsms,python,415,1379949279,1379949642,1379949642,6,6,github,false,false,0,1,0,0,0,0,0,0,2,2,0,1,1,100,2515,0,0,0,641.7495029821073,55.268389662027836,81.51093439363817,315,copelco,12,0.5833333333333334,13,true,false
2131413,rapidsms/rapidsms,python,414,1379699567,1379950260,1379950260,4178,4178,github,false,false,0,1,0,1,1,1,0,0,1,1,1,0,0,100,2515,2,0,0,641.7495029821073,55.268389662027836,81.51093439363817,315,dodumosu,0,0,0,false,false
1922256,rapidsms/rapidsms,python,411,1376276739,,1379965299,61476,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,61,2515,0,0,2,641.7495029821073,55.268389662027836,81.51093439363817,315,wilsonkichoi,0,0,0,false,false
1857814,rapidsms/rapidsms,python,409,1375083849,,1379964282,81340,,unknown,false,false,3,1,0,2,2,1,0,0,1,1,1,0,0,67,2515,14,0,0,641.7495029821073,55.268389662027836,81.51093439363817,315,takinbo,1,0.0,13,false,true
1605426,rapidsms/rapidsms,python,406,1371454170,,1373973630,41991,,unknown,false,false,3,1,0,1,1,1,0,5,0,5,5,0,0,85,2515,246,0,0,641.7495029821073,55.268389662027836,81.51093439363817,314,xkmato,1,0.0,1,false,false
1560667,rapidsms/rapidsms,python,403,1370538350,,1370872030,5561,,unknown,false,false,2,1,0,1,1,1,0,0,1,1,0,1,0,89,2515,0,0,2,641.7495029821073,55.268389662027836,81.51093439363817,314,ewheeler,1,0.0,31,true,false
1528701,rapidsms/rapidsms,python,387,1369746314,,1370261760,8590,,unknown,false,false,2,2,0,1,1,1,0,0,1,1,0,1,0,92,2481,0,0,2,646.9165659008464,55.21966948810964,82.62797259169689,314,dpoirier,60,0.2833333333333333,2,true,true
1528026,rapidsms/rapidsms,python,386,1369399321,,1369738506,5653,,unknown,false,false,2,1,0,0,0,0,1,0,2,3,0,3,0,93,2481,0,0,35,640.4675534058847,55.21966948810964,82.62797259169689,314,dpoirier,59,0.288135593220339,2,true,true
1528013,rapidsms/rapidsms,python,385,1369141929,,1369738363,9940,,unknown,false,false,2,1,0,0,0,0,0,0,2,2,0,2,0,94,2496,0,0,6,631.0096153846155,54.08653846153847,82.13141025641026,314,dpoirier,58,0.29310344827586204,2,true,true
1509644,rapidsms/rapidsms,python,384,1369138662,,1369398371,4328,,unknown,false,false,2,20,14,0,14,2,5,0,15,20,4,11,0,94,2496,78,36,93,631.0096153846155,54.08653846153847,82.13141025641026,314,dpoirier,57,0.2982456140350877,2,true,true
1527904,rapidsms/rapidsms,python,382,1369736773,,1370512095,12922,,unknown,false,false,2,2,0,2,2,1,0,0,3,3,2,1,0,93,2481,25,30,24,640.4675534058847,55.21966948810964,82.62797259169689,314,dpoirier,56,0.30357142857142855,2,true,true
1441343,rapidsms/rapidsms,python,381,1367857844,,1369738299,31340,,unknown,false,false,3,1,2,0,2,1,0,0,6,6,5,1,0,94,2500,28,0,35,626.8000000000001,54.800000000000004,82.0,314,dpoirier,55,0.3090909090909091,2,true,true
1536211,rapidsms/rapidsms,python,378,1369853731,,1370104317,4176,,unknown,false,false,2,5,19,4,23,4,14,3,13,30,0,26,0,92,2481,0,0,71,646.9165659008464,55.21966948810964,82.62797259169689,314,dpoirier,54,0.3148148148148148,2,true,true
1419427,rapidsms/rapidsms,python,375,1367414901,,1367493534,1310,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,0,1,0,94,2491,0,0,1,623.4443998394219,54.1951023685267,82.29626655961461,314,dpoirier,53,0.32075471698113206,2,true,true
1736993,rapidsms/rapidsms,python,374,1366728604,,1366887874,2654,,unknown,false,false,3,1,0,1,1,1,1,0,1,2,0,2,0,94,2485,0,0,6,612.0724346076458,54.32595573440644,81.28772635814889,313,dpoirier,52,0.3269230769230769,2,true,true
1328208,rapidsms/rapidsms,python,372,1366727864,,1366887890,2667,,unknown,false,false,3,2,4,1,5,2,0,0,1,1,0,1,0,94,2485,0,0,8,612.0724346076458,54.32595573440644,81.28772635814889,313,dpoirier,51,0.3333333333333333,2,true,true
1387534,rapidsms/rapidsms,python,368,1366319217,,1366320727,25,,unknown,false,false,3,18,0,0,0,0,0,0,4,4,3,1,0,94,2499,52,0,0,621.4485794317727,54.021608643457384,82.0328131252501,313,miclovich,5,0.2,37,false,false
1328177,rapidsms/rapidsms,python,367,1366725013,,1366888844,2730,,unknown,false,false,3,19,18,2,20,2,2,4,40,46,16,29,0,94,2485,76,134,315,612.0724346076458,54.32595573440644,81.28772635814889,313,dpoirier,50,0.34,2,true,true
1319053,rapidsms/rapidsms,python,366,1366134385,,1367366424,20533,,unknown,false,false,3,46,43,1,44,3,11,4,36,51,1,42,0,94,2499,7,0,385,621.4485794317727,54.021608643457384,82.0328131252501,313,dpoirier,49,0.3469387755102041,2,true,true
1390035,rapidsms/rapidsms,python,364,1366377383,1366709961,1366709961,5542,5542,github,false,false,3,1,0,2,2,2,0,0,2,2,0,2,0,94,2499,0,0,7,621.4485794317727,54.021608643457384,82.0328131252501,313,dpoirier,48,0.3333333333333333,2,true,true
1424564,rapidsms/rapidsms,python,360,1367497519,,1369738437,37348,,unknown,false,false,3,2,0,0,0,0,1,0,3,4,0,4,0,94,2491,0,0,50,623.4443998394219,54.1951023685267,82.29626655961461,314,dpoirier,47,0.3404255319148936,2,true,true
1304940,rapidsms/rapidsms,python,359,1365078259,1365592102,1365592102,8564,8564,github,false,false,3,4,7,1,8,2,1,0,4,5,0,4,0,96,2481,0,0,38,607.0133010882709,53.20435308343409,80.20959290608626,313,dpoirier,46,0.32608695652173914,2,true,true
1330236,rapidsms/rapidsms,python,357,1364991103,1365414338,1365414338,7053,7053,github,false,false,2,1,0,1,1,1,0,0,19,19,13,6,0,96,2464,62,26,92,611.2012987012987,53.57142857142857,80.76298701298701,313,dpoirier,45,0.3111111111111111,2,true,true
