pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2622469,rcbops-cookbooks/nova,ruby,373,1386846516,1386884225,1386884225,628,628,commits_in_master,false,false,8,2,0,20,20,2,0,0,4,4,2,2,0,50,1425,4,0,44,0.0,0.0,0.0,28,mattt416,8,1.0,7,false,true
2562726,rcbops-cookbooks/nova,ruby,372,1386032256,1386035537,1386035537,54,54,github,false,false,8,1,0,6,6,1,0,0,3,3,2,1,0,50,1413,40,0,38,0.0,0.0,0.0,28,invsblduck,6,0.5,3,false,true
2561183,rcbops-cookbooks/nova,ruby,371,1386016686,1386019759,1386019759,51,51,github,false,false,8,1,0,6,6,1,0,0,2,2,2,0,0,50,1413,4,0,8,0.0,0.0,0.0,28,claco,2,0.5,49,false,true
2527094,rcbops-cookbooks/nova,ruby,370,1385513119,1385516253,1385516253,52,52,commits_in_master,false,false,9,1,0,6,6,1,0,0,6,6,4,2,0,51,1414,8,0,30,0.0,0.0,0.0,28,invsblduck,5,0.6,3,false,true
2503712,rcbops-cookbooks/nova,ruby,369,1385147862,1385152270,1385152270,73,73,commits_in_master,false,false,9,1,0,6,6,1,0,0,1,1,1,0,0,52,1414,2,0,14,0.0,0.0,0.0,28,claco,1,1.0,49,false,true
2494466,rcbops-cookbooks/nova,ruby,368,1385045367,1385117942,1385117942,1209,1209,commits_in_master,false,false,7,7,0,18,18,1,1,0,3,4,3,1,0,53,1380,58,0,67,0.0,0.0,0.0,28,mancdaz,44,0.9318181818181818,14,false,true
2489535,rcbops-cookbooks/nova,ruby,367,1384982562,1384989398,1384989398,113,113,commits_in_master,false,false,7,1,0,13,13,2,0,0,1,1,1,0,0,54,1386,11,0,1,0.0,0.0,0.0,28,rackerjoe,70,0.9142857142857143,18,false,true
2472994,rcbops-cookbooks/nova,ruby,366,1384797936,,1384976444,2975,,unknown,false,false,7,1,1,9,10,3,3,0,6,9,6,2,1,54,1386,99,0,0,0.0,0.0,0.0,28,paulczar,0,0,9,false,false
2456576,rcbops-cookbooks/nova,ruby,365,1384518817,1384788620,1384788620,4496,4496,commits_in_master,false,false,7,1,0,13,13,2,0,0,1,1,1,0,0,54,1389,6,0,20,0.0,0.0,0.0,28,andymcc,15,1.0,3,false,true
2451935,rcbops-cookbooks/nova,ruby,364,1384455523,1384465817,1384465817,171,171,commits_in_master,false,false,7,5,0,20,20,2,0,0,3,3,2,1,0,54,1373,41,0,72,0.0,0.0,0.0,28,cloudnull,3,1.0,27,false,true
2430297,rcbops-cookbooks/nova,ruby,363,1384205576,1384208677,1384208677,51,51,commits_in_master,false,false,7,1,0,7,7,2,0,0,1,1,0,1,0,52,1373,0,0,3,0.0,0.0,0.0,28,willkelly,14,0.8571428571428571,9,false,true
2365682,rcbops-cookbooks/nova,ruby,362,1383256741,1383276311,1383276311,326,326,commits_in_master,false,false,9,1,0,13,13,2,0,0,2,2,1,1,0,50,1352,2,0,19,0.0,0.0,0.0,28,invsblduck,4,0.75,3,false,true
2309273,rcbops-cookbooks/nova,ruby,361,1382478184,1382480816,1382480816,43,43,github,false,false,9,1,0,6,6,1,0,0,2,2,2,0,0,52,1321,195,0,13,0.0,0.0,0.0,28,invsblduck,3,0.6666666666666666,3,false,true
2281401,rcbops-cookbooks/nova,ruby,360,1382031734,1382034503,1382034503,46,46,commits_in_master,false,false,8,3,0,10,10,1,1,0,1,2,1,1,0,52,1309,18,0,4,0.0,0.0,0.0,28,jcannava,11,1.0,8,false,true
2278276,rcbops-cookbooks/nova,ruby,359,1382000532,,1386795921,79863,,unknown,false,false,7,1,0,4,4,2,0,0,2,2,2,0,0,53,1271,6,0,0,0.0,0.0,0.0,28,odyssey4me,10,0.5,5,false,false
2270086,rcbops-cookbooks/nova,ruby,358,1381890704,1381893073,1381893073,39,39,commits_in_master,false,false,7,1,0,6,6,1,0,0,4,4,2,2,0,54,1269,6,0,33,0.0,0.0,0.0,28,DavidWittman,8,0.875,17,false,false
2264115,rcbops-cookbooks/nova,ruby,357,1381817190,1386942396,1386942396,85360,85360,commits_in_master,false,false,7,2,0,14,14,3,1,0,1,2,1,0,1,53,1269,14,0,3,0.0,0.0,0.0,28,odyssey4me,9,0.5555555555555556,5,false,false
2264055,rcbops-cookbooks/nova,ruby,356,1381816101,1382034503,1382034503,3640,3640,commits_in_master,false,false,7,1,0,7,7,1,1,0,1,2,1,1,0,53,1269,15,0,1,0.0,0.0,0.0,28,odyssey4me,8,0.625,5,false,false
2264024,rcbops-cookbooks/nova,ruby,355,1381815630,1382029933,1382029933,3571,3571,commits_in_master,false,false,7,1,0,7,7,1,2,0,4,6,3,1,2,52,1269,43,0,25,0.0,0.0,0.0,28,odyssey4me,7,0.7142857142857143,5,false,false
2246759,rcbops-cookbooks/nova,ruby,354,1381492978,1381495697,1381495697,45,45,commits_in_master,false,false,7,1,0,6,6,1,1,0,1,2,1,0,1,53,1269,2,0,1,0.0,0.0,0.0,28,rackerjoe,69,0.927536231884058,16,false,true
2241807,rcbops-cookbooks/nova,ruby,353,1381424393,1381424888,1381424888,8,8,commits_in_master,false,false,6,1,0,4,4,1,0,0,1,1,1,0,0,53,1269,2,0,0,0.0,0.0,0.0,28,rackerjoe,68,0.9411764705882353,16,false,true
2234851,rcbops-cookbooks/nova,ruby,352,1381338124,1381340630,1381340630,41,41,github,false,false,6,1,0,6,6,1,0,0,3,3,2,1,0,54,1267,4,0,26,0.0,0.0,0.0,28,jrcloud,3,0.6666666666666666,3,false,true
2209365,rcbops-cookbooks/nova,ruby,351,1380892642,1380895424,1380895424,46,46,github,false,false,5,1,0,7,7,1,0,0,1,1,1,0,0,56,1236,10,0,0,0.0,0.0,0.0,27,odyssey4me,6,0.6666666666666666,5,false,false
