pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_1000_lines,requester,prev_pullreqs,requester_succ_rate
765812,redis,852,1356631728,,1356631924,3,,5,250,1,655,79,57417,36534,0,9,0.0,jzawodn,2,0.5
776786,redis,842,1356113277,,1356124982,195,,5,1,0,12,78,57417,47,0,0,0.0,ldm5180,1,0.0
689790,redis,825,1355394225,,1355499828,1760,,5,2,1,7,67,57417,34,0,0,0.0,charsyam,16,0.125
689789,redis,829,1355475109,,1355475160,0,,5,1,0,1,68,57401,0,0,0,0.0,toice,0,0
744859,redis,824,1355324655,1355330081,1355330081,90,90,5,1,0,2,66,57401,0,0,2,0.0,ptjm,0,0
636574,redis,807,1354506632,1354530613,1354530613,399,399,5,1,2,1,59,57389,2,0,1,0.0,bmcmanus,2,0.0
619211,redis,805,1354409160,,1354409209,0,,5,1,1,1,58,57392,0,0,0,0.0,bmcmanus,0,0
579484,redis,798,1354129198,,1354196085,1114,,6,1,2,4,56,57310,117,0,0,0.0,charsyam,12,0.16666666666666666
649990,redis,791,1353883144,,1354095934,3546,,5,1,1,1,57,56673,3,0,0,0.0,charsyam,10,0.2
649988,redis,795,1354041716,,1354095339,893,,6,2,1,3,56,56673,106,0,0,0.0,arsenm,0,0
649901,redis,787,1353617708,1353667458,1353667458,829,829,5,1,1,1,56,56672,1,0,4,0.0,charsyam,8,0.125
649904,redis,741,1351704018,1351851047,1351851047,2450,2450,5,1,1,1,73,56440,0,0,2,0.0,Run,0,0
649902,redis,743,1351761651,1351801562,1351801562,665,665,6,1,1,2,73,55157,20,0,8,0.0,Cofyc,0,0
649910,redis,726,1351061360,1351668544,1351668544,10059,10059,6,1,1,1,74,56403,2,0,1,0.0,yamt,1,0.0
649906,redis,738,1351519266,,1351616296,1617,,5,1,3,1,75,56416,0,0,0,0.0,bitterb,0,0
650116,redis,734,1351288787,,1351313249,407,,5,0,0,0,73,56416,0,0,0,0.0,charsyam,2,0.5
650118,redis,730,1351190160,1351251163,1351251163,1016,1016,6,0,0,0,73,56402,0,0,0,0.0,charsyam,1,0.0
650119,redis,723,1351010222,,1351188637,2973,,6,0,0,0,73,56388,0,0,0,0.0,charsyam,0,0
649914,redis,693,1349233380,1350892523,1350892523,27652,27652,5,1,1,1,71,56364,0,0,1,0.0,ghurrell,0,0
649912,redis,707,1349852942,1349853494,1349853494,9,9,5,1,1,1,75,56364,5,0,1,0.0,NanXiao,0,0
115688,redis,503,1336417862,,1347983008,192752,,6,1,0,1,68,52537,2,0,0,0.0,idank,0,0
207849,redis,582,1342338551,,1346847654,75151,,7,1,2,1,73,53960,2,0,0,0.0,trapezoid,0,0
189685,redis,576,1341456649,,1346846378,89828,,7,1,1,2,69,53958,2,0,7,0.0,saj,0,0
347552,redis,657,1346449587,,1346525623,1267,,7,1,1,1,64,56054,0,0,0,0.0,oscardelben,0,0
343579,redis,652,1346301865,,1346302610,12,,6,1,1,1,64,56044,82,0,0,0.0,jokea,5,0.2
340907,redis,647,1346200021,,1346300544,1675,,6,2,2,2,65,55985,114,0,0,0.0,jokea,4,0.25
336235,redis,646,1346131010,,1346131096,1,,6,250,2,568,67,55947,31029,0,0,0.0,jokea,3,0.3333333333333333
241569,redis,628,1344885308,1345620747,1345620747,12257,12257,7,2,1,2,64,55873,68,0,3,0.0,pietern,15,0.8
245195,redis,629,1345014327,,1345037706,389,,7,1,1,3,66,36987,38,0,0,0.0,rnamiki,0,0
231906,redis,615,1344016964,,1344022605,94,,7,250,1,519,64,55873,30524,0,1,0.0,jroith,0,0
228346,redis,613,1343902302,1343903830,1343903830,25,25,7,1,1,1,64,55822,0,0,1,0.0,tobstarr,0,0
649815,redis,605,1343278390,,1343721340,7382,,7,1,1,1,69,55639,2,0,0,0.0,mgp,0,0
650170,redis,295,1326492470,,1343638227,285822,,2,0,0,0,88,52386,0,0,0,0.0,pyr,0,0
397231,redis,549,1339502737,,1343635735,68883,,8,4,0,0,63,53884,0,0,0,0.0,pyr,1,0.0
649817,redis,606,1343460841,1343461916,1343461916,17,17,8,1,1,1,66,55651,1,0,10,0.0,badboy,0,0
213133,redis,587,1342564710,1343379408,1343379408,13578,13578,7,1,1,1,83,53960,7,0,1,0.0,saj,2,0.5
213107,redis,586,1342563501,1343379320,1343379320,13596,13596,7,1,1,3,83,53960,15,0,8,0.0,saj,1,0.0
649816,redis,604,1343222961,1343223117,1343223117,2,2,6,1,1,1,71,55639,0,0,6,0.0,jzawodn,1,0.0
225190,redis,603,1343150699,1343218553,1343218553,1130,1130,6,1,2,1,72,55593,2,0,4,0.0,mrb,2,0.5
225124,redis,602,1343148903,1343218503,1343218503,1160,1160,6,1,2,1,73,55593,0,0,4,0.0,mrb,1,0.0
225860,redis,42,1297898233,,1343175833,754686,,2,1,1,1,98,19810,0,0,0,0.0,gilesbowkett,0,0
220208,redis,593,1342883502,1342887155,1342887155,60,60,6,1,1,1,88,53960,2,0,1,0.0,steevel,0,0
180977,redis,569,1340935762,1341821648,1341821648,14764,14764,7,1,1,1,66,53958,2,0,1,0.0,jokea,2,0.0
160955,redis,554,1339764135,,1339879423,1921,,8,1,4,3,64,53888,32,0,0,0.0,trapni,0,0
157372,redis,552,1339558897,1339568752,1339568752,164,164,8,1,1,1,64,53884,12,0,2,0.0,tnm,0,0
290374,redis,411,1332977150,,1339216993,103997,,3,1,0,4,91,52386,47,0,0,0.0,fritzy,1,0.0
144452,redis,534,1338595025,,1338618483,390,,6,1,1,2,66,52578,20,0,0,0.0,cababunga,0,0
132921,redis,517,1337729776,,1337759771,499,,6,1,1,1,66,36098,2,0,0,0.0,cwalsh,0,0
393515,redis,520,1337757604,,1337758609,16,,6,1,0,1,66,53558,2,0,0,0.0,jokea,1,0.0
393513,redis,287,1325844080,,1337757617,198618,,2,2,0,1,84,52386,2,0,0,0.0,jokea,0,0
388426,redis,486,1335683652,,1337223873,25670,,4,1,0,4,72,52425,40,0,0,0.0,yossigo,0,0
112942,redis,496,1336151471,1337066283,1337066283,15246,15246,6,1,2,1,69,51153,0,0,1,0.0,pietern,11,0.8181818181818182
123596,redis,510,1337012518,1337066215,1337066215,894,894,6,3,1,5,64,51280,407,0,1,0.0,pietern,13,0.8461538461538461
113218,redis,500,1336170918,1336284196,1336284196,1887,1887,6,1,5,1,69,51153,9,0,5,0.0,pietern,12,0.8333333333333334
112461,redis,494,1336122667,1336124463,1336124463,29,29,6,1,1,2,70,52432,2,0,2,0.0,quiver,1,1.0
107880,redis,488,1335799247,1335855025,1335855025,929,929,4,2,1,2,72,51146,13,0,4,0.0,pietern,10,0.8
388667,redis,487,1335794618,,1335799302,78,,4,1,0,0,72,52425,0,0,0,0.0,alicebob,0,0
102782,redis,481,1335374580,1335379154,1335379154,76,76,4,1,1,1,74,52440,2,0,6,0.0,dtran320,0,0
291377,redis,421,1333128218,1335166459,1335166459,33970,33970,3,1,1,2,90,51899,22,0,5,0.0,ErikDubbelboer,0,0
93543,redis,461,1334687047,1335164841,1335164841,7963,7963,3,1,1,3,86,52275,10,0,8,0.0,schlenk,0,0
82126,redis,440,1333795790,1334997066,1334997067,20021,20021,3,3,1,6,90,52191,36,0,12,0.0,ErikDubbelboer,2,0.5
290526,redis,414,1333009491,1334996835,1334996835,33122,33122,3,1,1,1,90,51914,0,0,2,0.0,chobits,0,0
96341,redis,467,1334865015,,1334865910,14,,3,1,1,1,81,52359,0,0,0,0.0,vijaydev,0,0
89584,redis,455,1334358661,1334751996,1334751996,6555,6555,3,8,0,8,86,51043,0,0,17,0.0,pietern,8,0.75
89585,redis,456,1334358768,1334751959,1334751959,6553,6553,3,8,1,8,86,52279,0,0,17,0.0,pietern,9,0.7777777777777778
86274,redis,449,1334149521,1334154344,1334154344,80,80,3,1,1,1,91,52246,6,0,1,0.0,ErikDubbelboer,3,0.6666666666666666
288894,redis,403,1332775869,,1334131511,22594,,2,2,7,5,93,50559,0,0,0,0.0,pietern,7,0.8571428571428571
294996,redis,59,1308367306,,1333797038,423828,,3,1,2,1,95,23774,0,0,0,0.0,charliesome,0,0
294948,redis,439,1333777557,,1333781911,72,,3,2,3,10,89,52182,120,0,0,0.0,anydot,9,0.4444444444444444
289923,redis,409,1332921151,,1333627447,11771,,3,2,1,2,92,51801,15,0,0,0.0,anydot,3,0.3333333333333333
293575,redis,433,1333552876,,1333614244,1022,,3,5,1,6,90,52188,28,0,0,0.0,anydot,7,0.5714285714285714
292804,redis,430,1333448755,1333608972,1333608972,2670,2670,3,2,1,2,90,52091,13,0,8,0.0,anydot,5,0.4
292214,redis,426,1333353440,1333608849,1333608849,4256,4256,3,1,1,3,90,51909,13,0,31,0.0,anydot,4,0.25
292928,redis,431,1333460584,1333608760,1333608760,2469,2469,3,1,3,1,90,52180,14,0,28,0.0,anydot,6,0.5
293895,redis,434,1333600894,,1333608144,120,,3,2,1,2,89,52188,0,0,0,0.0,anydot,8,0.5
381955,redis,425,1333255449,1333260893,1333260893,90,90,3,1,0,1,90,51909,2,0,1,0.0,ThePicard,0,0
291828,redis,424,1333241200,,1333260237,317,,3,3,4,7,90,50663,30,0,0,0.0,slact,0,0
291602,redis,422,1333181450,,1333213338,531,,3,1,3,1,90,51909,25,0,0,0.0,ErikDubbelboer,1,1.0
290732,redis,417,1333035455,1333088938,1333088938,891,891,3,1,3,3,90,35818,34,0,8,0.0,josephjang,0,0
290171,redis,410,1332951222,,1332953333,35,,3,1,4,1,90,51894,37,0,0,0.0,fritzy,0,0
377641,redis,389,1331789383,1332874808,1332874808,18150,18150,2,1,0,1,85,51528,2,0,1,0.0,huangz1990,0,0
289472,redis,407,1332856151,1332874704,1332874704,309,309,3,4,5,9,91,51803,73,0,68,0.0,anydot,2,0.0
289369,redis,406,1332845045,,1332847560,41,,3,1,4,3,91,50567,73,0,0,0.0,Skomski,2,0.0
289344,redis,405,1332842101,,1332842514,6,,3,1,0,3,90,50567,60,0,0,0.0,Skomski,1,0.0
283060,redis,381,1331399394,,1331926634,8787,,2,2,0,2,84,51477,0,0,0,0.0,Skomski,0,0
650191,redis,53,1305039326,,1331384730,439030,,1,0,0,0,97,23608,0,0,0,0.0,cdinger,0,0
649915,redis,378,1331378370,1331378549,1331378549,2,2,2,1,1,1,85,51477,0,0,3,0.0,quiver,0,0
649922,redis,285,1325568381,1331371410,1331371410,96717,96717,2,5,6,19,85,49302,1241,0,51,0.0,pietern,2,1.0
650158,redis,377,1331291909,,1331307166,254,,2,0,0,0,85,51271,0,0,0,0.0,micrypt,0,0
649919,redis,297,1326506924,,1330546255,67322,,2,2,1,2,89,35090,59,0,1,0.0,pietern,4,1.0
280222,redis,362,1330262299,1330265923,1330265923,60,60,2,1,1,1,89,51022,0,0,3,0.0,fawek,1,1.0
279875,redis,358,1330173521,,1330249687,1269,,1,2,2,2,90,50995,4,0,0,0.0,anydot,0,0
279903,redis,359,1330180477,,1330249678,1153,,1,2,5,2,90,50995,58,0,0,0.0,anydot,1,0.0
279284,redis,355,1330058066,,1330071734,227,,1,1,2,1,91,35530,2,0,0,0.0,hirose31,0,0
278580,redis,351,1329950282,,1329950876,9,,1,1,1,1,91,50465,0,0,0,0.0,pete0emerson,0,0
278323,redis,304,1326896018,1329923994,1329923994,50466,50466,2,1,0,0,90,49351,0,0,0,0.0,bradvoth,0,0
277867,redis,347,1329844998,1329845395,1329845395,6,6,1,2,1,2,91,50461,4,0,3,0.0,pietern,6,0.8333333333333334
277865,redis,346,1329844962,1329845375,1329845375,6,6,1,2,1,2,91,35522,8,0,2,0.0,pietern,5,0.8
368468,redis,317,1327685812,,1329811595,35429,,2,1,0,0,88,49695,0,0,0,0.0,0xffea,0,0
274423,redis,334,1329164126,1329170759,1329170759,110,110,2,1,1,3,84,49757,358,0,7,0.0,lsbardel,0,0
270355,redis,270,1324662288,,1328150182,58131,,2,6,2,6,84,49302,142,0,0,0.0,miaout17,2,1.0
370706,redis,319,1327842086,1327912817,1327912817,1178,1178,2,1,0,1,87,49695,4,0,1,0.0,fawek,0,0
269172,redis,321,1327902141,1327911934,1327911934,163,163,2,1,2,3,87,49695,26,0,3,0.0,mkwiatkowski,0,0
649917,redis,311,1327282502,,1327517515,3916,,2,3,2,4,90,49498,0,0,0,0.0,mcandre,1,0.0
649918,redis,309,1327096696,,1327275087,2973,,2,2,1,2,90,49484,0,0,0,0.0,mcandre,0,0
649929,redis,251,1323942938,,1326725931,46383,,2,2,1,2,84,49314,0,0,0,0.0,nike-17,0,0
