pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
12447,resolve/refinerycms,ruby,1860,1344223936,,1344400146,2936,,unknown,false,false,13,1,0,0,0,0,0,0,1,1,0,1,0,54,4746,0,0,0,892.330383480826,84.49220396123052,130.63632532659082,2418,sirBertly,1,0.0,3,false,false
230294,resolve/refinerycms,ruby,1856,1343962724,1343962762,1343962762,0,0,github,false,false,13,1,0,0,0,0,1,0,0,1,0,1,0,54,4782,0,0,0,938.1012128816395,87.6202425763279,136.13550815558344,2409,keram,4,0.5,2,false,false
227776,resolve/refinerycms,ruby,1855,1343880077,1343915582,1343915582,591,591,github,false,false,14,3,0,0,0,0,1,0,2,3,0,2,0,54,4782,0,0,1,938.1012128816395,87.6202425763279,136.13550815558344,2406,keram,3,0.3333333333333333,2,false,false
229033,resolve/refinerycms,ruby,1853,1343814140,1343919811,1343919811,1761,1761,github,false,false,14,1,0,0,0,0,0,0,1,1,1,0,0,54,4712,2,0,4,884.974533106961,83.616298811545,130.09337860780985,2405,ugisozols,9,0.8888888888888888,41,true,true
227737,resolve/refinerycms,ruby,1852,1343804523,1343877908,1343877911,1223,1223,github,false,false,14,8,0,0,0,0,1,0,11,12,9,3,0,54,4712,116,84,62,884.974533106961,83.616298811545,130.09337860780985,2405,ugisozols,8,0.875,41,true,true
472323,resolve/refinerycms,ruby,1851,1343802481,1343803658,1343803658,19,19,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,54,4782,0,0,0,938.1012128816395,87.6202425763279,136.13550815558344,2405,keram,2,0.0,2,false,false
472324,resolve/refinerycms,ruby,1848,1343630697,1343797954,1343797954,2787,2787,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4769,0,0,0,935.2065422520444,87.23002725938352,135.87754246173202,2403,parndt,7,0.5714285714285714,165,true,true
472325,resolve/refinerycms,ruby,1847,1343629472,1343637325,1343637325,130,130,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4756,0,0,0,929.5626576955425,86.62741799831791,135.40790580319594,2403,parndt,6,0.5,165,true,true
472327,resolve/refinerycms,ruby,1846,1343627803,1343629043,1343629043,20,20,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4748,0,0,0,931.128896377422,86.77337826453244,135.63605728727885,2403,parndt,5,0.4,165,true,true
472329,resolve/refinerycms,ruby,1845,1343621491,1343622692,1343622692,20,20,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4716,0,0,0,884.2239185750636,83.5453774385072,129.9830364715861,2403,ugisozols,7,0.8571428571428571,41,true,true
472331,resolve/refinerycms,ruby,1844,1343562080,,1343598010,598,,unknown,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4752,0,0,0,930.3451178451179,86.70033670033669,135.5218855218855,2401,keram,1,0.0,2,false,false
482814,resolve/refinerycms,ruby,1843,1343529464,,1343561746,538,,unknown,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4752,0,0,0,930.3451178451179,86.70033670033669,135.5218855218855,2400,keram,0,0,2,false,false
15340,resolve/refinerycms,ruby,1842,1343528626,1344492185,1344492185,16059,16059,commits_in_master,false,false,14,1,0,0,0,0,0,0,2,2,0,2,0,53,4782,0,0,33,938.1012128816395,87.6202425763279,136.13550815558344,2400,robyurkowski,19,1.0,17,true,true
482816,resolve/refinerycms,ruby,1841,1343525138,1343597189,1343597190,1200,1200,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4752,0,0,0,930.3451178451179,86.70033670033669,135.5218855218855,2400,robyurkowski,18,1.0,17,true,true
482817,resolve/refinerycms,ruby,1838,1343209334,1343209816,1343209816,8,8,github,false,false,14,0,0,0,0,0,0,0,0,0,0,0,0,53,4743,0,0,0,932.1104786000421,86.86485346826903,135.7790427999157,2392,jkovar,0,0,1,false,false
64982,resolve/refinerycms,ruby,1837,1343177033,,1343246393,1156,,unknown,false,false,14,1,2,0,2,1,0,0,3,3,3,0,0,54,4703,492,5,0,886.0301934935147,83.77631299170741,130.3423346799915,2392,parndt,4,0.5,164,true,true
224342,resolve/refinerycms,ruby,1835,1343126449,,1343178131,861,,unknown,false,false,14,1,0,0,0,0,0,0,1,1,1,0,0,54,4728,0,18,0,935.0676818950931,86.92893401015228,135.99830795262267,2390,ugisozols,6,1.0,41,true,true
224181,resolve/refinerycms,ruby,1834,1343119346,1343120195,1343120195,14,14,github,false,false,14,1,0,0,0,0,0,0,1,1,1,0,0,54,4728,2,0,12,935.0676818950931,86.92893401015228,135.99830795262267,2390,manuelmeurer,3,0.6666666666666666,18,false,false
224167,resolve/refinerycms,ruby,1833,1343118853,,1343119291,7,,unknown,false,false,14,1,0,0,0,0,0,0,1,1,1,0,0,54,4728,2,0,0,935.0676818950931,86.92893401015228,135.99830795262267,4780,manuelmeurer,2,1.0,36,false,false
220808,resolve/refinerycms,ruby,1832,1342940991,1342943005,1342943006,33,33,github,false,false,15,1,0,0,0,0,0,0,1,1,1,0,0,55,4728,2,0,10,935.0676818950931,86.92893401015228,135.99830795262267,2387,manuelmeurer,1,1.0,18,false,false
218025,resolve/refinerycms,ruby,1831,1342766913,1342776658,1342776658,162,162,github,false,false,15,1,0,0,0,0,0,0,1,1,1,0,0,55,4728,2,0,11,935.0676818950931,86.92893401015228,135.99830795262267,2385,manuelmeurer,0,0,18,false,false
217465,resolve/refinerycms,ruby,1830,1342731296,,1342740773,157,,unknown,false,false,15,1,0,0,0,0,0,0,1,1,0,1,0,55,4728,0,0,0,935.0676818950931,86.92893401015228,135.99830795262267,2384,gwagener,5,0.8,2,false,false
213526,resolve/refinerycms,ruby,1829,1342586541,1342588772,1342588772,37,37,github,false,false,15,1,0,0,0,0,0,0,1,1,1,0,0,55,4725,21,0,3,935.6613756613756,86.98412698412699,136.08465608465607,2377,kandadaboggu,0,0,4,false,false
213325,resolve/refinerycms,ruby,1828,1342574747,1342576109,1342576109,22,22,github,false,false,15,1,0,0,0,0,2,0,4,6,3,3,0,55,4722,4,44,38,929.0554849639983,86.40406607369759,135.5357899195256,2377,gwagener,4,0.75,2,false,false
213307,resolve/refinerycms,ruby,1827,1342573260,,1342573351,1,,unknown,false,false,15,1,0,0,0,0,2,0,2,4,3,1,0,55,4698,4,41,0,885.483184333759,83.65261813537676,130.26819923371647,2377,gwagener,3,1.0,2,false,false
208825,resolve/refinerycms,ruby,1824,1342407166,1342571865,1342571865,2744,2744,github,false,false,15,1,0,0,0,0,0,0,1,1,0,0,1,55,4722,0,0,0,929.0554849639983,86.40406607369759,135.5357899195256,2374,robyurkowski,17,1.0,16,true,true
205798,resolve/refinerycms,ruby,1823,1342202356,1342572009,1342572009,6160,6160,github,false,false,15,1,0,0,0,0,0,0,4,4,0,4,0,55,4722,0,0,2,929.0554849639983,86.40406607369759,135.5357899195256,2373,ugisozols,5,1.0,41,true,true
204237,resolve/refinerycms,ruby,1821,1342146658,1342146835,1342146836,2,2,github,false,false,15,1,0,0,0,0,0,0,2,2,0,2,0,55,4676,0,0,9,933.7040205303679,87.2540633019675,136.86911890504706,2369,gwagener,2,1.0,2,false,false
204224,resolve/refinerycms,ruby,1820,1342145511,1342145691,1342145692,3,3,github,false,false,15,1,0,0,0,0,0,0,2,2,0,2,0,55,4698,0,0,8,885.483184333759,83.65261813537676,130.26819923371647,2369,gwagener,1,1.0,2,false,false
203971,resolve/refinerycms,ruby,1819,1342131160,1342131257,1342131259,1,1,github,false,false,15,1,0,0,0,0,0,0,2,2,0,2,0,55,4698,0,0,6,885.483184333759,83.65261813537676,130.26819923371647,2369,gwagener,0,0,2,false,false
200808,resolve/refinerycms,ruby,1815,1342000492,1342012605,1342012605,201,201,github,false,false,15,7,0,0,0,0,0,0,11,11,5,6,0,54,4675,46,8,12,888.3422459893047,83.85026737967914,130.69518716577542,2364,ugisozols,4,1.0,41,true,true
200153,resolve/refinerycms,ruby,1813,1341964896,1341964982,1341964984,1,1,github,false,false,15,1,0,0,0,0,0,0,1,1,1,0,0,54,4672,3,0,0,934.5034246575342,87.32876712328768,136.986301369863,2363,sj26,0,0,41,false,false
199598,resolve/refinerycms,ruby,1810,1341943304,,1341943752,7,,unknown,false,false,15,21,0,0,0,0,16,5,12,33,10,15,3,54,4672,229,10,0,934.5034246575342,87.32876712328768,136.986301369863,4726,ghoppe,0,0,8,false,false
33306,resolve/refinerycms,ruby,1633,1335962417,,1336784434,13700,,unknown,false,false,14,1,1,0,1,1,0,0,2,2,1,1,0,42,5158,12,0,0,782.6677006591702,75.41682822799535,113.41605273361769,2211,thedarkone,7,0.8571428571428571,13,false,false
107198,resolve/refinerycms,ruby,1630,1335738907,,1335754759,264,,unknown,false,false,13,228,0,0,0,0,47,1,158,206,107,48,39,42,5130,1425,479,1303,790.0584795321638,76.21832358674465,114.42495126705653,2205,jtmkrueger,0,0,7,false,false
105568,resolve/refinerycms,ruby,1627,1335548004,1335603534,1335603534,925,925,github,false,false,13,1,0,0,0,0,0,1,2,3,3,0,0,42,5152,6,8,4,782.22049689441,75.31055900621118,113.35403726708076,2200,thedarkone,6,0.8333333333333334,13,false,false
104530,resolve/refinerycms,ruby,1626,1335479146,,1336016589,8957,,unknown,false,false,13,1,0,0,0,0,0,0,2,2,2,0,0,42,5152,24,0,0,782.22049689441,75.31055900621118,113.35403726708076,2196,thedarkone,5,1.0,13,false,false
104403,resolve/refinerycms,ruby,1625,1335470201,1335685177,1335685177,3582,3582,github,false,false,13,1,0,0,0,0,0,0,1,1,1,0,0,42,5152,4,0,7,782.22049689441,75.31055900621118,113.35403726708076,4392,thedarkone,4,1.0,26,false,false
104171,resolve/refinerycms,ruby,1624,1335459840,1335459918,1335459918,1,1,github,false,false,13,1,0,0,0,0,0,0,1,1,0,1,0,42,5131,0,0,1,788.5402455661664,76.00857532644709,114.20775677255895,2196,regismesquita,0,0,15,false,false
103006,resolve/refinerycms,ruby,1621,1335384819,1335393131,1335393131,138,138,github,false,false,12,1,0,0,0,0,0,0,1,1,1,0,0,42,5153,1,0,3,781.6805744226664,75.29594411022705,112.94391616534058,2193,thedarkone,3,1.0,13,false,false
102972,resolve/refinerycms,ruby,1620,1335383007,1335390839,1335390839,130,130,github,false,false,12,1,0,0,0,0,0,0,2,2,0,2,0,42,5153,0,0,12,781.6805744226664,75.29594411022705,112.94391616534058,2193,thedarkone,2,1.0,13,false,false
102547,resolve/refinerycms,ruby,1619,1335361249,1336785329,1336785329,23734,23734,github,false,false,11,1,0,0,0,0,0,0,1,1,0,1,0,42,5145,0,0,2,777.8425655976677,75.41302235179786,112.34207968901846,2191,jipiboily,0,0,12,false,false
101146,resolve/refinerycms,ruby,1617,1335271369,1335383032,1335383032,1861,1861,github,false,false,11,11,0,0,0,0,0,0,3,3,2,1,0,42,5145,94,41,302,777.8425655976677,75.41302235179786,112.34207968901846,2186,ugisozols,3,1.0,36,true,true
482818,resolve/refinerycms,ruby,1615,1335194743,,1335213195,307,,unknown,false,false,10,0,0,0,0,0,0,0,0,0,0,0,0,42,5122,0,0,0,784.4591956267083,76.14213197969544,113.23701679031628,2185,f3ng3r,0,0,2,false,false
99686,resolve/refinerycms,ruby,1613,1335174058,1335206932,1335206932,547,547,github,false,false,10,1,0,0,0,0,0,0,2,2,2,0,0,41,5122,34,0,17,784.4591956267083,76.14213197969544,113.23701679031628,2185,ugisozols,2,1.0,36,true,true
98965,resolve/refinerycms,ruby,1610,1335105370,1335122716,1335122716,289,289,github,false,false,10,1,0,0,0,0,0,0,1,1,1,0,0,41,5137,2,0,8,774.5766011290636,75.1411329569788,112.12770099279736,2185,thedarkone,1,1.0,13,false,false
