pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2618703,resteasy/Resteasy,java,433,1386793244,1386793246,1386793246,0,0,github,false,false,1,1,0,0,0,0,4,0,7,11,10,1,0,61,132079,476,491,2,638.5117997562065,13.257217271481462,39.279522104195216,144,patriot1burke,242,0.987603305785124,10,false,true
2612196,resteasy/Resteasy,java,432,1386714973,1386714975,1386714978,0,0,github,false,false,1,1,0,0,0,0,1,0,2,3,2,1,0,61,132079,2,105,2,637.9515290091537,13.249646045169936,39.279522104195216,144,patriot1burke,241,0.9875518672199171,10,false,true
2610333,resteasy/Resteasy,java,431,1386696611,1386696614,1386696614,0,0,github,false,false,1,2,0,0,0,0,1,1,149,151,124,27,0,61,132064,16032,2632,66,638.0239883692756,13.251150957111705,39.28398352314029,144,patriot1burke,240,0.9875,10,false,true
2609012,resteasy/Resteasy,java,430,1386685629,1386685633,1386685633,0,0,github,false,false,1,1,0,0,0,0,0,0,206,206,1,205,0,61,132064,0,12,264,638.0088441967531,13.251150957111705,39.28398352314029,144,patriot1burke,239,0.9874476987447699,10,false,true
2580215,resteasy/Resteasy,java,429,1386255661,1386597801,1386597801,5702,5702,github,false,false,1,2,0,0,0,0,0,0,2,2,2,0,0,63,132026,15,113,0,637.344159483738,13.23981639980004,39.28771605592838,144,kariem,0,0,8,false,false
2572012,resteasy/Resteasy,java,428,1386155908,1386167921,1386167921,200,200,github,false,false,1,1,0,0,0,0,0,0,3,3,2,1,0,64,132041,171,0,9,634.7573859634508,13.192871910997342,39.15450504010118,144,mkouba,0,0,4,false,false
2546459,resteasy/Resteasy,java,427,1385775992,1386597786,1386597786,13696,13696,github,false,false,1,1,0,0,0,0,1,0,2,3,2,1,0,62,132041,35,37,1,634.7573859634508,13.192871910997342,39.15450504010118,144,johnament,0,0,1,false,false
2475583,resteasy/Resteasy,java,425,1384828195,,1386167971,22329,,unknown,false,false,1,7,0,0,0,0,9,15,5,29,17,5,0,64,85179,264,503,0,560.865941135726,12.749621385552777,35.184728630296206,144,ronsigal,38,0.868421052631579,2,false,false
2457699,resteasy/Resteasy,java,424,1384529058,1386597775,1386597775,34478,34478,commits_in_master,false,false,1,1,0,1,1,1,0,0,4,4,4,0,0,63,132041,25,0,0,634.7573859634508,13.192871910997342,39.15450504010118,144,leewin12,0,0,2,false,false
2442582,resteasy/Resteasy,java,423,1384353203,,1386167156,30232,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,62,85179,12,0,0,560.865941135726,12.749621385552777,35.184728630296206,144,pgier,0,0,6,false,false
2367034,resteasy/Resteasy,java,421,1383283711,1386167124,1386167124,48056,48056,commits_in_master,false,false,1,3,0,1,1,1,3,0,3,6,6,0,0,62,132041,106,409,8,634.7573859634508,13.192871910997342,39.15450504010118,144,ronsigal,37,0.8918918918918919,2,false,false
2354787,resteasy/Resteasy,java,420,1383137876,1383137879,1383137879,0,0,github,false,false,1,2,0,0,0,0,0,0,20,20,18,2,0,64,132023,75,58,11,634.5485256356847,13.202245063360172,39.15984336062655,144,patriot1burke,238,0.9873949579831933,10,false,true
2348728,resteasy/Resteasy,java,419,1383064648,1383064651,1383064651,0,0,github,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,63,132014,23,0,2,634.5917857196964,13.20314512097202,39.162513066795945,144,patriot1burke,237,0.9873417721518988,10,false,true
2347200,resteasy/Resteasy,java,418,1383052734,1383052737,1383052737,0,0,github,false,false,1,2,0,0,0,0,6,0,3,9,4,5,0,65,131945,7,135,35,634.1505930501346,13.194891810981847,39.182992913714045,144,patriot1burke,236,0.9872881355932204,10,false,true
2345980,resteasy/Resteasy,java,417,1383038055,,1383053255,253,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,64,85179,0,0,0,560.865941135726,12.749621385552777,35.184728630296206,144,liweinan,49,0.6326530612244898,53,false,false
2345907,resteasy/Resteasy,java,416,1383037072,1383053244,1383053244,269,269,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,64,131945,0,0,6,634.1505930501346,13.194891810981847,39.182992913714045,144,liweinan,48,0.6458333333333334,53,false,false
2340105,resteasy/Resteasy,java,415,1382966765,1382966769,1382966769,0,0,github,false,false,1,3,0,0,0,0,0,0,2,2,1,1,0,64,131944,4,0,5,634.1553992602923,13.19499181470927,39.183289880555385,144,patriot1burke,235,0.9872340425531915,10,false,true
2338842,resteasy/Resteasy,java,414,1382952709,1382965230,1382965230,208,208,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,66,131954,0,0,0,632.2809463904088,13.178835048577534,39.10453642936175,144,lfrancke,0,0,6,false,false
2337930,resteasy/Resteasy,java,413,1382937130,1382965187,1382965187,467,467,commits_in_master,false,false,1,3,0,0,0,0,2,0,4,6,6,0,0,65,131954,20,363,0,632.2809463904088,13.178835048577534,39.10453642936175,144,ronsigal,36,0.9166666666666666,2,false,false
2335983,resteasy/Resteasy,java,412,1382896997,1382965413,1382965413,1140,1140,commits_in_master,false,false,1,6,0,0,0,0,0,0,8,8,0,8,0,65,131954,0,0,118,632.2809463904088,13.178835048577534,39.10453642936175,144,awhitford,4,0.0,3,false,false
2333485,resteasy/Resteasy,java,411,1382831613,1382965364,1382965364,2169,2169,commits_in_master,false,false,1,1,0,0,0,0,0,3,5,8,5,0,3,64,131954,6,6,66,632.2809463904088,13.178835048577534,39.10453642936175,144,awhitford,3,0.0,3,false,false
2332006,resteasy/Resteasy,java,410,1382800247,1382965377,1382965377,2692,2692,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,63,131954,0,0,24,632.2809463904088,13.178835048577534,39.10453642936175,144,awhitford,2,0.0,3,false,false
2328954,resteasy/Resteasy,java,409,1382721814,1382721817,1382721817,0,0,commits_in_master,false,false,1,1,0,0,0,0,0,0,8,8,4,1,3,63,131942,19,16,67,632.2399236027951,13.172454563368753,39.10809294993255,144,patriot1burke,234,0.9914529914529915,10,false,true
2323023,resteasy/Resteasy,java,408,1382643277,1382643281,1382643281,0,0,github,false,false,1,1,0,0,0,0,1,0,0,1,1,0,0,64,131942,0,93,0,631.7093874581255,13.164875475587758,39.085355686589565,144,patriot1burke,233,0.9914163090128756,10,false,true
2322963,resteasy/Resteasy,java,407,1382642706,1382642709,1382642710,0,0,github,false,false,1,1,0,0,0,0,0,0,5,5,2,0,3,64,131928,16,11,60,631.700624583106,13.158692620217087,39.05918379722273,144,patriot1burke,232,0.9913793103448276,10,false,true
2322822,resteasy/Resteasy,java,406,1382641322,1382641326,1382641326,0,0,github,false,false,1,1,0,0,0,0,1,0,5,6,2,1,3,64,131906,59,99,63,631.222234015132,13.14572498597486,39.042954831470894,144,patriot1burke,231,0.9913419913419913,10,false,true
2320241,resteasy/Resteasy,java,405,1382619665,,1382639145,324,,unknown,false,false,1,1,0,0,0,2,0,0,1,1,0,1,0,64,131906,0,0,0,631.222234015132,13.14572498597486,39.042954831470894,144,tbroyer,2,0.0,62,false,false
2320056,resteasy/Resteasy,java,404,1382618124,,1382721833,1728,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,64,85170,16,0,0,560.925208406716,12.750968650933427,35.18844663613949,144,liweinan,47,0.6595744680851063,52,false,false
2319531,resteasy/Resteasy,java,403,1382613653,1382615640,1382615640,33,33,commits_in_master,false,false,1,3,0,0,0,0,0,0,5,5,2,0,3,64,131891,333,0,100,631.2940230948283,13.147220052922489,39.04739519754949,144,patriot1burke,230,0.9956521739130435,10,false,true
2317633,resteasy/Resteasy,java,402,1382590310,1382616145,1382616145,430,430,merged_in_comments,false,false,1,2,0,1,1,2,0,72,1,73,31,27,11,63,131891,0,1324,0,631.2940230948283,13.147220052922489,39.04739519754949,144,awhitford,1,0.0,3,false,false
2316946,resteasy/Resteasy,java,401,1382575646,1382575649,1382575649,0,0,github,false,false,1,4,0,0,0,0,16,0,18,34,16,14,4,64,131877,20,842,77,626.1137271851801,13.110701638648136,38.922632452967534,144,patriot1burke,229,0.9956331877729258,10,false,true
2310554,resteasy/Resteasy,java,400,1382504515,,1386597815,68161,,unknown,false,false,1,4,0,4,4,2,1,0,1,2,0,1,0,63,131877,0,0,0,626.1137271851801,13.110701638648136,38.922632452967534,144,matzew,0,0,46,false,false
2309621,resteasy/Resteasy,java,399,1382484356,1382484359,1382484359,0,0,github,false,false,1,1,0,0,0,0,1,0,4,5,0,5,0,63,131877,0,0,15,626.1137271851801,13.110701638648136,38.922632452967534,144,patriot1burke,228,0.9956140350877193,10,false,true
2309496,resteasy/Resteasy,java,398,1382482138,1382482141,1382482141,0,0,github,false,false,1,1,0,0,0,0,7,0,206,213,7,202,4,63,131760,297,138,498,625.8120825743777,13.099574984820887,38.82058287795993,144,patriot1burke,227,0.9955947136563876,10,false,true
2301152,resteasy/Resteasy,java,397,1382380323,,1382616239,3931,,unknown,false,false,1,2,0,0,0,1,0,0,2,2,2,0,0,63,131760,8,0,0,625.8120825743777,13.099574984820887,38.82058287795993,144,awhitford,0,0,3,false,false
2299680,resteasy/Resteasy,java,396,1382366506,1382375431,1382375431,148,148,commits_in_master,false,false,1,1,0,0,0,0,0,0,2,2,2,0,0,64,131758,2,6,0,625.8215819912264,13.099773827775163,38.82117214893972,144,stuartwdouglas,3,0.6666666666666666,41,false,false
2299614,resteasy/Resteasy,java,395,1382365965,1382375398,1382375398,157,157,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,64,131758,33,0,3,625.8215819912264,13.099773827775163,38.82117214893972,144,stuartwdouglas,2,1.0,41,false,false
2293929,resteasy/Resteasy,java,394,1382269708,1382355508,1382355508,1430,1430,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,66,131729,29,0,0,625.959355950474,13.102657729125704,38.829718588921196,144,szymex,0,0,1,false,false
2245837,resteasy/Resteasy,java,393,1381481768,1382355495,1382355495,14562,14562,commits_in_master,false,false,1,2,0,0,0,0,1,0,4,5,5,0,0,70,131729,276,0,2,625.959355950474,13.102657729125704,38.829718588921196,144,tbroyer,1,0.0,61,false,false
2245365,resteasy/Resteasy,java,392,1381475052,1382616210,1382616210,19019,19019,merged_in_comments,false,true,1,1,0,1,1,2,0,0,1,1,0,1,0,70,131729,0,0,0,625.959355950474,13.102657729125704,38.829718588921196,144,tbroyer,0,0,61,false,false
2220512,resteasy/Resteasy,java,391,1381147878,1382355296,1382355296,20123,20123,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,0,1,0,70,131729,0,0,4,625.959355950474,13.102657729125704,38.829718588921196,144,juergenzimmermann,1,1.0,0,false,false
2156130,resteasy/Resteasy,java,389,1380139088,1382354749,1382354749,36927,36927,commits_in_master,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,70,131729,17,0,1,625.959355950474,13.102657729125704,38.829718588921196,144,esarbanis,6,0.5,0,false,false
2153831,resteasy/Resteasy,java,388,1380117117,,1382355266,37302,,unknown,false,false,1,1,0,0,0,1,0,0,1,1,1,0,0,70,131729,2,0,0,625.959355950474,13.102657729125704,38.829718588921196,144,esarbanis,5,0.6,0,false,false
2083490,resteasy/Resteasy,java,387,1378795549,,1380110269,21912,,unknown,false,false,1,1,0,0,0,0,0,0,1,1,1,0,0,77,85160,22,0,0,560.9910756223579,12.752465946453734,35.192578675434476,144,liweinan,46,0.6739130434782609,51,false,false
2058269,resteasy/Resteasy,java,386,1378379681,1378379684,1378379684,0,0,github,false,false,1,1,0,0,0,0,0,0,3,3,0,0,3,81,131729,0,0,78,625.959355950474,13.102657729125704,38.829718588921196,144,patriot1burke,226,0.995575221238938,10,false,true
2054601,resteasy/Resteasy,java,385,1378320903,1378320908,1378320908,0,0,github,false,false,1,1,0,0,0,0,1,0,5,6,0,6,0,81,131729,0,0,23,625.959355950474,13.102657729125704,38.829718588921196,144,patriot1burke,225,0.9955555555555555,10,false,true
2054450,resteasy/Resteasy,java,384,1378318081,1378318088,1378318088,0,0,github,false,false,1,1,0,0,0,0,1,0,5,6,3,0,3,81,131734,17,141,75,625.10058147479,13.094569359466805,38.80547163222858,144,patriot1burke,224,0.9955357142857143,10,false,true
2036643,resteasy/Resteasy,java,383,1378246398,1378246401,1378246402,0,0,github,false,false,1,2,0,0,0,0,0,0,6,6,5,1,0,82,131699,111,2,10,625.2667066568463,13.098049339782383,38.81578447824205,144,patriot1burke,223,0.9955156950672646,10,false,true
