pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2735318,rubber/rubber,ruby,428,1388692035,1388781676,1388781676,1494,1494,github,false,false,1,1,0,0,0,1,0,0,2,2,2,0,0,23,8453,34,0,5,191.2930320596238,15.852360108837098,60.451910564296696,1157,onyxraven,0,0,1,false,false
2730649,rubber/rubber,ruby,427,1388622412,1388781716,1388781716,2655,2655,commits_in_master,false,false,2,2,0,0,0,1,0,0,2,2,1,1,0,22,8453,0,16,1,191.2930320596238,15.852360108837098,60.451910564296696,1157,serv,0,0,0,false,false
2507762,rubber/rubber,ruby,420,1385232024,1386140448,1386140448,15140,15140,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,22,8425,0,0,3,191.92878338278933,15.905044510385759,60.652818991097924,1157,chourobin,0,0,16,false,false
2402854,rubber/rubber,ruby,415,1383798460,1383801406,1383801406,49,49,commits_in_master,false,false,2,1,0,0,0,1,0,0,13,13,0,0,13,24,8385,0,0,0,192.84436493738818,15.980918306499701,60.942158616577224,1157,PikachuEXE,1,0.0,3,false,false
2386329,rubber/rubber,ruby,414,1383606112,1383664243,1383664243,968,968,commits_in_master,false,false,2,14,2,0,2,2,1,0,7,8,7,0,0,25,8134,495,0,24,198.79518072289156,16.4740595033194,62.822719449225474,1157,nirvdrum,1,1.0,72,true,false
2294289,rubber/rubber,ruby,408,1382276573,1383757355,1383757355,24619,24619,commits_in_master,false,false,2,1,0,1,1,1,0,0,1,1,1,0,0,23,8133,4,0,1,198.81962375507192,16.476085085454322,62.83044387065044,1157,limratana,0,0,5,false,false
2292152,rubber/rubber,ruby,407,1382214008,1383758709,1383758709,25685,25685,commits_in_master,false,false,2,3,2,3,5,3,0,0,2,2,0,1,1,21,8133,0,0,0,198.81962375507192,16.476085085454322,62.83044387065044,1157,bikeath1337,2,0.0,4,false,false
2285505,rubber/rubber,ruby,406,1382096000,1383757397,1383757397,27629,27629,commits_in_master,false,false,2,1,0,2,2,3,0,0,1,1,0,1,0,18,8133,0,0,3,198.81962375507192,16.476085085454322,62.83044387065044,1157,aarvay,0,0,15,false,false
2275701,rubber/rubber,ruby,403,1381956442,1381959058,1381959058,43,43,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,0,1,0,17,8133,0,0,0,198.81962375507192,16.476085085454322,62.83044387065044,1157,bikeath1337,1,0.0,4,false,false
2274011,rubber/rubber,ruby,402,1381939261,1381956369,1381956369,285,285,commits_in_master,false,false,2,3,2,2,4,2,0,0,1,1,0,1,0,20,8115,0,0,0,199.26062846580405,16.512630930375845,62.969808995686996,1157,bikeath1337,0,0,4,false,false
2153647,rubber/rubber,ruby,396,1380115290,1380237609,1380237609,2038,2038,github,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,20,8079,10,0,0,193.09320460453029,16.091100383710856,62.26018071543508,1157,ScotterC,0,0,27,false,false
2163744,rubber/rubber,ruby,395,1379377229,1380237973,1380237973,14345,14345,github,false,false,3,2,0,5,5,2,1,0,5,6,6,0,0,17,8079,5,52,2,193.3407599950489,16.091100383710856,62.26018071543508,1157,nhemsley,0,0,3,false,false
2071424,rubber/rubber,ruby,392,1378578033,1380237821,1380237821,27663,27663,commits_in_master,false,false,3,1,0,1,1,2,0,0,1,1,0,1,0,10,8079,0,0,0,193.3407599950489,16.091100383710856,62.26018071543508,1157,adamthedeveloper,0,0,7,false,false
2053491,rubber/rubber,ruby,391,1378308184,1380280783,1380280783,32876,32876,commits_in_master,false,false,3,2,0,5,5,2,0,0,1,1,1,0,0,8,8079,30,0,5,193.3407599950489,16.091100383710856,62.26018071543508,1157,kbrock,0,0,19,false,false
1865635,rubber/rubber,ruby,381,1375193678,1380237762,1380237762,84068,84068,commits_in_master,false,false,5,1,0,0,0,1,0,0,1,1,0,1,0,14,8071,0,0,1,208.89604757774748,17.346053772766695,68.26911163424606,1156,marciotoze,0,0,3,false,false
1858913,rubber/rubber,ruby,378,1375097992,1380237927,1380237927,85665,85665,commits_in_master,false,false,5,1,0,0,0,1,0,0,1,1,1,0,0,14,8071,4,0,5,208.89604757774748,17.346053772766695,68.26911163424606,1156,unlimit,1,0.0,0,false,false
1760702,rubber/rubber,ruby,376,1373565756,1373574612,1373574612,147,147,github,false,false,4,1,0,0,0,0,0,0,3,3,3,0,0,13,8068,21,0,5,208.97372335151215,17.352503718393656,68.29449677739215,1156,wr0ngway,0,0,58,true,false
1792853,rubber/rubber,ruby,359,1369330078,1380238009,1380238009,181798,181798,commits_in_master,false,false,5,1,0,0,0,1,0,0,1,1,0,0,1,44,7662,0,0,1,220.04698512137824,18.271991647089532,71.91333855390238,1154,willkoehler,4,0.25,2,false,false
