pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2711068,samuelclay/NewsBlur,python,450,1388160173,1388170006,1388170006,163,163,commits_in_master,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,21,50758,10,0,2,25.67083021395642,2.482367311556799,5.792190393632531,3151,richardfearn,0,0,4,false,false
2618976,samuelclay/NewsBlur,python,447,1386795422,1386796606,1386796606,19,19,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,17,50744,21,0,0,25.677912659624784,2.4830521835093804,5.793788428188554,3150,manderson23,18,1.0,0,false,true
2542791,samuelclay/NewsBlur,python,444,1386024354,1386024980,1386024980,10,10,github,false,false,3,1,0,0,0,1,0,0,1,1,0,0,1,18,50714,0,0,4,25.693102496352093,2.4845210395551525,5.797215758962023,3149,cmchap,0,0,3,false,false
2525608,samuelclay/NewsBlur,python,443,1385496092,1386365709,1386365709,14493,14493,github,false,false,3,10,0,0,0,0,0,0,10,10,10,0,0,17,50714,170,0,29,25.693102496352093,2.4845210395551525,5.797215758962023,3149,dosiecki,7,1.0,0,false,true
2511865,samuelclay/NewsBlur,python,440,1385326069,1385331900,1385331901,97,97,github,false,false,3,1,0,0,0,0,0,0,3,3,3,0,0,15,50714,33,0,23,25.693102496352093,2.4845210395551525,5.797215758962023,3149,manderson23,17,1.0,0,false,true
2467606,samuelclay/NewsBlur,python,437,1384728810,1384732333,1384732334,58,58,github,false,false,3,1,0,0,0,0,0,0,1,1,0,1,0,14,50714,0,0,1,25.693102496352093,2.4845210395551525,5.797215758962023,3149,dosiecki,6,1.0,0,false,true
2464469,samuelclay/NewsBlur,python,435,1384658075,1384723042,1384723043,1082,1082,github,false,false,3,5,0,1,1,2,0,0,14,14,11,3,0,14,50720,136,0,41,25.69006309148265,2.484227129337539,5.796529968454259,3149,dosiecki,5,1.0,0,false,true
2453806,samuelclay/NewsBlur,python,432,1384475194,1384475624,1384475625,7,7,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,13,50711,2,0,16,25.69462246849796,2.4846680207450063,5.797558715071681,3149,dosiecki,4,1.0,0,false,true
2437792,samuelclay/NewsBlur,python,429,1384291002,1384366727,1384366727,1262,1262,github,false,false,3,1,0,0,0,0,0,0,5,5,3,2,0,13,50711,13,0,6,25.69462246849796,2.4846680207450063,5.797558715071681,3149,manderson23,16,1.0,0,false,true
2432587,samuelclay/NewsBlur,python,428,1384239977,1384274438,1384274439,574,574,github,false,false,3,3,0,0,0,0,8,0,2,10,1,5,8,12,50711,34,0,49,25.69462246849796,2.4846680207450063,5.797558715071681,3149,dosiecki,3,1.0,0,false,true
2372469,samuelclay/NewsBlur,python,425,1383358011,1383772772,1383772772,6912,6912,github,false,false,3,13,0,2,2,1,6,1,19,26,16,4,5,10,50684,669,0,155,25.451819114513455,2.466261542104017,5.741456870018152,3149,dosiecki,2,1.0,0,false,true
2293538,samuelclay/NewsBlur,python,421,1382258672,,1383074909,13543,,unknown,false,false,3,19,0,0,0,1,20,44,117,181,1,7,176,10,50684,2,0,0,25.451819114513455,2.466261542104017,5.741456870018152,3147,itsaboutcode,3,0.3333333333333333,6,false,false
2287908,samuelclay/NewsBlur,python,420,1382119306,1382121980,1382121980,44,44,github,false,false,3,1,0,0,0,0,0,0,1,1,1,0,0,9,50663,12,0,0,25.46236898722934,2.46728381659199,5.743836725026153,3147,manderson23,15,1.0,0,false,true
2245028,samuelclay/NewsBlur,python,419,1381470439,,1381937303,7781,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,0,0,1,9,50661,0,0,0,25.46337419316634,2.4673812202680563,5.7440634807840345,3147,itsaboutcode,2,0.5,6,false,false
2196341,samuelclay/NewsBlur,python,417,1380732625,1381937341,1381937341,20078,20078,github,false,false,3,7,0,1,1,1,0,0,25,25,25,0,0,13,50504,637,0,90,25.54253128465072,2.4750514810708064,5.761919847932837,3146,dosiecki,1,1.0,0,false,true
2273792,samuelclay/NewsBlur,python,415,1380691147,,1383772684,51298,,unknown,false,true,3,1,0,2,2,2,0,0,4,4,0,0,4,14,50504,0,0,0,25.54253128465072,2.4750514810708064,5.761919847932837,3146,itsaboutcode,1,1.0,5,false,false
2189265,samuelclay/NewsBlur,python,414,1380653657,1380660071,1380660072,106,106,github,false,false,3,2,0,0,0,0,0,0,4,4,3,1,0,15,50504,25,0,13,25.54253128465072,2.4750514810708064,5.761919847932837,3146,manderson23,14,1.0,0,false,true
2184798,samuelclay/NewsBlur,python,413,1380606657,1380660104,1380660105,890,890,github,false,false,3,1,0,0,0,0,0,0,2,2,0,0,2,16,50504,0,0,0,25.54253128465072,2.4750514810708064,5.761919847932837,3146,itsaboutcode,0,0,5,false,false
2173405,samuelclay/NewsBlur,python,412,1380410761,1380578865,1380578865,2801,2801,github,false,false,3,2,0,0,0,0,0,0,2,2,0,0,2,20,50504,0,0,36,25.54253128465072,2.4750514810708064,5.761919847932837,3146,vpatil,0,0,0,false,false
2106659,samuelclay/NewsBlur,python,406,1379094821,1379358789,1379358789,4399,4399,github,false,false,3,1,0,0,0,0,0,0,19,19,19,0,0,41,50431,157,0,74,25.579504669746782,2.478634173425076,5.770260355733576,3145,dosiecki,0,0,0,false,true
2101494,samuelclay/NewsBlur,python,405,1379016224,1380578998,1380578999,26046,26046,github,false,false,3,1,0,1,1,1,0,0,7,7,7,0,0,42,50432,91,0,29,25.578997461928935,2.4785850253807107,5.770145939086294,3144,manderson23,13,1.0,0,false,true
2094426,samuelclay/NewsBlur,python,404,1378926282,1378937353,1378937354,184,184,github,false,false,2,1,0,0,0,0,0,0,1,1,0,0,1,43,50432,0,0,4,25.578997461928935,2.4785850253807107,5.770145939086294,3144,nriley,3,1.0,14,false,false
2088289,samuelclay/NewsBlur,python,403,1378847995,1378937302,1378937303,1488,1488,github,false,false,2,1,0,0,0,0,0,0,1,1,0,0,1,43,50429,0,0,4,25.58051914572964,2.478732475361399,5.770489202641337,3144,nriley,2,1.0,14,false,false
2068252,samuelclay/NewsBlur,python,401,1378538646,1379016524,1379016525,7964,7964,github,false,false,2,4,0,7,7,2,0,0,4,4,0,0,4,43,50418,0,0,46,25.5861002023087,2.4792732754175097,5.771748185171962,3143,nriley,1,1.0,14,false,false
2068102,samuelclay/NewsBlur,python,400,1378532730,1378847241,1378847241,5241,5241,github,false,false,2,4,2,0,2,2,0,0,12,12,0,0,12,43,50418,0,0,47,25.5861002023087,2.4792732754175097,5.771748185171962,3143,nriley,0,0,14,false,false
2013281,samuelclay/NewsBlur,python,398,1378000583,,1378846606,14100,,unknown,false,false,2,1,0,1,1,2,2,0,2,4,1,0,3,42,50415,7,0,0,25.58762273132996,2.4794208072994146,5.772091639393038,3143,jelmer,0,0,31,false,false
1975102,samuelclay/NewsBlur,python,395,1377248340,1377270335,1377270335,366,366,github,false,false,2,1,0,0,0,0,0,0,11,11,10,1,0,41,50414,168,0,50,25.588130281271077,2.4794699884952593,5.772206133216963,3143,ojiikun,44,0.8636363636363636,0,false,true
1943800,samuelclay/NewsBlur,python,393,1376686212,1376687393,1376687393,19,19,github,false,false,2,3,0,0,0,0,0,0,6,6,6,0,0,41,50391,70,0,16,25.59980948978984,2.4806016947470777,5.774840745371197,3141,ojiikun,43,0.8604651162790697,0,false,true
1934263,samuelclay/NewsBlur,python,391,1376538830,1376592771,1376592771,899,899,github,false,false,2,6,0,0,0,2,12,4,15,31,11,8,10,41,50385,189,0,61,25.60285799345043,2.4808970923886076,5.775528431080678,3140,ojiikun,42,0.8571428571428571,0,false,true
1862990,samuelclay/NewsBlur,python,380,1375158387,1375197378,1375197378,649,649,github,false,false,2,1,0,0,0,1,0,0,1,1,1,0,0,38,50335,9,0,3,25.628290453958478,2.483361478096752,5.781265521009238,3136,ojiikun,41,0.8536585365853658,0,false,true
1859646,samuelclay/NewsBlur,python,377,1375105963,,1375125967,333,,unknown,false,false,2,1,0,7,7,3,0,0,1,1,1,0,0,38,50327,4,0,0,25.63236433723449,2.483756234228148,5.782184513283128,3136,gms8994,2,1.0,5,false,false
1836451,samuelclay/NewsBlur,python,374,1374781383,1374781479,1374781479,1,1,github,false,false,2,1,0,0,0,0,0,0,5,5,5,0,0,39,50300,157,0,28,25.646123260437378,2.485089463220676,5.785288270377734,3133,ojiikun,40,0.85,0,false,true
1829675,samuelclay/NewsBlur,python,373,1374711118,1374711418,1374711418,5,5,github,false,false,2,5,0,0,0,0,0,0,1,1,0,1,0,39,50287,0,0,4,25.652753196651222,2.4857318989003123,5.786783860639927,3133,ojiikun,39,0.8461538461538461,0,false,true
1811183,samuelclay/NewsBlur,python,372,1374542524,1374543602,1374543602,17,17,github,false,false,2,5,0,0,0,0,0,0,10,10,10,0,0,39,50275,109,0,23,25.658876181004477,2.486325211337643,5.788165091994033,3133,ojiikun,38,0.8421052631578947,0,false,true
1799421,samuelclay/NewsBlur,python,371,1374320321,,1374447586,2121,,unknown,false,false,2,1,0,1,1,2,2,0,9,11,0,0,11,39,50275,0,0,0,25.658876181004477,2.486325211337643,5.788165091994033,3133,linnet,2,0.5,0,false,false
2013639,samuelclay/NewsBlur,python,367,1374222032,1374247934,1374247935,431,431,github,false,false,2,0,0,0,0,0,0,0,0,0,0,0,0,39,50275,0,0,0,25.658876181004477,2.486325211337643,5.788165091994033,3133,ojiikun,37,0.8378378378378378,0,false,true
1786658,samuelclay/NewsBlur,python,365,1374082364,1374089458,1374089458,118,118,github,false,false,2,2,0,0,0,1,0,0,2,2,2,0,0,40,50176,21,0,8,25.70950255102041,2.4912308673469385,5.799585459183673,3132,ojiikun,36,0.8333333333333334,0,false,true
1772503,samuelclay/NewsBlur,python,364,1373878710,1373915080,1373915080,606,606,github,false,false,2,7,0,0,0,2,0,0,9,9,9,0,0,41,50127,113,0,22,25.734634029564905,2.493666088136134,5.80525465318092,3131,ojiikun,35,0.8285714285714286,0,false,true
1768314,samuelclay/NewsBlur,python,361,1373738796,1373913358,1373913358,2909,2909,commit_sha_in_comments,false,false,2,1,0,0,0,1,0,0,1,1,0,0,1,41,50127,0,0,0,25.734634029564905,2.493666088136134,5.80525465318092,3129,linnet,1,1.0,0,false,false
1767709,samuelclay/NewsBlur,python,360,1373720710,1373914963,1373914963,3237,3237,github,false,false,2,1,0,1,1,2,0,0,7,7,0,0,7,41,50127,0,0,7,25.734634029564905,2.493666088136134,5.80525465318092,3129,linnet,0,0,0,false,false
1755982,samuelclay/NewsBlur,python,355,1373487733,1373488261,1373488261,8,8,github,false,false,2,2,0,0,0,0,0,0,5,5,5,0,0,41,50086,42,0,9,25.75570019566346,2.4957073833007226,5.810006788324083,3129,manderson23,12,1.0,0,false,true
1750593,samuelclay/NewsBlur,python,354,1373396277,1373488171,1373488171,1531,1531,github,false,false,3,1,0,0,0,0,0,0,1,1,0,0,0,42,50071,0,0,49,25.76341594935192,2.4964550338519302,5.811747318807294,3128,Daniel-Hug,0,0,2,false,false
1721044,samuelclay/NewsBlur,python,353,1373302294,1373405414,1373405414,1718,1718,commits_in_master,false,false,3,1,0,0,0,2,0,0,1,1,1,0,0,41,50071,72,0,2,25.76341594935192,2.4964550338519302,5.811747318807294,3128,ojiikun,34,0.8529411764705882,0,false,true
1714098,samuelclay/NewsBlur,python,352,1373239617,1373488046,1373488046,4140,4140,github,false,false,3,1,0,0,0,2,0,0,1,1,0,0,1,41,50072,0,0,2,25.76290142195239,2.496405176545774,5.811631250998563,3127,hashier,0,0,23,false,false
1704710,samuelclay/NewsBlur,python,347,1373089740,,1373131757,700,,unknown,false,false,3,1,0,1,1,1,0,0,1,1,1,0,0,41,50072,4,0,0,25.76290142195239,2.496405176545774,5.811631250998563,3127,asafge,0,0,0,false,false
1704428,samuelclay/NewsBlur,python,346,1373081969,1373082062,1373082062,1,1,github,false,false,3,4,0,0,0,0,0,3,4,7,6,0,1,42,50072,57,0,12,25.76290142195239,2.496405176545774,5.811631250998563,3127,ojiikun,33,0.8484848484848485,0,false,true
1704189,samuelclay/NewsBlur,python,345,1373064377,1373071785,1373071785,123,123,github,false,false,3,1,0,1,1,1,0,349,1,350,5,7,338,42,50071,24,0,351,25.76341594935192,2.4964550338519302,5.811747318807294,3127,ojiikun,32,0.84375,0,false,true
1698722,samuelclay/NewsBlur,python,343,1373002519,1373071221,1373071221,1145,1145,github,false,false,3,1,0,0,0,1,0,0,5,5,2,2,1,42,50052,8,0,67,25.773195876288657,2.4974027011907616,5.813953488372093,3127,djc,2,0.0,6,false,false
1683930,samuelclay/NewsBlur,python,341,1372834466,1372879569,1372879569,751,751,github,false,false,3,1,0,0,0,0,0,0,2,2,2,0,0,42,50040,65,0,4,25.779376498800957,2.498001598721023,5.815347721822542,3126,ojiikun,31,0.8387096774193549,0,false,true
1682490,samuelclay/NewsBlur,python,339,1372801852,1372802992,1372802992,19,19,github,false,false,3,5,0,0,0,0,0,0,6,6,5,1,0,42,50041,53,0,7,25.778861333706363,2.4979516796227093,5.815231510161667,3125,ojiikun,30,0.8333333333333334,0,false,true
1679823,samuelclay/NewsBlur,python,337,1372769738,1372798173,1372798173,473,473,github,false,false,3,1,0,0,0,1,0,0,1,1,1,0,0,41,50030,2,0,174,25.78452928243054,2.498500899460324,5.816510093943633,3125,Phoenixsong,0,0,0,false,false
1698721,samuelclay/NewsBlur,python,336,1372765069,1373002496,1373002496,3957,3957,commits_in_master,false,false,3,1,0,1,1,1,0,0,5,5,2,2,1,41,50030,8,0,68,25.78452928243054,2.498500899460324,5.816510093943633,3125,djc,1,0.0,6,false,false
1678508,samuelclay/NewsBlur,python,335,1372750041,1372797970,1372797970,798,798,github,false,false,3,7,0,1,1,1,5,6,20,31,23,2,1,41,50030,1195,0,131,25.78452928243054,2.498500899460324,5.816510093943633,3125,ojiikun,29,0.8275862068965517,0,false,true
1672399,samuelclay/NewsBlur,python,332,1372616670,1372641034,1372641034,406,406,github,false,false,3,1,0,0,0,2,0,0,2,2,2,0,0,39,49910,10,0,54,25.846523742736927,2.5045081146062915,5.830494890803446,3124,seh,0,0,0,false,false
1665606,samuelclay/NewsBlur,python,330,1372420999,1372764752,1372764752,5729,5729,merged_in_comments,false,false,3,2,0,5,5,2,0,0,18,18,14,2,1,36,49837,40,0,0,25.884383088869715,2.508176655898228,5.839035254931075,3124,djc,0,0,6,false,false
1650599,samuelclay/NewsBlur,python,328,1372219469,1372448639,1372448639,3819,3819,commits_in_master,false,false,3,2,0,7,7,3,2,1,12,15,13,2,0,33,49827,828,0,133,25.889577939671263,2.5086800329138823,5.840207116623517,3124,ojiikun,28,0.8571428571428571,0,false,true
1649190,samuelclay/NewsBlur,python,327,1372189919,1372195424,1372195424,91,91,github,false,false,3,1,0,1,1,1,1,0,3,4,3,1,0,33,49793,155,0,32,25.907256040005624,2.5103930271323276,5.844194967164059,3124,manderson23,11,1.0,0,false,true
