pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1671652,sanemat/pollyanna,ruby,27,1372595676,1372998190,1372998190,6708,6708,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,58,297,0,0,21,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,15,0.0,0,false,false
1667605,sanemat/pollyanna,ruby,26,1372448610,1372997878,1372997878,9154,9154,commit_sha_in_comments,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,58,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,14,0.0,0,false,false
1659853,sanemat/pollyanna,ruby,25,1372362218,1372997908,1372997908,10594,10594,commit_sha_in_comments,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,58,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,13,0.0,0,false,false
1658337,sanemat/pollyanna,ruby,24,1372344811,1372997898,1372997898,10884,10884,commit_sha_in_comments,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,58,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,12,0.0,0,false,false
1654316,sanemat/pollyanna,ruby,23,1372275795,1372997889,1372997889,12034,12034,commit_sha_in_comments,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,58,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,11,0.0,0,false,false
1649151,sanemat/pollyanna,ruby,22,1372189416,1372252473,1372252473,1050,1050,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,58,297,0,0,20,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,10,0.0,0,false,false
1642941,sanemat/pollyanna,ruby,21,1372102987,1372129597,1372129597,443,443,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,59,297,0,0,19,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,9,0.0,0,false,false
1641508,sanemat/pollyanna,ruby,20,1372086009,1372086036,1372086036,0,0,commit_sha_in_comments,false,false,1,1,0,0,0,1,0,0,1,1,0,0,1,58,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,8,0.0,0,false,false
1636676,sanemat/pollyanna,ruby,19,1372014563,1372048995,1372048995,573,573,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,59,297,0,0,18,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,7,0.0,0,false,false
1635573,sanemat/pollyanna,ruby,18,1371928158,,1371990940,1046,,unknown,false,false,1,1,0,3,3,1,0,0,1,1,0,0,1,59,297,0,0,17,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,6,0.0,0,false,false
1631492,sanemat/pollyanna,ruby,17,1371841985,1371990129,1371990129,2469,2469,commit_sha_in_comments,false,false,1,1,0,1,1,1,0,0,1,1,0,0,1,59,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,5,0.0,0,false,false
1626244,sanemat/pollyanna,ruby,16,1371755505,1371840042,1371840042,1408,1408,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,59,297,0,0,16,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,4,0.0,0,false,false
1620738,sanemat/pollyanna,ruby,15,1371669387,1371679527,1371679527,169,169,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,59,297,0,0,15,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,3,0.0,0,false,false
1618928,sanemat/pollyanna,ruby,14,1371649243,1371679419,1371679419,502,502,commit_sha_in_comments,false,true,1,1,0,3,3,2,0,0,1,1,0,0,1,59,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,2,0.0,0,false,false
1618599,sanemat/pollyanna,ruby,13,1371646130,1371647010,1371647010,14,14,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,60,297,4,0,2,666.6666666666666,60.60606060606061,87.54208754208754,0,sanemat,10,0.1,44,true,true
1618587,sanemat/pollyanna,ruby,12,1371646003,1371646972,1371646972,16,16,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,60,297,0,0,14,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,1,0.0,0,false,false
1618489,sanemat/pollyanna,ruby,11,1371644928,1371645376,1371645376,7,7,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,60,297,8,0,1,666.6666666666666,60.60606060606061,87.54208754208754,0,sanemat,9,0.1111111111111111,44,true,true
1617589,sanemat/pollyanna,ruby,10,1371634086,1371635401,1371635401,21,21,commits_in_master,false,false,1,4,0,1,1,1,6,0,5,11,6,1,1,59,297,88,0,7,666.6666666666666,60.60606060606061,87.54208754208754,0,sanemat,8,0.125,44,true,true
1615954,sanemat/pollyanna,ruby,9,1371605508,1371606191,1371606191,11,11,commits_in_master,false,false,1,1,0,2,2,2,0,0,1,1,0,0,1,59,297,0,0,13,666.6666666666666,60.60606060606061,87.54208754208754,0,bot-motoko,0,0,0,false,false
1611146,sanemat/pollyanna,ruby,8,1371540691,1371540744,1371540744,0,0,commit_sha_in_comments,false,false,1,1,0,0,0,1,0,0,1,1,0,0,1,59,297,0,0,0,666.6666666666666,60.60606060606061,87.54208754208754,0,sanemat,7,0.14285714285714285,88,false,true
1601469,sanemat/pollyanna,ruby,7,1371324150,1371324330,1371324330,3,3,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,0,1,0,59,297,0,0,4,666.6666666666666,60.60606060606061,87.54208754208754,0,sanemat,6,0.16666666666666666,44,true,true
1601387,sanemat/pollyanna,ruby,6,1371321920,1371323363,1371323363,24,24,commits_in_master,false,false,1,1,0,1,1,1,0,0,1,1,1,0,0,60,298,1,0,1,664.4295302013423,60.40268456375839,87.24832214765101,0,sanemat,5,0.2,44,true,true
1601350,sanemat/pollyanna,ruby,5,1371320793,1371320971,1371320971,2,2,commits_in_master,false,false,1,4,0,1,1,1,1,0,5,6,3,0,3,61,289,13,0,36,685.121107266436,62.28373702422145,89.96539792387544,0,sanemat,4,0.25,44,true,true
1601199,sanemat/pollyanna,ruby,4,1371316306,1371317399,1371317399,18,18,commits_in_master,false,false,1,29,0,1,1,1,9,2,10,21,13,4,0,62,241,108,42,42,767.6348547717843,70.53941908713693,103.7344398340249,0,sanemat,3,0.3333333333333333,44,true,true
1600896,sanemat/pollyanna,ruby,3,1371307525,1371308045,1371308045,8,8,commits_in_master,false,false,1,1,0,1,1,1,0,0,3,3,2,0,1,58,241,2,3,25,759.3360995850622,70.53941908713693,103.7344398340249,0,sanemat,2,0.5,44,true,true
1600887,sanemat/pollyanna,ruby,2,1371307153,1371307449,1371307449,4,4,commits_in_master,false,false,1,1,0,0,0,0,0,0,2,2,1,0,1,58,241,2,0,22,759.3360995850622,70.53941908713693,103.7344398340249,0,sanemat,1,1.0,44,true,true
