pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,files_added,files_deleted,files_modified,files_changed,src_files,doc_files,other_files,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2158500,sap-production/xcode-maven-plugin,java,130,1380180876,1380194734,1380194734,230,230,github,false,false,4,2,0,1,1,1,0,0,1,1,1,0,0,27,6779,6,0,4,787.5792889806756,37.321138811034075,50.59743324974185,47,pjorquera,0,0,0,false,false
2147296,sap-production/xcode-maven-plugin,java,129,1380017653,1380018364,1380018364,11,11,github,false,false,4,4,0,1,1,1,0,0,2,2,0,2,0,24,6779,0,0,95,787.5792889806756,37.321138811034075,50.59743324974185,47,IKirilova,13,0.6923076923076923,1,false,true
2119811,sap-production/xcode-maven-plugin,java,128,1380006145,1381148838,1381148838,19044,19044,commits_in_master,false,false,4,5,3,0,3,1,0,0,3,3,3,0,0,23,6779,265,0,9,787.5792889806756,37.321138811034075,50.59743324974185,47,marcusholl,58,0.5862068965517241,3,false,false
1928941,sap-production/xcode-maven-plugin,java,127,1376475496,1376554994,1376554994,1324,1324,github,false,false,4,12,4,0,4,1,2,0,48,50,8,21,22,14,6661,366,83,115,797.0274733523495,37.98228494220087,51.043386878847016,46,alexanderlink,16,0.4375,0,false,true
1928628,sap-production/xcode-maven-plugin,java,125,1376300241,1376463823,1376463823,2726,2726,github,false,false,4,1,0,0,0,0,4,0,2,6,4,2,0,12,6647,70,266,5,765.9094328268392,37.00917707236347,50.85000752219046,46,alexanderlink,15,0.4,0,false,true
1881536,sap-production/xcode-maven-plugin,java,124,1375442276,1376463566,1376463566,17021,17021,github,false,false,4,9,12,0,12,1,4,1,29,34,46,49,191,8,6614,105,795,28,734.6537647414575,36.740247958875116,51.1037193831267,46,marcusholl,56,0.5892857142857143,3,false,false
1863303,sap-production/xcode-maven-plugin,java,122,1375164409,1375166920,1375166920,41,41,merged_in_comments,false,false,4,2,0,1,1,1,1,0,1,2,0,1,2,5,6606,0,0,0,735.5434453527097,36.78474114441417,51.165607023917644,46,marcusholl,54,0.6111111111111112,3,false,false
1838513,sap-production/xcode-maven-plugin,java,121,1374821180,,1374834805,227,,unknown,false,false,4,2,0,1,1,1,0,0,5,5,5,0,0,5,6571,115,0,0,739.4612692132096,36.9806726525643,51.438137269821944,46,IKirilova,12,0.75,1,false,true
1833379,sap-production/xcode-maven-plugin,java,120,1374753606,1374828967,1374828967,1256,1256,github,false,false,4,3,0,0,0,0,1,0,2,3,0,1,3,5,6571,0,0,8,739.4612692132096,36.9806726525643,51.438137269821944,46,marcusholl,53,0.6037735849056604,3,false,false
1778988,sap-production/xcode-maven-plugin,java,118,1373979425,,1374568574,9819,,unknown,false,false,4,2,1,0,1,1,0,0,2,2,2,0,0,7,6447,150,54,0,747.3243369008842,36.91639522258415,52.58259655653792,46,marcusholl,51,0.6274509803921569,3,false,false
1761346,sap-production/xcode-maven-plugin,java,117,1373621078,1374237422,1374237422,10272,10272,github,false,false,4,42,0,0,0,0,15,16,44,75,48,7,2,6,6447,2752,178,0,747.3243369008842,36.91639522258415,52.58259655653792,46,IKirilova,11,0.7272727272727273,1,false,true
1739235,sap-production/xcode-maven-plugin,java,116,1373353675,1373358786,1373358787,85,85,github,false,false,4,1,0,0,0,0,0,0,1,1,1,0,0,6,6441,8,0,1,748.0204937121565,36.95078403974538,52.63157894736842,46,IKirilova,10,0.7,1,false,true
1666244,sap-production/xcode-maven-plugin,java,115,1372669921,,1373028604,5978,,unknown,false,false,4,29,5,1,6,2,0,0,29,29,20,15,2,7,6206,843,101,0,768.7721559780857,38.34998388656139,54.624556880438284,46,marcusholl,50,0.64,3,false,false
1566626,sap-production/xcode-maven-plugin,java,112,1370629099,1370860744,1370860744,3860,3860,github,false,false,4,1,0,0,0,0,0,0,2,2,0,2,0,17,6120,0,0,26,768.9542483660131,38.56209150326798,54.57516339869281,44,JaysonRaymond,1,0.0,0,false,false
1523642,sap-production/xcode-maven-plugin,java,109,1369659399,1369740684,1369740684,1354,1354,commit_sha_in_comments,false,false,4,1,0,0,0,1,0,0,1,1,1,0,0,19,6028,2,0,0,720.6370272063702,35.003317850033184,53.91506303915063,43,alexanderlink,14,0.42857142857142855,0,false,true
1521952,sap-production/xcode-maven-plugin,java,108,1369631668,,1369740724,1817,,unknown,false,false,4,3,5,2,7,1,12,0,4,16,4,12,0,22,6028,153,266,0,720.6370272063702,35.003317850033184,53.91506303915063,43,marcusholl,48,0.6666666666666666,3,false,false
1708487,sap-production/xcode-maven-plugin,java,107,1369206543,1369209501,1369209501,49,49,github,false,false,3,1,0,0,0,0,0,0,3,3,1,2,0,22,5923,86,0,20,720.5807867634645,35.28617254769542,54.36434239405707,43,marcusholl,47,0.6595744680851063,3,false,false
2022502,sap-production/xcode-maven-plugin,java,106,1369204331,1369211451,1369211451,118,118,commit_sha_in_comments,false,false,3,0,0,0,0,1,0,0,0,0,0,0,0,22,6010,0,0,0,710.1497504159734,34.775374376039935,53.577371048252914,43,IKirilova,9,0.7777777777777778,1,false,true
1491721,sap-production/xcode-maven-plugin,java,105,1368792874,1369724431,1369724431,15525,15525,commit_sha_in_comments,false,false,3,5,0,1,1,2,17,0,6,23,3,3,14,22,6010,325,0,0,710.1497504159734,34.775374376039935,53.577371048252914,43,alexanderlink,13,0.46153846153846156,0,false,true
1491326,sap-production/xcode-maven-plugin,java,104,1368787289,1369208247,1369208247,7015,7015,github,false,false,3,4,0,0,0,0,2,6,1,9,6,2,0,22,6010,1390,0,12,710.1497504159734,34.775374376039935,53.577371048252914,43,marcusholl,46,0.6521739130434783,3,false,false
1480425,sap-production/xcode-maven-plugin,java,103,1368608914,1369212378,1369212378,10057,10057,commit_sha_in_comments,false,false,3,2,0,1,1,1,1,0,3,4,4,0,0,21,5690,49,118,0,750.0878734622144,36.7311072056239,56.59050966608084,43,alexanderlink,12,0.5,0,false,true
